Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2015,1,1,Diamondbacks,SS,Dansby Swanson,Vanderbilt,4YR,TN,Y,"$6,500,000"
2015,1,2,Astros,SS,Alex Bregman,Louisiana State,4YR,LA,Y,"$5,900,000"
2015,1,3,Rockies,SS,Brendan Rodgers,Lake Mary (Fla.) HS,HS,FL,Y,"$5,500,000"
2015,1,4,Rangers,RHP,Dillon Tate,UC Santa Barbara,4YR,CA,Y,"$4,200,000"
2015,1,5,Astros,OF,Kyle Tucker,"Plant HS, Tampa",HS,FL,Y,"$4,000,000"
2015,1,6,Twins,LHP,Tyler Jay,Illinois,4YR,IL,Y,"$3,889,500"
2015,1,7,Red Sox,OF,Andrew Benintendi,Arkansas,4YR,AR,Y,"$3,590,400"
2015,1,8,White Sox,RHP,Carson Fulmer,Vanderbilt,4YR,TN,Y,"$3,470,600"
2015,1,9,Cubs,OF,Ian Happ,Cincinnati,4YR,OH,Y,"$3,000,000"
2015,1,10,Phillies,SS,Cornelius Randolph,Griffin (Ga.) HS,HS,GA,Y,"$3,231,300"
2015,1,11,Reds,C,Tyler Stephenson,Kennesaw (Ga.) Mountain HS,HS,GA,Y,"$3,141,600"
2015,1,12,Marlins,1B,Josh Naylor,"St. Joan of Arc Catholic SS, Mississauga, Ont.",HS,CN,Y,"$2,200,000"
2015,1,13,Rays,OF,Garrett Whitley,Niskayuna (N.Y.) HS,HS,NY,Y,"$2,959,600"
2015,1,14,Braves,LHP,Kolby Allard,San Clemente (Calif.) HS,HS,CA,Y,"$3,042,400"
2015,1,15,Brewers,OF,Trent Grisham,"Richland HS, North Richland Hills, Texas",HS,TX,Y,"$2,700,000"
2015,1,16,Yankees,RHP,James Kaprielian,UCLA,4YR,CA,Y,"$2,650,000"
2015,1,17,Indians,LHP,Brady Aiken,"IMG Academy, Bradenton, Fla.",HS,FL,Y,"$2,513,280"
2015,1,18,Giants,RHP,Phil Bickford,JC of Southern Nevada,JC,NV,Y,"$2,333,800"
2015,1,19,Pirates,SS,Kevin Newman,Arizona,4YR,AZ,Y,"$2,175,000"
2015,1,20,Athletics,SS,Richie Martin,Florida,4YR,FL,Y,"$1,950,000"
2015,1,21,Royals,RHP,Ashe Russell,"Cathedral Catholic HS, Indianapolis",HS,IN,Y,"$2,190,200"
2015,1,22,Tigers,RHP,Beau Burrows,Weatherford (Texas) HS,HS,TX,Y,"$2,154,200"
2015,1,23,Cardinals,OF,Nick Plummer,"Brother Rice HS, Bloomfield Hills, Mich.",HS,MI,Y,"$2,124,400"
2015,1,24,Dodgers,RHP,Walker Buehler,Vanderbilt,4YR,TN,Y,"$1,777,500"
2015,1,25,Orioles,OF,DJ Stewart,Florida State,4YR,FL,Y,"$2,064,500"
2015,1,26,Angels,C,Taylor Ward,Fresno State,4YR,CA,Y,"$1,670,000"
2015,1,27,Rockies,RHP,Mike Nikorak,Stroudsburg (Pa.) HS,HS,PA,Y,"$2,300,000"
2015,1,28,Braves,RHP,Mike Soroka,"Bishop Carroll HS, Calgary, Alberta",HS,CN,Y,"$1,974,700"
2015,1,29,Blue Jays,RHP,Jon Harris,Missouri State,4YR,MO,Y,"$1,944,800"
2015,1,30,Yankees,SS,Kyle Holder,San Diego,4YR,CA,Y,"$1,800,000"
2015,1,31,Giants,1B,Chris Shaw,Boston College,4YR,MA,Y,"$1,400,000"
2015,1,32,Pirates,3B,Ke'Bryan Hayes,"Concordia Luthern HS, Tomball, Texas",HS,TX,Y,"$1,855,000"
2015,1,33,Royals,RHP,Nolan Watson,"Lawrence North HS, Indianapolis",HS,IN,Y,"$1,825,200"
2015,1,34,Tigers,OF,Christin Stewart,Tennessee,4YR,TN,Y,"$1,795,100"
2015,1,35,Dodgers,RHP,Kyle Funkhouser,Louisville,4YR,KY,N,
2015,1,36,Orioles,SS,Ryan Mountcastle,"Hagerty HS, Oviedo, Fla.",HS,FL,Y,"$1,300,000"
2015,1s,37,Astros,OF,Daz Cameron,"Eagle's Landing Christian Academy, McDonough, Ga.",HS,GA,Y,"$4,000,000"
2015,1s,38,Rockies,3B,Tyler Nevin,Poway (Calif.) HS,HS,CA,Y,"$2,000,000"
2015,1s,39,Cardinals,RHP,Jake Woodford,"Plant HS, Tampa",HS,FL,Y,"$1,800,000"
2015,1s,40,Brewers,LHP,Nathan Kirby,Virginia,4YR,VA,Y,"$1,250,000"
2015,1s,41,Braves,3B,Austin Riley,"DeSoto Central HS, Southaven, Miss.",HS,MS,Y,"$1,600,000"
2015,1s,42,Indians,RHP,Triston McKenzie,Royal Palm Beach (Fla.) HS,HS,FL,Y,"$2,302,500"
2015,2,43,Diamondbacks,LHP,Alex Young,Texas Christian,4YR,TX,Y,"$1,431,400"
2015,2,44,Rockies,RHP,Peter Lambert,San Dimas (Calif.) HS,HS,CA,Y,"$1,495,000"
2015,2,45,Rangers,OF,Eric Jenkins,"West Columbus HS, Cerro Gordo, N.C.",HS,NC,Y,"$2,000,000"
2015,2,46,Astros,RHP,Tom Eshelman,Cal State Fullerton,4YR,CA,Y,"$1,100,000"
2015,2,47,Cubs,OF,Donnie Dewees,North Florida,4YR,FL,Y,"$1,700,000"
2015,2,48,Phillies,2B,Scott Kingery,Arizona,4YR,AZ,Y,"$1,259,600"
2015,2,49,Reds,RHP,Tony Santillan,"Seguin HS, Arlington, Texas",HS,TX,Y,"$1,350,000"
2015,2,50,Marlins,LHP,Brett Lilek,Arizona State,4YR,AZ,Y,"$1,000,000"
2015,2,51,Padres,RHP,Austin Smith,"Park Vista Community HS, Lake Worth, Fla.",HS,FL,Y,"$1,200,000"
2015,2,52,Rays,C,Chris Betts,"Wilson HS, Long Beach",HS,CA,Y,"$1,482,500"
2015,2,53,Mets,OF,Desmond Lindsay,"Out-of-Door-Academy, Sarasota, Fla.",HS,FL,Y,"$1,142,700"
2015,2,54,Braves,C,Lucas Herbert,San Clemente (Calif.) HS,HS,CA,Y,"$1,125,200"
2015,2,55,Brewers,RHP,Cody Ponce,Cal Poly Pomona,4YR,CA,Y,"$1,108,000"
2015,2,56,Blue Jays,RHP,Brady Singer,Eustis (Fla.) HS,HS,FL,N,
2015,2,57,Yankees,LHP,Jeff Degano,Indiana State,4YR,IN,Y,"$650,000"
2015,2,58,Nationals,OF,Andrew Stevenson,Louisiana State,4YR,LA,Y,"$750,000"
2015,2,59,Indians,LHP,Juan Hillman,"Olympia HS, Orlando",HS,FL,Y,"$825,000"
2015,2,60,Mariners,RHP,Nick Neidert,"Peachtree Ridge HS, Suwanee, Ga.",HS,GA,Y,"$1,200,000"
2015,2,61,Giants,LHP,Andrew Suarez,Miami,4YR,FL,Y,"$1,010,100"
2015,2,62,Pirates,SS,Kevin Kramer,UCLA,4YR,CA,Y,"$850,000"
2015,2,63,Athletics,SS,Mikey White,Alabama,4YR,AL,Y,"$900,000"
2015,2,64,Royals,RHP,Josh Staumont,Azusa Pacific (Calif.),4YR,CA,Y,"$964,600"
2015,2,65,Tigers,LHP,Tyler Alexander,Texas Christian,4YR,TX,Y,"$1,000,000"
2015,2,66,Cardinals,3B,Bryce Denton,"Ravenwood HS, Brentwood, Tenn.",HS,TN,Y,"$1,200,000"
2015,2,67,Dodgers,OF,Mitchell Hansen,Plano (Texas) Senior HS,HS,TX,Y,"$997,500"
2015,2,68,Orioles,RHP,Jonathan Hughes,Flowery Branch (Ga.) HS,HS,GA,N,
2015,2,69,Nationals,OF,Blake Perkins,"Verrado HS, Buckeye, Ariz.",HS,AZ,Y,"$800,000"
2015,2,70,Angels,OF,Jahmai Jones,"Wesleyan HS, Norcross, Ga.",HS,GA,Y,"$1,100,000"
2015,2s,71,Reds,RHP,Tanner Rainey,West Alabama,4YR,AL,Y,"$432,950"
2015,2s,72,Mariners,RHP,Andrew Moore,Oregon State,4YR,OR,Y,"$800,000"
2015,2s,73,Twins,RHP,Kyle Cody,Kentucky,4YR,KY,N,
2015,2s,74,Dodgers,RHP,Josh Sborz,Vrginia,4YR,VA,Y,"$722,500"
2015,2s,75,Braves,LHP,A.J. Minter,Texas A&M,4YR,TX,Y,"$814,300"
2015,3,76,Diamondbacks,RHP,Taylor Clarke,College of Charleston,4YR,SC,Y,"$801,900"
2015,3,77,Rockies,RHP,Javier Medina,"Sahuaro HS, Tucson",HS,AZ,Y,"$740,000"
2015,3,78,Rangers,RHP,Michael Matuella,Duke,4YR,NC,Y,"$2,000,000"
2015,3,79,Astros,RHP,Riley Ferrell,Texas Christian,4YR,TX,Y,"$1,000,000"
2015,3,80,Twins,3B,Travis Blankenhorn,Pottsville (Pa.) HS,HS,PA,Y,"$650,000"
2015,3,81,Red Sox,C,Austin Rei,Washington,4YR,WA,Y,"$742,400"
2015,3,82,Cubs,LHP,Bryan Hudson,Alton (Ill.) HS,HS,IL,Y,"$1,100,000"
2015,3,83,Phillies,SS,Lucas Williams,"Dana Hills HS, Dana Point, Calif.",HS,CA,Y,"$719,800"
2015,3,84,Reds,SS,Blake Trahan,Louisiana-Lafayette,4YR,LA,Y,"$708,900"
2015,3,85,Marlins,OF,Zeek White,"Greenfield HS, Wilson, N.C.",HS,NC,Y,"$698,100"
2015,3,86,Padres,RHP,Jacob Nix,"IMG Academy, Bradenton, Fla.",HS,FL,Y,"$900,000"
2015,3,87,Rays,2B,Brandon Lowe,Maryland,4YR,MD,Y,"$697,500"
2015,3,88,Mets,LHP,Max Wotell,"Marvin Ridge HS, Waxhaw, N.C.",HS,NC,Y,"$775,000"
2015,3,89,Braves,RHP,Anthony Guardado,"Nogales HS, La Puente, Calif.",HS,CA,Y,"$550,000"
2015,3,90,Brewers,RHP,Nash Walters,Lindale (Texas) HS,HS,TX,Y,"$800,000"
2015,3,91,Blue Jays,RHP,Justin Maese,"Yselta HS, El Paso",HS,TX,Y,"$300,000"
2015,3,92,Yankees,RHP,Drew Finley,"Rancho Bernardo HS, San Diego",HS,CA,Y,"$950,000"
2015,3,93,Indians,2B,Mark Mathias,Cal Poly,4YR,CA,Y,"$550,000"
2015,3,94,Mariners,OF,Braden Bishop,Washington,4YR,WA,Y,"$607,700"
2015,3,95,Giants,SS,Jalen Miller,"Riverwood International Charter HS, Sandy Springs, Ga.",HS,GA,Y,"$1,100,000"
2015,3,96,Pirates,OF,Casey Hughston,Alabama,4YR,AL,Y,"$700,000"
2015,3,97,Athletics,RHP,Dakota Chalmers,"North Forsyth HS, Cumming, Ga.",HS,GA,Y,"$1,200,000"
2015,3,98,Royals,OF,Anderson Miller,Western Kentucky,4YR,KY,Y,"$581,300"
2015,3,99,Tigers,RHP,Drew Smith,Dallas Baptist,4YR,TX,Y,"$575,800"
2015,3,100,Cardinals,OF,Harrison Bader,Florida,4YR,FL,Y,"$400,000"
2015,3,101,Dodgers,LHP,Phil Pfeifer,Vanderbilt,4YR,TN,Y,"$222,500"
2015,3,102,Orioles,LHP,Garrett Cleavinger,Oregon,4YR,OR,Y,"$500,000"
2015,3,103,Nationals,OF,Rhett Wiseman,Vanderbilt,4YR,TN,Y,"$554,100"
2015,3,104,Angels,RHP,Grayson Long,Texas A&M,4YR,TX,Y,"$548,600"
2015,3s,105,Cardinals,RHP,Jordan Hicks,"Cypress Creek HS, Houston",HS,TX,Y,"$600,000"
2015,4,106,Diamondbacks,RHP,Breckin Williams,Missouri,4YR,MO,Y,"$538,200"
2015,4,107,Rockies,RHP,David Hill,San Diego,4YR,CA,Y,"$550,000"
2015,4,108,Rangers,RHP,Jake Lemoine,Houston,4YR,TX,Y,"$528,000"
