Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2014,1,1,Astros,LHP,Brady Aiken,"Cathedral Catholic HS, San Diego",HS,CA,N,
2014,1,2,Marlins,RHP,Tyler Kolek,Shepherd (Texas) HS,HS,TX,Y,"$6,000,000"
2014,1,3,White Sox,LHP,Carlos Rodon,North Carolina State,4YR,NC,Y,"$6,582,000"
2014,1,4,Cubs,C,Kyle Schwarber,Indiana,4YR,IN,Y,"$3,125,000"
2014,1,5,Twins,SS,Nick Gordon,"Olympia HS, Orlando",HS,FL,Y,"$3,851,000"
2014,1,6,Mariners,OF,Alex Jackson,"Rancho Bernardo HS, San Diego",HS,CA,Y,"$4,200,000"
2014,1,7,Phillies,RHP,Aaron Nola,Louisiana State,4YR,LA,Y,"$3,300,900"
2014,1,8,Rockies,LHP,Kyle Freeland,Evansville,4YR,IN,Y,"$2,300,000"
2014,1,9,Blue Jays,RHP,Jeff Hoffman,East Carolina,4YR,NC,Y,"$3,080,800"
2014,1,10,Mets,OF,Michael Conforto,Oregon State,4YR,OR,Y,"$2,970,800"
2014,1,11,Blue Jays,C,Max Pentecost,Kennesaw State,4YR,GA,Y,"$2,888,300"
2014,1,12,Brewers,LHP,Kodi Medeiros,"Waiakea HS, Hilo, Hawaii",HS,HI,Y,"$2,500,000"
2014,1,13,Padres,SS,Trea Turner,North Carolina State,4YR,NC,Y,"$2,900,000"
2014,1,14,Giants,RHP,Tyler Beede,Vanderbilt,4YR,TN,Y,"$2,613,200"
2014,1,15,Angels,LHP,Sean Newcomb,Hartford,4YR,CT,Y,"$2,518,400"
2014,1,16,Diamondbacks,RHP,Touki Toussaint,Coral Springs (Fla.) Christian Academy,HS,FL,Y,"$2,700,000"
2014,1,17,Royals,LHP,Brandon Finnegan,Texas Christian,4YR,TX,Y,"$2,200,600"
2014,1,18,Nationals,RHP,Erick Fedde,Nevada-Las Vegas,4YR,NV,Y,"$2,511,100"
2014,1,19,Reds,RHP,Nick Howard,Virginia,4YR,VA,Y,"$1,990,500"
2014,1,20,Rays,1B,Casey Gillaspie,Wichita State,4YR,KS,Y,"$2,035,500"
2014,1,21,Indians,OF,Bradley Zimmer,San Francisco,4YR,CA,Y,"$1,900,000"
2014,1,22,Dodgers,RHP,Grant Holmes,Conway (S.C.) HS,HS,SC,Y,"$2,500,000"
2014,1,23,Tigers,OF,Derek Hill,Elk Grove (Calif.) HS,HS,CA,Y,"$2,000,000"
2014,1,24,Pirates,SS,Cole Tucker,"Mountain Pointe HS, Phoenix",HS,AZ,Y,"$1,800,000"
2014,1,25,Athletics,3B,Matt Chapman,Cal State Fullerton,4YR,CA,Y,"$1,750,000"
2014,1,26,Red Sox,SS,Michael Chavis,"Sprayberry HS, Marietta, Ga.",HS,GA,Y,"$1,870,500"
2014,1,27,Cardinals,RHP,Luke Weaver,Florida State,4YR,FL,Y,"$1,843,000"
2014,1,28,Royals,LHP,Foster Griffin,"The First Academy, Orlando",HS,FL,Y,"$1,925,000"
2014,1,29,Reds,SS,Alex Blandino,Stanford,4YR,CA,Y,"$1,788,000"
2014,1,30,Rangers,RHP,Luis Ortiz,Sanger (Calif.) HS,HS,CA,Y,"$1,750,000"
2014,1,31,Indians,LHP,Justus Sheffield,Tullahoma (Tenn.) HS,HS,TN,Y,"$1,600,000"
2014,1,32,Braves,OF,Braxton Davidson,"Roberson HS, Asheville, N.C.",HS,NC,Y,"$1,705,000"
2014,1,33,Red Sox,RHP,Michael Kopech,Mount Pleasant (Texas) HS,HS,TX,Y,"$1,500,000"
2014,1,34,Cardinals,RHP,Jack Flaherty,"Harvard-Westlake HS, Los Angeles",HS,CA,Y,"$2,000,000"
2014,1s,35,Rockies,2B,Forrest Wall,"Orangewood Christian HS, Maitland, Fla.",HS,FL,Y,"$2,000,000"
2014,1s,36,Marlins,C,Blake Anderson,"West Lauderdale HS, Collinsville, Miss.",HS,MS,Y,"$1,170,000"
2014,1s,37,Astros,OF,Derek Fisher,Virginia,4YR,VA,Y,"$1,534,100"
2014,1s,38,Indians,OF,Mike Papi,Virginia,4YR,VA,Y,"$1,250,000"
