,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
221,2011-12,2012,SAC,2011CAKings,NBA,66,22,44,CA,Kings,0.333,15915,2490,5712,2079,4411,411,1301,1127,1532,882,1947,2829,1271,561,323,952,1287,6518
127,2011-12,2012,LAC*,2011CALakers,NBA,66,40,26,CA,Lakers,0.606,15965,2439,5366,1925,3925,514,1441,1046,1538,800,1943,2743,1385,556,315,879,1399,6438
115,2011-12,2012,LAL*,2011CALakers,NBA,66,41,25,CA,Lakers,0.621,16065,2429,5319,2067,4207,362,1112,1202,1589,799,2251,3050,1485,390,351,997,1109,6422
213,2011-12,2012,GSW,2011CAWarriors,NBA,66,23,43,CA,Warriors,0.348,15915,2489,5443,1965,4092,524,1351,951,1235,640,1947,2587,1470,528,362,915,1410,6453
136,2011-12,2012,DEN*,2011CONuggets,NBA,66,38,28,CO,Nuggets,0.576,16040,2572,5404,2137,4093,435,1311,1293,1760,738,2105,2843,1581,540,330,1015,1297,6872
83,2011-12,2012,MIA*,2011FLHeat,NBA,66,46,20,FL,Heat,0.697,16040,2446,5212,2076,4182,370,1030,1238,1598,686,2060,2746,1317,585,355,1002,1282,6500
143,2011-12,2012,ORL*,2011FLMagic,NBA,66,37,29,FL,Magic,0.561,15965,2275,5162,1605,3377,670,1785,995,1508,742,2060,2802,1321,451,275,984,1168,6215
126,2011-12,2012,ATL*,2011GAHawks,NBA,66,40,26,GA,Hawks,0.606,16165,2429,5348,1937,4018,492,1330,1025,1385,652,2066,2718,1481,536,303,921,1178,6375
52,2011-12,2012,CHI*,2011ILBulls,NBA,66,50,16,IL,Bulls,0.758,15940,2467,5462,2048,4345,419,1117,1006,1394,915,2165,3080,1527,456,388,923,1139,6359
107,2011-12,2012,IND*,2011INPacers,NBA,66,42,24,IN,Pacers,0.636,15990,2354,5375,1962,4311,392,1064,1349,1724,826,2070,2896,1228,523,357,925,1430,6449
223,2011-12,2012,NOH,2011LAHornets,NBA,66,21,45,LA,Hornets,0.318,15940,2300,5103,2041,4326,259,777,1057,1397,724,1991,2715,1368,488,316,1024,1324,5916
133,2011-12,2012,BOS*,2011MACeltics,NBA,66,39,27,MA,Celtics,0.591,15940,2341,5086,1978,4098,363,988,1017,1308,509,2051,2560,1557,498,362,979,1315,6062
203,2011-12,2012,DET,2011MIPistons,NBA,66,25,41,MI,Pistons,0.379,15965,2291,5232,1974,4316,317,916,1098,1461,775,1882,2657,1232,460,278,1033,1293,5997
199,2011-12,2012,MIN,2011MNTimberwolves,NBA,66,26,40,MN,Timberwolves,0.394,15940,2355,5434,1882,4011,473,1423,1281,1662,797,2089,2886,1290,436,293,1001,1212,6464
240,2011-12,2012,CHA,2011NCHornets,NBA,66,7,59,NC,Hornets,0.106,15890,2193,5293,1930,4401,263,892,1090,1462,677,1894,2571,1326,397,361,957,1249,5739
220,2011-12,2012,NJN,2011NJNets,NBA,66,22,44,NJ,Nets,0.333,15890,2262,5320,1755,3839,507,1481,1113,1433,783,1879,2662,1311,493,260,995,1268,6144
149,2011-12,2012,NYK*,2011NYKnicks,NBA,66,36,30,NY,Knicks,0.545,15940,2365,5335,1848,3797,517,1538,1211,1634,743,2012,2755,1328,622,276,1056,1391,6458
222,2011-12,2012,CLE,2011OHCavaliers,NBA,66,21,45,OH,Cavaliers,0.318,15965,2261,5360,1821,4087,440,1273,1178,1645,841,1949,2790,1308,466,262,1017,1317,6140
76,2011-12,2012,OKC*,2011OKThunder,NBA,66,47,19,OK,Thunder,0.712,15990,2462,5229,1990,3912,472,1317,1406,1744,726,2157,2883,1224,498,539,1079,1352,6802
190,2011-12,2012,POR,2011ORTrail Blazers,NBA,66,28,38,OR,Trail Blazers,0.424,15965,2402,5417,1924,4035,478,1382,1133,1423,735,1949,2684,1349,528,322,935,1251,6415
155,2011-12,2012,PHI*,2011PA76ers,NBA,66,35,31,PA,76ers,0.53,15915,2471,5516,2122,4553,349,963,889,1198,704,2144,2848,1453,526,340,738,1157,6180
116,2011-12,2012,MEM*,2011TNGrizzlies,NBA,66,41,25,TN,Grizzlies,0.621,15940,2425,5422,2148,4573,277,849,1142,1504,831,1944,2775,1290,631,345,955,1316,6269
216,2011-12,2012,TOR,2011TTRaptors,NBA,66,23,43,TT,Raptors,0.348,15965,2268,5154,1903,4079,365,1075,1085,1410,697,2074,2771,1382,429,321,1001,1532,5986
159,2011-12,2012,HOU,2011TXAstros,NBA,66,34,32,TX,Astros,0.515,16065,2489,5543,2011,4213,478,1330,1018,1301,769,2014,2783,1404,496,319,955,1347,6474
148,2011-12,2012,DAL*,2011TXMavericks,NBA,66,36,30,TX,Mavericks,0.545,16065,2398,5412,1901,3948,497,1464,1029,1334,665,2157,2822,1380,565,337,926,1226,6322
53,2011-12,2012,SAS*,2011TXSpurs,NBA,66,50,16,TX,Spurs,0.758,15940,2611,5463,2059,4058,552,1405,1067,1427,683,2153,2836,1528,490,293,895,1143,6841
150,2011-12,2012,UTA*,2011UTJazz,NBA,66,36,30,UT,Jazz,0.545,16165,2523,5531,2250,4686,273,845,1258,1668,861,2055,2916,1439,545,385,936,1441,6577
229,2011-12,2012,WAS,2011WAWizards,NBA,66,20,46,WA,Wizards,0.303,15865,2414,5475,2070,4400,344,1075,1008,1386,775,1975,2750,1262,527,417,1008,1405,6180
