,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
167,2014-15,2015,CHO,2014NCHornets,NBA,82,33,49,NC,Hornets,0.402,19905,2913,6932,2415,5366,498,1566,1397,1867,820,2793,3613,1654,499,448,976,1494,7721
235,2014-15,2015,NYK,2014NYKnicks,NBA,82,17,65,NY,Knicks,0.207,19855,2882,6726,2322,5112,560,1614,1211,1575,867,2443,3310,1746,575,382,1206,1768,7535
139,2014-15,2015,BRK*,2014NYNets,NBA,82,38,44,NY,Nets,0.463,19930,3069,6804,2528,5171,541,1633,1359,1817,846,2627,3473,1716,576,340,1133,1579,8038
40,2014-15,2015,CLE*,2014OHCavaliers,NBA,82,53,29,OH,Cavaliers,0.646,19780,3089,6739,2263,4486,826,2253,1453,1934,911,2612,3523,1814,603,340,1171,1510,8457
90,2014-15,2015,OKC,2014OKThunder,NBA,82,45,37,OK,Thunder,0.549,19830,3184,7119,2552,5255,632,1864,1524,2020,1052,2844,3896,1681,598,454,1205,1829,8524
46,2014-15,2015,POR*,2014ORTrail Blazers,NBA,82,51,31,OR,Trail Blazers,0.622,19855,3175,7049,2368,4818,807,2231,1272,1589,879,2881,3760,1799,525,372,1117,1494,8429
233,2014-15,2015,PHI,2014PA76ers,NBA,82,18,64,PA,76ers,0.22,19805,2765,6777,2073,4617,692,2160,1320,1953,978,2536,3514,1683,789,487,1453,1778,7542
31,2014-15,2015,MEM*,2014TNGrizzlies,NBA,82,55,27,TN,Grizzlies,0.671,19905,3097,6763,2674,5517,423,1246,1445,1869,856,2634,3490,1777,700,347,1094,1567,8062
61,2014-15,2015,TOR*,2014TTRaptors,NBA,82,49,33,TT,Raptors,0.598,19855,3108,6829,2382,4769,726,2060,1585,2014,881,2526,3407,1701,615,357,1057,1712,8527
27,2014-15,2015,HOU*,2014TXAstros,NBA,82,56,26,TX,Astros,0.683,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522
56,2014-15,2015,DAL*,2014TXMavericks,NBA,82,50,32,TX,Mavericks,0.61,19880,3255,7036,2523,4954,732,2082,1386,1843,858,2608,3466,1846,663,371,1062,1644,8628
32,2014-15,2015,SAS*,2014TXSpurs,NBA,82,55,27,TX,Spurs,0.671,19955,3208,6854,2531,5007,677,1847,1368,1754,806,2772,3578,2000,657,444,1146,1564,8461
141,2014-15,2015,UTA,2014UTJazz,NBA,82,38,44,UT,Jazz,0.463,19705,2900,6492,2290,4711,610,1781,1391,1929,988,2617,3605,1632,623,489,1256,1583,7801
84,2014-15,2015,WAS*,2014WAWizards,NBA,82,46,36,WA,Wizards,0.561,19955,3139,6790,2642,5409,497,1381,1305,1758,862,2801,3663,1969,601,378,1233,1707,8080
119,2014-15,2015,MIL*,2014WIBucks,NBA,82,41,41,WI,Bucks,0.5,19930,3083,6722,2538,5222,545,1500,1312,1734,876,2574,3450,1932,789,403,1373,1814,8023
217,2015-16,2016,PHO,2015AZSuns,NBA,82,23,59,AZ,Suns,0.28,19705,3051,7018,2313,4900,738,2118,1431,1905,943,2733,3676,1701,632,313,1410,1858,8271
41,2015-16,2016,LAC*,2015CAClippers,NBA,82,53,29,CA,Clippers,0.646,19830,3141,6759,2344,4569,797,2190,1490,2152,721,2727,3448,1873,709,460,1063,1746,8569
170,2015-16,2016,SAC,2015CAKings,NBA,82,33,49,CA,Kings,0.402,19805,3283,7083,2623,5244,660,1839,1514,2089,868,2760,3628,2009,733,368,1326,1676,8740
236,2015-16,2016,LAL,2015CALakers,NBA,82,17,65,CA,Lakers,0.207,19730,2880,6956,2241,4940,639,2016,1583,2028,878,2645,3523,1478,593,337,1124,1662,7982
1,2015-16,2016,GSW*,2015CAWarriors,NBA,82,73,9,CA,Warriors,0.89,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421
168,2015-16,2016,DEN,2015CONuggets,NBA,82,33,49,CO,Nuggets,0.402,19830,3093,7003,2437,5060,656,1943,1513,1974,941,2718,3659,1858,609,395,1202,1723,8355
71,2015-16,2016,MIA*,2015FLHeat,NBA,82,48,34,FL,Heat,0.585,19830,3150,6697,2652,5217,498,1480,1406,1889,807,2811,3618,1709,553,531,1155,1502,8204
156,2015-16,2016,ORL,2015FLMagic,NBA,82,35,47,FL,Magic,0.427,19905,3242,7120,2606,5302,636,1818,1249,1649,843,2709,3552,1933,673,417,1155,1701,8369
68,2015-16,2016,ATL*,2015GAHawks,NBA,82,48,34,GA,Hawks,0.585,19830,3168,6923,2353,4597,815,2326,1282,1638,679,2772,3451,2100,747,486,1226,1570,8433
108,2015-16,2016,CHI,2015ILBulls,NBA,82,42,40,IL,Bulls,0.512,19905,3165,7170,2514,5417,651,1753,1354,1720,907,2889,3796,1870,495,470,1141,1545,8335
91,2015-16,2016,IND*,2015INPacers,NBA,82,45,37,IN,Pacers,0.549,19880,3142,6985,2479,5096,663,1889,1430,1872,847,2779,3626,1741,742,391,1219,1641,8377
182,2015-16,2016,NOP,2015LAPelicans,NBA,82,30,52,LA,Pelicans,0.366,19780,3153,7040,2451,5089,702,1951,1415,1823,782,2712,3494,1818,633,342,1102,1713,8423
69,2015-16,2016,BOS*,2015MACeltics,NBA,82,48,34,MA,Celtics,0.585,19780,3216,7318,2499,5176,717,2142,1520,1929,950,2733,3683,1981,752,348,1127,1796,8669
96,2015-16,2016,DET*,2015MIPistons,NBA,82,44,38,MI,Pistons,0.537,19880,3111,7087,2371,4939,740,2148,1399,2095,1021,2777,3798,1594,573,304,1110,1557,8361
187,2015-16,2016,MIN,2015MNTimberwolves,NBA,82,29,53,MN,Timberwolves,0.354,19880,3095,6668,2640,5321,455,1347,1753,2213,821,2587,3408,1916,656,375,1231,1696,8398
70,2015-16,2016,CHO*,2015NCHornets,NBA,82,48,34,NC,Hornets,0.585,19855,3036,6922,2163,4512,873,2410,1534,1941,734,2869,3603,1778,595,438,1030,1487,8479
174,2015-16,2016,NYK,2015NYKnicks,NBA,82,32,50,NY,Knicks,0.39,19805,3022,6886,2412,5124,610,1762,1411,1753,850,2788,3638,1682,467,466,1099,1616,8065
224,2015-16,2016,BRK,2015NYNets,NBA,82,21,61,NY,Nets,0.256,19755,3136,6920,2605,5412,531,1508,1286,1699,863,2614,3477,1829,627,332,1212,1476,8089
22,2015-16,2016,CLE*,2015OHCavaliers,NBA,82,57,25,OH,Cavaliers,0.695,19855,3171,6888,2291,4460,880,2428,1333,1783,873,2777,3650,1861,551,317,1114,1666,8555
33,2015-16,2016,OKC*,2015OKThunder,NBA,82,55,27,OK,Thunder,0.671,19830,3372,7082,2694,5137,678,1945,1616,2067,1071,2916,3987,1883,603,487,1305,1691,9038
97,2015-16,2016,POR*,2015ORTrail Blazers,NBA,82,44,38,OR,Trail Blazers,0.537,19805,3167,7040,2303,4704,864,2336,1424,1889,948,2782,3730,1748,562,380,1200,1782,8622
239,2015-16,2016,PHI,2015PA76ers,NBA,82,10,72,PA,76ers,0.122,19805,2970,6887,2206,4632,764,2255,1284,1850,777,2605,3382,1765,680,495,1343,1780,7988
110,2015-16,2016,MEM*,2015TNGrizzlies,NBA,82,42,40,TN,Grizzlies,0.512,19830,3019,6859,2515,5338,504,1521,1584,2024,916,2497,3413,1697,724,350,1090,1783,8126
29,2015-16,2016,TOR*,2015TTRaptors,NBA,82,56,26,TT,Raptors,0.683,19780,3006,6669,2298,4754,708,1915,1702,2190,836,2724,3560,1536,636,449,1073,1610,8422
120,2015-16,2016,HOU*,2015TXAstros,NBA,82,41,41,TX,Astros,0.5,19830,3094,6847,2216,4314,878,2533,1671,2407,930,2601,3531,1821,821,430,1307,1790,8737
109,2015-16,2016,DAL*,2015TXMavericks,NBA,82,42,40,TX,Mavericks,0.512,20005,3064,6900,2258,4558,806,2342,1454,1831,751,2781,3532,1813,560,306,1047,1595,8388
3,2015-16,2016,SAS*,2015TXSpurs,NBA,82,67,15,TX,Spurs,0.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490
130,2015-16,2016,UTA,2015UTJazz,NBA,82,40,42,UT,Jazz,0.488,19955,2957,6593,2263,4637,694,1956,1402,1885,880,2665,3545,1555,631,425,1224,1655,8010
121,2015-16,2016,WAS,2015WAWizards,NBA,82,41,41,WA,Wizards,0.5,19755,3238,7033,2529,5050,709,1983,1349,1849,743,2688,3431,2005,708,323,1186,1708,8534
169,2015-16,2016,MIL,2015WIBucks,NBA,82,33,49,WI,Bucks,0.402,19830,3145,6740,2705,5463,440,1277,1392,1863,858,2559,3417,1895,672,475,1247,1695,8122
212,2016-17,2017,PHO,2016AZSuns,NBA,82,24,58,AZ,Suns,0.293,19830,3270,7260,2655,5406,615,1854,1676,2159,976,2712,3688,1604,673,399,1265,2030,8831
48,2016-17,2017,LAC*,2016CAClippers,NBA,82,51,31,CA,Clippers,0.622,19755,3242,6820,2401,4575,841,2245,1586,2128,738,2790,3528,1848,612,347,1062,1626,8911
175,2016-17,2017,SAC,2016CAKings,NBA,82,32,50,CA,Kings,0.39,19880,3105,6734,2368,4774,737,1960,1483,1913,715,2652,3367,1844,627,324,1201,1667,8430
200,2016-17,2017,LAL,2016CALakers,NBA,82,26,56,CA,Lakers,0.317,19705,3224,7164,2494,5054,730,2110,1397,1853,933,2636,3569,1716,674,320,1243,1698,8575
4,2016-17,2017,GSW*,2016CAWarriors,NBA,82,67,15,CA,Warriors,0.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503
131,2016-17,2017,DEN,2016CONuggets,NBA,82,40,42,CO,Nuggets,0.488,19755,3377,7194,2507,4829,870,2365,1537,1986,966,2837,3803,2077,568,323,1226,1567,9161
123,2016-17,2017,MIA,2016FLHeat,NBA,82,41,41,FL,Heat,0.5,19780,3202,7037,2394,4824,808,2213,1248,1768,872,2705,3577,1742,588,469,1102,1680,8460
188,2016-17,2017,ORL,2016FLMagic,NBA,82,29,53,FL,Magic,0.354,19805,3139,7133,2438,4994,701,2139,1309,1753,807,2734,3541,1820,580,396,1091,1584,8288
103,2016-17,2017,ATL*,2016GAHawks,NBA,82,43,39,GA,Hawks,0.524,19880,3123,6918,2394,4781,729,2137,1484,2039,842,2793,3635,1938,672,397,1294,1491,8459
122,2016-17,2017,CHI*,2016ILBulls,NBA,82,41,41,IL,Bulls,0.5,19780,3169,7141,2546,5310,623,1831,1474,1848,999,2797,3796,1851,643,393,1112,1455,8435
111,2016-17,2017,IND*,2016INPacers,NBA,82,42,40,IN,Pacers,0.512,19855,3221,6931,2512,5046,709,1885,1467,1811,742,2702,3444,1844,669,409,1130,1597,8618
163,2016-17,2017,NOP,2016LAPelicans,NBA,82,34,48,LA,Pelicans,0.415,19905,3210,7130,2442,4934,768,2196,1368,1825,703,2879,3582,1869,638,453,1054,1490,8556
42,2016-17,2017,BOS*,2016MACeltics,NBA,82,53,29,MA,Celtics,0.646,19755,3168,6978,2183,4236,985,2742,1536,1903,744,2698,3442,2069,617,340,1088,1686,8857
146,2016-17,2017,DET,2016MIPistons,NBA,82,37,45,MI,Pistons,0.451,19805,3269,7282,2638,5367,631,1915,1140,1586,908,2838,3746,1732,574,310,973,1467,8309
178,2016-17,2017,MIN,2016MNTimberwolves,NBA,82,31,51,MN,Timberwolves,0.378,19805,3235,6922,2634,5199,601,1723,1586,1986,938,2540,3478,1940,654,370,1150,1646,8657
152,2016-17,2017,CHO,2016NCHornets,NBA,82,36,46,NC,Hornets,0.439,19830,3093,7000,2269,4653,824,2347,1591,1953,721,2853,3574,1891,571,390,942,1360,8601
179,2016-17,2017,NYK,2016NYKnicks,NBA,82,31,51,NY,Knicks,0.378,19855,3244,7256,2540,5234,704,2022,1364,1731,983,2723,3706,1786,581,455,1139,1668,8556
228,2016-17,2017,BRK,2016NYNets,NBA,82,20,62,NY,Nets,0.244,19755,3102,6987,2225,4396,877,2591,1592,2020,721,2879,3600,1756,593,387,1356,1726,8673
47,2016-17,2017,CLE*,2016OHCavaliers,NBA,82,51,31,OH,Cavaliers,0.622,19880,3275,6963,2208,4184,1067,2779,1431,1913,766,2821,3587,1858,539,327,1121,1486,9048
78,2016-17,2017,OKC*,2016OKThunder,NBA,82,47,35,OK,Thunder,0.573,19805,3237,7169,2545,5053,692,2116,1575,2113,1002,2821,3823,1721,648,408,1230,1715,8741
124,2016-17,2017,POR*,2016ORTrail Blazers,NBA,82,41,41,OR,Trail Blazers,0.5,19930,3243,7059,2391,4787,852,2272,1513,1940,830,2750,3580,1733,574,408,1126,1736,8851
193,2016-17,2017,PHI,2016PA76ers,NBA,82,28,54,PA,76ers,0.341,19830,3088,6992,2257,4549,831,2443,1393,1806,807,2706,3513,1949,692,420,1366,1793,8400
104,2016-17,2017,MEM*,2016TNGrizzlies,NBA,82,43,39,TN,Grizzlies,0.524,19905,2984,6854,2217,4685,767,2169,1504,1918,886,2621,3507,1744,653,344,1059,1840,8239
49,2016-17,2017,TOR*,2016TTRaptors,NBA,82,51,31,TT,Raptors,0.622,19780,3211,6918,2486,4922,725,1996,1615,2028,871,2676,3547,1517,677,400,1041,1708,8762
34,2016-17,2017,HOU*,2016TXAstros,NBA,82,55,27,TX,Astros,0.671,19780,3305,7152,2124,3846,1181,3306,1667,2177,892,2746,3638,2070,670,352,1240,1634,9458
171,2016-17,2017,DAL,2016TXMavericks,NBA,82,33,49,TX,Mavericks,0.402,19780,2968,6750,2090,4277,878,2473,1215,1516,647,2516,3163,1705,614,307,972,1567,8029
10,2016-17,2017,SAS*,2016TXSpurs,NBA,82,61,21,TX,Spurs,0.744,19805,3222,6864,2469,4937,753,1927,1440,1806,821,2777,3598,1954,655,484,1101,1498,8637
50,2016-17,2017,UTA*,2016UTJazz,NBA,82,51,31,UT,Jazz,0.622,19755,3033,6515,2242,4387,791,2128,1401,1875,771,2774,3545,1651,550,410,1118,1545,8258
62,2016-17,2017,WAS*,2016WAWizards,NBA,82,49,33,WA,Wizards,0.598,19855,3388,7137,2632,5107,756,2030,1421,1812,843,2671,3514,1956,693,336,1162,1745,8953
112,2016-17,2017,MIL*,2016WIBucks,NBA,82,42,40,WI,Bucks,0.512,19780,3182,6715,2462,4769,720,1946,1413,1839,723,2589,3312,1984,666,436,1145,1660,8497
225,2017-18,2018,PHO,2017AZSuns,NBA,82,21,61,AZ,Suns,0.256,19705,3153,7141,2390,4855,763,2286,1453,1962,842,2776,3618,1743,569,370,1289,1807,8522
113,2017-18,2018,LAC,2017CAClippers,NBA,82,42,40,CA,Clippers,0.512,19705,3302,7004,2525,4808,777,2196,1556,2095,832,2766,3598,1832,628,373,1204,1638,8937
198,2017-18,2018,SAC,2017CAKings,NBA,82,27,55,CA,Kings,0.329,19755,3179,7063,2441,5096,738,1967,1008,1371,777,2578,3355,1768,643,340,1125,1639,8104
157,2017-18,2018,LAL,2017CALakers,NBA,82,35,47,CA,Lakers,0.427,19905,3338,7248,2516,4864,822,2384,1364,1910,876,2927,3803,1949,633,388,1295,1736,8862
17,2017-18,2018,GSW*,2017CAWarriors,NBA,82,58,24,CA,Warriors,0.707,19730,3509,6981,2583,4611,926,2370,1360,1668,691,2877,3568,2402,656,612,1267,1607,9304
85,2017-18,2018,DEN,2017CONuggets,NBA,82,46,36,CO,Nuggets,0.561,19880,3338,7102,2398,4566,940,2536,1404,1830,902,2748,3650,2059,627,404,1227,1533,9020
98,2017-18,2018,MIA*,2017FLHeat,NBA,82,44,38,FL,Heat,0.537,19930,3184,6997,2281,4491,903,2506,1209,1601,763,2801,3564,1862,620,437,1179,1648,8480
202,2017-18,2018,ORL,2017FLMagic,NBA,82,25,57,FL,Magic,0.305,19730,3182,7042,2338,4637,844,2405,1271,1678,722,2692,3414,1921,622,400,1192,1579,8479
207,2017-18,2018,ATL,2017GAHawks,NBA,82,24,58,GA,Hawks,0.293,19705,3130,7015,2213,4471,917,2544,1298,1654,743,2693,3436,1946,638,348,1276,1606,8475
197,2017-18,2018,CHI,2017ILBulls,NBA,82,27,55,IL,Bulls,0.329,19855,3170,7285,2264,4736,906,2549,1194,1574,790,2873,3663,1923,626,289,1147,1571,8440
72,2017-18,2018,IND*,2017INPacers,NBA,82,48,34,IN,Pacers,0.585,19755,3345,7083,2604,5073,741,2010,1225,1573,788,2684,3472,1819,721,340,1089,1544,8656
73,2017-18,2018,NOP*,2017LAPelicans,NBA,82,48,34,LA,Pelicans,0.585,19955,3500,7241,2663,4929,837,2312,1324,1716,712,2924,3636,2195,657,485,1223,1570,9161
35,2017-18,2018,BOS*,2017MACeltics,NBA,82,55,27,MA,Celtics,0.671,19805,3141,6975,2202,4483,939,2492,1308,1697,767,2878,3645,1842,604,373,1149,1618,8529
135,2017-18,2018,DET,2017MIPistons,NBA,82,39,43,MI,Pistons,0.476,19805,3208,7129,2322,4756,886,2373,1207,1621,830,2756,3586,1868,628,317,1103,1508,8509
79,2017-18,2018,MIN*,2017MNTimberwolves,NBA,82,47,35,MN,Timberwolves,0.573,19805,3365,7063,2707,5218,658,1845,1592,1980,848,2593,3441,1861,689,345,1021,1495,8980
153,2017-18,2018,CHO,2017NCHornets,NBA,82,36,46,NC,Hornets,0.439,19780,3197,7106,2373,4873,824,2233,1656,2216,827,2901,3728,1770,559,373,1041,1409,8874
189,2017-18,2018,NYK,2017NYKnicks,NBA,82,29,53,NY,Knicks,0.354,19830,3334,7193,2661,5279,673,1914,1225,1557,859,2752,3611,1912,552,421,1207,1682,8566
194,2017-18,2018,BRK,2017NYNets,NBA,82,28,54,NY,Nets,0.341,19855,3136,7114,2095,4190,1041,2924,1428,1850,792,2852,3644,1941,512,390,1245,1688,8741
57,2017-18,2018,CLE*,2017OHCavaliers,NBA,82,50,32,OH,Cavaliers,0.61,19730,3311,6950,2330,4314,981,2636,1488,1909,694,2761,3455,1916,582,312,1126,1524,9091
74,2017-18,2018,OKC*,2017OKThunder,NBA,82,48,34,OK,Thunder,0.585,19830,3271,7221,2390,4730,881,2491,1421,1985,1024,2671,3695,1750,743,412,1147,1653,8844
63,2017-18,2018,POR*,2017ORTrail Blazers,NBA,82,49,33,OR,Trail Blazers,0.598,19755,3222,7132,2377,4824,845,2308,1372,1715,835,2893,3728,1599,573,423,1109,1599,8661
44,2017-18,2018,PHI*,2017PA76ers,NBA,82,52,30,PA,76ers,0.634,19780,3349,7098,2448,4653,901,2445,1405,1868,893,2996,3889,2221,682,420,1353,1811,9004
218,2017-18,2018,MEM,2017TNGrizzlies,NBA,82,22,60,TN,Grizzlies,0.268,19705,3013,6788,2255,4636,758,2152,1361,1732,779,2544,3323,1767,613,396,1227,1900,8145
14,2017-18,2018,TOR*,2017TTRaptors,NBA,82,59,23,TT,Raptors,0.72,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156
6,2017-18,2018,HOU*,2017TXAstros,NBA,82,65,17,TX,Astros,0.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213
208,2017-18,2018,DAL,2017TXMavericks,NBA,82,24,58,TX,Mavericks,0.293,19805,3128,7042,2161,4354,967,2688,1167,1530,666,2717,3383,1858,578,310,1008,1578,8390
80,2017-18,2018,SAS*,2017TXSpurs,NBA,82,47,35,TX,Spurs,0.573,19730,3202,6999,2506,5022,696,1977,1324,1715,849,2777,3626,1868,628,460,1078,1408,8424
75,2017-18,2018,UTA*,2017UTJazz,NBA,82,48,34,UT,Jazz,0.585,19755,3139,6797,2252,4372,887,2425,1375,1766,740,2807,3547,1839,708,420,1205,1608,8540
105,2017-18,2018,WAS*,2017WAWizards,NBA,82,43,39,WA,Wizards,0.524,19855,3275,7018,2461,4845,814,2173,1378,1786,823,2713,3536,2065,645,353,1196,1746,8742
99,2017-18,2018,MIL*,2017WIBucks,NBA,82,44,38,WI,Bucks,0.537,19830,3257,6807,2539,4783,718,2024,1499,1915,688,2579,3267,1905,722,443,1134,1752,8731
