Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
213 (C) ,GB , Kennard Backman ,TE,22,Alabama-Birmingham,4,"$2,370,487","$90,487","$457,621",2015
214 (C) ,SEA , Kristjan Sokoli ,G,23,Buffalo,4,"$2,370,487","$90,487","$457,621",2015
215 (C) ,STL , Cody Wichmann ,G,23,Fresno State,4,"$2,370,487","$90,487","$457,621",2015
216 (C) ,HOU , Christian Covington ,DE,21,Rice,4,"$2,370,487","$90,487","$457,621",2015
217 (C) ,KC , Rakeem Nunez-Roches ,DE,21,Southern Mississippi,4,"$2,370,487","$90,487","$457,621",2015
218  ,OAK  from TB, Anthony Morris ,T,23,Tennessee State,4,"$2,359,497","$79,497","$337,874",2015
219  ,CLE  from TEN via NE, Hayes Pullard ,ILB,23,Southern California,4,"$2,359,240","$79,240","$454,810",2015
220  ,JAC , Neal Sterling ,TE,23,Monmouth,4,"$2,357,629","$77,629","$454,407",2015
221  ,OAK , Andre Debose ,WR,24,Florida,4,"$2,357,013","$77,013","$337,253",2015
222  ,WAS , Austin Reiter ,C,23,South Florida,4,"$2,354,925","$74,925","$453,731",2015
223  ,NYJ , Deon Simon ,DT,24,Northwestern State,4,"$2,353,296","$73,296","$453,324",2015
224  ,STL  from CHI via NYJ, Bryce Hager ,ILB,22,Baylor,4,"$2,352,141","$72,141","$453,035",2015
225  ,ATL , Jake Rodgers ,T,23,Eastern Washington,4,"$2,351,819","$71,819","$452,954",2015
226  ,NYG , Bobby Hart ,RT,20,Florida State,4,"$2,351,589","$71,589","$452,897",2015
227  ,STL , Martin Ifedi ,DE,23,Memphis,4,"$2,351,097","$71,097","$452,774",2015
228  ,MIN , Austin Shepherd ,RT,22,Alabama,4,"$2,349,694","$69,694","$452,423",2015
229  ,JAC  from CLE via HOU via NYJ, Ben Koyack ,TE,22,Notre Dame,4,"$2,349,298","$69,298","$452,324",2015
230  ,NO , Marcus Murphy ,RB,24,Missouri,4,"$2,349,289","$69,289","$431,674",2015
231  ,TB  from MIA via BAL via DET, Joey Iosefa ,FB,23,Hawaii,4,"$2,348,340","$68,340","$452,085",2015
232  ,MIN  from SF via MIA, Edmond Robinson ,OLB,23,Newberry,4,"$2,348,314","$68,314","$452,078",2015
233  ,KC , Da'Ron Brown ,WR,23,Northern Illinois,4,"$2,375,056","$68,056","$452,014",2015
234  ,BUF , Dezmin Lewis ,WR,22,Central Arkansas,4,"$2,346,529","$66,529","$451,632",2015
235  ,HOU , Kenny Hilliard ,RB,23,Louisiana State,4,"$2,345,379","$65,379","$451,344",2015
236  ,DAL  from SD, Mark Nzeocha ,OLB,25,Wyoming,4,"$2,344,349","$64,349","$409,793",2015
237  ,PHI , Brian Mihalik ,T,22,Boston College,4,"$2,341,657","$61,657","$450,414",2015
238  ,CIN , Mario Alford ,WR,23,West Virginia,4,"$2,339,104","$59,104","$449,776",2015
