Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
143  ,MIN  from CHI via DEN via DET, MyCole Pruitt ,TE,23,Southern Illinois,4,"$2,510,588","$230,588","$492,647",2015
144  ,NYG , Mykkele Thompson ,FS,22,Texas,4,"$2,508,863","$228,863","$375,215",2015
145  ,MIA  from STL via PHI, Bobby McCain ,CB,21,Memphis,4,"$2,508,288","$228,288","$492,072",2015
146  ,MIN  from ATL, Stefon Diggs ,WR,21,Maryland,4,"$2,507,713","$227,713","$491,928",2015
147  ,GB  from CLE via NE, Brett Hundley ,QB,21,California-Los Angeles,4,"$2,503,633","$223,633","$490,908",2015
148  ,NO , Davis Tull ,DE,23,Tennessee-Chattanooga,4,"$2,501,733","$221,733","$373,433",2015
149  ,MIA  from MIN, Jay Ajayi ,RB,21,Boise State,4,"$2,500,813","$220,813","$435,144",2015
150  ,MIA , Cedric Thompson ,FS,22,Minnesota,4,"$2,500,528","$220,528","$490,132",2015
151  ,IND  from SF, David Parry ,DT,23,Stanford,4,"$2,500,008","$220,008","$490,002",2015
152  ,NYJ  from HOU, Jarvis Harrison ,G,23,Texas A&M,4,"$2,499,847","$219,847","$489,962",2015
153  ,SD , Kyle Emanuel ,OLB,23,North Dakota State,4,"$2,498,572","$218,572","$489,643",2015
154  ,NO  from KC, Tyeler Davison ,DT,22,Fresno State,4,"$2,497,225","$217,225","$489,306",2015
