rank,team,name,salary,year
101,,"
Jermaine O'Neal
Center
","$6,226,000  ",2011
102,,"
Josh Childress
Small Forward
","$6,000,000  ",2011
103,,"
Francisco Garcia
Shooting Guard
","$5,800,000  ",2011
104,,"
Kyle Lowry
Point Guard
","$5,750,000  ",2011
105,,"
Blake Griffin
Power Forward
","$5,731,080  ",2011
106,,"
Luke Walton
Small Forward
","$5,680,000  ",2011
107,,"
O.J. Mayo
Shooting Guard
","$5,632,636  ",2011
108,,"
Derrick Rose
Point Guard
","$5,629,082  ",2011
109,,"
Channing Frye
Power Forward
","$5,600,000  ",2011
110,,"
John Wall
Point Guard
","$5,530,080  ",2011
111,,"
Wilson Chandler
Small Forward
","$5,516,664  ",2011
112,,"
Amir Johnson
Power Forward
","$5,500,000  ",2011
113,,"
Mike Miller
Shooting Guard
","$5,400,000  ",2011
114,,"
Jason Richardson
Shooting Guard
","$5,395,000  ",2011
115,,"
Martell Webster
Small Forward
","$5,265,000  ",2011
116,,"
Louis Williams
Shooting Guard
","$5,176,000  ",2011
117,,"
Kyrie Irving
Point Guard
","$5,144,280  ",2011
118,,"
Russell Westbrook
Point Guard
","$5,082,415  ",2011
119,,"
Michael Beasley
Small Forward
","$5,040,426  ",2011
120,,"
Jason Maxiell
Power Forward
","$5,000,000  ",2011
,,"
Jamal Crawford
Shooting Guard
","$5,000,000  ",2011
,,"
Luc Richard Mbah a Moute
Power Forward
","$5,000,000  ",2011
,,"
Kyle Korver
Shooting Guard
","$5,000,000  ",2011
124,,"
Evan Turner
Shooting Guard
","$4,947,840  ",2011
125,,"
Wesley Matthews
Shooting Guard
","$4,938,055  ",2011
126,,"
Darko Milicic
Power Forward
","$4,776,500  ",2011
127,,"
Brad Miller
Center
","$4,752,000  ",2011
128,,"
Zaza Pachulia
Center
","$4,750,000  ",2011
129,,"
Ronnie Brewer
Small Forward
","$4,710,000  ",2011
130,,"
Kevin Love
Center
","$4,609,704  ",2011
131,,"
Linas Kleiza
Small Forward
","$4,605,000  ",2011
132,,"
James Harden
Shooting Guard
","$4,604,760  ",2011
133,,"
Derrick Williams
Power Forward
","$4,602,720  ",2011
134,,"
Nikola Pekovic
Center
","$4,503,600  ",2011
135,,"
Jonas Jerebko
Power Forward
","$4,500,000  ",2011
136,,"
Derrick Favors
Power Forward
","$4,443,360  ",2011
137,,"
Daniel Gibson
Shooting Guard
","$4,403,834  ",2011
138,,"
Jose Barea
Point Guard
","$4,300,000  ",2011
139,,"
Ramon Sessions
Point Guard
","$4,257,973  ",2011
140,,"
Jared Dudley
Small Forward
","$4,250,000  ",2011
,,"
Randy Foye
Shooting Guard
","$4,250,000  ",2011
142,,"
Chris Andersen
Power Forward
","$4,234,000  ",2011
143,,"
Chuck Hayes
Power Forward
","$4,225,610  ",2011
144,,"
Danilo Gallinari
Small Forward
","$4,190,182  ",2011
145,,"
Tyreke Evans
Shooting Guard
","$4,151,640  ",2011
146,,"
Enes Kanter
Center
","$4,133,280  ",2011
147,,"
Jarrett Jack
Point Guard
","$4,125,000  ",2011
148,,"
Spencer Hawes
Power Forward
","$4,051,023  ",2011
149,,"
Richard Hamilton
Shooting Guard
","$4,024,390  ",2011
150,,"
Wesley Johnson
Small Forward
","$4,006,080  ",2011
151,,"
Hakim Warrick
Power Forward
","$4,000,000  ",2011
,,"
Ryan Gomes
Small Forward
","$4,000,000  ",2011
,,"
Steve Blake
Point Guard
","$4,000,000  ",2011
,,"
Mario Chalmers
Point Guard
","$4,000,000  ",2011
,,"
Travis Outlaw
Small Forward
","$4,000,000  ",2011
,,"
Jordan Farmar
Point Guard
","$4,000,000  ",2011
,,"
Anthony Morrow
Shooting Guard
","$4,000,000  ",2011
158,,"
Matt Carroll
Shooting Guard
","$3,900,000  ",2011
159,,"
Eric Gordon
Shooting Guard
","$3,831,183  ",2011
160,,"
Dorell Wright
Small Forward
","$3,823,000  ",2011
161,,"
Udonis Haslem
Power Forward
","$3,780,000  ",2011
162,,"
Nazr Mohammed
Center
","$3,750,000  ",2011
,,"
Mike Dunleavy
Small Forward
","$3,750,000  ",2011
164,,"
Tristan Thompson
Center
","$3,726,600  ",2011
165,,"
C.J. Miles
Small Forward
","$3,700,000  ",2011
166,,"
Nick Young
Shooting Guard
","$3,695,857  ",2011
167,,"
Luke Ridnour
Point Guard
","$3,680,000  ",2011
168,,"
Tiago Splitter
Power Forward
","$3,672,000  ",2011
169,,"
DeMarcus Cousins
Center
","$3,627,720  ",2011
170,,"
Joel Anthony
Center
","$3,600,000  ",2011
171,,"
Chris Duhon
Point Guard
","$3,500,000  ",2011
,,"
Shannon Brown
Point Guard
","$3,500,000  ",2011
,,"
Carlos Delfino
Shooting Guard
","$3,500,000  ",2011
,,"
Shaun Livingston
Point Guard
","$3,500,000  ",2011
175,,"
Ricky Rubio
Point Guard
","$3,480,120  ",2011
176,,"
Brandon Bass
Power Forward
","$3,420,732  ",2011
177,,"
C.J. Watson
Point Guard
","$3,400,000  ",2011
178,,"
Marco Belinelli
Shooting Guard
","$3,377,604  ",2011
179,,"
Timofey Mozgov
Center
","$3,343,896  ",2011
180,,"
Daequan Cook
Shooting Guard
","$3,341,558  ",2011
181,,"
Matt Bonner
Center
","$3,315,000  ",2011
182,,"
Thabo Sefolosha
Small Forward
","$3,300,000  ",2011
183,,"
Ekpe Udoh
Power Forward
","$3,294,960  ",2011
184,,"
Nick Collison
Power Forward
","$3,272,997  ",2011
185,,"
Will Bynum
Point Guard
","$3,250,000  ",2011
,,"
Johan Petro
Center
","$3,250,000  ",2011
187,,"
Raja Bell
Shooting Guard
","$3,240,000  ",2011
188,,"
D.J. Augustin
Point Guard
","$3,236,470  ",2011
