rank,team,name,salary,year
1,,"
Kobe Bryant
Small Forward
","$27,849,149  ",2012
2,,"
Dirk Nowitzki
Power Forward
","$20,907,128  ",2012
3,,"
Amar'e Stoudemire
Power Forward
","$19,948,799  ",2012
4,,"
Joe Johnson
Shooting Guard
","$19,752,645  ",2012
5,,"
Dwight Howard
Center
","$19,536,360  ",2012
6,,"
Carmelo Anthony
Small Forward
","$19,444,504  ",2012
7,,"
Pau Gasol
Power Forward
","$19,000,000  ",2012
8,,"
Chris Paul
Point Guard
","$17,779,458  ",2012
9,,"
Chris Bosh
Power Forward
","$17,545,000  ",2012
,,"
LeBron James
Small Forward
","$17,545,000  ",2012
11,,"
Dwyane Wade
Shooting Guard
","$17,182,000  ",2012
12,,"
Deron Williams
Point Guard
","$17,177,795  ",2012
13,,"
Paul Pierce
Small Forward
","$16,790,345  ",2012
14,,"
Kevin Durant
Small Forward
","$16,669,629  ",2012
15,,"
Zach Randolph
Power Forward
","$16,500,000  ",2012
16,,"
Rudy Gay
Small Forward
","$16,460,538  ",2012
17,,"
Derrick Rose
Point Guard
","$16,402,500  ",2012
18,,"
Andrew Bynum
Center
","$16,100,000  ",2012
19,,"
Al Jefferson
Center
","$15,000,000  ",2012
,,"
Carlos Boozer
Power Forward
","$15,000,000  ",2012
21,,"
Andre Iguodala
Small Forward
","$14,968,250  ",2012
22,,"
Manu Ginobili
Shooting Guard
","$14,107,492  ",2012
23,,"
Marc Gasol
Center
","$13,891,359  ",2012
24,,"
Roy Hibbert
Center
","$13,668,750  ",2012
,,"
Brook Lopez
Center
","$13,668,750  ",2012
,,"
Kevin Love
Center
","$13,668,750  ",2012
,,"
Eric Gordon
Shooting Guard
","$13,668,750  ",2012
,,"
Russell Westbrook
Point Guard
","$13,668,750  ",2012
29,,"
Tyson Chandler
Center
","$13,604,188  ",2012
30,,"
LaMarcus Aldridge
Power Forward
","$13,500,000  ",2012
31,,"
Emeka Okafor
Center
","$13,490,000  ",2012
32,,"
Luol Deng
Small Forward
","$13,305,000  ",2012
33,,"
Josh Smith
Small Forward
","$13,200,000  ",2012
34,,"
Danny Granger
Small Forward
","$13,058,606  ",2012
35,,"
Nene Hilario
Center
","$13,000,000  ",2012
,,"
Andrew Bogut
Center
","$13,000,000  ",2012
37,,"
David Lee
Power Forward
","$12,744,000  ",2012
38,,"
Tony Parker
Point Guard
","$12,500,000  ",2012
39,,"
Kevin Martin
Shooting Guard
","$12,439,675  ",2012
40,,"
Ben Gordon
Shooting Guard
","$12,400,000  ",2012
41,,"
Kris Humphries
Power Forward
","$12,000,000  ",2012
,,"
Al Horford
Center
","$12,000,000  ",2012
43,,"
Hedo Turkoglu
Small Forward
","$11,815,850  ",2012
