rank,team,name,salary,year
1,,"
Stephen Curry
Point Guard
","$34,682,550  ",2017
2,,"
LeBron James
Small Forward
","$33,285,709  ",2017
3,,"
Paul Millsap
Power Forward
","$30,769,231  ",2017
4,,"
Blake Griffin
Power Forward
","$29,727,900  ",2017
,,"
Gordon Hayward
Small Forward
","$29,727,900  ",2017
6,,"
Kyle Lowry
Point Guard
","$28,703,704  ",2017
7,,"
Mike Conley
Point Guard
","$28,530,608  ",2017
,,"
Russell Westbrook
Point Guard
","$28,530,608  ",2017
9,,"
James Harden
Shooting Guard
","$28,299,399  ",2017
10,,"
DeMar DeRozan
Shooting Guard
","$27,739,975  ",2017
11,,"
Al Horford
Center
","$27,734,405  ",2017
12,,"
Carmelo Anthony
Small Forward
","$26,243,760  ",2017
13,,"
Damian Lillard
Point Guard
","$26,153,057  ",2017
14,,"
Jrue Holiday
Point Guard
","$25,686,667  ",2017
15,,"
Kevin Durant
Small Forward
","$25,000,000  ",2017
16,,"
Otto Porter Jr.
Small Forward
","$24,773,250  ",2017
17,,"
Chris Paul
Point Guard
","$24,599,459  ",2017
18,,"
C.J. McCollum
Shooting Guard
","$23,962,572  ",2017
19,,"
Hassan Whiteside
Center
","$23,775,506  ",2017
,,"
Anthony Davis
Power Forward
","$23,775,506  ",2017
,,"
Andre Drummond
Center
","$23,775,506  ",2017
,,"
Bradley Beal
Shooting Guard
","$23,775,506  ",2017
23,,"
Dwight Howard
Center
","$23,500,000  ",2017
24,,"
Chandler Parsons
Small Forward
","$23,112,004  ",2017
,,"
Harrison Barnes
Small Forward
","$23,112,004  ",2017
26,,"
J.J. Redick
Shooting Guard
","$23,000,000  ",2017
27,,"
Brook Lopez
Center
","$22,642,350  ",2017
,,"
Marc Gasol
Center
","$22,642,350  ",2017
,,"
Kevin Love
Center
","$22,642,350  ",2017
,,"
DeAndre Jordan
Center
","$22,642,350  ",2017
31,,"
Giannis Antetokounmpo
Small Forward
","$22,471,910  ",2017
,,"
Steven Adams
Center
","$22,471,910  ",2017
33,,"
Nicolas Batum
Shooting Guard
","$22,434,783  ",2017
34,,"
Rudy Gobert
Center
","$21,974,719  ",2017
35,,"
LaMarcus Aldridge
Power Forward
","$21,461,010  ",2017
36,,"
Victor Oladipo
Shooting Guard
","$21,000,000  ",2017
37,,"
Enes Kanter
Center
","$20,566,801  ",2017
38,,"
Danilo Gallinari
Small Forward
","$20,559,599  ",2017
39,,"
Serge Ibaka
Power Forward
","$20,061,728  ",2017
40,,"
George Hill
Point Guard
","$20,000,000  ",2017
41,,"
Ryan Anderson
Power Forward
","$19,578,454  ",2017
42,,"
Paul George
Small Forward
","$19,508,958  ",2017
43,,"
Allen Crabbe
Shooting Guard
","$19,332,500  ",2017
44,,"
Jimmy Butler
Shooting Guard
","$19,301,070  ",2017
45,,"
Jeff Teague
Point Guard
","$19,000,000  ",2017
46,,"
Kawhi Leonard
Small Forward
","$18,868,625  ",2017
,,"
Kyrie Irving
Point Guard
","$18,868,625  ",2017
48,,"
DeMarcus Cousins
Center
","$18,063,850  ",2017
,,"
John Wall
Point Guard
","$18,063,850  ",2017
50,,"
Wesley Matthews
Shooting Guard
","$17,884,175  ",2017
51,,"
Klay Thompson
Shooting Guard
","$17,826,150  ",2017
52,,"
Joakim Noah
Center
","$17,765,000  ",2017
53,,"
Kentavious Caldwell-Pope
Shooting Guard
","$17,745,894  ",2017
54,,"
Luol Deng
Small Forward
","$17,190,000  ",2017
55,,"
Evan Turner
Small Forward
","$17,131,148  ",2017
56,,"
Goran Dragic
Point Guard
","$17,000,450  ",2017
57,,"
Bismack Biyombo
Center
","$17,000,000  ",2017
,,"
Evan Fournier
Shooting Guard
","$17,000,000  ",2017
59,,"
Kent Bazemore
Small Forward
","$16,910,113  ",2017
60,,"
Robert Covington
Small Forward
","$16,698,103  ",2017
61,,"
Ian Mahinmi
Center
","$16,661,641  ",2017
62,,"
Tim Hardaway Jr.
Shooting Guard
","$16,500,000  ",2017
63,,"
Tristan Thompson
Center
","$16,400,000  ",2017
,,"
Draymond Green
Power Forward
","$16,400,000  ",2017
65,,"
Pau Gasol
Center
","$16,000,000  ",2017
,,"
Reggie Jackson
Point Guard
","$16,000,000  ",2017
,,"
Tobias Harris
Small Forward
","$16,000,000  ",2017
68,,"
Dennis Schröder
Point Guard
","$15,500,000  ",2017
69,,"
Jonas Valanciunas
Center
","$15,460,674  ",2017
70,,"
Tony Parker
Point Guard
","$15,453,126  ",2017
71,,"
Timofey Mozgov
Center
","$15,280,000  ",2017
