Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1501,David Sharpe\SharDa02,2017,22,4-129,OAK,NFL,5,2,1,0,0,1
1502,Josh Shaw\ShawJo00,2017,25,4-120,CIN,NFL,16,1,1,0,0,1
1503,Marcus Sherels\SherMa20,2017,30,,MIN,NFL,16,0,1,0,0,1
1504,Anthony Sherman\SherAn00,2017,29,5-136,KAN,NFL,16,3,1,0,0,1
1505,Sealver Siliga\SiliSe00,2017,27,,TAM,NFL,8,0,1,0,0,1
1506,Dion Sims\SimsDi00,2017,26,4-106,CHI,NFL,14,14,1,0,0,1
1507,Chad Slade\SladCh01,2017,25,,HOU,NFL,5,3,1,0,0,1
1508,Derron Smith\SmitDe05,2017,25,6-197,2TM,NFL,10,0,1,0,0,1
1509,Garrison Smith\SmitGa01,2017,26,,SEA,NFL,8,0,1,0,0,1
1510,Geno Smith\SmitGe00,2017,27,2-39,NYG,NFL,2,1,1,0,0,1
1511,Jonnu Smith\SmitJo01,2017,22,3-100,TEN,NFL,16,13,1,0,0,1
1512,Lee Smith\SmitLe00,2017,30,5-159,OAK,NFL,16,9,1,0,0,1
1513,Marcus Smith\SmitMa03,2017,25,1-26,SEA,NFL,14,0,1,0,0,1
1514,Tye Smith\SmitTy01,2017,24,5-170,TEN,NFL,15,1,1,0,0,1
1515,Willie Snead\SneaWi00,2017,25,,NOR,NFL,11,7,1,0,0,1
1516,Noah Spence\SpenNo00,2017,23,2-39,TAM,NFL,6,3,1,0,0,1
1517,Darren Sproles\SproDa00,2017,34,4-130,PHI,NFL,3,0,1,0,0,1
1518,Neal Sterling\SterNe00,2017,25,7-220,NYJ,NFL,11,1,1,0,0,1
1519,Zach Sterup\SterZa00,2017,25,,MIA,NFL,6,1,1,0,0,1
1520,ArDarius Stewart\StewAr00,2017,24,3-79,NYJ,NFL,15,2,1,0,0,1
1521,Grover Stewart\StewGr00,2017,24,4-144,IND,NFL,15,0,1,0,0,1
1522,Zach Strief\StriZa20,2017,34,7-210,NOR,NFL,2,2,1,0,0,1
1523,Nate Sudfeld\SudfNa00,2017,24,6-187,PHI,NFL,1,0,1,0,0,1
1524,Nick Sundberg\SundNi00,2017,30,,WAS,NFL,16,0,1,0,0,1
1525,Cameron Sutton\SuttCa00,2017,22,3-94,PIT,NFL,5,1,1,0,0,1
1526,Ryan Switzer\SwitRy00,2017,23,4-133,DAL,NFL,16,0,1,0,0,1
1527,Teez Tabor\TaboTe00,2017,22,2-53,DET,NFL,10,1,1,0,0,1
1528,Keith Tandy\TandKe00,2017,28,6-174,TAM,NFL,14,3,1,0,0,1
1529,Darryl Tapp\TappDa20,2017,33,2-63,TAM,NFL,3,1,1,0,0,1
1530,Brandon Tate\TateBr00,2017,30,3-83,BUF,NFL,13,1,1,0,0,1
1531,Jordan Taylor\TaylJo01,2017,25,,DEN,NFL,10,2,1,0,0,1
1532,Vincent Taylor\TaylVi00,2017,23,6-194,MIA,NFL,13,0,1,0,0,1
1533,Steven Terrell\TerrSt00,2017,27,,KAN,NFL,10,0,1,0,0,1
1534,De'Anthony Thomas\ThomDe05,2017,24,4-124,KAN,NFL,16,2,1,0,0,1
1535,Joe Thomas\ThomJo04,2017,26,,GNB,NFL,12,1,1,0,0,1
1536,Logan Thomas\ThomLo00,2017,26,4-120,BUF,NFL,12,2,1,0,0,1
1537,Michael Thomas\ThomMi02,2017,27,,MIA,NFL,13,2,1,0,0,1
1538,Mike Thomas\ThomMi04,2017,23,6-206,LAR,NFL,8,1,1,0,0,1
1539,Robert Thomas\ThomRo04,2017,26,,NYG,NFL,15,0,1,0,0,1
1540,Shamarko Thomas\ThomSh00,2017,26,4-111,BUF,NFL,12,0,1,0,0,1
1541,Carlos Thompson\ThomCa02,2017,25,,LAR,NFL,3,1,1,0,0,1
1542,Chris Thompson\ThomCh05,2017,23,,HOU,NFL,13,0,1,0,0,1
1543,Peyton Thompson\ThomPe00,2017,27,,JAX,NFL,16,0,1,0,0,1
1544,Tedric Thompson\ThomTe00,2017,22,4-111,SEA,NFL,9,0,1,0,0,1
1545,Neiko Thorpe\ThorNe00,2017,27,,SEA,NFL,14,0,1,0,0,1
1546,Matt Tobin\TobiMa00,2017,27,,SEA,NFL,15,0,1,0,0,1
1547,Levine Toilolo\ToilLe00,2017,26,4-133,ATL,NFL,15,12,1,0,0,1
1548,Eric Tomlinson\TomlEr01,2017,25,,NYJ,NFL,14,12,1,0,0,1
1549,Austin Traylor\TrayAu00,2017,24,,DEN,NFL,7,3,1,0,0,1
1550,Bryce Treggs\TregBr00,2017,23,,CLE,NFL,6,1,1,0,0,1
1551,Robert Turbin\TurbRo00,2017,28,4-106,IND,NFL,6,1,1,0,0,1
1552,Courtney Upshaw\UpshCo00,2017,28,2-35,ATL,NFL,13,0,1,0,0,1
1553,C.J. Uzomah\UzomC.00,2017,24,5-157,CIN,NFL,14,4,1,0,0,1
1554,Destiny Vaeao\VaeaDe01,2017,23,,PHI,NFL,11,0,1,0,0,1
1555,Tanner Vallejo\VallTa00,2017,23,6-195,BUF,NFL,15,0,1,0,0,1
1556,Jeremiah Valoaga\ValoJe00,2017,23,,DET,NFL,9,0,1,0,0,1
1557,Greg Van Roten\VanRGr00,2017,27,,CAR,NFL,10,0,1,0,0,1
1558,Nick Vannett\VannNi00,2017,24,3-94,SEA,NFL,15,4,1,0,0,1
1559,Alterraun Verner\VernAl99,2017,29,4-104,MIA,NFL,15,2,1,0,0,1
1560,Clive Walford\WalfCl00,2017,26,3-68,OAK,NFL,13,0,1,0,0,1
1561,Anthony Walker\WalkAn01,2017,22,,IND,NFL,10,2,1,0,0,1
1562,DeMarcus Walker\WalkDe03,2017,23,2-51,DEN,NFL,10,0,1,0,0,1
1563,Blair Walsh\WalsBl00,2017,27,6-175,SEA,NFL,16,0,1,0,0,1
1564,Leterrius Walton\WaltLe00,2017,25,6-199,PIT,NFL,16,0,1,0,0,1
1565,Jihad Ward\WardJi02,2017,23,2-44,OAK,NFL,5,1,1,0,0,1
1566,Terron Ward\WardTe00,2017,25,,ATL,NFL,14,0,1,0,0,1
1567,Charles Washington\WashCh01,2017,24,,DET,NFL,16,0,1,0,0,1
1568,Jaylen Watkins\WatkJa01,2017,26,4-101,PHI,NFL,12,1,1,0,0,1
1569,Dekoda Watson\WatsDe99,2017,29,7-217,SFO,NFL,14,0,1,0,0,1
1570,Stephen Weatherly\WeatSt00,2017,23,7-227,MIN,NFL,15,0,1,0,0,1
1571,Jon Weeks\WeekJo00,2017,31,,HOU,NFL,16,0,1,0,0,1
1572,Terrance West\WestTe00,2017,26,3-94,BAL,NFL,5,4,1,0,0,1
1573,Leonard Wester\WestLe00,2017,24,,TAM,NFL,8,0,1,0,0,1
1574,Christian Westerman\WestCh02,2017,24,5-161,CIN,NFL,2,2,1,0,0,1
1575,Jermaine Whitehead\WhitJe02,2017,24,,GNB,NFL,10,0,1,0,0,1
1576,Fozzy Whittaker\WhitFo00,2017,28,,CAR,NFL,12,0,1,0,0,1
1577,Kyle Wilber\WilbKy00,2017,28,4-113,DAL,NFL,16,0,1,0,0,1
1578,J.J. Wilcox\WilcJ.00,2017,26,3-80,PIT,NFL,12,1,1,0,0,1
