Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1801,Denver Kirkland\KirkDe00,2018,24,,OAK,NFL,2,0,1,0,0,0
1802,Cyrus Kouandjio\KouaCy00,2018,25,2-44,DEN,NFL,2,0,1,0,0,0
1803,Ben Koyack\KoyaBe00,2018,25,7-229,JAX,NFL,7,2,1,0,0,0
1804,Tyler Kroft\KrofTy00,2018,26,3-85,CIN,NFL,5,2,1,0,0,0
1805,Chris Lacy\LacyCh00,2018,22,,DET,NFL,1,0,1,0,0,0
1806,Kenny Ladler\LadlKe00,2018,26,,2TM,NFL,8,0,1,0,0,0
1807,Forrest Lamp\LampFo00,2018,24,2-38,LAC,NFL,2,0,1,0,0,0
1808,Jeremy Langford\LangJe00,2018,27,4-106,ATL,NFL,1,0,1,0,0,0
1809,Brendan Langley\LangBr00,2018,24,3-101,DEN,NFL,5,0,1,0,0,0
1810,Kyle Lauletta\LaulKy00,2018,23,4-108,NYG,NFL,2,0,1,0,0,0
1811,Devaroe Lawrence\LawrDe02,2018,26,,CLE,NFL,1,0,1,0,0,0
1812,Allen Lazard\LazaAl00,2018,23,,GNB,NFL,1,0,1,0,0,0
1813,Dallin Leavitt\LeavDa00,2018,24,,OAK,NFL,2,0,1,0,0,0
1814,Jeremiah Ledbetter\LedbJe00,2018,24,6-205,TAM,NFL,1,0,1,0,0,0
1815,Khari Lee\LeexKh00,2018,26,,BUF,NFL,2,0,1,0,0,0
1816,Matt Lengel\LengMa00,2018,28,,CIN,NFL,11,2,1,0,0,0
1817,Lance Lenoir\LenoLa00,2018,23,,DAL,NFL,7,0,1,0,0,0
1818,Marcedes Lewis\LewiMa00,2018,34,1-28,GNB,NFL,16,4,1,0,0,0
1819,Mike Liedtke\LiedMi00,2018,26,,TAM,NFL,9,0,1,0,0,0
1820,Alex Light\LighAl00,2018,22,,GNB,NFL,3,0,1,0,0,0
1821,Tony Lippett\LippTo00,2018,26,5-156,NYG,NFL,3,0,1,0,0,0
1822,Mitchell Loewen\LoewMi00,2018,25,,NOR,NFL,1,0,1,0,0,0
1823,T.J. Logan\LogaT.00,2018,24,5-179,ARI,NFL,10,0,1,0,0,0
1824,James Looney\LoonJa00,2018,23,7-232,GNB,NFL,3,0,1,0,0,0
1825,Mike Love\LoveMi00,2018,24,,BUF,NFL,3,0,1,0,0,0
1826,Tre Madden\MaddTr01,2018,25,,SEA,NFL,14,3,1,0,0,0
1827,Craig Mager\MageCr00,2018,26,3-83,LAC,NFL,1,0,1,0,0,0
1828,Brendan Mahon\MahoBr00,2018,23,,CAR,NFL,2,0,1,0,0,0
1829,Josh Malone\MaloJo00,2018,22,4-128,CIN,NFL,9,0,1,0,0,0
1830,Cameron Malveaux\MalvCa00,2018,24,,2TM,NFL,9,0,1,0,0,0
1831,Chris Manhertz\ManhCh00,2018,26,,CAR,NFL,16,4,1,0,0,0
1832,Sean Mannion\MannSe00,2018,26,3-89,LAR,NFL,3,0,1,0,0,0
1833,Dean Marlowe\MarlDe00,2018,26,,BUF,NFL,2,1,1,0,0,0
1834,Bradley Marquez\MarqBr00,2018,26,,DET,NFL,1,0,1,0,0,0
1835,Byron Marshall\MarsBy01,2018,24,,WAS,NFL,6,0,1,0,0,0
1836,Trey Marshall\MarsTr00,2018,22,,DEN,NFL,2,0,1,0,0,0
1837,Josh Martin\MartJo02,2018,27,,NYJ,NFL,1,0,1,0,0,0
1838,Freddie Martino\MartFr00,2018,27,,TAM,NFL,4,0,1,0,0,0
1839,Rishard Matthews\MattRi00,2018,29,7-227,2TM,NFL,8,0,1,0,0,0
1840,Max McCaffrey\McCaMa01,2018,24,,SFO,NFL,1,0,1,0,0,0
1841,A.J. McCarron\McCaA.00,2018,28,5-164,OAK,NFL,2,0,1,0,0,0
1842,Riley McCarron\McCaRi00,2018,25,,NWE,NFL,1,0,1,0,0,0
1843,Ray-Ray McCloud\McClRa00,2018,22,6-187,BUF,NFL,10,1,1,0,0,0
1844,Conor McDermott\McDeCo00,2018,26,6-211,BUF,NFL,5,0,1,0,0,0
1845,Dexter McDougle\McDoDe00,2018,27,3-80,PHI,NFL,2,1,1,0,0,0
1846,Tanner McEvoy\McEvTa01,2018,25,,MIA,NFL,2,0,1,0,0,0
1847,T.Y. McGill\McGiT.00,2018,26,,2TM,NFL,6,0,1,0,0,0
1848,Jeremiah McKinnon\McKiJe01,2018,25,,CLE,NFL,1,0,1,0,0,0
1849,Cassanova McKinzy\McKiCa01,2018,26,,WAS,NFL,3,0,1,0,0,0
1850,J.D. McKissic\McKiJ.00,2018,25,,SEA,NFL,5,0,1,0,0,0
1851,Jeremy McNichols\McNiJe00,2018,23,5-162,2TM,NFL,2,0,1,0,0,0
1852,Obi Melifonwu\MeliOb00,2018,24,2-56,NWE,NFL,2,0,1,0,0,0
1853,Christine Michael\MichCh00,2018,28,2-62,IND,NFL,1,0,1,0,0,0
1854,Jaydon Mickens\MickJa01,2018,24,,JAX,NFL,6,0,1,0,0,0
1855,Brian Mihalik\MihaBr00,2018,26,7-237,NYG,NFL,5,0,1,0,0,0
1856,Harlan Miller\MillHa00,2018,24,6-205,WAS,NFL,2,0,1,0,0,0
1857,Kevin Minter\MintKe00,2018,28,2-45,TAM,NFL,5,0,1,0,0,0
1858,Steven Mitchell\MitcSt02,2018,24,,HOU,NFL,1,0,1,0,0,0
1859,Damontre Moore\MoorDa01,2018,26,3-81,OAK,NFL,2,0,1,0,0,0
1860,J'Mon Moore\MoorJM00,2018,23,4-133,GNB,NFL,12,0,1,0,0,0
1861,Kamrin Moore\MoorKa01,2018,22,6-189,NYG,NFL,2,0,1,0,0,0
1862,David Morgan\MorgDa01,2018,25,6-188,MIN,NFL,11,6,1,0,0,0
1863,Emmanuel Moseley\MoseEm00,2018,22,,SFO,NFL,1,0,1,0,0,0
1864,Johnny Mundt\MundJo00,2018,24,,LAR,NFL,10,0,1,0,0,0
1865,Jimmy Murray\MurrJi00,2018,23,,KAN,NFL,2,0,1,0,0,0
1866,Justin Murray\MurrJu00,2018,25,,OAK,NFL,2,0,1,0,0,0
1867,Jojo Natson\NatsJo00,2018,24,,LAR,NFL,13,0,1,0,0,0
1868,Keanu Neal\NealKe01,2018,23,1-17,ATL,NFL,1,1,1,0,0,0
1869,Ryan Neal\NealRy00,2018,23,,ATL,NFL,1,0,1,0,0,0
1870,Corey Nelson\NelsCo00,2018,26,7-242,ATL,NFL,1,0,1,0,0,0
1871,JJ Nelson\NelsJJ00,2018,26,5-159,ARI,NFL,14,2,1,0,0,0
1872,Derek Newton\NewtDe00,2018,31,7-214,NOR,NFL,1,0,1,0,0,0
1873,Deatrick Nichols\NichDe00,2018,24,,ARI,NFL,2,0,1,0,0,0
1874,Roosevelt Nix\NixxRo01,2018,26,,PIT,NFL,16,0,1,0,0,0
1875,Elijah Nkansah\NkanEl00,2018,24,,SEA,NFL,1,0,1,0,0,0
1876,Jared Norris\NorrJa00,2018,25,,CAR,NFL,3,0,1,0,0,0
1877,Storm Norton\NortSt00,2018,24,,MIN,NFL,1,0,1,0,0,0
1878,Rakeem Nunez-Roches\NuneRa00,2018,25,6-217,TAM,NFL,3,0,1,0,0,0
1879,Ifeadi Odenigbo\OdenIf00,2018,24,7-220,ARI,NFL,1,0,1,0,0,0
1880,Rees Odhiambo\OdhiRe00,2018,26,3-97,ARI,NFL,1,0,1,0,0,0
1881,Cedric Ogbuehi\OgbuCe00,2018,26,1-21,CIN,NFL,2,0,1,0,0,0
1882,Dare Ogunbowale\OgunDa00,2018,24,,TAM,NFL,2,0,1,0,0,0
1883,Jamize Olawale\OlawJa00,2018,29,,DAL,NFL,16,4,1,0,0,0
1884,James Onwualu\OnwuJa00,2018,24,,SFO,NFL,5,0,1,0,0,0
1885,Nate Orchard\OrchNa00,2018,25,2-51,2TM,NFL,4,0,1,0,0,0
1886,Ricky Ortiz\OrtiRi00,2018,24,,ATL,NFL,12,9,1,0,0,0
1887,Jeff Overbaugh\OverJe00,2018,25,,ATL,NFL,1,0,1,0,0,0
1888,Adam Pankey\PankAd00,2018,24,,GNB,NFL,1,0,1,0,0,0
1889,Brian Parker\ParkBr00,2018,26,,DEN,NFL,13,1,1,0,0,0
1890,Timon Parris\ParrTi00,2018,23,,WAS,NFL,1,0,1,0,0,0
1891,David Parry\ParrDa00,2018,26,5-151,MIN,NFL,3,0,1,0,0,0
1892,Austin Pasztor\PaszAu00,2018,28,,TEN,NFL,2,0,1,0,0,0
1893,Charone Peake\PeakCh00,2018,26,7-241,NYJ,NFL,13,0,1,0,0,0
1894,Samaje Perine\PeriSa00,2018,23,4-114,WAS,NFL,5,0,1,0,0,0
1895,Senorise Perry\PerrSe00,2018,27,,MIA,NFL,16,0,1,0,0,0
1896,Cam Phillips\PhilCa01,2018,23,,BUF,NFL,2,0,1,0,0,0
1897,Carroll Phillips\PhilCa00,2018,26,,IND,NFL,6,0,1,0,0,0
1898,John Phillips\PhilJo00,2018,31,6-208,ARI,NFL,8,4,1,0,0,0
1899,Lenzy Pipkins\PipkLe00,2018,25,,2TM,NFL,3,1,1,0,0,0
