Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
101,Derwin James\JameDe00,2018,22,1-17,LAC,NFL,16,16,1,1,1,10
102,Lane Johnson\JohnLa01,2018,28,1-4,PHI,NFL,15,15,1,1,0,10
103,Chris Jones\JoneCh09,2018,24,2-37,KAN,NFL,16,11,1,0,0,10
104,Ryan Kerrigan\KerrRy00,2018,30,1-16,WAS,NFL,16,16,1,1,0,10
105,George Kittle\KittGe00,2018,25,5-146,SFO,NFL,16,16,1,1,0,10
106,Taylor Lewan\LewaTa00,2018,27,1-11,TEN,NFL,15,15,1,1,0,10
107,Tyler Lockett\LockTy00,2018,26,3-69,SEA,NFL,16,14,1,0,0,10
108,Baker Mayfield\MayfBa00,2018,23,1-1,CLE,NFL,14,13,1,0,0,10
109,Taylor Moton\MotoTa00,2018,24,2-64,CAR,NFL,16,16,1,0,0,10
110,Mike Pouncey\PounMi00,2018,29,1-15,LAC,NFL,16,16,1,1,0,10
111,Jalen Ramsey\RamsJa00,2018,24,1-5,JAX,NFL,16,16,1,1,0,10
112,Rodger Saffold\SaffRo20,2018,30,2-33,LAR,NFL,16,16,1,0,0,10
113,Donovan Smith\SmitDo02,2018,25,2-34,TAM,NFL,16,16,1,0,0,10
114,Matthew Stafford\StafMa00,2018,30,1-1,DET,NFL,16,16,1,0,0,10
115,Terrell Suggs\SuggTe99,2018,36,1-10,BAL,NFL,16,16,1,0,0,10
116,John Sullivan\SullJo24,2018,33,6-187,LAR,NFL,16,16,1,0,0,10
117,Danny Trevathan\TrevDa00,2018,28,6-188,CHI,NFL,16,16,1,0,0,10
118,Kyle Van Noy\VanNKy00,2018,27,2-40,NWE,NFL,16,16,1,0,0,10
119,Larry Warford\WarfLa00,2018,27,3-65,NOR,NFL,15,15,1,1,0,10
120,James White\WhitJa02,2018,26,4-130,NWE,NFL,16,3,1,0,0,10
121,Tyrell Williams\WillTy00,2018,26,,LAC,NFL,16,10,1,0,0,10
122,Jamal Adams\AdamJa00,2018,23,1-6,NYJ,NFL,16,16,1,1,0,9
123,Anthony Barr\BarrAn00,2018,26,1-9,MIN,NFL,13,13,1,1,0,9
124,Odell Beckham\BeckOd00,2018,26,1-12,NYG,NFL,12,12,1,0,0,9
125,Clint Boling\BoliCl00,2018,29,4-101,CIN,NFL,16,16,1,0,0,9
126,Tyler Boyd\BoydTy00,2018,24,2-55,CIN,NFL,14,14,1,0,0,9
