Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
2001,Jarveon Williams\WillJa07,2017,22,,CIN,NFL,1,0,1,0,0,0
2002,Jordan Williams\WillJo05,2017,24,,NYG,NFL,1,0,1,0,0,0
2003,Marquez Williams\WillMa09,2017,23,7-240,CLE,NFL,1,0,1,0,0,0
2004,Nick Williams\WillNi02,2017,27,7-223,ATL,NFL,1,0,1,0,0,0
2005,Brandon Wilson\WilsBr01,2017,23,6-207,CIN,NFL,8,0,1,0,0,0
2006,Jesus Wilson\WilsJe00,2017,22,,TAM,NFL,3,1,1,0,0,0
2007,Jerel Worthy\WortJe00,2017,27,2-51,BUF,NFL,5,0,1,0,0,0
2008,Gabe Wright\WrigGa00,2017,25,4-113,MIA,NFL,1,0,1,0,0,0
2009,Zach Zenner\ZennZa00,2017,26,,DET,NFL,8,0,1,0,0,0
2010,Nick Folk\FolkNi20,2017,33,6-178,TAM,NFL,4,0,1,0,0,-1
2011,Younghoe Koo\KooxYo00,2017,23,,LAC,NFL,4,0,1,0,0,-1
