Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Patrick Mahomes\MahoPa00,2018,23,1-10,KAN,NFL,16,16,1,1,1,22
2,Mitchell Schwartz\SchwMi00,2018,29,2-37,KAN,NFL,16,16,1,0,1,20
3,Jared Goff\GoffJa00,2018,24,1-1,LAR,NFL,16,16,1,1,0,18
4,Tyreek Hill\HillTy00,2018,24,5-165,KAN,NFL,16,16,1,1,1,18
5,Darius Leonard\LeonDa00,2018,23,2-36,IND,NFL,15,15,1,0,1,18
6,Drew Brees\BreeDr00,2018,39,2-32,NOR,NFL,15,15,1,1,0,17
7,Danielle Hunter\HuntDa01,2018,24,3-88,MIN,NFL,16,16,1,1,0,17
8,Khalil Mack\MackKh00,2018,27,1-5,CHI,NFL,14,13,1,1,1,17
9,Michael Thomas\ThomMi05,2018,25,2-47,NOR,NFL,16,16,1,1,1,17
10,Todd Gurley\GurlTo01,2018,24,1-10,LAR,NFL,14,14,1,1,1,16
11,Alvin Kamara\KamaAl00,2018,23,3-67,NOR,NFL,15,13,1,1,0,16
12,Christian McCaffrey\McCaCh01,2018,22,1-8,CAR,NFL,16,16,1,0,0,16
13,Matt Ryan\RyanMa00,2018,33,1-3,ATL,NFL,16,16,1,0,0,16
14,Bobby Wagner\WagnBo00,2018,28,2-47,SEA,NFL,15,15,1,1,1,16
15,Deshaun Watson\WatsDe00,2018,23,1-12,HOU,NFL,16,16,1,1,0,16
16,J.J. Watt\WattJ.00,2018,29,1-11,HOU,NFL,16,16,1,1,1,16
17,David Bakhtiari\BakhDa00,2018,27,4-109,GNB,NFL,16,16,1,0,1,15
18,Fletcher Cox\CoxxFl00,2018,28,1-12,PHI,NFL,16,16,1,1,1,15
19,Aaron Donald\DonaAa00,2018,27,1-13,LAR,NFL,16,16,1,1,1,15
20,Ezekiel Elliott\ElliEz00,2018,23,1-4,DAL,NFL,15,15,1,1,0,15
21,Kyle Fuller\FullKy00,2018,26,1-14,CHI,NFL,16,16,1,1,1,15
22,Travis Kelce\KelcTr00,2018,29,3-63,KAN,NFL,16,16,1,1,1,15
23,Andrew Luck\LuckAn00,2018,29,1-1,IND,NFL,16,16,1,1,0,15
24,C.J. Mosley\MoslC.00,2018,26,1-17,BAL,NFL,15,15,1,1,0,15
25,Ryan Ramczyk\RamcRy00,2018,24,1-32,NOR,NFL,15,15,1,0,0,15
26,Saquon Barkley\BarkSa00,2018,21,1-2,NYG,NFL,16,16,1,1,0,14
27,Tom Brady\BradTo00,2018,41,6-199,NWE,NFL,16,16,1,1,0,14
28,Duane Brown\BrowDu20,2018,33,1-26,SEA,NFL,16,16,1,0,0,14
29,Eric Fisher\FishEr00,2018,27,1-1,KAN,NFL,16,16,1,1,0,14
30,Myles Garrett\GarrMy00,2018,23,1-1,CLE,NFL,16,16,1,1,0,14
31,Stephon Gilmore\GilmSt00,2018,28,1-10,NWE,NFL,16,16,1,1,1,14
32,Julio Jones\JoneJu02,2018,29,1-6,ATL,NFL,16,16,1,1,0,14
33,Luke Kuechly\KuecLu00,2018,27,1-9,CAR,NFL,16,16,1,1,1,14
34,Von Miller\MillVo00,2018,29,1-2,DEN,NFL,16,16,1,1,0,14
35,Quenton Nelson\NelsQu00,2018,22,1-6,IND,NFL,16,16,1,1,1,14
36,Dak Prescott\PresDa01,2018,25,4-135,DAL,NFL,16,16,1,1,0,14
37,Philip Rivers\RivePh00,2018,37,1-4,LAC,NFL,16,16,1,1,0,14
38,Ben Roethlisberger\RoetBe00,2018,36,1-11,PIT,NFL,16,16,1,0,0,14
39,Russell Wilson\WilsRu00,2018,30,3-75,SEA,NFL,16,16,1,1,0,14
40,Robert Woods\WoodRo02,2018,26,2-41,LAR,NFL,16,16,1,0,0,14
