Rank,Team,Signed,Avg Age,Active Cap,Dead Cap,Total Cap,Lux Tax Space,Cap Space*,PracticalCap Space**,year
11,New Orleans Pelicans,15,24.8,"$99,091,475","$15,721,784","$114,813,259","$8,089,447*","$-12,944,259","$-12,944,259",2018
12,Brooklyn Nets,15,24.9,"$77,805,720","$39,671,158","$117,571,620","$6,085,206","$-15,702,620","$-15,702,620",2018
13,Denver Nuggets,15,24.1,"$117,387,540","$346,070","$117,733,610","$6,783,088","$-15,864,610","$-15,864,610",2018
14,Los Angeles Clippers,14,25.9,"$83,224,562","$35,251,396","$118,570,700","$5,086,126","$-16,701,700","$-16,701,700",2018
15,Minnesota Timberwolves,16,26.6,"$117,381,186","$2,701,278","$120,348,122","$3,301,086*","$-18,479,122","$-18,479,122",2018
16,San Antonio Spurs,15,26.9,"$101,438,941","$20,306,394","$121,745,335","$1,987,665*","$-19,876,335","$-19,876,335",2018
17,Charlotte Hornets,15,26.0,"$121,810,182",,"$121,810,182","$1,922,818*","$-19,941,182","$-19,941,182",2018
18,Houston Rockets,15,27.5,"$120,917,793","$722,878","$121,935,194","$1,914,201","$-20,066,194","$-20,066,194",2018
19,Milwaukee Bucks,15,27.0,"$114,955,757","$7,327,105","$122,368,320","$1,364,680*","$-20,499,320","$-20,499,320",2018
20,Miami Heat,16,27.1,"$122,689,773","$350,088","$123,116,097","$554,359","$-21,247,097","$-21,247,097",2018
21,New York Knicks,15,23.1,"$62,775,458","$60,319,426","$123,265,800","$467,200*","$-21,396,800","$-21,396,800",2018
22,Detroit Pistons,15,26.7,"$116,292,254","$7,189,209","$123,481,463","$251,537*","$-21,612,463","$-21,612,463",2018
23,Washington Wizards,15,26.3,"$115,804,428","$7,525,665","$123,501,009","$119,249","$-21,632,009","$-21,632,009",2018
24,Cleveland Cavaliers,15,26.0,"$122,179,119","$1,273,529","$123,699,800","$35,033","$-21,830,800","$-21,830,800",2018
25,Memphis Grizzlies,16,25.9,"$119,619,058","$2,200,952","$124,214,557","$-519,644*","$-22,345,557","$-22,345,557",2018
26,Boston Celtics,15,25.7,"$125,326,738","$92,857","$125,505,053","$-2,580,549","$-23,636,053","$-23,636,053",2018
27,Portland Trail Blazers,15,24.7,"$128,004,910","$5,091,108","$133,096,018","$-9,363,018","$-31,227,018","$-31,227,018",2018
28,Toronto Raptors,15,27.0,"$135,460,496","$1,800,000","$137,431,412","$-13,593,477","$-35,562,412","$-35,562,412",2018
29,Oklahoma City Thunder,14,25.9,"$138,162,052","$4,574,383","$142,869,264","$-19,124,060","$-41,000,264","$-41,000,264",2018
30,Golden State Warriors,15,27.7,"$144,354,753","$945,126","$145,299,879","$-21,730,097","$-43,430,879","$-43,430,879",2018
