Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2014 Cap,year
152  ,NYG , Nat Berhe ,SS,22,San Diego State,4,"$2,412,800","$192,800","$468,200",2014
153  ,BUF  from STL, Cyril Richardson ,G,23,Baylor,4,"$2,412,000","$192,000","$468,000",2014
154  ,NYJ , Jeremiah George ,ILB,22,Iowa State,4,"$2,411,752","$191,752","$467,938",2014
155  ,MIA , Arthur Lynch ,TE,23,Georgia,4,"$2,411,300","$191,300","$350,825",2014
156  ,DEN  from CHI, Lamin Barrow ,ILB,23,Louisiana State,4,"$2,411,160","$191,160","$467,790",2014
157  ,PIT , Shaquille Richardson ,CB,22,Arizona,4,"$2,410,052","$190,052","$467,513",2014
158  ,DET  from DAL, Caraun Reid ,DE,22,Princeton,4,"$2,408,880","$188,880","$467,220",2014
159  ,JAC  from BAL, Chris Smith ,DE,26,Arkansas,4,"$2,407,252","$187,252","$247,059",2014
160  ,ARI , Ed Stinson ,DE,24,Alabama,4,"$2,406,740","$186,740","$452,920",2014
161  ,GB , Corey Linsley ,C,22,Ohio State,4,"$2,405,000","$185,000","$466,250",2014
