Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2014 Cap,year
220  ,MIN  from ATL, Shamar Stephen ,DT,23,Connecticut,4,"$2,285,148","$65,148","$436,287",2014
221  ,BUF  from TB, Randell Johnson ,OLB,23,Florida Atlantic,4,"$2,283,732","$63,732","$435,933",2014
222  ,JAC , Storm Johnson ,RB,21,Central Florida,4,"$2,282,728","$62,728","$435,682",2014
223  ,MIN , Brandon Watts ,OLB,23,Georgia Tech,4,"$2,282,448","$62,448","$435,612",2014
224  ,PHI  from BUF, Beau Allen ,DT,22,Wisconsin,4,"$2,282,248","$62,248","$435,562",2014
225  ,MIN  from NYG via CAR, Jabari Price ,CB,21,North Carolina,4,"$2,281,820","$61,820","$435,455",2014
226  ,STL , Mitchell Van Dyk ,LT,23,Portland State,4,"$2,280,600","$60,600","$435,150",2014
227  ,SEA  from DET, Kiero Small ,FB,25,Arkansas,4,"$2,280,256","$60,256","$435,064",2014
228  ,WAS  from TEN, Zach Hocker ,K,22,Arkansas,4,"$2,280,248","$60,248","$435,062",2014
229  ,DET  from CHI via DAL, Nate Freese ,K,23,Boston College,4,"$2,279,424","$59,424","$434,856",2014
230  ,PIT , Rob Blanchflower ,TE,23,Massachusetts,4,"$2,279,400","$59,400","$434,850",2014
231  ,DAL , Ben Gardner ,DE,23,Stanford,4,"$2,279,175","$59,175","$317,793",2014
232  ,IND  from BAL, Ulrick John ,LT,21,Georgia State,4,"$2,277,848","$57,848","$317,462",2014
233  ,NYJ , Trevor Reilly ,OLB,26,Utah,4,"$2,276,848","$56,848","$434,212",2014
234  ,MIA , Terrence Fede ,DE,22,Marist,4,"$2,275,952","$55,952","$433,988",2014
235  ,OAK  from ARI, Shelby Harris ,DE,22,Illinois State,4,"$2,273,612","$53,612","$433,403",2014
236  ,GB , Jeff Janis ,WR,22,Saginaw Valley State,4,"$2,271,392","$51,392","$432,848",2014
237  ,BUF  from PHI, Seantrel Henderson ,RT,22,Miami (FL),4,"$2,270,880","$50,880","$432,720",2014
238  ,DAL  from KC, Will Smith ,OLB,22,Texas Tech,4,"$2,270,352","$50,352","$432,588",2014
239  ,CIN , James Wright ,WR,22,Louisiana State,4,"$2,269,824","$49,824","$432,456",2014
240  ,SD , Tevin Reese ,WR,23,Baylor,4,"$2,269,432","$49,432","$432,358",2014
241  ,STL  from IND, Christian Bryant ,FS,22,Ohio State,4,"$2,269,000","$49,000","$432,250",2014
242  ,DEN  from NO via SF, Corey Nelson ,ILB,22,Oklahoma,4,"$2,268,600","$48,600","$432,150",2014
243  ,SF  from CAR, Kaleb Ramsey ,DT,24,Boston College,4,"$2,268,200","$48,200","$335,697",2014
244  ,NE , Jeremy Gallon ,WR,24,Michigan,4,"$2,267,592","$47,592","$431,898",2014
245  ,SF , Trey Millard ,FB,22,Oklahoma,4,"$2,267,148","$47,148","$431,787",2014
246  ,CHI  from DEN, Charles Leno ,LT,22,Boise State,4,"$2,266,512","$46,512","$431,628",2014
247  ,OAK  from SEA, Jonathan Dowling ,FS,22,Western Kentucky,4,"$2,265,896","$45,896","$403,945",2014
248 (C) ,DAL , Ahmad Dixon ,S,22,Baylor,4,"$2,265,896","$45,896","$431,474",2014
249 (C) ,STL , Michael Sam ,DE,24,Missouri,4,"$2,265,896","$45,896","$431,474",2014
250 (C) ,STL , Demetrius Rhaney ,C,21,Tennessee State,4,"$2,265,896","$45,896","$314,474",2014
251 (C) ,DAL , Ken Bishop ,DT,23,Northern Illinois,4,"$2,265,896","$45,896","$431,474",2014
252 (C) ,CIN , Lavelle Westbrooks ,CB,22,Georgia Southern,4,"$2,265,896","$45,896","$314,474",2014
253 (C) ,ATL , Yawin Smallwood ,ILB,22,Connecticut,4,"$2,265,896","$45,896","$431,474",2014
254 (C) ,DAL , Terrance Mitchell ,CB,21,Oregon,4,"$2,265,896","$45,896","$271,764",2014
255 (C) ,ATL , Tyler Starr ,OLB,23,South Dakota,4,"$2,265,896","$45,896","$431,474",2014
256 (C) ,HOU , Lonnie Ballentine ,FS,21,Memphis,4,"$2,265,896","$45,896","$314,474",2014
