Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
3968,Nick Ferguson\FergNi20,2009,2009,,HTX,NFL,10,1,1,0,0,1
3969,Tony Fiammetta\FiamTo00,2009,2014,4-128,TOT,NFL,51,24,6,0,0,1
3970,Bojay Filimoeatu\FiliBo00,2014,2014,,RAI,NFL,8,0,1,0,0,1
3971,Derek Fine\FineDe00,2009,2009,4-132,BUF,NFL,8,6,1,0,0,1
3972,Casey Fitzsimmons\FitzCa00,2009,2009,,DET,NFL,12,1,1,0,0,1
3973,Darius Fleming\FlemDa00,2012,2015,5-165,TOT,NFL,11,0,3,0,0,1
3974,Keith Ford\FordKe00,2018,2018,,BUF,NFL,2,1,1,0,0,1
3975,Mike Ford\FordMi01,2018,2018,,DET,NFL,7,4,1,0,0,1
3976,D.J. Foster\FostD.01,2016,2017,,TOT,NFL,10,0,2,0,0,1
3977,Glenn Foster\FostGl00,2013,2014,,NOR,NFL,17,0,2,0,0,1
3978,Renardo Foster\FostRe20,2010,2010,,RAM,NFL,10,1,1,0,0,1
3979,David Foucault\FoucDa00,2014,2014,,CAR,NFL,5,1,1,0,0,1
3980,Ryan Fowler\FowlRy20,2009,2009,,NYJ,NFL,8,0,1,0,0,1
3981,Coye Francies\FranCo99,2009,2012,6-191,TOT,NFL,23,0,3,0,0,1
3982,A.J. Francis\FranA.00,2014,2017,,TOT,NFL,9,0,3,0,0,1
3983,Johnathan Franklin\FranJo01,2013,2013,4-125,GNB,NFL,11,0,1,0,0,1
3984,John Franklin-Myers\FranJo02,2018,2018,4-135,RAM,NFL,16,0,1,0,0,1
3985,Andre Frazier\FrazAn20,2009,2009,,PIT,NFL,14,0,1,0,0,1
3986,Terrence Frederick\FredTe00,2012,2014,7-246,TOT,NFL,5,3,2,0,0,1
3987,Dalton Freeman\FreeDa00,2014,2014,,NYJ,NFL,16,1,1,0,0,1
3988,Nolan Frese\FresNo00,2016,2016,,SEA,NFL,16,0,1,0,0,1
3989,Brandon Frye\FryeBr21,2009,2009,5-163,SEA,NFL,4,3,1,0,0,1
3990,Charlie Frye\FryeCh00,2009,2009,3-67,RAI,NFL,3,3,1,0,0,1
3991,Kyle Fuller\FullKy01,2017,2018,7-243,TOT,NFL,11,2,2,0,0,1
3992,Russell Gage\GageRu00,2018,2018,6-194,ATL,NFL,15,0,1,0,0,1
3993,Charles Gaines\GainCh00,2015,2015,6-189,CLE,NFL,6,4,1,0,0,1
3994,Anthony Gaitor\GaitAn00,2011,2014,7-222,TOT,NFL,12,2,3,0,0,1
3995,Jerrol Garcia-Williams\GarcJe01,2017,2017,,DEN,NFL,11,0,1,0,0,1
3996,Dennis Gardeck\GardDe01,2018,2018,,CRD,NFL,16,0,1,0,0,1
3997,Shamiel Gary\GarySh00,2014,2016,,TOT,NFL,9,1,3,0,0,1
3998,Kendall Gaskins\GaskKe00,2014,2015,,SFO,NFL,9,0,2,0,0,1
3999,Bruce Gaston\GastBr00,2014,2015,,2TM,NFL,9,0,2,0,0,1
4000,Rashaan Gaulden\GaulRa00,2018,2018,3-85,CAR,NFL,15,0,1,0,0,1
