Rk,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
301,Yandy Diaz\diazya01,0.3,2017,25,CLE,AL,49,179,156,25,41,8,1,0,13,21,0,35,1,0,1,5,2,0,.263,.352,.327,.679,*5/DH7
302,Yunel Escobar\escobyu01,0.3,2017,34,LAA,AL,89,381,350,43,96,20,1,7,31,29,0,51,2,0,0,15,1,4,.274,.333,.397,.730,*5/HD
303,Derek Fisher\fishede01,0.3,2017,23,HOU,AL,53,166,146,21,31,4,1,5,17,17,1,54,3,0,0,1,3,3,.212,.307,.356,.663,*79H/8D
304,Dustin Garneau\garnedu01,0.3,2017,29,TOT,ML,41,126,112,10,21,8,0,2,9,12,0,36,1,1,0,3,0,0,.188,.272,.313,.585,*2/H
305,Erik Gonzalez\gonzaer01,0.3,2017,25,CLE,AL,60,115,110,18,28,6,0,4,11,3,0,37,0,1,1,1,1,2,.255,.272,.418,.690,*46H/5D7
306,Brian Goodwin\goodwbr01,0.3,2017,26,WSN,NL,74,278,251,41,63,21,1,13,30,23,2,69,1,0,3,3,6,0,.251,.313,.498,.811,87H9
307,Zack Granite\graniza01,0.3,2017,24,MIN,AL,40,107,93,14,22,2,0,1,13,12,0,9,0,1,1,6,2,2,.237,.321,.290,.611,*8H/7D9
308,Zack Greinke\greinza01,0.3,2017,33,ARI,NL,30,70,62,4,13,4,0,0,4,2,0,18,1,5,0,0,0,0,.210,.246,.274,.520,*1/H
309,John Hicks\hicksjo02,0.3,2017,27,DET,AL,60,190,173,25,46,12,0,6,22,13,0,51,3,0,1,5,2,1,.266,.326,.439,.766,32DH
310,Tommy La Stella\lasteto01,0.3,2017,28,CHC,NL,73,151,125,18,36,8,0,5,22,20,1,18,2,0,2,3,0,0,.288,.389,.472,.861,*H45/3
311,Rafael Lopez\lopezra02,0.3,2017,29,TOR,AL,24,63,54,9,12,1,0,4,12,7,0,21,0,0,1,1,0,0,.222,.306,.463,.769,*2/H5
312,Mike Marjama\marjami01,0.3,2017,27,SEA,AL,5,9,9,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,.333,.333,.778,1.111,/*2H
313,Efren Navarro\navaref01,0.3,2017,31,DET,AL,23,69,61,9,14,1,1,2,2,8,1,21,0,0,0,1,0,1,.230,.319,.377,.696,*3/HD
314,Francisco Pena\penafr01,0.3,2017,27,BAL,AL,5,10,10,3,5,0,0,2,2,0,0,3,0,0,0,0,0,0,.500,.500,1.100,1.600,/*2H
315,Cliff Pennington\pennicl01,0.3,2017,33,LAA,AL,87,217,194,23,49,6,0,3,21,16,0,58,1,1,5,2,3,1,.253,.306,.330,.635,*4H65/D
316,Max Scherzer\scherma01,0.3,2017,32,WSN,NL,30,72,62,4,10,0,0,1,5,4,0,16,0,6,0,0,0,0,.161,.212,.210,.422,*1
317,Ryan Schimpf\schimry01,0.3,2017,29,SDP,NL,53,197,165,24,26,2,0,14,25,27,0,70,3,0,2,0,0,0,.158,.284,.424,.709,*5/HD
318,Seth Smith\smithse01,0.3,2017,34,BAL,AL,111,373,330,50,85,19,0,13,32,36,3,79,6,0,1,7,2,0,.258,.340,.433,.774,*9H7/D
319,Craig Stammen\stammcr01,0.3,2017,33,SDP,NL,57,8,6,2,3,1,0,0,0,2,0,2,0,0,0,0,0,0,.500,.625,.667,1.292,*1
320,Jesus Sucre\sucreje01,0.3,2017,29,TBR,AL,62,192,176,20,45,6,0,7,29,7,0,35,3,2,4,6,2,0,.256,.289,.409,.699,*2/H1
321,Pat Valaika\valaipa01,0.3,2017,24,COL,NL,110,195,182,28,47,11,0,13,40,7,0,53,0,5,1,1,0,0,.258,.284,.533,.817,*H65/437D
322,Luke Voit\voitlu01,0.3,2017,26,STL,NL,62,124,114,18,28,9,0,4,18,7,0,31,3,0,0,4,0,0,.246,.306,.430,.736,*H*3/D
323,Travis Wood\woodtr01,0.3,2017,30,TOT,ML,14,18,18,3,4,0,0,2,6,0,0,7,0,0,0,1,0,0,.222,.222,.556,.778,*1/H
324,Nick Ahmed\ahmedni01,0.2,2017,27,ARI,NL,53,178,167,24,42,8,1,6,21,10,3,39,1,0,0,6,3,4,.251,.298,.419,.717,*6/H
325,Andrew Albers\alberan01,0.2,2017,31,SEA,AL,1,3,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1.000,1.000,1.000,2.000,/*1
326,Miguel Andujar\andujmi01,0.2,2017,22,NYY,AL,5,8,7,0,4,2,0,0,4,1,0,0,0,0,0,0,1,0,.571,.625,.857,1.482,/*5DH
327,Homer Bailey\baileho02,0.2,2017,31,CIN,NL,17,35,28,4,7,2,0,0,0,0,0,11,0,7,0,0,0,0,.250,.250,.321,.571,*1
328,Trevor Cahill\cahiltr01,0.2,2017,29,TOT,ML,10,18,14,1,4,1,0,0,2,1,0,4,0,3,0,0,0,0,.286,.333,.357,.690,*1
329,Curt Casali\casalcu01,0.2,2017,28,TBR,AL,9,13,9,2,3,0,0,1,3,3,0,3,0,0,1,0,0,0,.333,.462,.667,1.128,/*2H
330,Darrell Ceciliani\cecilda01,0.2,2017,27,TOR,AL,3,5,5,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,.400,.400,1.200,1.600,/*H8D7
331,Ji-Man Choi\choiji01,0.2,2017,26,NYY,AL,6,18,15,2,4,1,0,2,5,2,0,5,0,0,1,1,0,0,.267,.333,.733,1.067,/*3H
332,Franchy Cordero\cordefr02,0.2,2017,22,SDP,NL,30,99,92,15,21,3,3,3,9,6,0,44,0,1,0,0,1,1,.228,.276,.424,.699,*8/H7
333,Charlie Culberson\culbech01,0.2,2017,28,LAD,NL,15,15,13,0,2,1,0,0,1,2,0,4,0,0,0,2,0,0,.154,.267,.231,.497,*6/H45
334,Jaime Garcia\garcija02,0.2,2017,30,TOT,ML,16,37,33,2,5,1,0,1,7,1,0,8,0,3,0,0,0,0,.152,.176,.273,.449,*1
335,Robert Gsellman\gsellro01,0.2,2017,23,NYM,NL,27,44,34,2,5,0,0,0,4,6,0,14,0,3,1,0,0,0,.147,.268,.147,.415,*1/H
336,Marco Hernandez\hernama02,0.2,2017,24,BOS,AL,21,60,58,7,16,3,0,0,2,1,0,15,1,0,0,0,0,1,.276,.300,.328,.628,/546H
337,Patrick Kivlehan\kivlepa01,0.2,2017,27,CIN,NL,115,204,178,23,37,5,1,9,26,22,1,61,3,0,1,2,1,2,.208,.304,.399,.703,*H937/58
338,Mike Leake\leakemi01,0.2,2017,29,TOT,ML,26,55,47,2,8,1,0,0,4,3,0,15,0,5,0,2,0,0,.170,.220,.191,.411,*1/H
339,Jon Lester\lestejo01,0.2,2017,33,CHC,NL,30,65,54,5,8,3,0,1,6,4,0,26,0,6,1,0,1,0,.148,.203,.259,.463,*1
340,Carlos Martinez\martica04,0.2,2017,25,STL,NL,31,69,62,5,11,3,0,0,11,1,0,19,1,5,0,1,0,0,.177,.203,.226,.429,*1/H
341,Mike Montgomery\montgmi01,0.2,2017,27,CHC,NL,40,30,27,5,5,1,0,1,3,0,0,10,0,3,0,0,0,0,.185,.185,.333,.519,*1
342,Steve Pearce\pearcst01,0.2,2017,34,TOR,AL,92,348,313,38,79,17,1,13,37,27,1,68,5,0,3,11,0,0,.252,.319,.438,.757,*73/HD
343,Shane Peterson\petersh01,0.2,2017,29,TBR,AL,30,88,79,9,20,5,0,2,11,5,0,21,2,0,1,2,2,0,.253,.310,.392,.703,*7/H9D
344,Gregory Polanco\polangr01,0.2,2017,25,PIT,NL,108,411,379,39,95,20,0,11,35,27,4,60,3,0,1,5,8,1,.251,.305,.391,.695,*97H/8D
345,Martin Prado\pradoma01,0.2,2017,33,MIA,NL,37,147,140,13,35,9,0,2,12,6,0,22,0,0,1,4,0,0,.250,.279,.357,.636,*5/HD
346,Rene Rivera\riverre01,0.2,2017,33,TOT,NL,74,237,218,23,55,9,0,10,35,14,3,70,3,1,1,4,0,1,.252,.305,.431,.736,*2/H3
347,Amed Rosario\rosaram01,0.2,2017,21,NYM,NL,46,170,165,16,41,4,4,4,10,3,0,49,2,0,0,3,7,3,.248,.271,.394,.665,*6/H
348,Hyun-Jin Ryu\ryuhy01,0.2,2017,30,LAD,NL,23,38,30,3,4,1,0,0,0,3,0,18,1,4,0,0,0,0,.133,.235,.167,.402,*1
349,Ervin Santana\santaer01,0.2,2017,34,MIN,AL,3,10,10,3,2,1,0,0,5,0,0,3,0,0,0,0,0,0,.200,.200,.300,.500,*1
350,Magneuris Sierra\sierrma01,0.2,2017,21,STL,NL,22,64,60,10,19,0,0,0,5,4,0,14,0,0,0,0,2,2,.317,.359,.317,.676,/9H87
351,Tyler Smith\smithty01,0.2,2017,25,SEA,AL,10,19,16,2,3,1,0,0,1,1,0,8,1,0,1,0,0,0,.188,.263,.250,.513,/*6H4D
352,Jacob Stallings\stallja01,0.2,2017,27,PIT,NL,5,16,14,3,5,2,0,0,3,2,1,2,0,0,0,0,0,0,.357,.438,.500,.938,/*2
353,Stephen Strasburg\strasst01,0.2,2017,28,WSN,NL,26,60,54,5,7,0,0,2,3,2,0,14,0,4,0,0,0,0,.130,.161,.241,.401,*1
354,Marcus Stroman\stromma01,0.2,2017,26,TOR,AL,3,7,7,2,2,1,0,1,1,0,0,4,0,0,0,0,0,0,.286,.286,.857,1.143,*1/H
355,Noah Syndergaard\syndeno01,0.2,2017,24,NYM,NL,7,13,9,0,2,0,0,0,0,3,0,5,0,1,0,0,0,0,.222,.417,.222,.639,/*1
356,Matt Szczur\szczuma01,0.2,2017,27,TOT,NL,119,237,195,28,44,12,2,3,18,34,0,44,4,3,1,2,0,2,.226,.350,.354,.704,H789
357,Kelby Tomlinson\tomlike01,0.2,2017,27,SFG,NL,104,222,194,32,50,4,2,1,11,23,2,46,0,2,3,8,9,1,.258,.332,.314,.646,*H546/7
358,Troy Tulowitzki\tulowtr01,0.2,2017,32,TOR,AL,66,260,241,16,60,10,0,7,26,17,1,40,1,0,1,10,0,1,.249,.300,.378,.678,*6/H
359,Edinson Volquez\volqued01,0.2,2017,33,MIA,NL,15,30,26,0,5,0,0,0,1,1,0,11,0,2,1,0,0,0,.192,.214,.192,.407,*1
360,Rickie Weeks\weeksri01,0.2,2017,34,TBR,AL,37,112,97,13,21,6,0,2,8,12,0,49,3,0,0,0,1,0,.216,.321,.340,.662,D3H
361,Anthony Alford\alforan01,0.1,2017,22,TOR,AL,4,8,8,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,.125,.125,.250,.375,/*7*H*9
362,Pedro Alvarez\alvarpe01,0.1,2017,30,BAL,AL,14,34,32,4,10,1,0,1,4,2,0,10,0,0,0,0,0,0,.313,.353,.438,.790,/*DH3
363,Erick Aybar\aybarer01,0.1,2017,33,SDP,NL,108,370,333,37,78,15,1,7,22,28,2,57,4,3,2,5,11,4,.234,.300,.348,.648,*6H/1
364,Harrison Bader\baderha01,0.1,2017,23,STL,NL,32,92,85,10,20,3,0,3,10,5,1,24,1,0,1,1,2,1,.235,.283,.376,.659,*8/H79
365,Jacob Barnes\barneja01,0.1,2017,27,MIL,NL,68,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.000,,,*1
