Rk,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1201,Yuniesky Betancourt\betanyu01,-1.9,2013,31,MIL,NL,137,409,391,35,83,15,1,13,46,14,3,71,1,0,3,9,0,0,.212,.240,.355,.595,35H/467
1202,Jeff Keppinger\keppije01,-1.9,2013,33,CHW,AL,117,451,423,38,107,13,1,4,40,20,1,41,0,2,5,14,0,1,.253,.283,.317,.600,453DH
1203,Adeiny Hechavarria\hechaad01,-2.1,2013,24,MIA,NL,148,578,543,30,123,14,8,3,42,30,1,96,0,4,1,19,11,10,.227,.267,.298,.565,*6/H
1204,Alfredo Aceves\aceveal01,,2013,30,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1205,Andrew Albers\alberan01,,2013,27,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1206,Daniel Bard\bardda01,,2013,28,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1207,Pedro Beato\beatope01,,2013,26,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1208,Blake Beavan\beavabl01,,2013,24,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1209,Mike Belfiore\belfimi01,,2013,24,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1210,Jeff Beliveau\belivje01,,2013,26,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1211,Dellin Betances\betande01,,2013,25,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1212,Chris Bootcheck\bootcch01,,2013,34,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1213,Ryan Brasier\brasiry01,,2013,25,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1214,Zack Britton\brittza01,,2013,25,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1215,Clay Buchholz\buchhcl01,,2013,28,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1216,Francisley Bueno\buenofr01,,2013,32,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1217,Cory Burns\burnsco01,,2013,25,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1218,Dave Bush\bushda01,,2013,33,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1219,Cesar Cabral\cabrace01,,2013,24,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1220,David Carpenter\carpeda02,,2013,25,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1221,Kevin Chapman\chapmke02,,2013,25,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1222,Zach Clark\clarkza01,,2013,29,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1223,Jarred Cosart\cosarja01,,2013,23,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
