Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3801,Kalin Lucas\lucaska01,2014-15,25,MEM,NBA,-0.7,1,0,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,.000,.000,,.000,,.000
3802,Matt Williams\willima05,2017-18,24,MIA,NBA,-0.7,3,0,11,2,6,1,1,1,5,0,0,0,1,1,0,0,0,1,1,5,.333,1.000,.200,.417,,.417
3803,Jeff Foote\footeje01,2011-12,24,NOH,NBA,-0.9,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,.333,.333,,.333,,.333
3804,Shane Edwards\edwarsh01,2013-14,26,CLE,NBA,-1.0,2,0,12,1,3,1,3,0,0,0,0,1,1,2,0,0,0,1,1,2,.333,.333,,.333,,.333
3805,Markel Brown\brownma02,2017-18,26,HOU,NBA,-1.2,4,0,31,2,7,1,2,1,5,0,0,1,4,5,2,0,0,2,6,5,.286,.500,.200,.357,,.357
3806,Andy Rautins\rautian01,2010-11,24,NYK,NBA,-1.2,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,.429,.667,.250,.500,.500,.508
3807,Diamond Stone\stonedi01,2016-17,19,LAC,NBA,-1.2,7,0,24,3,13,3,13,0,0,4,4,1,5,6,0,0,1,2,5,10,.231,.231,,.231,1.000,.339
3808,Nemanja Nedovic\nedovne01,2013-14,22,GSW,NBA,-1.7,24,0,142,8,39,5,21,3,18,7,8,3,12,15,13,0,1,13,13,26,.205,.238,.167,.244,.875,.306
3809,Vander Blue\blueva01,2017-18,25,LAL,NBA,-1.8,5,0,45,1,5,1,3,0,2,1,2,0,1,1,3,1,0,3,2,3,.200,.333,.000,.200,.500,.255
3810,Bruno Caboclo\cabocbr01,2014-15,19,TOR,NBA,-1.8,8,0,23,4,12,2,9,2,3,0,0,1,1,2,0,0,1,4,3,10,.333,.222,.667,.417,,.417
3811,Jarell Eddie\eddieja01,2017-18,26,TOT,NBA,-1.9,3,0,9,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,.000,,.000,.000,,.000
3812,Lamar Patterson\pattela01,2016-17,25,ATL,NBA,-1.9,5,0,40,3,15,2,9,1,6,2,3,1,6,7,6,1,0,4,6,9,.200,.222,.167,.233,.667,.276
3813,Chris Wright\wrighch02,2012-13,23,DAL,NBA,-1.9,3,0,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,.500,.500,,.500,,.500
3814,Michael Gbinije\gbinimi01,2016-17,24,DET,NBA,-2.1,9,0,32,1,10,1,6,0,4,2,2,2,1,3,2,0,0,0,2,4,.100,.167,.000,.100,1.000,.184
