Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3001,Elton Brand\brandel01,2014-15,35,ATL,NBA,9.4,36,4,486,42,95,42,94,0,1,12,23,28,72,100,22,17,25,18,54,96,.442,.447,.000,.442,.522,.457
3002,Kentavious Caldwell-Pope\caldwke01,2013-14,20,DET,NBA,9.4,80,41,1583,182,460,123,275,59,185,47,61,38,118,156,55,75,12,28,145,470,.396,.447,.319,.460,.770,.483
3003,Ian Clark\clarkia01,2017-18,26,NOP,NBA,9.4,74,2,1455,222,495,160,300,62,195,45,59,10,117,127,110,33,10,57,120,551,.448,.533,.318,.511,.763,.529
3004,Matthew Dellavedova\dellama01,2016-17,26,MIL,NBA,9.4,76,54,1986,208,534,129,319,79,215,82,96,24,123,147,357,53,0,133,153,577,.390,.404,.367,.463,.854,.501
3005,Wayne Ellington\ellinwa01,2011-12,24,MIN,NBA,9.4,51,4,973,122,302,87,194,35,108,32,40,14,85,99,33,26,10,26,56,311,.404,.448,.324,.462,.800,.487
3006,Mario Hezonja\hezonma01,2015-16,20,ORL,NBA,9.4,79,9,1413,181,418,114,226,67,192,49,54,28,148,176,109,39,17,97,124,478,.433,.504,.349,.513,.907,.541
3007,Justin Holiday\holidju01,2015-16,26,TOT,NBA,9.4,53,5,773,88,228,52,123,36,105,27,37,12,78,90,56,32,19,39,61,239,.386,.423,.343,.465,.730,.489
3008,Meyers Leonard\leoname01,2013-14,21,POR,NBA,9.4,40,0,355,41,91,41,85,0,6,16,21,26,85,111,18,7,5,15,76,98,.451,.482,.000,.451,.762,.489
3009,DeAndre Liggins\liggide01,2012-13,24,OKC,NBA,9.4,39,1,290,21,47,14,28,7,19,9,18,13,40,53,15,18,3,14,33,58,.447,.500,.368,.521,.500,.528
3010,Jason Maxiell\maxieja01,2010-11,27,DET,NBA,9.4,57,14,930,93,189,93,189,0,0,51,99,66,107,173,17,24,21,44,92,237,.492,.492,,.492,.515,.510
3011,Jermaine O'Neal\onealje01,2011-12,33,BOS,NBA,9.4,25,24,570,52,120,52,120,0,0,21,31,37,98,135,10,8,43,21,80,125,.433,.433,,.433,.677,.468
3012,Quincy Pondexter\pondequ01,2011-12,23,MEM,NBA,9.4,64,8,1002,108,239,86,166,22,73,33,53,55,71,126,27,27,5,30,90,271,.452,.518,.301,.498,.623,.517
3013,JaKarr Sampson\sampsja02,2014-15,21,PHI,NBA,9.4,74,32,1131,146,346,115,219,31,127,63,94,35,128,163,77,38,26,76,135,386,.422,.525,.244,.467,.670,.498
3014,Ronny Turiaf\turiaro01,2012-13,30,LAC,NBA,9.4,65,0,701,49,97,49,97,0,0,23,63,45,107,152,35,19,35,29,80,121,.505,.505,,.505,.365,.485
3015,Anderson Varejao\varejan01,2016-17,34,GSW,NBA,9.4,14,1,92,5,14,5,14,0,0,8,11,12,15,27,10,3,3,8,16,18,.357,.357,,.357,.727,.478
3016,Greivis Vasquez\vasqugr01,2010-11,24,MEM,NBA,9.4,70,1,860,95,233,70,147,25,86,34,44,12,61,73,151,22,4,70,83,249,.408,.476,.291,.461,.773,.493
3017,Dion Waiters\waitedi01,2015-16,24,OKC,NBA,9.4,78,15,2152,282,706,196,466,86,240,112,157,36,166,202,154,81,15,120,143,762,.399,.421,.358,.460,.713,.492
3018,Lou Amundson\amundlo01,2012-13,30,TOT,NBA,9.3,39,0,372,32,81,32,81,0,0,12,36,48,58,106,11,16,12,19,53,76,.395,.395,,.395,.333,.392
3019,Ron Baker\bakerro01,2017-18,24,NYK,NBA,9.3,29,1,385,20,59,9,26,11,33,20,26,5,25,30,47,26,6,18,33,71,.339,.346,.333,.432,.769,.504
3020,Renaldo Balkman\balkmre01,2010-11,26,TOT,NBA,9.3,8,0,62,6,13,5,11,1,2,3,4,2,5,7,2,4,2,1,15,16,.462,.455,.500,.500,.750,.542
3021,Andrew Bogut\bogutan01,2016-17,32,TOT,NBA,9.3,27,21,583,38,81,38,80,0,1,3,11,56,162,218,49,13,25,43,86,79,.469,.475,.000,.469,.273,.460
3022,Caron Butler\butleca01,2014-15,34,DET,NBA,9.3,78,21,1623,161,396,78,177,83,219,55,61,21,175,196,79,43,4,49,120,460,.407,.441,.379,.511,.902,.544
3023,Pat Connaughton\connapa01,2017-18,25,POR,NBA,9.3,82,5,1488,165,390,91,180,74,210,37,44,36,125,161,91,23,22,43,120,441,.423,.506,.352,.518,.841,.539
3024,Festus Ezeli\ezelife01,2012-13,23,GSW,NBA,9.3,78,41,1120,74,169,74,169,0,0,43,81,141,172,313,22,23,74,63,157,191,.438,.438,,.438,.531,.467
3025,Joel Freeland\freeljo01,2012-13,25,POR,NBA,9.3,51,1,477,58,142,58,142,0,0,18,27,40,79,119,13,13,11,19,67,134,.408,.408,,.408,.667,.435
3026,Francisco Garcia\garcifr01,2013-14,32,HOU,NBA,9.3,55,4,1083,118,294,49,101,69,193,10,19,21,101,122,63,27,33,30,120,315,.401,.485,.358,.519,.526,.521
3027,Jonas Jerebko\jerebjo01,2016-17,29,BOS,NBA,9.3,78,6,1232,114,262,69,132,45,130,26,37,59,213,272,71,25,17,39,122,299,.435,.523,.346,.521,.703,.537
3028,Armon Johnson\johnsar02,2010-11,21,POR,NBA,9.3,38,0,277,46,101,41,89,5,12,13,22,11,25,36,45,5,1,38,31,110,.455,.461,.417,.480,.591,.497
3029,Malcolm Lee\leema01,2011-12,21,MIN,NBA,9.3,19,0,243,23,59,21,49,2,10,14,17,9,17,26,31,8,4,17,22,62,.390,.429,.200,.407,.824,.466
3030,Rashard Lewis\lewisra02,2011-12,32,WAS,NBA,9.3,28,15,729,85,221,69,154,16,67,31,37,34,75,109,27,23,10,32,49,217,.385,.448,.239,.421,.838,.457
3031,Eric Maynor\maynoer01,2012-13,25,TOT,NBA,9.3,64,0,963,106,281,72,185,34,96,45,62,9,37,46,182,22,1,79,55,291,.377,.389,.354,.438,.726,.472
3032,Darius Miller\milleda01,2017-18,27,NOP,NBA,9.3,82,3,1944,216,487,69,129,147,358,58,67,18,146,164,111,28,17,58,160,637,.444,.535,.411,.594,.866,.617
3033,Eduardo Najera\najered01,2011-12,35,CHA,NBA,9.3,22,0,270,24,64,16,35,8,29,2,4,11,39,50,12,19,4,7,40,58,.375,.457,.276,.438,.500,.441
3034,Shabazz Napier\napiesh01,2014-15,23,MIA,NBA,9.3,51,10,1012,87,228,44,110,43,118,44,56,17,96,113,130,40,4,81,76,261,.382,.400,.364,.476,.786,.517
3035,Garrett Temple\templga01,2015-16,29,WAS,NBA,9.3,80,43,1951,201,505,112,247,89,258,91,125,36,176,212,140,69,18,64,195,582,.398,.453,.345,.486,.728,.520
3036,Rashad Vaughn\vaughra01,2017-18,21,TOT,NBA,9.3,28,0,212,23,56,9,19,14,37,4,6,3,18,21,13,5,3,6,15,64,.411,.474,.378,.536,.667,.546
3037,C.J. Watson\watsocj01,2016-17,32,ORL,NBA,9.3,62,9,1012,96,248,64,143,32,105,57,66,16,73,89,114,43,2,47,84,281,.387,.448,.305,.452,.864,.507
