rank,team,name,salary,year
1,,"
LeBron James
Small Forward
","$30,963,450  ",2016
2,,"
Mike Conley
Point Guard
","$26,540,100  ",2016
,,"
DeMar DeRozan
Shooting Guard
","$26,540,100  ",2016
,,"
Kevin Durant
Small Forward
","$26,540,100  ",2016
,,"
Russell Westbrook
Point Guard
","$26,540,100  ",2016
,,"
James Harden
Shooting Guard
","$26,540,100  ",2016
,,"
Al Horford
Center
","$26,540,100  ",2016
8,,"
Dirk Nowitzki
Power Forward
","$25,000,000  ",2016
9,,"
Carmelo Anthony
Small Forward
","$24,559,380  ",2016
10,,"
Damian Lillard
Point Guard
","$24,328,425  ",2016
11,,"
Chris Bosh
Power Forward
","$23,741,060  ",2016
12,,"
Dwyane Wade
Shooting Guard
","$23,200,000  ",2016
13,,"
Chris Paul
Point Guard
","$23,199,328  ",2016
14,,"
Dwight Howard
Center
","$23,180,275  ",2016
15,,"
Chandler Parsons
Small Forward
","$22,116,750  ",2016
,,"
Hassan Whiteside
Center
","$22,116,750  ",2016
,,"
Harrison Barnes
Small Forward
","$22,116,750  ",2016
,,"
Anthony Davis
Center
","$22,116,750  ",2016
,,"
Bradley Beal
Shooting Guard
","$22,116,750  ",2016
,,"
Andre Drummond
Center
","$22,116,750  ",2016
21,,"
Derrick Rose
Point Guard
","$21,323,252  ",2016
22,,"
Brook Lopez
Center
","$21,165,675  ",2016
,,"
DeAndre Jordan
Center
","$21,165,675  ",2016
,,"
Marc Gasol
Center
","$21,165,675  ",2016
,,"
Kevin Love
Center
","$21,165,675  ",2016
26,,"
Nicolas Batum
Shooting Guard
","$20,869,565  ",2016
27,,"
LaMarcus Aldridge
Power Forward
","$20,575,005  ",2016
28,,"
Blake Griffin
Power Forward
","$20,140,838  ",2016
29,,"
Paul Millsap
Power Forward
","$20,072,033  ",2016
30,,"
Ryan Anderson
Power Forward
","$18,735,363  ",2016
31,,"
Allen Crabbe
Shooting Guard
","$18,500,000  ",2016
32,,"
Paul George
Small Forward
","$18,314,532  ",2016
33,,"
Jimmy Butler
Shooting Guard
","$18,156,361  ",2016
34,,"
Luol Deng
Small Forward
","$18,000,000  ",2016
35,,"
Kyrie Irving
Point Guard
","$17,638,063  ",2016
,,"
Kawhi Leonard
Small Forward
","$17,638,063  ",2016
37,,"
Tobias Harris
Small Forward
","$17,200,000  ",2016
38,,"
Greg Monroe
Center
","$17,145,838  ",2016
,,"
Wesley Matthews
Shooting Guard
","$17,145,838  ",2016
,,"
Enes Kanter
Center
","$17,145,838  ",2016
41,,"
Joakim Noah
Center
","$17,000,000  ",2016
,,"
Bismack Biyombo
Center
","$17,000,000  ",2016
,,"
Evan Fournier
Shooting Guard
","$17,000,000  ",2016
44,,"
DeMarcus Cousins
Center
","$16,957,900  ",2016
