rank,team,name,salary,year
99,,"
Kentavious Caldwell-Pope
Shooting Guard
","$12,000,000  ",2018
,,"
Kemba Walker
Point Guard
","$12,000,000  ",2018
,,"
Avery Bradley
Shooting Guard
","$12,000,000  ",2018
102,,"
Will Barton
Shooting Guard
","$11,830,358  ",2018
103,,"
T.J. Warren
Small Forward
","$11,750,000  ",2018
104,,"
Marcus Smart
Point Guard
","$11,660,716  ",2018
105,,"
Patrick Mills
Point Guard
","$11,571,429  ",2018
106,,"
Dion Waiters
Shooting Guard
","$11,550,000  ",2018
107,,"
Alec Burks
Shooting Guard
","$11,536,515  ",2018
108,,"
John Henson
Power Forward
","$11,327,466  ",2018
109,,"
Iman Shumpert
Shooting Guard
","$11,011,236  ",2018
110,,"
Tony Snell
Shooting Guard
","$10,807,143  ",2018
111,,"
Meyers Leonard
Center
","$10,595,506  ",2018
112,,"
Bojan Bogdanovic
Small Forward
","$10,500,000  ",2018
,,"
Terrence Ross
Shooting Guard
","$10,500,000  ",2018
114,,"
Robert Covington
Small Forward
","$10,464,092  ",2018
115,,"
Maurice Harkless
Small Forward
","$10,337,079  ",2018
116,,"
Rudy Gay
Small Forward
","$10,087,200  ",2018
117,,"
Jon Leuer
Power Forward
","$10,002,681  ",2018
118,,"
Danny Green
Shooting Guard
","$10,000,000  ",2018
,,"
Andre Roberson
Shooting Guard
","$10,000,000  ",2018
,,"
Darren Collison
Point Guard
","$10,000,000  ",2018
121,,"
Dwight Powell
Power Forward
","$9,631,250  ",2018
122,,"
Matthew Dellavedova
Point Guard
","$9,607,500  ",2018
123,,"
Dante Exum
Point Guard
","$9,600,000  ",2018
124,,"
Jared Dudley
Small Forward
","$9,530,000  ",2018
125,,"
Josh Richardson
Small Forward
","$9,367,200  ",2018
,,"
Norman Powell
Shooting Guard
","$9,367,200  ",2018
127,,"
Rajon Rondo
Point Guard
","$9,000,000  ",2018
,,"
Bogdan Bogdanovic
Shooting Guard
","$9,000,000  ",2018
