rank,team,name,salary,year
1,,"
Kobe Bryant
Small Forward
","$30,453,805  ",2013
2,,"
Dirk Nowitzki
Power Forward
","$22,721,381  ",2013
3,,"
Amar'e Stoudemire
Power Forward
","$21,679,893  ",2013
4,,"
Joe Johnson
Shooting Guard
","$21,466,718  ",2013
5,,"
Carmelo Anthony
Small Forward
","$21,388,953  ",2013
6,,"
Dwight Howard
Center
","$20,513,178  ",2013
7,,"
Pau Gasol
Center
","$19,285,850  ",2013
8,,"
Chris Bosh
Power Forward
","$19,067,500  ",2013
,,"
LeBron James
Small Forward
","$19,067,500  ",2013
10,,"
Dwyane Wade
Shooting Guard
","$18,673,000  ",2013
11,,"
Chris Paul
Point Guard
","$18,668,431  ",2013
12,,"
Deron Williams
Point Guard
","$18,466,130  ",2013
13,,"
Zach Randolph
Power Forward
","$18,238,333  ",2013
14,,"
Rudy Gay
Small Forward
","$17,888,932  ",2013
15,,"
Kevin Durant
Small Forward
","$17,832,627  ",2013
16,,"
Derrick Rose
Point Guard
","$17,632,688  ",2013
17,,"
Blake Griffin
Power Forward
","$16,441,500  ",2013
18,,"
Paul Pierce
Small Forward
","$15,333,334  ",2013
19,,"
Carlos Boozer
Power Forward
","$15,300,000  ",2013
20,,"
LaMarcus Aldridge
Power Forward
","$14,878,000  ",2013
21,,"
Marc Gasol
Center
","$14,860,523  ",2013
22,,"
Russell Westbrook
Point Guard
","$14,693,906  ",2013
,,"
Brook Lopez
Center
","$14,693,906  ",2013
,,"
Kevin Love
Center
","$14,693,906  ",2013
25,,"
Emeka Okafor
Center
","$14,487,500  ",2013
26,,"
Tyson Chandler
Center
","$14,350,537  ",2013
27,,"
Roy Hibbert
Center
","$14,283,844  ",2013
,,"
Eric Gordon
Shooting Guard
","$14,283,844  ",2013
29,,"
Luol Deng
Small Forward
","$14,275,000  ",2013
30,,"
Andrew Bogut
Center
","$14,000,000  ",2013
31,,"
David Lee
Power Forward
","$13,878,000  ",2013
32,,"
James Harden
Shooting Guard
","$13,701,250  ",2013
33,,"
Josh Smith
Small Forward
","$13,500,000  ",2013
,,"
Al Jefferson
Center
","$13,500,000  ",2013
35,,"
Nene Hilario
Center
","$13,000,000  ",2013
36,,"
Andre Iguodala
Small Forward
","$12,868,632  ",2013
37,,"
Tony Parker
Point Guard
","$12,500,000  ",2013
38,,"
Kevin Garnett
Power Forward
","$12,433,735  ",2013
39,,"
Serge Ibaka
Power Forward
","$12,350,000  ",2013
40,,"
Nikola Pekovic
Center
","$12,100,000  ",2013
41,,"
David West
Power Forward
","$12,000,000  ",2013
,,"
Al Horford
Center
","$12,000,000  ",2013
,,"
Kris Humphries
Power Forward
","$12,000,000  ",2013
44,,"
Rajon Rondo
Point Guard
","$11,954,545  ",2013
45,,"
Andrea Bargnani
Center
","$11,862,500  ",2013
46,,"
Tyreke Evans
Shooting Guard
","$11,796,247  ",2013
47,,"
Nicolas Batum
Shooting Guard
","$11,295,250  ",2013
48,,"
Joakim Noah
Center
","$11,100,000  ",2013
49,,"
Richard Jefferson
Small Forward
","$11,046,000  ",2013
50,,"
DeAndre Jordan
Center
","$10,986,550  ",2013
51,,"
Ty Lawson
Point Guard
","$10,786,517  ",2013
52,,"
JaVale McGee
Center
","$10,750,000  ",2013
53,,"
Tim Duncan
Power Forward
","$10,361,446  ",2013
54,,"
Danilo Gallinari
Small Forward
","$10,146,925  ",2013
55,,"
Gerald Wallace
Small Forward
","$10,105,885  ",2013
56,,"
Tiago Splitter
Power Forward
","$10,000,000  ",2013
57,,"
Stephen Curry
Point Guard
","$9,887,642  ",2013
58,,"
Jrue Holiday
Point Guard
","$9,713,484  ",2013
59,,"
Paul Millsap
Power Forward
","$9,500,000  ",2013
,,"
DeMar DeRozan
Shooting Guard
","$9,500,000  ",2013
61,,"
Shawn Marion
Small Forward
","$9,316,796  ",2013
62,,"
Steve Nash
Point Guard
","$9,300,500  ",2013
63,,"
Anderson Varejao
Power Forward
","$9,036,364  ",2013
64,,"
Thaddeus Young
Power Forward
","$8,850,000  ",2013
65,,"
Kendrick Perkins
Center
","$8,727,437  ",2013
66,,"
Jeff Green
Small Forward
","$8,700,000  ",2013
67,,"
Mike Conley
Point Guard
","$8,600,001  ",2013
68,,"
Jameer Nelson
Point Guard
","$8,600,000  ",2013
69,,"
Charlie Villanueva
Power Forward
","$8,580,000  ",2013
70,,"
Rodney Stuckey
Point Guard
","$8,500,000  ",2013
71,,"
Omer Asik
Center
","$8,374,646  ",2013
,,"
Jeremy Lin
Point Guard
","$8,374,646  ",2013
73,,"
Ryan Anderson
Power Forward
","$8,308,500  ",2013
74,,"
Marcus Thornton
Shooting Guard
","$8,050,000  ",2013
75,,"
Monta Ellis
Shooting Guard
","$8,000,000  ",2013
,,"
George Hill
Point Guard
","$8,000,000  ",2013
,,"
Jeff Teague
Point Guard
","$8,000,000  ",2013
,,"
O.J. Mayo
Shooting Guard
","$8,000,000  ",2013
79,,"
Ersan Ilyasova
Power Forward
","$7,900,000  ",2013
80,,"
Trevor Ariza
Small Forward
","$7,727,280  ",2013
,,"
Marcin Gortat
Center
","$7,727,280  ",2013
82,,"
Brandon Jennings
Point Guard
","$7,655,503  ",2013
83,,"
John Salmons
Small Forward
","$7,583,000  ",2013
84,,"
Taj Gibson
Power Forward
","$7,550,000  ",2013
85,,"
Arron Afflalo
Shooting Guard
","$7,500,000  ",2013
,,"
Goran Dragic
Point Guard
","$7,500,000  ",2013
,,"
Manu Ginobili
Shooting Guard
","$7,500,000  ",2013
,,"
Marvin Williams
Power Forward
","$7,500,000  ",2013
89,,"
John Wall
Point Guard
","$7,459,925  ",2013
90,,"
Metta World Peace
Small Forward
","$7,325,891  ",2013
91,,"
Tayshaun Prince
Small Forward
","$7,235,955  ",2013
92,,"
Wesley Matthews
Shooting Guard
","$6,875,480  ",2013
93,,"
Jose Calderon
Point Guard
","$6,791,570  ",2013
94,,"
Kyle Korver
Shooting Guard
","$6,760,563  ",2013
95,,"
Evan Turner
Small Forward
","$6,679,867  ",2013
96,,"
Spencer Hawes
Power Forward
","$6,600,000  ",2013
97,,"
J.J. Redick
Shooting Guard
","$6,500,000  ",2013
