pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,CLE *Traded to PHX,Anthony Bennett,PF,"6' 8""",235,Canada,Nevada-Las Vegas,2,"$10,888,200","$5,324,280",2013
2,ORL *Traded to IND,Victor Oladipo,SG,"6' 4""",210,United States,Indiana,2,"$9,741,960","$4,763,760",2013
3,WAS ,Otto Porter Jr.,SF,"6' 8""",198,United States,Georgetown,2,"$8,748,480","$4,278,000",2013
4,CHA *Traded to CHA,Cody Zeller,C,"7' 0""",240,United States,Indiana,2,"$7,887,600","$3,857,040",2013
5,PHX *Traded to ATL,Alex Len,C,"7' 1""",250,Ukraine,Maryland,2,"$7,142,640","$3,492,720",2013
6,NOP *Traded to OKC,Nerlens Noel,C,"6' 11""",220,United States,Kentucky,2,"$6,487,440","$3,172,320",2013
7,SAC ,Ben McLemore,SG,"6' 5""",201,United States,Kansas,2,"$5,922,240","$2,895,960",2013
8,DET *Traded to LAL,Kentavious Caldwell-Pope,SG,"6' 5""",205,United States,Georgia,2,"$5,425,560","$2,653,080",2013
9,MIN *Traded to NYK,Trey Burke,PG,"6' 1""",175,United States,Michigan,2,"$4,987,320","$2,438,760",2013
10,POR ,C.J. McCollum,SG,"6' 3""",190,United States,Lehigh,2,"$4,737,720","$2,316,720",2013
11,PHI *Traded to HOU,Michael Carter-Williams,PG,"6' 6""",190,United States,Syracuse,2,"$4,500,960","$2,200,920",2013
12,OKC  from TOR via HOU,Steven Adams,C,"7' 0""",265,New Zealand,Pittsburgh,2,"$4,275,840","$2,090,880",2013
13,DAL *Traded to MIA,Kelly Olynyk,C,"7' 0""",238,Canada,Gonzaga,2,"$4,062,120","$1,986,360",2013
14,MIN *Traded to MIL,Shabazz Muhammad,SG,"6' 5""",225,United States,California-Los Angeles,2,"$3,859,080","$1,887,120",2013
15,MIL ,Giannis Antetokounmpo,PF,"6' 11""",242,Greece,,2,"$3,665,760","$1,792,560",2013
16,BOS *Traded to TOR,Lucas Nogueira,C,"7' 0""",220,Brazil,,2,"$3,604,680",-,2013
17,ATL *Traded to OKC,Dennis Schröder,PG,"6' 1""",172,Germany,,2,"$3,038,880","$1,348,200",2013
18,ATL  from HOU via BKN*Traded to BOS,Shane Larkin,PG,"5' 11""",175,United States,Miami (FL),2,"$3,143,040","$1,536,960",2013
19,CLE  from LAL*Traded to BKN,Sergey Karasev,SG,"6' 7""",208,Russia,,2,"$3,001,680","$1,467,840",2013
20,CHI *Traded to MIL,Tony Snell,SG,"6' 7""",217,United States,New Mexico,2,"$2,881,440","$1,409,040",2013
21,UTH  from GSW via BKN*Traded to MIN,Gorgui Dieng,C,"6' 11""",252,Senegal,Louisville,2,"$2,766,120","$1,352,640",2013
22,BKN *Traded to DEN,Mason Plumlee,C,"6' 11""",235,United States,Duke,2,"$2,655,720","$1,298,640",2013
23,IND *Traded to NOP,Solomon Hill,SF,"6' 7""",225,United States,Arizona,2,"$2,549,520","$1,246,680",2013
24,NYK ,Tim Hardaway Jr.,SG,"6' 6""",205,United States,Michigan,2,"$2,447,400","$1,196,760",2013
25,LAC *Traded to DET,Reggie Bullock,SG,"6' 7""",205,United States,North Carolina,2,"$2,349,720","$1,149,000",2013
26,MIN  from MEM via HOU*Traded to OKC,Andre Roberson,SG,"6' 7""",210,Uganda,Colorado,2,"$1,901,440","$740,560",2013
