,index,Player,state
688,Indiana University,Quinn Buckner,
689,Indiana University,Steve Green,
690,Indiana University,Scott May,
691,Indiana University,Bob Wilkerson,
692,Indiana University,Kent Benson,
693,Indiana University,Wayne Radford,
694,Indiana University,Butch Carter,
695,Indiana University,Mike Woodson,
696,Indiana University,Isiah Thomas*,
697,Indiana University,Ray Tolbert,
698,Indiana University,Jim Thomas,
699,Indiana University,Randy Wittman,
700,Indiana University,Uwe Blab,
701,Indiana University,Steve Alford,
702,Indiana University,Keith Smart,
703,Indiana University,Eric Anderson,
704,Indiana University,Walt Williams,
705,Indiana University,Calbert Cheaney,
706,Indiana University,Greg Graham,
707,Indiana University,Alan Henderson,
708,Indiana University,Brian Evans,
709,Indiana University,Dean Garrett,
710,Indiana University,Andrae Patterson,
711,Indiana University,Kirk Haston,
712,Indiana University,Jared Jeffries,
713,Indiana University,Eric Gordon,
714,Indiana University,Keith Benson,
715,Indiana University,Isaiah Thomas,
716,Indiana University,Victor Oladipo,
717,Indiana University,Cody Zeller,
718,Indiana University,Noah Vonleh,
719,Indiana University,Yogi Ferrell,
720,Indiana University-Purdue University Indianapolis,George Hill,
721,Iona College,Bob Santini,NY
722,Iona College,Richie Guerin*,NY
723,Iona College,Jeff Ruland,NY
724,Iona College,Steve Burtt,NY
725,Iona College,Sean Green,NY
726,Iona College,Scott Machado,NY
727,Iowa State University,Stacey Arceneaux,IA
728,Iowa State University,Zaid Abdul-Aziz,IA
729,Iowa State University,Hawkeye Whitney,IA
730,Iowa State University,Jeff Hornacek,IA
731,Iowa State University,Jeff Grayer,IA
732,Iowa State University,Victor Alexander,IA
733,Iowa State University,Barry Stevens,IA
734,Iowa State University,Fred Hoiberg,IA
735,Iowa State University,Loren Meyer,IA
736,Iowa State University,Kelvin Cato,IA
737,Iowa State University,Dedric Willoughby,IA
738,Iowa State University,Marcus Fizer,IA
739,Iowa State University,Jamaal Tinsley,IA
740,Iowa State University,Paul Shirley,IA
741,Iowa State University,Jackson Vroman,IA
742,Iowa State University,Will Blalock,IA
743,Iowa State University,Mike Taylor,IA
744,Iowa State University,Craig Brackins,IA
745,Iowa State University,Chris Babb,IA
746,Iowa State University,Bryce Dejean-Jones,IA
747,Iowa State University,Georges Niang,IA
748,Jackson State University,McCoy Ingram,MS
749,Jackson State University,Cleveland Buckner,MS
750,Jackson State University,Ed Manning,MS
751,Jackson State University,Cornell Warner,MS
752,Jackson State University,Gene Short,MS
753,Jackson State University,Henry Ward,MS
754,Jackson State University,Purvis Short,MS
755,Jackson State University,Sylvester Norris,MS
756,Jackson State University,Audie Norris,MS
757,Jackson State University,Lindsey Hunter,MS
758,Jackson State University,Ryan Lorthridge,MS
759,Jackson State University,Dwayne Whitfield,MS
760,Jackson State University,Trey Johnson,MS
761,Jacksonville University,Roger Strickland,FL
762,Jacksonville University,Rex Morgan,FL
763,Jacksonville University,Harold Fox,FL
764,Jacksonville University,Leon Benbow,FL
765,Jacksonville University,Artis Gilmore*,FL
766,Jacksonville University,James Ray,FL
767,Jacksonville University,Otis Smith,FL
768,Jacksonville University,Ronnie Murphy,FL
769,Jacksonville University,Rod Strickland,FL
770,Jacksonville University,Dee Brown,FL
771,Jacksonville University,Devin Brown,FL
772,Jacksonville University,Derrick Brown,FL
773,James Madison University,Linton Townes,VA
774,Johnson C. Smith University,Tyrone Britt,
775,Kansas State University,Howie Shannon,KS
776,Kansas State University,Lew Hitch,KS
777,Kansas State University,Ernie Barrett,KS
778,Kansas State University,Dick Knostman,KS
779,Kansas State University,Jack Parr,KS
780,Kansas State University,Bob Boozer,KS
781,Kansas State University,Larry Comley,KS
782,Kansas State University,Jeff Webb,KS
783,Kansas State University,Mike Evans,KS
784,Kansas State University,Rolando Blackman,KS
785,Kansas State University,Ed Nealy,KS
786,Kansas State University,Norris Coleman,KS
787,Kansas State University,Mitch Richmond*,KS
788,Kansas State University,Steve Henson,KS
789,Kansas State University,Askia Jones,KS
790,Kansas State University,Michael Beasley,KS
791,Kansas State University,Cartier Martin,KS
792,Kansas State University,Rodney McGruder,KS
793,Kent State University,Doug Sims,OH
794,Kent State University,Jim Zoet,OH
795,Kent State University,John Edwards,OH
796,Kentucky State University,Elmore Smith,KY
797,Kentucky State University,Travis Grant,KY
798,Kentucky State University,Sam Sibert,KY
799,Kentucky Wesleyan College,Sam Smith,KY
800,Kentucky Wesleyan College,Corey Crowder,KY
801,Kenyon College,Jeff Slade,OH
802,King's College,George Dempsey,
803,La Salle University,Larry Foust,
804,La Salle University,Jack George,
805,La Salle University,Norm Grekin,
806,La Salle University,Jackie Moore,
807,La Salle University,Tom Gola*,
808,La Salle University,Bernie Williams,
809,La Salle University,Ken Durrett,
810,La Salle University,Larry Cannon,
811,La Salle University,Joe Bryant,
812,La Salle University,Fatty Taylor,
813,La Salle University,Michael Brooks,
814,La Salle University,Tom Piotrowski,
815,La Salle University,Ralph Lewis,
816,La Salle University,Tim Legler,
817,La Salle University,Lionel Simmons,
818,La Salle University,Doug Overton,
819,La Salle University,Randy Woods,
820,La Salle University,Rashard Lewis,
821,La Salle University,Rasual Butler,
822,Lamar University,Clarence Kea,TX
823,Lamar University,Tom Sewell,TX
824,Lamar University,Adrian Caldwell,TX
825,Lawrence Technological University,Blaine Denning,
826,LeMoyne College,Don Savage,NY
827,Lebanon Valley College,Andy Panko,PA
828,Lewis University,Wayne Molis,IL
829,Liberty University,Julius Nwosu,VA
830,Liberty University,Peter Aluma,VA
831,Lincoln University of Missouri,Milt Williams,
832,Lincoln University of Missouri,Micheal Williams,
833,Lincoln University of Missouri,Mike Williams,
834,Long Island University,Herb Scherer,
835,Long Island University,Dick Surhoff,
836,Long Island University,Don Ackerman,
837,Long Island University,Ray Felix,
838,Long Island University,Rollen Hans,
839,Long Island University,Al Roges,
840,Long Island University,Hal Uplinger,
841,Long Island University,Luther Green,
842,Long Island University,Carey Scurry,
843,Longwood University,Jerome Kersey,VA
844,Louisiana State University,Frankie Brian,LA
845,Louisiana State University,John Chaney,LA
846,Louisiana State University,Bob Pettit*,LA
847,Louisiana State University,Pete Maravich*,LA
848,Louisiana State University,Glenn Hansen,LA
849,Louisiana State University,Kenny Higgs,LA
850,Louisiana State University,DeWayne Scales,LA
851,Louisiana State University,Rudy Macklin,LA
852,Louisiana State University,Howard Carter,LA
853,Louisiana State University,Jerry Reynolds,LA
854,Louisiana State University,Nikita Wilson,LA
855,Louisiana State University,Stanley Roberts,LA
856,Louisiana State University,Ricky Blanton,LA
857,Louisiana State University,Shaquille O'Neal*,LA
858,Louisiana State University,Geert Hammink,LA
859,Louisiana State University,Randy Livingston,LA
860,Louisiana State University,Jabari Smith,LA
861,Louisiana State University,Stromile Swift,LA
862,Louisiana State University,Maurice Carter,LA
863,Louisiana State University,Ronald Dupree,LA
864,Louisiana State University,Brandon Bass,LA
865,Louisiana State University,Tyrus Thomas,LA
866,Louisiana State University,Glen Davis,LA
867,Louisiana State University,Jason Smith,LA
868,Louisiana State University,Anthony Randolph,LA
869,Louisiana State University,Garrett Temple,LA
870,Louisiana State University,Marcus Thornton,LA
871,Louisiana State University,Justin Hamilton,LA
872,Louisiana State University,Johnny O'Bryant,LA
873,Louisiana State University,Jarell Martin,LA
874,Louisiana State University,Jordan Mickey,LA
875,Louisiana State University,Tim Quarterman,LA
876,Louisiana Tech University,Jackie Moreland,LA
877,Louisiana Tech University,Mike Green,LA
878,Louisiana Tech University,Karl Malone*,LA
879,Louisiana Tech University,Randy White,LA
880,Louisiana Tech University,Paul Millsap,LA
881,Louisiana Tech University,Patty Mills,LA
882,Loyola College in Maryland,Andy O'Donnell,MD
883,Loyola College in Maryland,Mike Morrison,MD
884,Loyola Marymount University,Normie Glick,CA
885,Loyola Marymount University,Jerry Grote,CA
886,Loyola Marymount University,Rick Adelman,CA
887,Loyola Marymount University,Forrest McKenzie,CA
888,Loyola Marymount University,Corey Gaines,CA
889,Loyola Marymount University,Bo Kimble,CA
890,Loyola University of Chicago,Jack Kerris,
891,Loyola University of Chicago,Jerry Nagel,
892,Loyola University of Chicago,Mike Novak,
893,Loyola University of Chicago,Don Hanrahan,
894,Loyola University of Chicago,Ed Earle,
895,Loyola University of Chicago,Jerry Harkness,
896,Loyola University of Chicago,Les Hunter,
897,Loyola University of Chicago,LaRue Martin,
898,Loyola University of Chicago,Andre Wakefield,
899,Loyola University of Chicago,Wayne Sappleton,
900,Loyola University of Chicago,Andre Moore,
901,Loyola University of Chicago,Rick Hughes,
902,Manhattan College,Jerry Paulson,NY
903,Manhattan College,Grady O'Malley,NY
904,Manhattan College,Ricky Marsh,NY
905,Manhattan College,Luis Flores,NY
906,Marist College,Rik Smits,
907,Marquette University,Gene Berce,WI
908,Marquette University,Don Kojis,WI
909,Marquette University,Joe Thomas,WI
910,Marquette University,Dean Meminger,WI
911,Marquette University,Larry McNeill,WI
912,Marquette University,Jim Chones,WI
913,Marquette University,George Thompson,WI
914,Marquette University,Maurice Lucas,WI
915,Marquette University,Earl Tatum,WI
916,Marquette University,Lloyd Walton,WI
917,Marquette University,Butch Lee,WI
918,Marquette University,Jerome Whitehead,WI
919,Marquette University,Bernard Toone,WI
920,Marquette University,Sam Worthen,WI
921,Marquette University,Doc Rivers,WI
922,Marquette University,Michael Wilson,WI
923,Marquette University,Tom Copa,WI
924,Marquette University,Jim McIlvaine,WI
925,Marquette University,Amal McCaskill,WI
926,Marquette University,Chris Crawford,WI
927,Marquette University,John Thomas,WI
928,Marquette University,Dwyane Wade,WI
929,Marquette University,Travis Diener,WI
930,Marquette University,Steve Novak,WI
931,Marquette University,Lazar Hayward,WI
932,Marquette University,Jimmy Butler,WI
933,Marquette University,Jae Crowder,WI
934,Marquette University,Vander Blue,WI
935,Marquette University,Dwight Buycks,WI
936,Marquette University,Jerel McNeal,WI
937,Marquette University,Henry Ellenson,WI
938,Marshall University,Gene James,WV
939,Marshall University,Bucky McConnell,WV
940,Marshall University,Hal Greer*,WV
941,Marshall University,Bob Allen,WV
942,Marshall University,Russ Lee,WV
943,Marshall University,Mike D'Antoni,WV
944,Marshall University,Tamar Slay,WV
945,Marshall University,Hassan Whiteside,WV
946,Master's College,Mike Penberthy,
947,McNeese State University,John Rudd,LA
948,McNeese State University,Edmund Lawrence,LA
949,McNeese State University,Joe Dumars*,LA
950,McNeese State University,Anthony Pullard,LA
951,McNeese State University,Tierre Brown,LA
952,Mercer University,Sam Mitchell,GA
953,Meridian Community College,Jamario Moon,MS
954,Miami University,Bob Brown,
955,Miami University,Wayne Embry*,
956,Miami University,Dave Zeller,
957,Miami University,Fred Foster,
958,Miami University,Phil Lumpkin,
959,Miami University,Ron Harper,
960,Miami University,Ira Newble,
961,Miami University,Bobby Brown,
962,Michigan State University,Bob Brannum,MI
963,Michigan State University,Matt Mazza,MI
964,Michigan State University,Al Ferrari,MI
965,Michigan State University,Bob Armstrong,MI
966,Michigan State University,Bob Anderegg,MI
967,Michigan State University,Johnny Green,MI
968,Michigan State University,Ed Burton,MI
969,Michigan State University,Horace Walker,MI
970,Michigan State University,Lindsay Hairston,MI
971,Michigan State University,Terry Furlow,MI
972,Michigan State University,Ralph Simpson,MI
973,Michigan State University,Greg Kelser,MI
974,Michigan State University,Jay Vincent,MI
975,Michigan State University,Ken Johnson,MI
976,Michigan State University,Sam Vincent,MI
977,Michigan State University,Scott Skiles,MI
978,Michigan State University,Kevin Johnson,MI
979,Michigan State University,Steve Smith,MI
980,Michigan State University,Mike Peplowski,MI
981,Michigan State University,Anthony Miller,MI
982,Michigan State University,Shawn Respert,MI
983,Michigan State University,Eric Snow,MI
984,Michigan State University,Jamie Feick,MI
985,Michigan State University,Stevin Smith,MI
986,Michigan State University,Matt Steigenga,MI
987,Michigan State University,Andre Miller,MI
988,Michigan State University,Mateen Cleaves,MI
989,Michigan State University,Morris Peterson,MI
990,Michigan State University,Charlie Bell,MI
991,Michigan State University,Zach Randolph,MI
992,Michigan State University,Jason Richardson,MI
993,Michigan State University,Alan Anderson,MI
994,Michigan State University,Maurice Ager,MI
995,Michigan State University,Shannon Brown,MI
996,Michigan State University,Paul Davis,MI
997,Michigan State University,Steven Smith,MI
998,Michigan State University,Draymond Green,MI
999,Michigan State University,Gary Harris,MI
1000,Michigan State University,Kalin Lucas,MI
1001,Michigan State University,Adreian Payne,MI
1002,Michigan State University,Keith Appling,MI
1003,Michigan State University,Branden Dawson,MI
1004,Michigan State University,Deyonta Davis,MI
1005,Michigan State University,Bryn Forbes,MI
1006,Michigan State University,Denzel Valentine,MI
1007,Middle Tennessee State University,Duane Washington,TN
1008,Middle Tennessee State University,Warren Kidd,TN
1009,Midland College,Nathan Jawai,TX
1010,Midwestern State University,Gary Suiter,
1011,Midwestern State University,Eric Dawson,
1012,Miles College,Thales McReynolds,AL
1013,Millersville University of Pennsylvania,Phil Walker,PA
1014,Mississippi State University,Bailey Howell*,MS
1015,Mississippi State University,Wiley Peck,MS
1016,Mississippi State University,Rickey Brown,MS
1017,Mississippi State University,Jeff Malone,MS
1018,Mississippi State University,Erick Dampier,MS
1019,Mississippi State University,Dontae' Jones,MS
1020,Mississippi State University,Tang Hamilton,MS
1021,Mississippi State University,Lawrence Roberts,MS
1022,Mississippi State University,Derrick Zimmerman,MS
1023,Mississippi State University,Dominique Jones,MS
1024,Mississippi State University,Arnett Moultrie,MS
1025,Mississippi State University,Jarvis Varnado,MS
1026,Mississippi Valley State University,Alphonso Ford,
1027,Mississippi Valley State University,Alton Ford,
1028,Missouri State University,Don Anielak,MO
1029,Missouri State University,Curtis Perry,MO
1030,Missouri State University,Winston Garland,MO
1031,Missouri State University,Blake Ahearn,MO
1032,Monmouth University,Alex Blackwell,NJ
1033,Morehead State University,Steve Hamilton,KY
1034,Morehead State University,Dan Swartz,KY
1035,Morehead State University,Henry Akin,KY
1036,Morehead State University,Lamar Green,KY
1037,Morehead State University,Bob McCann,KY
1038,Morehead State University,Kenneth Faried,KY
1039,Morehouse College,Harold Ellis,GA
1040,Morgan State University,Marvin Webster,MD
1041,Morgan State University,Martell Webster,MD
1042,Mount San Antonio College,Lloyd Daniels,CA
1043,Mount St. Mary's University,Fred Carter,MD
1044,Mount St. Mary's University,Bob Riley,MD
1045,Mount Union College,Bill Herman,OH
1046,Muhlenberg College,Jake Bornheimer,PA
1047,Muhlenberg College,Harry Donovan,PA
1048,Murray State University,Joe Fulks*,KY
1049,Murray State University,Dick Cunningham,KY
1050,Murray State University,Steve Johnson,KY
1051,Murray State University,Steffond Johnson,KY
1052,Murray State University,Jeff Martin,KY
1053,Murray State University,Popeye Jones,KY
1054,Murray State University,Marcus Brown,KY
1055,Murray State University,James Singleton,KY
1056,Murray State University,Isaiah Canaan,KY
1057,Murray State University,Markel Brown,KY
1058,Murray State University,Stanley Johnson,KY
1059,Murray State University,Cameron Payne,KY
1060,New Mexico Highlands University,Bill Dinwiddie,NM
1061,New Mexico State University,Bob Priddy,NM
1062,New Mexico State University,Jimmy Collins,NM
1063,New Mexico State University,Sam Lacey,NM
1064,New Mexico State University,John Williamson,NM
1065,New Mexico State University,Jim Bostic,NM
1066,New Mexico State University,Charlie Criss,NM
1067,New Mexico State University,Steve Colter,NM
1068,New Mexico State University,John Williams,NM
1069,New Mexico State University,Reggie Jordan,NM
1070,New Mexico State University,Jordan Williams,NM
1071,New Mexico State University,Sim Bhullar,NM
1072,New Mexico State University,Jonathan Gibson,NM
1073,New Mexico State University,Pascal Siakam,NM
1074,New York University,Joe Dolhon,NY
1075,New York University,Jerry Fleishman,NY
1076,New York University,Ray Lumpp,NY
1077,New York University,Chick Reiser,NY
1078,New York University,Dolph Schayes*,NY
1079,New York University,Jim Brasco,NY
1080,New York University,Dick Bunt,NY
1081,New York University,Boris Nachamkin,NY
1082,New York University,Cal Ramsey,NY
1083,New York University,Tom Sanders*,NY
1084,New York University,Happy Hairston,NY
1085,New York University,Barry Kramer,NY
1086,New York University,Mal Graham,NY
1087,New York University,Stan McKenzie,NY
1088,New York University,Jonathon Simmons,NY
1089,Niagara University,Zeke Sinicola,NY
1090,Niagara University,Joe Smyth,NY
1091,Niagara University,Larry Costello,NY
1092,Niagara University,Ed Fleming,NY
1093,Niagara University,Bo Erias,NY
1094,Niagara University,Boo Ellis,NY
1095,Niagara University,Al Butler,NY
1096,Niagara University,Calvin Murphy*,NY
1097,Niagara University,Manny Leaks,NY
1098,Niagara University,Andy Walker,NY
1099,Niagara University,Bo Ellis,NY
1100,Niagara University,Joe Arlauckas,NY
1101,Niagara University,Antoine Walker,NY
1102,Norfolk State University,Bob Dandridge,VA
1103,Norfolk State University,Ray Epps,VA
1104,Norfolk State University,David Pope,VA
1105,Norfolk State University,Kyle O'Quinn,VA
1106,North Carolina Agricultural and Technical State University,Al Attles,
1107,North Carolina Agricultural and Technical State University,Joe Binion,
1108,North Carolina Central University,Sam Jones*,
1109,North Carolina State University,Ed Bartels,NC
1110,North Carolina State University,Robert Hahn,NC
1111,North Carolina State University,Leo Katkaveck,NC
1112,North Carolina State University,Dick Dickey,NC
1113,North Carolina State University,Sam Ranzino,NC
1114,North Carolina State University,Ron Shavlik,NC
1115,North Carolina State University,Whitey Bell,NC
1116,North Carolina State University,John Richter,NC
1117,North Carolina State University,Ken Rohloff,NC
1118,North Carolina State University,Ed Biedenbach,NC
1119,North Carolina State University,Tom Burleson,NC
1120,North Carolina State University,David Thompson*,NC
1121,North Carolina State University,Monte Towe,NC
1122,North Carolina State University,Kenny Carr,NC
1123,North Carolina State University,Chuck Nevitt,NC
1124,North Carolina State University,Thurl Bailey,NC
1125,North Carolina State University,Sidney Lowe,NC
1126,North Carolina State University,Lorenzo Charles,NC
1127,North Carolina State University,Spud Webb,NC
1128,North Carolina State University,Nate McMillan,NC
1129,North Carolina State University,Cozell McQueen,NC
1130,North Carolina State University,Chris Washburn,NC
1131,North Carolina State University,Charles Shackleford,NC
1132,North Carolina State University,Chucky Brown,NC
1133,North Carolina State University,Chris Corchiani,NC
1134,North Carolina State University,Brian Howard,NC
1135,North Carolina State University,Rodney Monroe,NC
1136,North Carolina State University,Tom Gugliotta,NC
1137,North Carolina State University,Kevin Thompson,NC
1138,North Carolina State University,Anthony Grundy,NC
1139,North Carolina State University,Julius Hodge,NC
1140,North Carolina State University,Josh Powell,NC
1141,North Carolina State University,Cedric Simmons,NC
1142,North Carolina State University,Dennis Horner,NC
1143,North Carolina State University,Lorenzo Brown,NC
1144,North Park University,Mike Harper,
1145,Northeast Mississippi Community College,Qyntel Woods,
1146,Northeastern State University,Charlie Paulk,OK
1147,Northeastern State University,Richard Dumas,OK
1148,Northeastern University,Rick Weitzman,MA
1149,Northeastern University,Harry Barnes,MA
1150,Northeastern University,Perry Moss,MA
1151,Northeastern University,Reggie Lewis,MA
1152,Northeastern University,Harrison Barnes,MA
1153,Northern Arizona University,Wayne See,AZ
1154,Northern Arizona University,Andre Spencer,AZ
1155,Northern Arizona University,Dan McClintock,AZ
1156,Northern Illinois University,Bob Wood,IL
1157,Northern Illinois University,Paul Dawkins,IL
1158,Northern Illinois University,Donald Whiteside,IL
1159,Northern Illinois University,Xavier Silas,IL
1160,Northwestern Oklahoma State University,Gaylon Nickerson,OK
1161,Northwestern State University,John McConathy,
1162,Northwestern State University,Trey Gilder,
1163,Northwestern University,Max Morris,IL
1164,Northwestern University,Jake Fendley,IL
1165,Northwestern University,Ray Ragelis,IL
1166,Northwestern University,Nick Mantis,IL
1167,Northwestern University,Joe Ruklick,IL
1168,Northwestern University,Willie Jones,IL
1169,Northwestern University,Ralph Wells,IL
1170,Northwestern University,Jim Burns,IL
1171,Northwestern University,Don Adams,IL
1172,Northwestern University,Mark Sibley,IL
1173,Northwestern University,Wil Jones,IL
1174,Northwestern University,Billy McKinney,IL
1175,Northwestern University,Evan Eschmeyer,IL
1176,Northwestern University,Marcus Morris,IL
1177,Northwestern University,Markieff Morris,IL
1178,Oakland University,Rawle Marshall,MI
1179,Oakland University,Kay Felder,MI
1180,Ohio State University,Don Grate,
1181,Ohio State University,Les Pugh,
1182,Ohio State University,Arnie Risen*,
1183,Ohio State University,Bob Donham,
1184,Ohio State University,Dick Schnittker,
1185,Ohio State University,Neil Johnston*,
1186,Ohio State University,Joe Roberts,
1187,Ohio State University,John Havlicek*,
1188,Ohio State University,Mel Nowell,
1189,Ohio State University,Jerry Lucas*,
1190,Ohio State University,Larry Siegfried,
1191,Ohio State University,Gary Bradds,
1192,Ohio State University,Neil Johnson,
1193,Ohio State University,Bill Hosket,
1194,Ohio State University,Dave Sorenson,
1195,Ohio State University,Jim Cleamons,
1196,Ohio State University,Mark Minor,
1197,Ohio State University,Luke Witte,
1198,Ohio State University,Wardell Jackson,
1199,Ohio State University,Kelvin Ransey,
1200,Ohio State University,Jim Smith,
1201,Ohio State University,Herb Williams,
1202,Ohio State University,Clark Kellogg,
1203,Ohio State University,Granville Waiters,
1204,Ohio State University,Tony Campbell,
1205,Ohio State University,Brad Sellers,
1206,Ohio State University,Dennis Hopson,
1207,Ohio State University,Jim Jackson,
1208,Ohio State University,Chris Jent,
1209,Ohio State University,Lawrence Funderburke,
1210,Ohio State University,LaMark Baker,
1211,Ohio State University,Michael Redd,
1212,Ohio State University,Mike Conley,
1213,Ohio State University,Othello Hunter,
1214,Ohio State University,Kosta Koufos,
1215,Ohio State University,Greg Oden,
1216,Ohio State University,Byron Mullens,
1217,Ohio State University,Evan Turner,
1218,Ohio State University,Jared Sullinger,
1219,Ohio University,Dave Jamerson,OH
1220,Ohio University,Paul Graham,OH
1221,Ohio University,Gary Trent,OH
1222,Ohio University,Brandon Hunter,OH
1223,Ohio University,Maurice Ndour,OH
1224,Ohio Wesleyan University,Barry Clemens,OH
1225,Okaloosa-Walton Community College,Kedrick Brown,
1226,Oklahoma Baptist University,Al Tucker,OK
1227,Oklahoma Baptist University,Irv Kiffin,OK
1228,Oklahoma Baptist University,Alando Tucker,OK
1229,Oklahoma City University,Hub Reed,OK
1230,Oklahoma City University,Gary Hill,OK
1231,Oklahoma City University,Bud Koper,OK
1232,Oklahoma City University,Jim Ware,OK
1233,Oklahoma City University,Gary Gray,OK
1234,Oklahoma City University,Allen Leavell,OK
1235,Oklahoma State University,Joe Bradley,OK
1236,Oklahoma State University,Bob Harris,OK
1237,Oklahoma State University,Bob Harrison,OK
1238,Oklahoma State University,Pete Darcey,OK
1239,Oklahoma State University,Leroy Combs,OK
1240,Oklahoma State University,John Starks,OK
1241,Oklahoma State University,Byron Houston,OK
1242,Oklahoma State University,Thomas Jordan,OK
1243,Oklahoma State University,Corey Williams,OK
1244,Oklahoma State University,Brooks Thompson,OK
1245,Oklahoma State University,Bryant Reeves,OK
1246,Oklahoma State University,Corliss Williamson,OK
1247,Oklahoma State University,Desmond Mason,OK
1248,Oklahoma State University,Tony Allen,OK
1249,Oklahoma State University,Maurice Baker,OK
1250,Oklahoma State University,Joey Graham,OK
1251,Oklahoma State University,Stephen Graham,OK
1252,Oklahoma State University,Melvin Sanders,OK
1253,Oklahoma State University,Ivan McFarlin,OK
1254,Oklahoma State University,JamesOn Curry,OK
1255,Oklahoma State University,James Anderson,OK
1256,Oklahoma State University,Terrel Harris,OK
1257,Oklahoma State University,Marcus Smart,OK
1258,Old Dominion University,Dave Twardzik,VA
1259,Old Dominion University,Wilson Washington,VA
1260,Old Dominion University,Ronnie Valentine,VA
1261,Old Dominion University,Mark West,VA
1262,Old Dominion University,Kenny Gattison,VA
1263,Old Dominion University,Mark Davis,VA
1264,Old Dominion University,Chris Gatling,VA
1265,Old Dominion University,Cal Bowdler,VA
1266,Old Dominion University,Mario West,VA
1267,Old Dominion University,Kent Bazemore,VA
1268,Oral Roberts University,Anthony Roberts,OK
1269,Oral Roberts University,Alvin Scott,OK
1270,Oral Roberts University,Calvin Garrett,OK
1271,Oral Roberts University,Mark Acres,OK
1272,Oral Roberts University,Haywoode Workman,OK
1273,Oral Roberts University,Greg Sutton,OK
1274,Oral Roberts University,David Vaughn,OK
1275,Oral Roberts University,Anthony Roberson,OK
1276,Oral Roberts University,Larry Owens,OK
1277,Oral Roberts University,Andre Roberson,OK
1278,Oregon State University,John Mandic,OR
1279,Oregon State University,Red Rocha,OR
1280,Oregon State University,Dave Gambee,OR
1281,Oregon State University,Swede Halbrook,OR
1282,Oregon State University,Mel Counts,OR
1283,Oregon State University,Jay Carty,OR
1284,Oregon State University,Loy Petersen,OR
1285,Oregon State University,Gary Freeman,OR
1286,Oregon State University,Vic Bartolome,OR
1287,Oregon State University,Freddie Boyd,OR
1288,Oregon State University,Lonnie Shelton,OR
1289,Oregon State University,Ray Blume,OR
1290,Oregon State University,Mark Radford,OR
1291,Oregon State University,Lester Conner,OR
1292,Oregon State University,Charlie Sitton,OR
1293,Oregon State University,Jose Ortiz,OR
1294,Oregon State University,Gary Payton*,OR
1295,Oregon State University,Scott Haskin,OR
1296,Oregon State University,Brent Barry,OR
1297,Oregon State University,Corey Benjamin,OR
1298,Oregon State University,Jared Cunningham,OR
1299,Oregon State University,Eric Moreland,OR
1300,Oregon State University,Gary Payton,OR
1301,Ouachita Baptist University,Tom Patterson,AR
1302,Pennsylvania State University,Jesse Arnelle,PA
1303,Pennsylvania State University,Bob Weiss,PA
1304,Pennsylvania State University,Frank Brickowski,PA
1305,Pennsylvania State University,Tom Hovasse,PA
1306,Pennsylvania State University,John Amaechi,PA
1307,Pennsylvania State University,Calvin Booth,PA
1308,Pennsylvania State University,Joe Crispin,PA
1309,Pennsylvania State University,Tim Frazier,PA
1310,Pepperdine University,Bob Sims,CA
1311,Pepperdine University,Bob Warlick,CA
1312,Pepperdine University,Bird Averitt,CA
1313,Pepperdine University,Dennis Johnson*,CA
1314,Pepperdine University,Tony Fuller,CA
1315,Pepperdine University,Dane Suttle,CA
1316,Pepperdine University,Grant Gondrezick,CA
1317,Pepperdine University,Dwayne Polee,CA
1318,Pepperdine University,Eric White,CA
1319,Pepperdine University,Anthony Frederick,CA
1320,Pepperdine University,Doug Christie,CA
1321,Pepperdine University,Todd Fuller,CA
1322,Pepperdine University,DeMarco Johnson,CA
1323,Pepperdine University,DerMarr Johnson,CA
1324,Pepperdine University,Brandon Armstrong,CA
1325,Pepperdine University,Alex Acker,CA
1326,Pepperdine University,Yakhouba Diawara,CA
1327,Pfeiffer University,Antonio Harvey,NC
1328,Phillips University,John Turner,
1329,Pikeville College,Donnie Butcher,
1330,Portland State University,Freeman Williams,OR
1331,Portland State University,Frank Williams,OR
1332,Portland State University,Ime Udoka,OR
1333,Prairie View A&M University,Zelmo Beaty*,TX
1334,Princeton University,Mike Kearns,NJ
1335,Princeton University,Bill Bradley*,NJ
1336,Princeton University,John Hummer,NJ
1337,Princeton University,Geoff Petrie,NJ
1338,Princeton University,Ted Manakas,NJ
1339,Princeton University,Armond Hill,NJ
1340,Princeton University,Brian Taylor,NJ
1341,Princeton University,Steve Goodrich,NJ
1342,Providence College,Lenny Wilkens*,RI
1343,Providence College,Johnny Egan,RI
1344,Providence College,John Thompson*,RI
1345,Providence College,Jimmy Walker,RI
1346,Providence College,Mike Riordan,RI
1347,Providence College,Ernie DiGregorio,RI
1348,Providence College,Kevin Stacom,RI
1349,Providence College,Marvin Barnes,RI
1350,Providence College,Joe Hassett,RI
1351,Providence College,Otis Thorpe,RI
1352,Providence College,Billy Donovan,RI
1353,Providence College,Marty Conlon,RI
1354,Providence College,Eric Murdock,RI
1355,Providence College,Dickey Simpkins,RI
1356,Providence College,Marques Bragg,RI
1357,Providence College,Eric Williams,RI
1358,Providence College,Austin Croshere,RI
1359,Providence College,God Shammgod,RI
1360,Providence College,Jamel Thomas,RI
1361,Providence College,Ruben Garces,RI
1362,Providence College,Matt Barnes,RI
1363,Providence College,James Thomas,RI
1364,Providence College,Ryan Gomes,RI
1365,Providence College,MarShon Brooks,RI
