Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
4401,Frank Summers\SummFr00,2009,2014,5-169,TOT,NFL,27,16,3,0,0,1
4402,Phillip Supernaw\SupePh00,2012,2017,,TOT,NFL,56,7,6,0,0,1
4403,Brett Swain\SwaiBr00,2009,2011,7-217,TOT,NFL,27,2,3,0,0,1
4404,Damian Swann\SwanDa02,2015,2015,5-167,NOR,NFL,7,2,1,0,0,1
4405,Josh Sweat\SweaJo00,2018,2018,4-130,PHI,NFL,9,0,1,0,0,1
4406,Rod Sweeting\SweeRo01,2013,2014,,TOT,NFL,9,0,2,0,0,1
4407,Naufahu Tahi\TahiNa00,2009,2010,,MIN,NFL,30,9,2,0,0,1
4408,Brandon Taylor\TaylBr02,2012,2012,3-73,SDG,NFL,4,1,1,0,0,1
4409,Curtis Taylor\TaylCu99,2009,2013,7-219,TOT,NFL,13,0,4,0,0,1
4410,Kerry Taylor\TaylKe00,2012,2014,,TOT,NFL,10,4,3,0,0,1
4411,John Theus\TheuJo00,2016,2016,5-145,SFO,NFL,4,1,1,0,0,1
4412,Tyler Thigpen\ThigTy00,2009,2014,7-217,TOT,NFL,14,1,5,0,0,1
4413,Ahmad Thomas\ThomAh00,2018,2018,,CLT,NFL,2,1,1,0,0,1
4414,Dymonte Thomas\ThomDy01,2017,2018,,DEN,NFL,15,0,2,0,0,1
4415,Jaimie Thomas\ThomJa22,2010,2010,7-236,CLT,NFL,8,0,1,0,0,1
4416,Lawrence Thomas\ThomLa04,2016,2017,,NYJ,NFL,17,5,2,0,0,1
4417,Matthew Thomas\ThomMa00,2018,2018,,PIT,NFL,10,0,1,0,0,1
4418,Mike Thomas\ThomMi04,2016,2018,6-206,RAM,NFL,24,1,3,0,0,1
4419,Randy Thomas\ThomRa21,2009,2009,2-57,WAS,NFL,2,2,1,0,0,1
4420,Tavierre Thomas\ThomTa01,2018,2018,,CLE,NFL,13,0,1,0,0,1
4421,Brandyn Thompson\ThomBr00,2011,2011,7-213,WAS,NFL,6,0,1,0,0,1
4422,Carlos Thompson\ThomCa02,2015,2017,,TOT,NFL,5,1,2,0,0,1
4423,Chris Thompson\ThomCh05,2017,2017,,HTX,NFL,13,0,1,0,0,1
