Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
2601,Jason Baker\BakeJa20,2009,2011,,CAR,NFL,48,0,3,0,0,5
2602,Vick Ballard\BallVi00,2012,2014,5-170,CLT,NFL,17,13,3,0,0,5
2603,Alex Barron\BarrAl20,2009,2010,1-19,TOT,NFL,27,17,2,0,0,5
2604,Jessie Bates\BateJe00,2018,2018,2-54,CIN,NFL,16,16,1,0,0,5
2605,Kendell Beckwith\BeckKe00,2017,2017,3-107,TAM,NFL,16,11,1,0,0,5
2606,Kahlil Bell\BellKa00,2009,2013,,TOT,NFL,30,3,4,0,0,5
2607,Ladell Betts\BettLa00,2009,2010,2-56,TOT,NFL,18,3,2,0,0,5
2608,Dre' Bly\BlyxDr00,2009,2009,2-41,SFO,NFL,16,6,1,0,0,5
2609,Omar Bolden\BoldOm00,2012,2015,4-101,DEN,NFL,56,1,4,0,0,5
2610,Kyle Bosworth\BoswKy00,2011,2013,,TOT,NFL,39,5,3,0,0,5
2611,Nick Boyle\BoylNi00,2015,2018,5-171,RAV,NFL,48,26,4,0,0,5
2612,Ron Brace\BracRo99,2009,2012,2-40,NWE,NFL,39,7,4,0,0,5
2613,Josh Brent\BrenJo00,2010,2014,7-0,DAL,NFL,40,5,4,0,0,5
2614,Mike Brewster\BrewMi00,2012,2014,,TOT,NFL,26,10,3,0,0,5
2615,Chykie Brown\BrowCh05,2011,2016,5-164,TOT,NFL,59,6,5,0,0,5
2616,Derrick Burgess\BurgDe99,2009,2010,3-63,TOT,NFL,17,6,2,0,0,5
2617,James Burgess\BurgJa01,2017,2018,,CLE,NFL,17,11,2,0,0,5
2618,Plaxico Burress\BurrPl00,2011,2012,1-8,TOT,NFL,20,16,2,0,0,5
2619,Rashad Butler\ButlRa20,2009,2013,3-89,TOT,NFL,43,4,5,0,0,5
2620,Jeff Byers\ByerJe00,2012,2013,,CAR,NFL,22,7,2,0,0,5
2621,Jeremy Cain\CainJe20,2009,2014,,TOT,NFL,82,0,6,0,0,5
2622,Ibraheim Campbell\CampIb00,2015,2018,4-115,TOT,NFL,46,12,4,0,0,5
2623,Tank Carder\CardTa00,2012,2016,5-147,CLE,NFL,78,2,5,0,0,5
2624,David Carter\CartDa01,2011,2013,6-184,TOT,NFL,35,4,3,0,0,5
2625,Quinton Carter\CartQu01,2011,2014,4-108,DEN,NFL,30,10,3,0,0,5
2626,Jeff Charleston\CharJe99,2009,2011,,NOR,NFL,42,1,3,0,0,5
2627,Brandon Chillar\ChilBr20,2009,2010,4-130,GNB,NFL,20,5,2,0,0,5
