Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
4601,Jake Bequette\BequJa00,2012,2014,3-90,NWE,NFL,8,0,3,0,0,0
4602,Jordan Bernstine\BernJo00,2012,2012,7-217,WAS,NFL,1,0,1,0,0,0
4603,Damien Berry\BerrDa00,2012,2012,,RAV,NFL,,,1,0,0,0
4604,McLeod Bethel-Thompson\BethMc00,2012,2014,,TOT,NFL,0,,2,0,0,0
4605,Brennen Beyer\BeyeBr00,2016,2016,,RAV,NFL,1,0,1,0,0,0
4606,E.J. Bibbs\BibbE.00,2015,2015,,CLE,NFL,7,0,1,0,0,0
4607,Josh Bidwell\BidwJo20,2010,2010,4-133,WAS,NFL,4,0,1,0,0,0
4608,Adam Bighill\BighAd00,2017,2017,,NOR,NFL,3,0,1,0,0,0
4609,Jace Billingsley\BillJa00,2017,2017,,DET,NFL,2,0,1,0,0,0
4610,Brandon Bing\BingBr00,2012,2012,,NYG,NFL,,,1,0,0,0
4611,Darnell Bing\BingDa00,2009,2009,4-101,DET,NFL,4,0,1,0,0,0
4612,Ken Bishop\BishKe01,2014,2015,7-251,DAL,NFL,5,0,2,0,0,0
4613,Adam Bisnowaty\BisnAd00,2017,2017,6-200,NYG,NFL,1,1,1,0,0,0
4614,Conroy Black\BlacCo00,2012,2012,,DET,NFL,,,1,0,0,0
4615,Saeed Blacknall\BlacSa00,2018,2018,,RAI,NFL,1,0,1,0,0,0
4616,Philip Blake\BlakPh00,2012,2012,4-108,DEN,NFL,,,1,0,0,0
4617,Matt Blanchard\BlanMa00,2012,2014,,TOT,NFL,0,,2,0,0,0
4618,Kenneth Boatright\BoatKe00,2014,2014,,DAL,NFL,1,0,1,0,0,0
4619,Ike Boettger\BoetIk00,2018,2018,,BUF,NFL,4,0,1,0,0,0
4620,Rocky Boiman\BoimRo20,2009,2009,4-133,PIT,NFL,6,0,1,0,0,0
4621,Victor Bolden\BoldVi00,2017,2018,,TOT,NFL,15,0,2,0,0,0
4622,Brock Bolen\BoleBr00,2009,2011,,JAX,NFL,20,0,3,0,0,0
4623,Travis Bond\BondTr00,2013,2014,7-214,TOT,NFL,2,0,2,0,0,0
4624,Mike Boone\BoonMi00,2018,2018,,MIN,NFL,8,0,1,0,0,0
