k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
601,Andrew Cashner\cashnan01,0.8,2011,2019,24-32,163,226,201,16,32,2,1,1,8,7,0,82,0,17,1,0,2,0,.159,.187,.194,.381,*1/H7,CHC-SDP-MIA-TEX-BAL
602,Daniel Descalso\descada01,0.8,2011,2019,24-32,1042,2820,2454,317,581,124,25,48,289,297,28,580,20,26,22,33,24,15,.237,.322,.366,.688,4H56/37D19,STL-COL-ARI-CHC
603,Alex Dickerson\dickeal01,0.8,2015,2019,25-29,107,312,280,40,70,16,2,10,39,26,2,54,4,0,2,6,5,1,.250,.321,.429,.749,/*7HD,SDP
604,Wilmer Difo\difowi01,0.8,2015,2019,23-27,357,1032,930,131,230,29,11,15,77,83,15,197,3,9,7,17,23,5,.247,.309,.351,.659,46/H5978D,WSN
605,Daniel Hudson\hudsoda01,0.8,2011,2019,24-32,273,98,81,6,20,3,0,1,15,5,0,29,0,11,1,2,0,0,.247,.287,.321,.608,*1,ARI-PIT-LAD-TOR
606,Tony Kemp\kempto01,0.8,2016,2019,24-27,218,607,532,77,129,26,5,11,53,59,2,97,6,5,4,14,15,7,.242,.323,.372,.695,*7/H84D9,HOU
607,German Marquez\marquge01,0.8,2016,2019,21-24,77,159,140,11,33,3,1,1,19,0,0,39,0,19,0,3,0,0,.236,.236,.293,.529,/*1H,COL
608,Jose Pirela\pireljo01,0.8,2014,2019,24-29,290,966,892,112,230,54,8,16,80,61,1,192,5,3,5,24,11,7,.258,.307,.390,.698,47/H39D5,NYY-SDP
609,Harold Ramirez\ramirha02,0.8,2019,2019,24-24,27,110,105,15,33,7,0,1,12,4,0,21,1,0,0,2,1,0,.314,.345,.410,.755,/*8*97H,MIA
610,Austin Riley\rileyau01,0.8,2019,2019,22-22,27,114,107,21,31,3,1,10,29,4,1,36,3,0,0,2,0,1,.290,.333,.617,.950,/*75H,ATL
611,Jorge Soler\solerjo01,0.8,2014,2019,22-27,375,1411,1259,154,312,75,2,55,179,126,6,398,14,0,12,35,7,3,.248,.320,.442,.762,*9/D7H,CHC-KCR
612,Brandon Barnes\barnebr02,0.8,2012,2018,26-32,484,1274,1172,133,284,56,9,20,102,67,3,358,13,19,3,24,22,20,.242,.290,.357,.647,87H9/4D,HOU-COL-CLE
613,Ryan Flaherty\flahery01,0.8,2012,2018,25-31,533,1452,1303,148,281,50,5,37,141,112,12,353,19,11,6,22,10,2,.216,.286,.347,.633,45/H6397D1,BAL-ATL
614,Brent Suter\suterbr01,0.8,2016,2018,26-28,53,55,46,5,8,1,0,1,4,4,0,15,2,3,0,1,0,0,.174,.269,.261,.530,/*1H,MIL
615,Quintin Berry\berryqu01,0.8,2012,2017,27-32,132,345,305,53,80,10,6,3,33,26,0,86,7,6,1,4,29,2,.262,.333,.364,.697,/*7H89D,DET-BOS-BAL-CHC-MIL
616,Johnny Giavotella\giavojo01,0.8,2011,2017,23-29,360,1344,1246,148,318,65,11,14,125,65,0,178,8,13,12,27,15,7,.255,.294,.359,.653,*4/HD6,KCR-LAA-BAL
617,Shane Peterson\petersh01,0.8,2013,2017,25-29,125,322,287,32,73,12,3,4,28,26,1,79,2,3,2,5,2,1,.254,.319,.359,.677,/H789D3,OAK-MIL-TBR
618,Josmil Pinto\pintojo01,0.8,2013,2016,24-27,84,286,250,36,63,13,0,11,30,31,0,76,2,0,3,10,0,1,.252,.336,.436,.772,/*2DH,MIN-MIL
619,Pedro Ciriaco\ciriape01,0.8,2011,2015,25-29,264,643,606,67,161,31,6,5,50,20,4,123,4,9,4,8,35,7,.266,.292,.361,.653,/H564D7389,PIT-BOS-SDP-KCR-ATL
620,Cliff Lee\leecl02,0.8,2011,2014,32-35,107,250,223,16,42,5,1,2,18,4,0,83,0,22,1,2,2,2,.188,.202,.247,.448,*1/H,PHI
621,Justin Sellers\selleju01,0.8,2011,2014,25-28,99,287,252,33,50,13,1,3,17,25,1,59,4,5,1,4,1,1,.198,.280,.294,.574,/*645H,LAD-CLE
622,Jason Donald\donalja01,0.8,2011,2012,26-27,82,278,256,31,67,8,2,3,19,12,0,75,6,1,3,2,7,2,.262,.307,.344,.651,/465H7D8,CLE
623,Orlando Hudson\hudsoor01,0.8,2011,2012,33-34,205,737,658,75,151,18,11,10,71,69,7,135,2,4,4,11,25,6,.229,.303,.336,.639,*4/5HD,SDP-CHW
624,Carlos Zambrano\zambrca01,0.8,2011,2012,30-31,54,84,78,11,20,2,0,3,7,2,0,22,0,4,0,2,0,0,.256,.275,.397,.672,/*1H,CHC-MIA
625,Derrek Lee\leede02,0.8,2011,2011,35-35,113,477,435,55,116,17,2,19,59,33,2,110,6,0,3,14,2,1,.267,.325,.446,.771,*3,PIT-BAL
626,Edgar Renteria\renteed01,0.8,2011,2011,34-34,96,333,299,34,75,14,0,5,36,24,0,65,1,6,3,7,4,2,.251,.306,.348,.654,/*6H4,CIN
627,Freddy Sanchez\sanchfr01,0.8,2011,2011,33-33,60,261,239,21,69,15,1,3,24,13,3,35,3,5,1,2,0,1,.289,.332,.397,.730,/*4H,SFG
