k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1601,Chang-Yong Lim\limch01,0.0,2013,2013,37-37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC
1602,John Maine\mainejo01,0.0,2013,2013,32-32,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,/*1,MIA
1603,Victor Marte\martevi01,0.0,2012,2013,31-32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL
1604,Joe Martinez\martijo07,0.0,2012,2013,29-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI-CLE
1605,Luis Mendoza\mendolu01,0.0,2011,2013,27-29,4,7,7,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,.286,.286,.286,.571,/*1,KCR
1606,Brett Myers\myersbr01,0.0,2011,2013,30-32,65,71,63,3,10,1,0,0,0,4,0,22,0,4,0,2,0,0,.159,.209,.175,.384,*1,HOU-CHW-CLE
1607,Hideki Okajima\okajihi01,0.0,2011,2013,35-37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BOS-OAK
1608,Darren Oliver\oliveda02,0.0,2011,2013,40-42,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TEX-TOR
1609,Brian Omogrosso\omogrbr01,0.0,2012,2013,28-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW
1610,Pete Orr\orrpe01,0.0,2011,2013,32-34,96,183,170,14,42,8,1,0,11,9,2,45,2,2,0,0,6,1,.247,.293,.306,.599,/*H457,PHI
1611,Joe Ortiz\ortizjo05,0.0,2013,2013,22-22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1612,Luis Perez\perezlu01,0.0,2011,2013,26-28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1613,Andy Pettitte\pettian01,0.0,2012,2013,40-41,4,7,6,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,.167,.167,.167,.333,/*1,NYY
1614,David Purcey\purceda01,0.0,2011,2013,29-31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR-OAK-DET-CHW
1615,Clay Rapada\rapadcl01,0.0,2011,2013,30-32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,BAL-NYY-CLE
1616,Jon Rauch\rauchjo01,0.0,2011,2013,32-34,86,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1,TOR-NYM-MIA
1617,Chris Resop\resopch01,0.0,2011,2013,28-30,131,5,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,.000,.250,.000,.250,*1,PIT-OAK
1618,Greg Reynolds\reynogr01,0.0,2011,2013,25-27,18,21,15,1,2,1,0,0,0,0,0,8,0,6,0,0,0,0,.133,.133,.200,.333,/*1,COL-CIN
1619,Mariano Rivera\riverma01,0.0,2011,2013,41-43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,NYY
1620,Mauricio Robles\roblema01,0.0,2013,2013,24-24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI
1621,Chance Ruffin\ruffich01,0.0,2011,2013,22-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SEA-DET
1622,Mickey Storey\storemi01,0.0,2012,2013,26-27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,HOU-TOR
1623,Hisanori Takahashi\takahhi01,0.0,2011,2013,36-38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-PIT-CHC
1624,Jairo Asencio\valdelu01,0.0,2011,2013,28-30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL-CHC-CLE-BAL
1625,Gil Velazquez\velazgi01,0.0,2011,2013,31-33,24,65,63,2,16,1,0,0,3,1,0,11,0,0,1,0,0,0,.254,.262,.270,.531,/*5H4,LAA-MIA
1626,Brayan Villarreal\villabr02,0.0,2011,2013,24-26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET-BOS
1627,P.J. Walters\waltepj01,0.0,2011,2013,26-28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL-TOR-MIN
1628,Ross Wolf\wolfro01,0.0,2013,2013,30-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1629,Jeremy Accardo\accarje01,0.0,2011,2012,29-30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BAL-OAK-CLE
1630,Manny Acosta\acostma01,0.0,2011,2012,30-31,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
1631,Jonathan Albaladejo\albaljo01,0.0,2012,2012,29-29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1632,Jose Arredondo\arredjo01,0.0,2011,2012,27-28,114,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,*1,CIN
1633,Chad Beck\beckch01,0.0,2011,2012,26-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1634,Bill Bray\braybi01,0.0,2011,2012,28-29,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1635,Tyson Brummett\brummty01,0.0,2012,2012,27-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI
1636,Brian Bruney\brunebr01,0.0,2011,2012,29-30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW
1637,Matt Capps\cappsma01,0.0,2011,2012,27-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN
1638,Drew Carpenter\carpean01,0.0,2011,2012,26-27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-PHI-TOR
1639,Chris Carpenter\carpech01,0.0,2011,2012,36-37,35,88,77,2,12,3,0,0,5,2,0,27,0,9,0,0,0,0,.156,.177,.195,.372,/*1,STL
1640,Chris Carpenter\carpech02,0.0,2011,2012,25-26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC-BOS
1641,D.J. Carrasco\carradj01,0.0,2011,2012,34-35,42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,/*1,NYM
1642,Bobby Cassevah\cassebo01,0.0,2011,2012,25-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA
1643,Lendy Castillo\castile01,0.0,2012,2012,23-23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC
1644,Jaye Chapman\chapmja02,0.0,2012,2012,25-25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC
1645,Vinnie Chulk\chulkvi01,0.0,2012,2012,33-33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIL
1646,Todd Coffey\coffeto01,0.0,2011,2012,30-31,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,WSN-LAD
1647,Francisco Cordero\cordefr01,0.0,2011,2012,36-37,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CIN-HOU-TOR
1648,Juan Cruz\cruzju02,0.0,2011,2012,32-33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TBR-PIT
1649,Enerio Del Rosario\delroen01,0.0,2011,2012,25-26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,HOU
1650,Sam Demel\demelsa01,0.0,2011,2012,25-26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1651,Tim Dillard\dillati01,0.0,2011,2012,27-28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIL
1652,Jack Egbert\egberja01,0.0,2012,2012,29-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
