k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1001,Ryan Brett\brettry01,0.1,2015,2015,23-23,3,4,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,.667,.750,1.000,1.750,/*4H,TBR
1002,Buddy Carlyle\carlybu01,0.1,2011,2015,33-37,38,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,/*1,NYY-NYM
1003,Garin Cecchini\cecchga01,0.1,2014,2015,23-24,13,40,35,6,8,3,0,1,4,3,0,14,2,0,0,0,0,0,.229,.325,.400,.725,/*5HD3,BOS
1004,Randy Choate\choatra01,0.1,2011,2015,35-39,311,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.000,,,*1,FLA-MIA-LAD-STL
1005,Jason Garcia\garcija03,0.1,2015,2015,22-22,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.000,,,/*1,BAL
1006,Sam LeCure\lecursa01,0.1,2011,2015,27-31,224,14,11,0,1,1,0,0,0,1,0,6,1,1,0,0,0,0,.091,.231,.182,.413,*1,CIN
1007,Sugar Ray Marimon\marimsu01,0.1,2015,2015,26-26,14,7,6,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,.333,.429,.333,.762,/*1,ATL
1008,Justin Masterson\masteju01,0.1,2011,2015,26-30,15,26,24,1,6,0,0,0,2,0,0,8,0,2,0,0,0,0,.250,.250,.250,.500,*1,CLE-STL-BOS
1009,Brian Schlitter\schlibr01,0.1,2014,2015,28-29,67,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,/*1,CHC
1010,Aaron Thompson\thompaa01,0.1,2011,2015,24-28,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.000,,,/*1,PIT-MIN
1011,Pedro Villarreal\villape01,0.1,2012,2015,24-27,40,9,9,0,2,1,0,0,2,0,0,4,0,0,0,0,0,0,.222,.222,.333,.556,/*1,CIN
1012,Jackson Williams\willija01,0.1,2014,2015,28-29,14,30,24,2,5,1,0,1,4,6,0,5,0,0,0,1,1,0,.208,.367,.375,.742,/*2H,COL-SFG
1013,Gary Brown\brownga02,0.1,2014,2014,25-25,7,7,7,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,.429,.429,.429,.857,/*8H,SFG
1014,Casey Coleman\colemca01,0.1,2011,2014,23-26,36,32,28,1,5,1,1,0,0,0,0,7,0,4,0,0,0,0,.179,.179,.286,.464,/*1H,CHC-KCR
1015,Alex Gonzalez\gonzaal02,0.1,2011,2014,34-37,223,832,788,85,182,34,2,20,81,33,1,171,4,4,3,23,3,1,.231,.264,.355,.620,*6/3H5,ATL-MIL-DET
1016,Mike Kickham\kickhmi01,0.1,2013,2014,24-25,12,6,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.167,.167,.333,.500,/*1,SFG
1017,Daisuke Matsuzaka\matsuda01,0.1,2011,2014,30-33,39,32,25,0,5,0,0,0,2,1,0,12,0,6,0,0,0,0,.200,.231,.200,.431,/*1,BOS-NYM
1018,Donnie Murphy\murphdo01,0.1,2011,2014,28-31,179,520,469,57,102,21,3,20,58,32,3,142,12,2,5,7,3,2,.217,.282,.403,.685,/5H46D3,FLA-MIA-CHC-TEX
1019,Brad Penny\pennybr01,0.1,2011,2014,33-36,32,13,11,1,2,1,0,0,0,0,0,6,0,2,0,0,0,0,.182,.182,.273,.455,/*1,DET-SFG-MIA
1020,Guilder Rodriguez\rodrigu02,0.1,2014,2014,30-30,7,14,12,2,2,0,0,0,1,1,0,5,0,1,0,0,0,0,.167,.231,.167,.397,/H54D6,TEX
1021,Joe Saunders\saundjo01,0.1,2011,2014,30-33,52,119,101,3,15,1,0,0,5,5,0,24,0,12,1,1,0,0,.149,.187,.158,.345,*1/H,ARI-BAL-SEA-TEX
1022,Gus Schlosser\schlogu01,0.1,2014,2014,25-25,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,/*1,ATL
1023,Raul Valdes\valdera02,0.1,2011,2014,33-36,47,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,.333,.333,.667,1.000,/*1,STL-NYY-PHI-HOU
