k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1437,Jo-Jo Reyes\reyesjo03,0.0,2011,2016,26-31,2,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250,.250,.250,.500,/*1,TOR-BAL-LAA-MIA
1438,David Rollins\rollida01,0.0,2015,2016,25-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SEA
1439,Jorge Rondon\rondojo01,0.0,2014,2016,26-28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL-COL-BAL-PIT
1440,Michael Roth\rothmi01,0.0,2013,2016,23-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA-TEX
1441,Ben Rowen\rowenbe01,0.0,2014,2016,25-27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-MIL
1442,Patrick Schuster\schuspa01,0.0,2016,2016,25-25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI-OAK
1443,Blake Smith\smithbl01,0.0,2016,2016,28-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW
1444,Jake Smith\smithja06,0.0,2016,2016,26-26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP
1445,Layne Somsen\somsela01,0.0,2016,2016,27-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1446,Tyler Sturdevant\sturdty01,0.0,2016,2016,30-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TBR
1447,Eric Surkamp\surkaer01,0.0,2011,2016,23-28,8,11,9,0,1,0,0,0,1,1,0,5,0,1,0,0,0,0,.111,.200,.111,.311,/*1,SFG-CHW-LAD-OAK
1448,Matt Thornton\thornma01,0.0,2011,2016,34-39,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CHW-BOS-WSN-NYY-SDP
1449,Daniel Webb\webbda01,0.0,2013,2016,23-26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW
1450,Ryan Webb\webbry01,0.0,2011,2016,25-30,181,4,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.250,.250,.250,.500,*1,FLA-MIA-BAL-CLE-TBR
1451,Joe Wieland\wielajo01,0.0,2012,2016,22-26,10,13,12,0,2,1,0,0,2,0,0,5,0,1,0,0,0,0,.167,.167,.250,.417,/*1,SDP-LAD-SEA
1452,Madison Younginer\youngma03,0.0,2016,2016,25-25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1453,R.J. Alvarez\alvarrj01,0.0,2014,2015,23-24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-OAK
1454,Scott Atchison\atchisc01,0.0,2011,2015,35-39,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,BOS-NYM-CLE
1455,Phillippe Aumont\aumonph01,0.0,2012,2015,23-26,44,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,.500,.000,.500,/*1,PHI
1456,Scott Baker\bakersc02,0.0,2011,2015,29-33,8,14,12,0,2,1,0,0,0,0,0,5,0,2,0,0,0,0,.167,.167,.250,.417,/*1,MIN-CHC-TEX-LAD
1457,Aaron Barrett\barreaa01,0.0,2014,2015,26-27,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,WSN
1458,Yhonathan Barrios\barriyh01,0.0,2015,2015,23-23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIL
1459,Dallas Beeler\beeleda01,0.0,2014,2015,25-26,5,7,7,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,.286,.286,.429,.714,/*1,CHC
1460,Rafael Betancourt\betanra01,0.0,2011,2015,36-40,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,COL
1461,Brett Bochy\bochybr02,0.0,2014,2015,26-27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SFG
1462,Danny Burawa\burawda01,0.0,2015,2015,26-26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL-NYY
1463,David Carpenter\carpeda02,0.0,2012,2015,24-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA-ATL
1464,Angel Castro\castran01,0.0,2015,2015,32-32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,OAK
1465,Bruce Chen\chenbr01,0.0,2011,2015,34-38,7,9,8,1,2,0,0,0,0,0,0,5,0,1,0,0,0,0,.250,.250,.250,.500,*1/H,KCR-CLE
1466,Erik Cordier\cordier01,0.0,2014,2015,28-29,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,/*1,SFG-MIA
1467,John Cornely\cornejo01,0.0,2015,2015,26-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1468,Neal Cotts\cottsne01,0.0,2013,2015,33-35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TEX-MIL-MIN
1469,Sam Deduno\dedunsa01,0.0,2011,2015,27-31,8,7,6,0,1,1,0,0,0,0,0,5,0,1,0,0,0,0,.167,.167,.333,.500,/*1,SDP-MIN-HOU
1470,Jason Frasor\frasoja01,0.0,2011,2015,33-37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TOR-CHW-TEX-KCR-ATL
1471,Kyuji Fujikawa\fujikky01,0.0,2013,2015,32-34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC-TEX
1472,Charlie Furbush\furbuch01,0.0,2011,2015,25-29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SEA-DET
1473,Frank Garces\garcefr01,0.0,2014,2015,24-25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP
1474,Brandon Gomes\gomesbr01,0.0,2011,2015,26-30,13,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000,.500,.000,.500,*1,TBR
1475,Kevin Gregg\greggke01,0.0,2011,2015,33-37,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,BAL-CHC-MIA-CIN
1476,Nick Hagadone\hagadni01,0.0,2011,2015,25-29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CLE
1477,Marcus Hatley\hatlema01,0.0,2015,2015,27-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL
1478,Taylor Hill\hillta01,0.0,2014,2015,25-26,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,/*1,WSN
1479,Colt Hynes\hynesco01,0.0,2013,2015,28-30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-TOR
1480,Juan Jaime\jaimeju01,0.0,2014,2015,26-27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1481,Casey Janssen\janssca01,0.0,2011,2015,29-33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TOR-WSN
1482,Ryan Kelly\kellyry01,0.0,2015,2015,27-27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1483,Guido Knudson\knudsgu01,0.0,2015,2015,25-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1484,Michael Kohn\kohnmi01,0.0,2011,2015,25-29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-ATL
1485,Aaron Laffey\laffeaa01,0.0,2011,2015,26-30,9,6,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.167,.167,.167,.333,/*1,SEA-NYY-TOR-NYM-COL
1486,Bobby LaFromboise\lafrobo01,0.0,2013,2015,27-29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SEA-PIT
1487,Raudel Lazo\lazora01,0.0,2015,2015,26-26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIA
1488,C.C. Lee\leech01,0.0,2013,2015,26-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CLE
1489,Ryan Lollis\lolliry01,0.0,2015,2015,28-28,5,13,12,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,.167,.231,.167,.397,/*7H9,SFG
1490,Lucas Luetge\luetglu01,0.0,2012,2015,25-28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SEA
1491,Nick Masset\masseni01,0.0,2011,2015,29-33,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CIN-COL-MIA-ATL
1492,Scott McGough\mcgousc01,0.0,2015,2015,25-25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIA
1493,Yoervis Medina\medinyo01,0.0,2013,2015,24-26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SEA-CHC
1494,Roman Mendez\mendero01,0.0,2014,2015,23-24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-BOS
1495,Angel Nesbitt\nesbian01,0.0,2015,2015,24-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1496,Rico Noel\noelri02,0.0,2015,2015,26-26,15,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,5,2,.500,.500,.500,1.000,/*HD9,NYY
1497,Hector Noesi\noesihe01,0.0,2011,2015,24-28,12,8,8,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,.250,.250,.250,.500,*1,NYY-SEA-TEX-CHW
1498,Edgar Olmos\olmosed01,0.0,2013,2015,23-25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIA-SEA
1499,Manny Parra\parrama01,0.0,2012,2015,29-32,198,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,.333,.333,.667,*1,MIL-CIN
1500,Carlos Peguero\pegueca01,0.0,2011,2015,24-28,103,319,289,29,56,10,3,13,37,24,3,126,4,0,2,1,3,1,.194,.263,.384,.647,/*79HD8,SEA-KCR-TEX-BOS
1501,Vinnie Pestano\pestavi01,0.0,2011,2015,26-30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CLE-LAA
1502,Rob Rasmussen\rasmuro01,0.0,2014,2015,25-26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR-SEA
1503,Chris Rearick\rearich01,0.0,2015,2015,27-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP
1504,Chris Reed\reedch01,0.0,2015,2015,25-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIA
1505,Kenny Roberts\roberke02,0.0,2015,2015,27-27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI-COL
1506,Seth Rosin\rosinse01,0.0,2014,2015,25-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-PHI
1507,Rafael Soriano\soriara01,0.0,2011,2015,31-35,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,NYY-WSN-CHC
1508,Cody Stanley\stanlco01,0.0,2015,2015,26-26,9,10,10,2,4,1,0,0,3,0,0,3,0,0,0,0,0,0,.400,.400,.500,.900,/*H2,STL
1509,Matt Stites\stitema01,0.0,2014,2015,24-25,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1510,Travis Tartamella\tartatr01,0.0,2015,2015,27-27,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,/*2,STL
1511,Joey Terdoslavich\terdojo01,0.0,2013,2015,24-26,92,162,145,17,32,10,1,1,10,15,2,41,1,0,1,3,1,0,.221,.296,.324,.620,/*H379,ATL
1512,Joe Thatcher\thatcjo01,0.0,2011,2015,29-33,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SDP-ARI-LAA-HOU
1513,Caleb Thielbar\thielca01,0.0,2013,2015,26-28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,MIN
1514,Ian Thomas\thomaia01,0.0,2014,2015,27-28,30,4,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,.000,.250,.000,.250,/*1,ATL-LAD
1515,Donnie Veal\vealdo01,0.0,2012,2015,27-30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW-ATL
1516,Jordan Walden\waldejo01,0.0,2011,2015,23-27,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-ATL-STL
1517,Matt West\westma03,0.0,2014,2015,25-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-LAD
1518,Alfredo Aceves\aceveal01,0.0,2011,2014,28-31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,BOS-NYY
1519,Mike Adams\adamsmi03,0.0,2011,2014,32-35,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SDP-TEX-PHI
1520,Hector Ambriz\ambrihe01,0.0,2012,2014,28-30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,HOU-SDP
1521,Josh Beckett\beckejo02,0.0,2011,2014,31-34,38,82,73,4,9,3,0,0,2,2,0,30,0,7,0,2,0,0,.123,.147,.164,.311,/*1,BOS-LAD
1522,Heath Bell\bellhe01,0.0,2011,2014,33-36,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SDP-MIA-ARI-TBR
1523,Trevor Bell\belltr01,0.0,2011,2014,24-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA-CIN
1524,Bruce Billings\billibr02,0.0,2011,2014,25-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL-OAK-NYY
1525,Vic Black\blackvi01,0.0,2013,2014,25-26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PIT-NYM
1526,Francisley Bueno\buenofr01,0.0,2012,2014,31-33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,KCR
1527,Jared Burton\burtoja01,0.0,2011,2014,30-33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CIN-MIN
1528,Keith Butler\butleke01,0.0,2013,2014,24-25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL
1529,Shawn Camp\campsh01,0.0,2011,2014,35-38,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TOR-CHC-PHI
1530,Aaron Crow\crowaa01,0.0,2011,2014,24-27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,KCR
1531,Matt Daley\daleyma01,0.0,2011,2014,29-32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL-NYY
1532,Dane De La Rosa\delarda01,0.0,2011,2014,28-31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TBR-LAA
1533,Jorge De Leon\deleojo02,0.0,2013,2014,25-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,HOU
1534,Ryan Dennick\denniry01,0.0,2014,2014,27-27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1535,Darin Downs\downsda02,0.0,2012,2014,27-29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET-HOU
1536,Scott Downs\downssc01,0.0,2011,2014,35-38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-ATL-KCR-CHW
1537,Jake Dunning\dunnija01,0.0,2013,2014,24-25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SFG
1538,Scott Elbert\elbersc01,0.0,2011,2014,25-28,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAD
1539,Kyle Farnsworth\farnsky01,0.0,2011,2014,35-38,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TBR-PIT-NYM-HOU
1540,Stephen Fife\fifest01,0.0,2012,2014,25-27,17,29,27,1,3,1,0,0,0,1,0,15,0,1,0,0,0,0,.111,.143,.148,.291,/*1,LAD
1541,Alfredo Figaro\figaral01,0.0,2013,2014,28-29,37,13,13,1,3,0,0,0,2,0,0,5,0,0,0,0,0,0,.231,.231,.231,.462,/*1,MIL
1542,Pedro Figueroa\figuepe01,0.0,2012,2014,26-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,OAK-TEX
1543,Eric Fornataro\fornaer01,0.0,2014,2014,26-26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL
1544,Frank Francisco\francfr01,0.0,2011,2014,31-34,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TOR-NYM-CHW
1545,Miguel Gonzalez\gonzami05,0.0,2014,2014,30-30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI
1546,Matt Guerrier\guerrma02,0.0,2011,2014,32-35,136,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.000,.500,.000,.500,*1,LAD-CHC-MIN
1547,Bradin Hagens\hagenbr01,0.0,2014,2014,25-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1548,John Holdzkom\holdzjo01,0.0,2014,2014,26-26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PIT
1549,Mario Hollands\hollama01,0.0,2014,2014,25-25,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI
