RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
24,Detroit,81,2917209,36014,87.3,2014,mlb
25,Boston,81,2956089,36494,98.5,2014,mlb
26,LA Angels,81,3095935,38221,84.2,2014,mlb
27,San Francisco,81,3368697,41588,99.2,2014,mlb
28,NY Yankees,80,3401624,42520,85.7,2014,mlb
29,St. Louis,81,3540649,43711,99.4,2014,mlb
30,LA Dodgers,81,3782337,46695,83.4,2014,mlb
1,Tampa Bay,81,1247668,15403,45.2,2015,mlb
2,Cleveland,78,1388905,17806,41.0,2015,mlb
3,Miami,81,1752235,21632,57.8,2015,mlb
4,Oakland,81,1768175,21829,62.3,2015,mlb
5,Chicago White Sox,80,1755810,21947,54.0,2015,mlb
6,Philadelphia,78,1831080,23475,53.8,2015,mlb
7,Atlanta,80,2001392,25017,50.3,2015,mlb
8,Arizona,81,2080145,25680,52.8,2015,mlb
9,Houston,81,2153585,26587,64.9,2015,mlb
10,Seattle,81,2193581,27081,56.6,2015,mlb
11,Minnesota,81,2220054,27408,69.4,2015,mlb
12,Baltimore,79,2320590,29374,65.3,2015,mlb
13,Cincinnati,81,2419506,29870,70.6,2015,mlb
14,San Diego,81,2459752,30367,71.1,2015,mlb
15,Texas,81,2491875,30763,62.6,2015,mlb
16,Pittsburgh,81,2498596,30846,80.4,2015,mlb
17,Colorado,80,2506789,31334,62.1,2015,mlb
18,Milwaukee,81,2542558,31389,74.9,2015,mlb
19,NY Mets,81,2569753,31725,75.9,2015,mlb
20,Washington,81,2619843,32343,77.9,2015,mlb
21,Kansas City,81,2708549,33438,88.2,2015,mlb
22,Detroit,81,2726048,33654,81.6,2015,mlb
23,Toronto,81,2794891,34504,70.0,2015,mlb
24,Boston,81,2880694,35564,94.8,2015,mlb
25,Chicago Cubs,81,2959812,36540,88.8,2015,mlb
26,LA Angels,81,3012765,37194,81.9,2015,mlb
27,NY Yankees,80,3193795,39922,80.4,2015,mlb
28,San Francisco,81,3375882,41677,99.4,2015,mlb
29,St. Louis,81,3520889,43467,98.8,2015,mlb
30,LA Dodgers,81,3764815,46479,83.0,2015,mlb
1,Tampa Bay,81,1286163,15878,46.6,2016,mlb
2,Oakland,81,1521506,18784,53.6,2016,mlb
3,Cleveland,81,1591667,19650,45.2,2016,mlb
4,Miami,80,1712417,21405,57.2,2016,mlb
5,Chicago White Sox,80,1746293,21828,53.7,2016,mlb
6,Cincinnati,81,1894085,23383,55.3,2016,mlb
7,Philadelphia,81,1915144,23643,54.2,2016,mlb
8,Minnesota,81,1963912,24245,61.4,2016,mlb
9,Atlanta,81,2020914,24949,50.8,2016,mlb
10,Arizona,81,2036216,25138,51.7,2016,mlb
11,Baltimore,81,2172344,26819,59.0,2016,mlb
12,Seattle,81,2267928,27999,58.5,2016,mlb
13,Pittsburgh,80,2249021,28112,73.3,2016,mlb
14,Houston,81,2306623,28476,69.5,2016,mlb
15,Milwaukee,81,2314614,28575,68.2,2016,mlb
16,San Diego,81,2351426,29029,68.0,2016,mlb
17,Washington,81,2481938,30641,73.8,2016,mlb
18,Detroit,80,2493859,31173,75.6,2016,mlb
19,Kansas City,81,2557712,31576,83.3,2016,mlb
20,Colorado,81,2602524,32129,63.6,2016,mlb
21,Texas,81,2710402,33461,68.1,2016,mlb
22,NY Mets,80,2789602,34870,83.4,2016,mlb
23,Boston,81,2955434,36486,97.2,2016,mlb
24,LA Angels,81,3016142,37236,82.0,2016,mlb
25,NY Yankees,81,3063405,37819,76.2,2016,mlb
26,Chicago Cubs,81,3232420,39906,97.0,2016,mlb
27,San Francisco,81,3365256,41546,99.1,2016,mlb
28,Toronto,81,3392299,41880,85.0,2016,mlb
29,St. Louis,81,3444490,42524,96.7,2016,mlb
30,LA Dodgers,81,3703312,45719,81.6,2016,mlb
1,Tampa Bay,80,1253619,15670,45.6,2017,mlb
2,Oakland,80,1475721,18446,52.6,2017,mlb
3,Miami,81,1651997,20395,54.2,2017,mlb
4,Chicago White Sox,79,1629470,20626,50.8,2017,mlb
5,Cincinnati,81,1836917,22677,53.6,2017,mlb
6,Pittsburgh,81,1919447,23696,62.5,2017,mlb
7,Philadelphia,79,1905354,24118,55.3,2017,mlb
8,Baltimore,81,2028424,25042,55.1,2017,mlb
9,Cleveland,81,2048138,25285,58.2,2017,mlb
10,Minnesota,80,2051279,25640,64.9,2017,mlb
11,Arizona,81,2134375,26350,54.2,2017,mlb
12,Seattle,81,2135445,26363,55.1,2017,mlb
13,San Diego,81,2138491,26401,61.8,2017,mlb
14,Kansas City,80,2220370,27754,73.2,2017,mlb
15,Detroit,81,2321599,28661,69.5,2017,mlb
16,Houston,81,2403671,29674,72.9,2017,mlb
17,NY Mets,80,2460622,30757,73.6,2017,mlb
18,Atlanta,81,2505252,30929,75.3,2017,mlb
19,Texas,81,2507760,30960,63.0,2017,mlb
20,Washington,81,2524980,31172,75.1,2017,mlb
21,Milwaukee,81,2558722,31589,75.4,2017,mlb
22,Boston,81,2917678,36020,95.9,2017,mlb
23,Colorado,81,2953650,36464,72.2,2017,mlb
24,LA Angels,81,3019583,37278,82.1,2017,mlb
25,Chicago Cubs,81,3199562,39500,96.0,2017,mlb
26,Toronto,81,3203886,39554,80.3,2017,mlb
27,NY Yankees,79,3146966,39835,80.2,2017,mlb
28,San Francisco,81,3303652,40785,97.3,2017,mlb
29,St. Louis,81,3447937,42567,96.8,2017,mlb
30,LA Dodgers,81,3765856,46492,83.0,2017,mlb
1,Miami,81,811104,10013,26.7,2018,mlb
2,Tampa Bay,81,1154973,14258,41.8,2018,mlb
3,Pittsburgh,78,1465316,18786,49.0,2018,mlb
4,Oakland,81,1573616,19427,55.4,2018,mlb
5,Baltimore,78,1564192,20053,44.1,2018,mlb
6,Chicago White Sox,80,1608817,20110,50.1,2018,mlb
7,Cincinnati,81,1629356,20115,47.5,2018,mlb
