,Player,Year,Tm,AV,percentile_av,state
0,Aaron Rodgers,2011,GNB,23.0,100,CA
1,Tom Brady,2011,NWE,21.0,99,MI
2,Drew Brees,2011,NOR,20.0,99,IN
3,Patrick Peterson,2011,ARI,20.0,99,LA
4,Jahri Evans,2011,NOR,19.0,99,PA
5,Cam Newton,2011,CAR,19.0,99,AL
6,Cam Newton,2011,CAR,19.0,99,SC
7,Carl Nicks,2011,NOR,19.0,99,NE
8,NaVorro Bowman,2011,SFO,18.0,99,PA
9,Haloti Ngata,2011,BAL,18.0,99,OR
10,Justin Smith,2011,SFO,18.0,99,IN
11,Justin Smith,2011,SFO,18.0,99,MO
12,Philip Rivers,2011,SDG,17.0,99,NC
13,Terrell Suggs,2011,BAL,17.0,99,AZ
14,Wes Welker,2011,NWE,17.0,99,TX
15,Ray Rice,2011,BAL,16.0,99,NJ
16,Matthew Stafford,2011,DET,16.0,99,GA
17,Scott Wells,2011,GNB,16.0,99,TN
18,Patrick Willis,2011,SFO,16.0,99,MS
19,Calvin Johnson,2011,DET,15.0,99,GA
20,Derrick Johnson,2011,KAN,15.0,99,WA
21,Derrick Johnson,2011,KAN,15.0,99,TX
22,Ryan Kalil,2011,CAR,15.0,99,SC
23,Logan Mankins,2011,NWE,15.0,99,CA
24,Eli Manning,2011,NYG,15.0,99,MS
25,Jordy Nelson,2011,GNB,15.0,99,KA
26,Troy Polamalu,2011,PIT,15.0,99,SC
27,Darrelle Revis,2011,NYJ,15.0,99,PA
28,Matt Ryan,2011,ATL,15.0,99,MA
29,DeMarcus Ware,2011,DAL,15.0,99,AL
30,Jared Allen,2011,MIN,14.0,98,ID
31,Geno Atkins,2011,CIN,14.0,98,GA
32,Brian Cushing,2011,HOU,14.0,98,SC
33,Rob Gronkowski,2011,NWE,14.0,98,AZ
34,Jason Pierre-Paul,2011,NYG,14.0,98,FL
35,Carlos Rogers,2011,SFO,14.0,98,AL
36,Steve Smith,2011,CAR,14.0,98,MI
37,Steve Smith,2011,CAR,14.0,98,UT
38,Steve Smith,2011,CAR,14.0,98,OR
39,Steve Smith,2011,CAR,14.0,98,SC
40,Steve Smith,2011,CAR,14.0,98,PA
41,Jason Babin,2011,PHI,13.0,97,MI
42,Duane Brown,2011,HOU,13.0,97,VA
43,Jermon Bushrod,2011,NOR,13.0,97,MD
44,Victor Cruz,2011,NYG,13.0,97,MA
45,Arian Foster,2011,HOU,13.0,97,TN
46,Jimmy Graham,2011,NOR,13.0,97,FL
47,Maurice Jones-Drew,2011,JAX,13.0,97,CA
48,Johnathan Joseph,2011,HOU,13.0,97,SC
49,Ryan Mathews,2011,SDG,13.0,97,CA
50,Jason Peters,2011,PHI,13.0,97,AR
51,Tony Romo,2011,DAL,13.0,97,IL
52,Alex Smith,2011,SFO,13.0,97,UT
53,Alex Smith,2011,SFO,13.0,97,CA
54,Darren Sproles,2011,NOR,13.0,97,KA
55,Joe Staley,2011,SFO,13.0,97,MI
56,Michael Vick,2011,PHI,13.0,97,VA
57,Cameron Wake,2011,MIA,13.0,97,PA
58,Brian Waters,2011,NWE,13.0,97,TX
59,Roddy White,2011,ATL,13.0,97,AL
60,Vince Wilfork,2011,NWE,13.0,97,FL
61,Joe Flacco,2011,BAL,12.0,97,PA
62,London Fletcher,2011,WAS,12.0,97,OH
63,Tamba Hali,2011,KAN,12.0,97,PA
64,Percy Harvin,2011,MIN,12.0,97,FL
65,Vincent Jackson,2011,SDG,12.0,97,CO
66,T.J. Lang,2011,GNB,12.0,97,MI
67,Von Miller,2011,DEN,12.0,97,TX
68,Julius Peppers,2011,CHI,12.0,97,NC
69,Maurkice Pouncey,2011,PIT,12.0,97,FL
70,Ben Roethlisberger,2011,PIT,12.0,97,OH
71,Eric Weddle,2011,SDG,12.0,97,UT
72,Charles Woodson,2011,GNB,12.0,97,MI
73,Marshal Yanda,2011,BAL,12.0,97,IA
74,Lance Briggs,2011,CHI,11.0,96,AZ
75,Brandon Browner,2011,SEA,11.0,96,OR
76,Marques Colston,2011,NOR,11.0,96,NY
77,Andy Dalton,2011,CIN,11.0,96,TX
78,Ryan Fitzpatrick,2011,BUF,11.0,96,MA
79,David Harris,2011,NYJ,11.0,96,MI
80,D'Qwell Jackson,2011,CLE,11.0,96,MD
81,Greg Jennings,2011,GNB,11.0,96,MI
82,Brandon Marshall,2011,MIA,11.0,96,FL
83,Brandon Marshall,2011,MIA,11.0,96,NV
84,LeSean McCoy,2011,PHI,11.0,96,PA
85,Chris Myers,2011,HOU,11.0,96,FL
86,Josh Sitton,2011,GNB,11.0,96,FL
87,Antonio Smith,2011,HOU,11.0,96,OK
88,Earl Thomas,2011,SEA,11.0,96,TX
89,Earl Thomas,2011,SEA,11.0,96,TX
90,Joe Thomas,2011,CLE,11.0,96,WI
91,Joe Thomas,2011,CLE,11.0,96,SC
92,Joe Thomas,2011,CLE,11.0,96,MS
93,Michael Turner,2011,ATL,11.0,96,IL
94,Justin Blalock,2011,ATL,10.0,95,TX
95,Antonio Brown,2011,PIT,10.0,95,MI
96,Antonio Brown,2011,PIT,10.0,95,WV
97,Kevin Burnett,2011,MIA,10.0,95,TN
98,Reggie Bush,2011,MIA,10.0,95,SC
99,Calais Campbell,2011,ARI,10.0,95,FL
100,Tyson Clabo,2011,ATL,10.0,95,NC
101,Ryan Clark,2011,PIT,10.0,95,LA
102,Jeromey Clary,2011,SDG,10.0,95,KA
103,Karlos Dansby,2011,MIA,10.0,95,AL
104,Elvis Dumervil,2011,DEN,10.0,95,KY
105,Larry Fitzgerald,2011,ARI,10.0,95,PA
106,Matt Forte,2011,CHI,10.0,95,LA
107,Frank Gore,2011,SFO,10.0,95,FL
108,A.J. Green,2011,CIN,10.0,95,GA
109,Nick Hardwick,2011,SDG,10.0,95,IN
110,James Harrison,2011,PIT,10.0,95,OH
111,Aaron Hernandez,2011,NWE,10.0,95,FL
112,Julio Jones,2011,ATL,10.0,95,AL
113,Clay Matthews,2011,GNB,10.0,95,SC
114,Clay Matthews,2011,GNB,10.0,95,GA
115,Clay Matthews,2011,GNB,10.0,95,SC
116,Marshall Newhouse,2011,GNB,10.0,95,TX
117,Hakeem Nicks,2011,NYG,10.0,95,NC
118,Calvin Pace,2011,NYJ,10.0,95,NC
119,Sione Pouha,2011,NYJ,10.0,95,UT
120,Jay Ratliff,2011,DAL,10.0,95,AL
121,Ahtyba Rubin,2011,CLE,10.0,95,IA
122,Richard Seymour,2011,OAK,10.0,95,GA
123,Jabaal Sheard,2011,CLE,10.0,95,PA
124,Charles Tillman,2011,CHI,10.0,95,LA
125,Lawrence Timmons,2011,PIT,10.0,95,FL
126,Mike Wallace,2011,PIT,10.0,95,MS
127,J.J. Watt,2011,HOU,10.0,95,MI
128,Muhammad Wilkerson,2011,NYJ,10.0,95,TX
129,Cliff Avril,2011,DET,9.0,93,IN
130,Jeff Backus,2011,DET,9.0,93,MI
131,Red Bryant,2011,SEA,9.0,93,TX
132,Bryan Bulaga,2011,GNB,9.0,93,IA
133,Andre Carter,2011,NWE,9.0,93,CA
134,Kam Chancellor,2011,SEA,9.0,93,VA
135,Gosder Cherilus,2011,DET,9.0,93,MA
136,Chris Clemons,2011,SEA,9.0,93,SC
137,Chris Clemons,2011,SEA,9.0,93,GA
138,Phil Costa,2011,DAL,9.0,93,MD
139,Michael Crabtree,2011,SFO,9.0,93,TX
140,Darnell Dockett,2011,ARI,9.0,93,FL
141,James Farrior,2011,PIT,9.0,93,VA
142,Jermichael Finley,2011,GNB,9.0,93,TX
143,Malcom Floyd,2011,SDG,9.0,93,WY
144,Doug Free,2011,DAL,9.0,93,IL
145,Chris Gocong,2011,CLE,9.0,93,CA
146,Dashon Goldson,2011,SFO,9.0,93,WA
147,Jordan Gross,2011,CAR,9.0,93,UT
148,Geoff Hangartner,2011,CAR,9.0,93,TX
149,Matt Hasselbeck,2011,TEN,9.0,93,MA
150,David Hawthorne,2011,SEA,9.0,93,TX
151,LeRoy Hill,2011,SEA,9.0,93,SC
152,Israel Idonije,2011,CHI,9.0,93,canada
153,Fred Jackson,2011,BUF,9.0,93,IA
154,Tarvaris Jackson,2011,SEA,9.0,93,AR
155,Charlie Johnson,2011,MIN,9.0,93,CO
156,Charlie Johnson,2011,MIN,9.0,93,KY
157,Charlie Johnson,2011,MIN,9.0,93,OK
158,Chris Johnson,2011,TEN,9.0,93,NC
159,Chris Johnson,2011,TEN,9.0,93,PA
160,Chris Johnson,2011,TEN,9.0,93,KY
161,Chris Johnson,2011,TEN,9.0,93,CA
162,Davin Joseph,2011,TAM,9.0,93,OK
163,Brett Keisel,2011,PIT,9.0,93,UT
164,Kyle Kosier,2011,DAL,9.0,93,AZ
165,James Laurinaitis,2011,STL,9.0,93,OH
166,Matt Light,2011,NWE,9.0,93,IN
167,Phil Loadholt,2011,MIN,9.0,93,OK
168,Curtis Lofton,2011,ATL,9.0,93,OK
169,Jake Long,2011,MIA,9.0,93,MI
170,Marshawn Lynch,2011,SEA,9.0,93,CA
171,Jameel McClain,2011,BAL,9.0,93,NY
172,Brandon Mebane,2011,SEA,9.0,93,CA
173,Jeremy Mincey,2011,JAX,9.0,93,FL
174,Reggie Nelson,2011,CIN,9.0,93,FL
175,Reggie Nelson,2011,CIN,9.0,93,LA
176,Stephen Peterman,2011,DET,9.0,93,LA
177,Paul Posluszny,2011,JAX,9.0,93,PA
178,Dominic Raiola,2011,DET,9.0,93,NE
179,Mark Sanchez,2011,NYJ,9.0,93,SC
180,Matt Schaub,2011,HOU,9.0,93,VA
181,Bart Scott,2011,NYJ,9.0,93,IL
182,Rob Sims,2011,DET,9.0,93,OH
183,Daryl Smith,2011,JAX,9.0,93,AL
184,Daryl Smith,2011,JAX,9.0,93,GA
185,Tyron Smith,2011,DAL,9.0,93,SC
186,Paul Soliai,2011,MIA,9.0,93,UT
187,Randy Starks,2011,MIA,9.0,93,MD
188,Jonathan Stewart,2011,CAR,9.0,93,OR
189,Phil Taylor,2011,CLE,9.0,93,TX
190,Stephen Tulloch,2011,DET,9.0,93,NC
191,Daryl Washington,2011,ARI,9.0,93,TX
192,Sean Weatherspoon,2011,ATL,9.0,93,MO
193,Lardarius Webb,2011,BAL,9.0,93,LA
194,Travelle Wharton,2011,CAR,9.0,93,SC
195,John Abraham,2011,ATL,8.0,89,SC
196,Mike Adams,2011,CLE,8.0,89,PA
197,Mike Adams,2011,CLE,8.0,89,TX
198,Mike Adams,2011,CLE,8.0,89,OH
199,Tyson Alualu,2011,JAX,8.0,89,CA
200,Eugene Amano,2011,TEN,8.0,89,MO
201,Akeem Ayers,2011,TEN,8.0,89,CA
202,Khalif Barnes,2011,OAK,8.0,89,WA
203,Nick Barnett,2011,BUF,8.0,89,OR
204,Connor Barwin,2011,HOU,8.0,89,OH
205,Anquan Boldin,2011,BAL,8.0,89,FL
206,Alan Branch,2011,SEA,8.0,89,MI
207,Deion Branch,2011,NWE,8.0,89,KY
208,Ahmad Brooks,2011,SFO,8.0,89,TX
209,Sheldon Brown,2011,CLE,8.0,89,SC
210,Dez Bryant,2011,DAL,8.0,89,OK
211,Michael Bush,2011,OAK,8.0,89,KY
212,Cooper Carlisle,2011,OAK,8.0,89,FL
213,Jurrell Casey,2011,TEN,8.0,89,SC
214,Jamar Chaney,2011,PHI,8.0,89,MS
215,Nate Clements,2011,CIN,8.0,89,OH
216,Shaun Cody,2011,HOU,8.0,89,SC
217,Terrence Cody,2011,BAL,8.0,89,AL
218,Anthony Davis,2011,SFO,8.0,89,UT
219,Anthony Davis,2011,SFO,8.0,89,NJ
220,Anthony Davis,2011,SFO,8.0,89,VA
221,Anthony Davis,2011,SFO,8.0,89,SC
222,Vernon Davis,2011,SFO,8.0,89,MD
223,Brian De La Puente,2011,NOR,8.0,89,CA
224,David Diehl,2011,NYG,8.0,89,IL
225,Ray Edwards,2011,ATL,8.0,89,IN
226,D'Brickashaw Ferguson,2011,NYJ,8.0,89,VA
227,Cortland Finnegan,2011,TEN,8.0,89,AL
228,Josh Freeman,2011,TAM,8.0,89,KA
229,Dwight Freeney,2011,IND,8.0,89,NY
230,Antonio Gates,2011,SDG,8.0,89,OH
231,Jonathan Goodwin,2011,SFO,8.0,89,OH
232,Ryan Grant,2011,GNB,8.0,89,LA
233,Ryan Grant,2011,GNB,8.0,89,IN
234,Chad Greenway,2011,MIN,8.0,89,IA
235,Michael Griffin,2011,TEN,8.0,89,TX
236,Clark Haggans,2011,ARI,8.0,89,CO
237,Leroy Harris,2011,TEN,8.0,89,AK
238,Leroy Harris,2011,TEN,8.0,89,NC
239,Todd Herremans,2011,PHI,8.0,89,MI
240,Darrius Heyward-Bey,2011,OAK,8.0,89,MD
241,Evander Hood,2011,PIT,8.0,89,MO
242,Thomas Howard,2011,CIN,8.0,89,TX
243,Mike Iupati,2011,SFO,8.0,89,ID
244,DeSean Jackson,2011,PHI,8.0,89,CA
245,Cullen Jenkins,2011,PHI,8.0,89,MI
246,Jarret Johnson,2011,BAL,8.0,89,AL
247,Steve Johnson,2011,BUF,8.0,89,KY
248,Steve Johnson,2011,BUF,8.0,89,VA
249,James Jones,2011,GNB,8.0,89,FL
250,James Jones,2011,GNB,8.0,89,IA
251,James Jones,2011,GNB,8.0,89,CA
252,James Jones,2011,GNB,8.0,89,MS
253,Jason Kelce,2011,PHI,8.0,89,OH
254,Dawan Landry,2011,JAX,8.0,89,GA
255,Sean Lee,2011,DAL,8.0,89,PA
256,Paris Lenon,2011,ARI,8.0,89,VA
257,Andy Levitre,2011,BUF,8.0,89,OR
258,DeAndre Levy,2011,DET,8.0,89,WI
259,Chris Long,2011,STL,8.0,89,VA
260,Nick Mangold,2011,NYJ,8.0,89,OH
261,Todd McClure,2011,ATL,8.0,89,LA
262,Jason McCourty,2011,TEN,8.0,89,NJ
263,Ray McDonald,2011,SFO,8.0,89,ID
264,Ray McDonald,2011,SFO,8.0,89,FL
265,Kareem McKenzie,2011,NYG,8.0,89,PA
266,Brandon Moore,2011,NYJ,8.0,89,NC
267,Brandon Moore,2011,NYJ,8.0,89,OK
268,Brandon Moore,2011,NYJ,8.0,89,IL
269,Matt Moore,2011,MIA,8.0,89,OR
270,Rob Ninkovich,2011,NWE,8.0,89,IN
271,Carson Palmer,2011,OAK,8.0,89,SC
272,Erik Pears,2011,BUF,8.0,89,CO
273,Domata Peko,2011,CIN,8.0,89,MI
274,Corey Peters,2011,ATL,8.0,89,KY
275,Adrian Peterson,2011,MIN,8.0,89,OK
276,Adrian Peterson,2011,MIN,8.0,89,GA
277,Michael Roos,2011,TEN,8.0,89,WA
278,DeMeco Ryans,2011,HOU,8.0,89,AL
279,Samson Satele,2011,OAK,8.0,89,HI
280,Jake Scott,2011,TEN,8.0,89,ID
281,Jake Scott,2011,TEN,8.0,89,GA
282,Torrey Smith,2011,BAL,8.0,89,MD
283,Wade Smith,2011,HOU,8.0,89,TN
284,Chris Snee,2011,NYG,8.0,89,MA
285,Adam Snyder,2011,SFO,8.0,89,OR
286,Nate Solder,2011,NWE,8.0,89,CO
287,Isaac Sopoaga,2011,SFO,8.0,89,HI
288,James Starks,2011,GNB,8.0,89,NY
289,John Sullivan,2011,MIN,8.0,89,CA
290,John Sullivan,2011,MIN,8.0,89,IL
291,John Sullivan,2011,MIN,8.0,89,IN
292,Tim Tebow,2011,DEN,8.0,89,FL
293,Pierre Thomas,2011,NOR,8.0,89,IL
294,Mike Tolbert,2011,SDG,8.0,89,SC
295,Kyle Vanden Bosch,2011,DET,8.0,89,NE
296,Louis Vasquez,2011,SDG,8.0,89,TX
297,Jared Veldheer,2011,OAK,8.0,89,MI
298,Nate Washington,2011,TEN,8.0,89,OH
299,Adrian Wilson,2011,ARI,8.0,89,NC
300,Eric Winston,2011,HOU,8.0,89,FL
301,Stefen Wisniewski,2011,OAK,8.0,89,PA
302,Jason Witten,2011,DAL,8.0,89,TN
303,Pat Angerer,2011,IND,7.0,85,IA
304,Jordan Babineaux,2011,TEN,7.0,85,AR
305,Jovan Belcher,2011,KAN,7.0,85,ME
306,Byron Bell,2011,CAR,7.0,85,NM
307,Cedric Benson,2011,CIN,7.0,85,TX
308,Matt Birk,2011,BAL,7.0,85,MA
309,Desmond Bishop,2011,GNB,7.0,85,CA
310,Dwayne Bowe,2011,KAN,7.0,85,LA
311,Stephen Bowen,2011,WAS,7.0,85,NY
312,Ahmad Bradshaw,2011,NYG,7.0,85,PA
313,Mike Brisiel,2011,HOU,7.0,85,CO
314,Tarell Brown,2011,SFO,7.0,85,TX
315,Nate Burleson,2011,DET,7.0,85,NV
316,Donald Butler,2011,SDG,7.0,85,WA
317,Vernon Carey,2011,MIA,7.0,85,FL
318,Brent Celek,2011,PHI,7.0,85,OH
319,Chris Chester,2011,WAS,7.0,85,OK
320,Ryan Clady,2011,DEN,7.0,85,ID
321,Randall Cobb,2011,GNB,7.0,85,KY
322,Barry Cofield,2011,WAS,7.0,85,OK
323,Trent Cole,2011,PHI,7.0,85,OH
324,Marc Colombo,2011,MIA,7.0,85,MA
325,Dan Connolly,2011,NWE,7.0,85,MO
326,Chris Crocker,2011,CIN,7.0,85,PA
327,Aaron Curry,2011,2TM,7.0,85,NC
328,Jay Cutler,2011,CHI,7.0,85,TN
329,Marcell Dareus,2011,BUF,7.0,85,AL
330,Thomas DeCoud,2011,ATL,7.0,85,CA
331,Glenn Dorsey,2011,KAN,7.0,85,LA
332,Ramon Foster,2011,PIT,7.0,85,TN
333,Jabar Gaffney,2011,WAS,7.0,85,FL
334,Pierre Garcon,2011,IND,7.0,85,OH
335,William Gay,2011,PIT,7.0,85,KY
336,William Gay,2011,PIT,7.0,85,SC
337,Andre' Goodman,2011,DEN,7.0,85,SC
338,BenJarvus Green-Ellis,2011,NWE,7.0,85,MS
339,Shonn Greene,2011,NYJ,7.0,85,IA
340,Joe Haden,2011,CLE,7.0,85,FL
341,James Hall,2011,STL,7.0,85,MI
342,James Hall,2011,STL,7.0,85,LA
343,Casey Hampton,2011,PIT,7.0,85,TX
344,Parys Haralson,2011,SFO,7.0,85,TN
345,Roman Harper,2011,NOR,7.0,85,AL
346,Chris Houston,2011,DET,7.0,85,AR
347,Steve Hutchinson,2011,MIN,7.0,85,MI
348,Richie Incognito,2011,MIA,7.0,85,NE
349,Tyson Jackson,2011,KAN,7.0,85,LA
350,Cameron Jordan,2011,NOR,7.0,85,CA
351,Tommy Kelly,2011,OAK,7.0,85,MS
352,Ryan Kerrigan,2011,WAS,7.0,85,IN
353,Manny Lawson,2011,CIN,7.0,85,NC
354,Jeremy Maclin,2011,PHI,7.0,85,MO
355,Evan Mathis,2011,PHI,7.0,85,AL
356,Robert Mathis,2011,IND,7.0,85,AL
357,Rey Maualuga,2011,CIN,7.0,85,SC
358,Willis McGahee,2011,DEN,7.0,85,FL
359,Bryant McKinnie,2011,BAL,7.0,85,FL
360,Henry Melton,2011,CHI,7.0,85,TX
361,Quintin Mikell,2011,STL,7.0,85,ID
362,Jayme Mitchell,2011,CLE,7.0,85,MS
363,Will Montgomery,2011,WAS,7.0,85,VA
364,DeMarco Murray,2011,DAL,7.0,85,OK
365,Michael Oher,2011,BAL,7.0,85,MS
366,Brian Orakpo,2011,WAS,7.0,85,TX
367,Mike Patterson,2011,PHI,7.0,85,SC
368,Donald Penn,2011,TAM,7.0,85,UT
369,Brandon Pettigrew,2011,DET,7.0,85,OK
370,Mike Pouncey,2011,MIA,7.0,85,FL
371,B.J. Raji,2011,GNB,7.0,85,MA
372,Cory Redding,2011,BAL,7.0,85,TX
373,Brooks Reed,2011,HOU,7.0,85,AZ
374,Nick Roach,2011,CHI,7.0,85,OK
375,Dunta Robinson,2011,ATL,7.0,85,SC
376,Laurent Robinson,2011,DAL,7.0,85,IL
377,Scott Shanle,2011,NOR,7.0,85,NE
378,Andre Smith,2011,CIN,7.0,85,AL
379,Andre Smith,2011,CIN,7.0,85,VA
380,Anthony Spencer,2011,DAL,7.0,85,IN
381,Amari Spievey,2011,DET,7.0,85,IA
382,David Stewart,2011,TEN,7.0,85,MS
383,Zach Strief,2011,NOR,7.0,85,OK
384,Will Svitek,2011,ATL,7.0,85,CA
385,Ben Tate,2011,HOU,7.0,85,AL
386,Ike Taylor,2011,PIT,7.0,85,LA
387,Kraig Urbik,2011,BUF,7.0,85,WI
388,Erik Walden,2011,GNB,7.0,85,TN
389,Reggie Wayne,2011,IND,7.0,85,FL
390,Donte Whitner,2011,SFO,7.0,85,OH
391,Andrew Whitworth,2011,CIN,7.0,85,LA
392,D.J. Williams,2011,DEN,7.0,85,AR
393,D.J. Williams,2011,DEN,7.0,85,FL
394,DeAngelo Williams,2011,CAR,7.0,85,TN
395,Kamerion Wimbley,2011,OAK,7.0,85,FL
396,Will Witherspoon,2011,TEN,7.0,85,GA
397,LaMarr Woodley,2011,PIT,7.0,85,MI
398,Eric Wright,2011,DET,7.0,85,MO
399,Eric Wright,2011,DET,7.0,85,NV
400,Eric Wright,2011,DET,7.0,85,TX
401,K.J. Wright,2011,SEA,7.0,85,MS
402,Sam Acho,2011,ARI,6.0,79,TX
403,James Anderson,2011,CAR,6.0,79,VA
404,Kyle Arrington,2011,NWE,6.0,79,NY
405,Nnamdi Asomugha,2011,PHI,6.0,79,CA
406,Jason Avant,2011,PHI,6.0,79,MI
407,Robert Ayers,2011,DEN,6.0,79,TN
408,David Baas,2011,NYG,6.0,79,MI
409,Jonathan Babineaux,2011,ATL,6.0,79,IA
410,Doug Baldwin,2011,SEA,6.0,79,CA
411,Justin Bannan,2011,STL,6.0,79,CO
412,Zane Beadles,2011,DEN,6.0,79,UT
413,Yeremiah Bell,2011,MIA,6.0,79,KY
414,Antoine Bethea,2011,IND,6.0,79,TX
415,Michael Boley,2011,NYG,6.0,79,MS
416,Jammal Brown,2011,WAS,6.0,79,OK
417,Levi Brown,2011,ARI,6.0,79,AL
418,Levi Brown,2011,ARI,6.0,79,PA
419,Brodrick Bunkley,2011,DEN,6.0,79,FL
420,Chris Canty,2011,NYG,6.0,79,VA
421,Chris Canty,2011,NYG,6.0,79,KA
422,Brandon Carr,2011,KAN,6.0,79,MI
423,Adam Carriker,2011,WAS,6.0,79,NE
424,Chris Chamberlain,2011,STL,6.0,79,OK
425,Kenyon Coleman,2011,DAL,6.0,79,CA
426,Kurt Coleman,2011,PHI,6.0,79,OH
427,Daryn Colledge,2011,ARI,6.0,79,ID
428,Kavell Conner,2011,IND,6.0,79,SC
429,Jared Cook,2011,TEN,6.0,79,SC
430,Kyle Cook,2011,CIN,6.0,79,MI
431,Antonio Cromartie,2011,NYJ,6.0,79,FL
432,Owen Daniels,2011,HOU,6.0,79,WI
433,Fred Davis,2011,WAS,6.0,79,AL
434,Fred Davis,2011,WAS,6.0,79,SC
435,Fred Davis,2011,WAS,6.0,79,NC
436,Eric Decker,2011,DEN,6.0,79,MN
437,Marcus Dixon,2011,NYJ,6.0,79,VA
438,Jo-Lonn Dunbar,2011,NOR,6.0,79,MA
439,Justin Durant,2011,DET,6.0,79,VA
440,Dwan Edwards,2011,BUF,6.0,79,OR
441,Abram Elam,2011,DAL,6.0,79,IN
442,Sedrick Ellis,2011,NOR,6.0,79,SC
443,Jeff Faine,2011,TAM,6.0,79,IN
444,Brandon Flowers,2011,KAN,6.0,79,VA
445,Moise Fokou,2011,PHI,6.0,79,MD
446,Orlando Franklin,2011,DEN,6.0,79,FL
447,Roberto Garza,2011,CHI,6.0,79,TX
448,Robert Geathers,2011,CIN,6.0,79,GA
449,Marcus Gilbert,2011,PIT,6.0,79,FL
450,Jabari Greer,2011,NOR,6.0,79,TN
451,Kelly Gregg,2011,KAN,6.0,79,OK
452,Rex Grossman,2011,WAS,6.0,79,FL
453,Rex Grossman,2011,WAS,6.0,79,IN
454,Ben Grubbs,2011,BAL,6.0,79,AL
455,Rex Hadnot,2011,ARI,6.0,79,TX
456,DeAngelo Hall,2011,WAS,6.0,79,VA
457,A.J. Hawk,2011,GNB,6.0,79,OH
458,Roy Helu,2011,WAS,6.0,79,NE
459,Anthony Herrera,2011,MIN,6.0,79,TN
460,Devin Hester,2011,CHI,6.0,79,FL
461,Montrae Holland,2011,DAL,6.0,79,FL
462,Justin Houston,2011,KAN,6.0,79,GA
463,Lamarr Houston,2011,OAK,6.0,79,TX
464,Wayne Hunter,2011,NYJ,6.0,79,HI
465,Steven Jackson,2011,STL,6.0,79,OR
466,Bradie James,2011,DAL,6.0,79,LA
467,Malcolm Jenkins,2011,NOR,6.0,79,OH
468,Tim Jennings,2011,CHI,6.0,79,GA
469,Felix Jones,2011,DAL,6.0,79,AR
470,Jacoby Jones,2011,HOU,6.0,79,TN
471,Jason Jones,2011,TEN,6.0,79,MI
472,Linval Joseph,2011,NYG,6.0,79,NC
473,Dustin Keller,2011,NYJ,6.0,79,IN
474,Mathias Kiwanuka,2011,NYG,6.0,79,MA
475,Terrance Knighton,2011,JAX,6.0,79,TX
476,Johnny Knox,2011,CHI,6.0,79,TX
477,Chris Kuper,2011,DEN,6.0,79,ND
478,Brandon LaFell,2011,CAR,6.0,79,LA
479,Kendall Langford,2011,MIA,6.0,79,VA
480,Shawn Lauvao,2011,CLE,6.0,79,AZ
481,Kendrick Lewis,2011,KAN,6.0,79,MS
482,Jeff Linkenbach,2011,IND,6.0,79,OH
483,Nate Livings,2011,2TM,6.0,79,LA
484,Kyle Love,2011,NWE,6.0,79,MS
485,Dwight Lowery,2011,JAX,6.0,79,CA
486,Alex Mack,2011,CLE,6.0,79,CA
487,Vaughn Martin,2011,SDG,6.0,79,canada
488,Jerod Mayo,2011,NWE,6.0,79,TN
489,Joe Mays,2011,DEN,6.0,79,ND
490,Rolando McClain,2011,OAK,6.0,79,AL
491,Robert Meachem,2011,NOR,6.0,79,TN
492,Rashard Mendenhall,2011,PIT,6.0,79,IL
493,Lance Moore,2011,NOR,6.0,79,OH
494,Terence Newman,2011,DAL,6.0,79,KA
495,Ryan Pickett,2011,GNB,6.0,79,OH
496,Jason Pinkston,2011,CLE,6.0,79,PA
497,Bernard Pollard,2011,BAL,6.0,79,IN
498,Brady Poppinga,2011,STL,6.0,79,UT
499,Glover Quin,2011,HOU,6.0,79,NM
500,Chad Rinehart,2011,BUF,6.0,79,IA
501,Fred Robbins,2011,STL,6.0,79,NC
502,Brian Robison,2011,MIN,6.0,79,TX
503,Brian Rolle,2011,PHI,6.0,79,OH
504,Aaron Ross,2011,NYG,6.0,79,TX
505,Frostee Rucker,2011,CIN,6.0,79,SC
506,Asante Samuel,2011,PHI,6.0,79,FL
507,Jeff Saturday,2011,IND,6.0,79,NC
508,Lyle Sendlein,2011,ARI,6.0,79,TX
509,Gerald Sensabaugh,2011,DAL,6.0,79,TN
510,Jerome Simpson,2011,CIN,6.0,79,SC
511,Matt Slauson,2011,NYJ,6.0,79,NE
512,Sean Smith,2011,MIA,6.0,79,UT
513,Sean Smith,2011,MIA,6.0,79,LA
514,Sean Smith,2011,MIA,6.0,79,GA
515,Will Smith,2011,NOR,6.0,79,OH
516,Takeo Spikes,2011,SDG,6.0,79,AL
517,C.J. Spiller,2011,BUF,6.0,79,SC
518,Max Starks,2011,PIT,6.0,79,FL
519,Darian Stewart,2011,STL,6.0,79,SC
520,Ndamukong Suh,2011,DET,6.0,79,NE
521,Jeremy Trueblood,2011,TAM,6.0,79,MA
522,Max Unger,2011,SEA,6.0,79,OR
523,Jonathan Vilma,2011,NOR,6.0,79,FL
524,J.D. Walton,2011,DEN,6.0,79,TX
525,Danny Watkins,2011,PHI,6.0,79,TX
526,J'Marcus Webb,2011,CHI,6.0,79,TX
527,Corey Webster,2011,NYG,6.0,79,LA
528,Beanie Wells,2011,ARI,6.0,79,OH
529,Cary Williams,2011,BAL,6.0,79,KS
530,Corey Williams,2011,DET,6.0,79,AK
531,Mike Williams,2011,TAM,6.0,79,SC
