rank,team,name,salary,year
98,,"
Navorro Bowman
Inside Linebacker
","$7,654,000  ",2015
99,,"
Thomas Davis
Outside Linebacker
","$7,650,000  ",2015
100,,"
Joe Staley
Left Tackle
","$7,600,000  ",2015
101,,"
T.J. Ward
Strong Safety
","$7,514,705  ",2015
102,,"
Andre Johnson
Wide Receiver
","$7,500,000  ",2015
,,"
David Harris
Inside Linebacker
","$7,500,000  ",2015
104,,"
Robert Mathis
Outside Linebacker
","$7,470,586  ",2015
105,,"
Kareem Jackson
Cornerback
","$7,453,125  ",2015
106,,"
Earl Thomas
Free Safety
","$7,400,000  ",2015
107,,"
Carson Palmer
Quarterback
","$7,375,000  ",2015
,,"
Elvis Dumervil
Outside Linebacker
","$7,375,000  ",2015
109,,"
Jason Pierre-Paul
Defensive End
","$7,350,000  ",2015
110,,"
John Sullivan
Center
","$7,333,333  ",2015
111,,"
Russell Okung
Left Tackle
","$7,280,000  ",2015
112,,"
Dominique Rodgers-Cromartie
Cornerback
","$7,250,000  ",2015
113,,"
Andrew Whitworth
Left Tackle
","$7,200,000  ",2015
114,,"
Rey Maualuga
Inside Linebacker
","$7,137,500  ",2015
115,,"
Antonio Brown
Wide Receiver
","$7,120,833  ",2015
116,,"
Arthur Jones
Defensive Tackle
","$7,100,000  ",2015
117,,"
Ahmad Brooks
Outside Linebacker
","$7,055,000  ",2015
118,,"
Russell Wilson
Quarterback
","$7,054,868  ",2015
119,,"
Andrew Luck
Quarterback
","$7,034,363  ",2015
120,,"
Sebastian Vollmer
Right Tackle
","$7,020,833  ",2015
121,,"
Jahri Evans
Guard
","$7,000,000  ",2015
,,"
Nate Allen
Free Safety
","$7,000,000  ",2015
,,"
Josh Sitton
Guard
","$7,000,000  ",2015
,,"
Connor Barwin
Outside Linebacker
","$7,000,000  ",2015
,,"
Desmond Bryant
Defensive End
","$7,000,000  ",2015
,,"
Antonio Cromartie
Cornerback
","$7,000,000  ",2015
,,"
Logan Mankins
Guard
","$7,000,000  ",2015
,,"
Sean Smith
Cornerback
","$7,000,000  ",2015
,,"
Mike Pouncey
Center
","$7,000,000  ",2015
,,"
Dez Bryant
Wide Receiver
","$7,000,000  ",2015
131,,"
Lamarr Houston
Outside Linebacker
","$6,990,000  ",2015
132,,"
Marshal Yanda
Guard
","$6,981,764  ",2015
133,,"
Cortez Allen
Cornerback
","$6,981,000  ",2015
134,,"
Muhammad Wilkerson
Defensive End
","$6,969,000  ",2015
135,,"
Aqib Talib
Cornerback
","$6,968,750  ",2015
136,,"
Trent Cole
Outside Linebacker
","$6,953,125  ",2015
137,,"
Kyle Williams
Defensive Tackle
","$6,950,000  ",2015
138,,"
Anquan Boldin
Wide Receiver
","$6,909,000  ",2015
139,,"
Prince Amukamara
Cornerback
","$6,898,000  ",2015
140,,"
Paul Posluszny
Outside Linebacker
","$6,885,416  ",2015
141,,"
Anthony Castonzo
Left Tackle
","$6,800,000  ",2015
142,,"
Donte Whitner
Strong Safety
","$6,750,000  ",2015
,,"
Phillip Loadholt
Right Tackle
","$6,750,000  ",2015
144,,"
Jurrell Casey
Defensive Tackle
","$6,720,000  ",2015
145,,"
Robert Griffin III
Quarterback
","$6,719,713  ",2015
146,,"
Mike Iupati
Guard
","$6,700,000  ",2015
147,,"
Luke Kuechly
Inside Linebacker
","$6,697,018  ",2015
148,,"
Pernell McPhee
Outside Linebacker
","$6,675,000  ",2015
149,,"
Eric Wood
Center
","$6,650,000  ",2015
150,,"
Davon House
Cornerback
","$6,500,000  ",2015
,,"
Marques Colston
Wide Receiver
","$6,500,000  ",2015
,,"
Curtis Lofton
Inside Linebacker
","$6,500,000  ",2015
,,"
Tramon Williams
Cornerback
","$6,500,000  ",2015
,,"
Eric Decker
Wide Receiver
","$6,500,000  ",2015
155,,"
Kyle Rudolph
Tight End
","$6,440,625  ",2015
156,,"
Austin Howard
Right Tackle
","$6,400,000  ",2015
,,"
Cameron Heyward
Defensive End
","$6,400,000  ",2015
158,,"
Andre Smith
Guard
","$6,362,500  ",2015
159,,"
Greg Olsen
Tight End
","$6,300,000  ",2015
160,,"
Matt Kalil
Left Tackle
","$6,290,644  ",2015
161,,"
Louis Vasquez
Guard
","$6,250,000  ",2015
162,,"
Ryan Kerrigan
Outside Linebacker
","$6,238,000  ",2015
163,,"
Dennis Pitta
Tight End
","$6,200,000  ",2015
164,,"
Jerry Hughes
Defensive End
","$6,175,000  ",2015
165,,"
Martellus Bennett
Tight End
","$6,125,000  ",2015
166,,"
Jason Witten
Tight End
","$6,112,000  ",2015
167,,"
Lavonte David
Outside Linebacker
","$6,104,642  ",2015
168,,"
Jerod Mayo
Inside Linebacker
","$6,100,000  ",2015
