name,salary,year
Lawrence Timmons,"$5,378,750  ",2011
Jabari Greer,"$5,350,000  ",2011
Barry Cofield,"$5,300,000  ",2011
Jason Babin,"$5,300,000  ",2011
James Harrison,"$5,291,470  ",2011
Nick Mangold,"$5,267,100  ",2011
Jarret Johnson,"$5,265,000  ",2011
Yeremiah Bell,"$5,250,000  ",2011
Jay Ratliff,"$5,225,000  ",2011
Karlos Dansby,"$5,225,000  ",2011
Jahri Evans,"$5,200,000  ",2011
Shaun Phillips,"$5,166,667  ",2011
Michael Crabtree,"$5,145,443  ",2011
Charles Tillman,"$5,116,666  ",2011
Justin Tuck,"$5,100,000  ",2011
Antonio Smith,"$5,100,000  ",2011
Donovan McNabb,"$5,050,000  ",2011
Matt Hasselbeck,"$5,000,000  ",2011
Corey Williams,"$5,000,000  ",2011
Daryl Smith,"$5,000,000  ",2011
DeAngelo Hall,"$5,000,000  ",2011
Channing Crowder,"$5,000,000  ",2011
Trent Cole,"$5,000,000  ",2011
Isaac Sopoaga,"$4,955,000  ",2011
Aaron Kampman,"$4,950,000  ",2011
Jamaal Charles,"$4,933,333  ",2011
Chris Kuper,"$4,915,166  ",2011
Alex Smith,"$4,900,000  ",2011
Michael Boley,"$4,900,000  ",2011
Randy Starks,"$4,900,000  ",2011
Josh Sitton,"$4,896,000  ",2011
Jeff Saturday,"$4,883,333  ",2011
Ryan Clady,"$4,879,375  ",2011
Sheldon Brown,"$4,866,667  ",2011
Joe Haden,"$4,864,727  ",2011
David Diehl,"$4,850,000  ",2011
Cortland Finnegan,"$4,793,000  ",2011
Roberto Garza,"$4,775,000  ",2011
D'Qwell Jackson,"$4,750,000  ",2011
Eugene Amano,"$4,747,500  ",2011
Jason Pierre-Paul,"$4,698,000  ",2011
Owen Daniels,"$4,687,500  ",2011
Vince Wilfork,"$4,645,000  ",2011
Brandon Graham,"$4,640,000  ",2011
Ryan Kalil,"$4,600,000  ",2011
Jason Campbell,"$4,600,000  ",2011
Jeff Faine,"$4,575,000  ",2011
Lance Briggs,"$4,566,667  ",2011
Benjamin Watson,"$4,536,666  ",2011
Derrick Morgan,"$4,511,668  ",2011
Domata Peko,"$4,500,000  ",2011
Chris Kelsay,"$4,500,000  ",2011
Rashean Mathis,"$4,500,000  ",2011
Stephen Bowen,"$4,500,000  ",2011
Ryan Grant,"$4,500,000  ",2011
Wes Welker,"$4,475,000  ",2011
Brandon Moore,"$4,460,417  ",2011
Dominic Raiola,"$4,412,500  ",2011
Marques Colston,"$4,406,250  ",2011
Gary Brackett,"$4,400,000  ",2011
Cedric Griffin,"$4,400,000  ",2011
Julius Peppers,"$4,383,333  ",2011
Robert Mathis,"$4,350,000  ",2011
Robert Gallery,"$4,333,333  ",2011
Cedric Benson,"$4,323,353  ",2011
Joseph Addai,"$4,310,000  ",2011
Juqua Parker,"$4,308,120  ",2011
Shane Lechler,"$4,300,000  ",2011
Jacob Bell,"$4,297,078  ",2011
Michael Griffin,"$4,256,752  ",2011
Shawne Merriman,"$4,250,010  ",2011
Carlos Rogers,"$4,250,000  ",2011
Nick Collins,"$4,237,500  ",2011
Leon Hall,"$4,230,000  ",2011
Nate Washington,"$4,200,000  ",2011
Visanthe Shiancoe,"$4,200,000  ",2011
Brandon Mebane,"$4,200,000  ",2011
Justin Blalock,"$4,200,000  ",2011
Drayton Florence,"$4,166,667  ",2011
Santana Moss,"$4,166,666  ",2011
Earl Thomas,"$4,066,075  ",2011
Jammal Brown,"$4,037,500  ",2011
Cam Newton,"$4,004,636  ",2011
Marshal Yanda,"$4,000,000  ",2011
Matt Birk,"$4,000,000  ",2011
Vince Young,"$4,000,000  ",2011
Steve Smith,"$4,000,000  ",2011
Jovan Haye,"$4,000,000  ",2011
Barrett Ruud,"$4,000,000  ",2011
Spencer Johnson,"$4,000,000  ",2011
Charlie Whitehurst,"$4,000,000  ",2011
Kevin Kolb,"$4,000,000  ",2011
David Harris,"$4,000,000  ",2011
Matt Light,"$4,000,000  ",2011
Shaun Ellis,"$4,000,000  ",2011
Bradie James,"$4,000,000  ",2011
Quintin Mikell,"$4,000,000  ",2011
Harvey Dahl,"$4,000,000  ",2011
Jonathan Babineaux,"$4,000,000  ",2011
Kevin Walter,"$4,000,000  ",2011
Ronde Barber,"$4,000,000  ",2011
Tamba Hali,"$3,964,706  ",2011
Kyle Williams,"$3,950,000  ",2011
Ryan Pickett,"$3,937,500  ",2011
Kerry Rhodes,"$3,925,000  ",2011
Dwan Edwards,"$3,900,000  ",2011
Ben Grubbs,"$3,875,000  ",2011
Jeremy Maclin,"$3,853,000  ",2011
Marcedes Lewis,"$3,850,000  ",2011
Keith Rivers,"$3,829,166  ",2011
Chris Johnson,"$3,823,529  ",2011
Von Miller,"$3,818,251  ",2011
Dwayne Bowe,"$3,815,000  ",2011
Ike Taylor,"$3,812,500  ",2011
Jeremy Shockey,"$3,812,500  ",2011
Heath Miller,"$3,796,500  ",2011
Gerald McCoy,"$3,768,750  ",2011
Sam Baker,"$3,760,000  ",2011
Quentin Jammer,"$3,750,000  ",2011
Ovie Mughelli,"$3,750,000  ",2011
Kevin Boss,"$3,750,000  ",2011
Reggie Bush,"$3,750,000  ",2011
Sebastian Janikowski,"$3,725,000  ",2011
Chris Kemoeatu,"$3,714,000  ",2011
Marcell Dareus,"$3,710,418  ",2011
Greg Jones,"$3,700,000  ",2011
Bryan Thomas,"$3,700,000  ",2011
Nick Hardwick,"$3,675,000  ",2011
Roman Harper,"$3,650,000  ",2011
Osi Umenyiora,"$3,625,000  ",2011
Hines Ward,"$3,610,000  ",2011
Bryant Johnson,"$3,600,000  ",2011
Dimitri Patterson,"$3,600,000  ",2011
Eric Weddle,"$3,600,000  ",2011
Chris Clemons,"$3,585,000  ",2011
A.J. Green,"$3,579,655  ",2011
Josh Brown,"$3,556,176  ",2011
Manny Lawson,"$3,500,000  ",2011
Antrel Rolle,"$3,500,000  ",2011
Will Witherspoon,"$3,500,000  ",2011
Eric Wright,"$3,500,000  ",2011
Nick Barnett,"$3,500,000  ",2011
Brad Smith,"$3,500,000  ",2011
Richard Marshall,"$3,500,000  ",2011
Scott Fujita,"$3,500,000  ",2011
Dan Koppen,"$3,500,000  ",2011
Jeromey Clary,"$3,500,000  ",2011
Danieal Manning,"$3,500,000  ",2011
Chris Myers,"$3,500,000  ",2011
Michael Koenen,"$3,500,000  ",2011
Andre' Goodman,"$3,480,000  ",2011
Kyle Vanden Bosch,"$3,477,500  ",2011
Brandon Flowers,"$3,470,000  ",2011
Sage Rosenfels,"$3,466,667  ",2011
Desmond Bishop,"$3,431,750  ",2011
Geoff Hangartner,"$3,400,000  ",2011
Derrick Johnson,"$3,400,000  ",2011
Patrick Peterson,"$3,350,818  ",2011
Brett Keisel,"$3,350,000  ",2011
