Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1001,Anthony Fasano\FasaAn00,2009,2017,2-53,TOT,NFL,132,109,9,0,0,22
1002,Drayton Florence\FlorDr20,2009,2013,2-46,TOT,NFL,68,53,5,0,0,22
1003,Moise Fokou\FokoMo99,2009,2014,7-230,TOT,NFL,73,35,6,0,0,22
1004,Graham Glasgow\GlasGr00,2016,2018,3-95,DET,NFL,47,43,3,0,0,22
1005,E.J. Henderson\HendE.20,2009,2011,2-40,MIN,NFL,44,42,3,1,0,22
1006,Jordan Hicks\HickJo00,2015,2018,3-84,PHI,NFL,43,40,4,0,0,22
1007,Jeremy Hill\HillJe01,2014,2018,2-55,TOT,NFL,55,43,5,0,0,22
1008,Jordan Howard\HowaJo00,2016,2018,5-150,CHI,NFL,47,44,3,1,0,22
1009,Kevin Huber\HubeKe20,2009,2018,5-142,CIN,NFL,158,0,10,1,0,22
1010,Allen Hurns\HurnAl01,2014,2018,,TOT,NFL,68,49,5,0,0,22
1011,Grady Jarrett\JarrGr00,2015,2018,5-137,ATL,NFL,61,46,4,0,0,22
1012,Michael Jenkins\JenkMi00,2009,2012,1-29,TOT,NFL,53,33,4,0,0,22
1013,Donnie Jones\JoneDo21,2009,2018,7-224,TOT,NFL,156,0,10,0,0,22
1014,Brandon Linder\LindBr00,2014,2018,3-93,JAX,NFL,54,54,5,0,0,22
1015,Blake Martinez\MartBl01,2016,2018,4-131,GNB,NFL,45,41,3,0,0,22
1016,Brice McCain\McCaBr99,2009,2017,6-188,TOT,NFL,132,41,9,0,0,22
1017,Kareem McKenzie\McKeKa20,2009,2011,3-79,NYG,NFL,44,44,3,0,0,22
1018,Jerick McKinnon\McKiJe00,2014,2017,3-96,MIN,NFL,58,14,4,0,0,22
1019,Marcus McNeill\McNeMa20,2009,2011,2-50,SDG,NFL,36,36,3,0,0,22
1020,Pernell McPhee\McPhPe00,2011,2018,5-165,TOT,NFL,109,23,8,0,0,22
1021,Rahim Moore\MoorRa00,2011,2015,2-45,TOT,NFL,64,54,5,0,0,22
1022,Matt Paradis\ParaMa00,2014,2018,6-207,DEN,NFL,57,57,5,0,0,22
1023,Mike Pollak\PollMi20,2009,2014,2-59,TOT,NFL,68,39,6,0,0,22
1024,Rueben Randle\RandRu00,2012,2015,2-63,NYG,NFL,64,33,4,0,0,22
1025,Marcel Reece\ReecMa00,2009,2016,,TOT,NFL,96,67,8,3,0,22
1026,Dan Skuta\SkutDa00,2009,2016,,TOT,NFL,112,32,8,0,0,22
1027,Jason Snelling\SnelJa00,2009,2013,7-244,ATL,NFL,73,5,5,0,0,22
1028,Jacob Tamme\TammJa00,2009,2016,4-127,TOT,NFL,118,36,8,0,0,22
1029,Manti Te'o\TeoxMa00,2013,2018,2-38,TOT,NFL,59,47,6,0,0,22
1030,Julius Thomas\ThomJu00,2011,2017,4-129,TOT,NFL,71,55,7,2,0,22
1031,Mike Thomas\ThomMi01,2009,2012,4-107,TOT,NFL,61,32,4,0,0,22
1032,Shaq Thompson\ThomSh01,2015,2018,1-25,CAR,NFL,56,47,4,0,0,22
1033,Greg Toler\ToleGr99,2009,2016,4-131,TOT,NFL,88,49,7,0,0,22
1034,Mitch Unrein\UnreMi00,2011,2017,,TOT,NFL,95,24,7,0,0,22
1035,Vance Walker\WalkVa99,2009,2015,7-210,TOT,NFL,104,32,7,0,0,22
1036,Michael Wilhoite\WilhMi00,2012,2017,,TOT,NFL,79,45,6,0,0,22
1037,Kellen Winslow\WinsKe01,2009,2013,1-6,TOT,NFL,61,43,5,0,0,22
1038,Greg Zuerlein\ZuerGr00,2012,2018,6-171,RAM,NFL,103,0,7,1,1,22
1039,Russell Allen\AlleRu00,2009,2013,,JAX,NFL,78,44,5,0,0,21
1040,Adrian Amos\AmosAd00,2015,2018,5-142,CHI,NFL,60,56,4,0,0,21
1041,Connor Barth\barthco01,2009,2017,,TOT,NFL,99,0,8,0,0,21
1042,Jonathan Bostic\BostJo00,2013,2018,2-50,TOT,NFL,70,46,5,0,0,21
1043,Tre Boston\BostTr00,2014,2018,4-128,TOT,NFL,72,44,5,0,0,21
1044,Levi Brown\BrowLe20,2009,2013,1-5,TOT,NFL,53,52,5,0,0,21
1045,Bruce Carter\CartBr00,2011,2018,2-40,TOT,NFL,101,36,8,0,0,21
1046,La'el Collins\CollLa01,2015,2018,,DAL,NFL,47,46,4,0,0,21
1047,Britton Colquitt\ColqBr00,2010,2018,,TOT,NFL,144,0,9,0,0,21
1048,William Compton\CompWi00,2013,2018,,TOT,NFL,69,35,6,0,0,21
1049,Perrish Cox\CoxxPe99,2010,2016,5-137,TOT,NFL,81,45,6,0,0,21
1050,Abram Elam\ElamAb20,2009,2012,,TOT,NFL,60,54,4,0,0,21
1051,Brett Favre*\FavrBr00,2009,2010,2-33,MIN,NFL,29,29,2,1,0,21
1052,Leonard Floyd\FloyLe00,2016,2018,1-9,CHI,NFL,38,38,3,0,0,21
1053,Devin Funchess\FuncDe00,2015,2018,2-41,CAR,NFL,61,40,4,0,0,21
1054,Jabar Gaffney\GaffJa00,2009,2012,2-33,TOT,NFL,51,33,4,0,0,21
1055,Junior Galette\GaleJu00,2010,2017,,TOT,NFL,80,30,6,0,0,21
1056,Garry Gilliam\GillGa01,2014,2018,,TOT,NFL,68,31,5,0,0,21
1057,Chris Gocong\GocoCh99,2009,2012,3-71,TOT,NFL,47,43,4,0,0,21
1058,Ryan Grant\GranRy00,2009,2012,,TOT,NFL,37,32,4,0,0,21
1059,Kelly Gregg\GregKe20,2009,2011,6-173,TOT,NFL,48,44,3,0,0,21
1060,Steve Gregory\GregSt20,2009,2013,,TOT,NFL,66,51,5,0,0,21
1061,Clark Haggans\HaggCl20,2009,2012,5-137,TOT,NFL,54,43,4,0,0,21
1062,Chris Harris\HarrCh20,2009,2012,6-181,TOT,NFL,45,37,4,0,0,21
1063,Leroy Harris\HarrLe21,2009,2013,4-115,TOT,NFL,55,41,5,0,0,21
