Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
5501,John Potter\PottJo00,2012,2013,7-251,TOT,NFL,9,0,2,0,0,0
5502,Zach Potter\PottZa99,2009,2012,,JAX,NFL,45,14,4,0,0,0
5503,Darius Powe\PoweDa02,2017,2017,,NYG,NFL,1,1,1,0,0,0
5504,Carlton Powell\PoweCa98,2011,2011,5-148,ATL,NFL,3,0,1,0,0,0
5505,Chaz Powell\PoweCh00,2012,2012,,GNB,NFL,,,1,0,0,0
5506,Paul Pratt\PratPa20,2010,2010,,DET,NFL,2,0,1,0,0,0
5507,Gimel President\PresGi00,2017,2017,,HTX,NFL,4,0,1,0,0,0
5508,De'Andre Presley\PresDe00,2012,2014,,TOT,NFL,8,0,2,0,0,0
5509,Chris Pressley\PresCh00,2009,2012,,TOT,NFL,43,20,4,0,0,0
5510,Michael Preston\PresMi00,2012,2013,,OTI,NFL,11,0,2,0,0,0
5511,Ejuan Price\PricEj00,2017,2017,7-234,RAM,NFL,1,0,1,0,0,0
5512,Givens Price\PricGi00,2016,2016,,CRD,NFL,1,0,1,0,0,0
5513,Ricky Price\PricRi00,2009,2010,,KAN,NFL,9,0,2,0,0,0
5514,Jay Prosch\ProsJa00,2014,2017,6-211,HTX,NFL,63,13,4,0,0,0
5515,Julius Pruitt\PruiJu00,2011,2011,,MIA,NFL,9,0,1,0,0,0
5516,Jarrod Pughsley\PughJa00,2014,2015,,KAN,NFL,2,0,2,0,0,0
5517,Maurice Purify\PuriMa00,2009,2009,,CIN,NFL,5,0,1,0,0,0
5518,Ryan Purvis\PurvRy00,2010,2010,,TAM,NFL,10,2,1,0,0,0
5519,Cyhl Quarles\QuarCy00,2012,2012,,NWE,NFL,,,1,0,0,0
5520,Kelcy Quarles\QuarKe01,2014,2014,,CLT,NFL,2,0,1,0,0,0
5521,David Quessenberry\QuesDa00,2014,2017,6-176,HTX,NFL,2,0,2,0,0,0
5522,Richard Quinn\QuinRi00,2009,2012,2-64,TOT,NFL,30,4,4,0,0,0
5523,Raymond Radway\RadwRa00,2012,2012,,RAM,NFL,,,1,0,0,0
5524,Donovan Raiola\RaioDo00,2010,2010,,TAM,NFL,1,0,1,0,0,0
5525,Andre Ramsey\RamsAn20,2009,2009,,BUF,NFL,2,0,1,0,0,0
5526,Rich Ranglin\RangRi00,2012,2012,,KAN,NFL,,,1,0,0,0
5527,Louis Rankin\RankLo00,2009,2009,,2TM,NFL,9,0,1,0,0,0
5528,Sha'reff Rashad\RashSh20,2010,2010,,WAS,NFL,1,0,1,0,0,0
5529,Ryan Rau\RauxRy00,2012,2012,,PHI,NFL,4,0,1,0,0,0
5530,Caesar Rayford\RayfCa00,2013,2013,,DAL,NFL,7,0,1,0,0,0
5531,Kalif Raymond\RaymKa00,2016,2017,,TOT,NFL,12,0,2,0,0,0
5532,Jeremy Reaves\ReavJe00,2018,2018,,WAS,NFL,2,0,1,0,0,0
5533,C.J. Reavis\ReavC.00,2018,2018,,JAX,NFL,4,0,1,0,0,0
5534,Kasey Redfern\RedfKa00,2017,2017,,DET,NFL,1,0,1,0,0,0
5535,Will Redmond\RedmWi00,2018,2018,3-68,GNB,NFL,5,0,1,0,0,0
5536,Bert Reed\ReedBe00,2012,2012,,PIT,NFL,,,1,0,0,0
5537,D'Aundre Reed\ReedD'00,2012,2012,7-215,MIN,NFL,6,0,1,0,0,0
