rank,team,name,salary,year
97,,"
Ryan Kerrigan
Outside Linebacker
","$8,450,000  ",2016
98,,"
Kareem Jackson
Cornerback
","$8,437,500  ",2016
99,,"
Vontae Davis
Cornerback
","$8,375,000  ",2016
100,,"
Jordy Nelson
Wide Receiver
","$8,300,000  ",2016
,,"
Joe Staley
Left Tackle
","$8,300,000  ",2016
102,,"
Brian Orakpo
Outside Linebacker
","$8,250,000  ",2016
103,,"
Reshad Jones
Strong Safety
","$8,202,942  ",2016
104,,"
Everson Griffen
Defensive End
","$8,200,000  ",2016
105,,"
Jurrell Casey
Defensive Tackle
","$8,120,000  ",2016
106,,"
Riley Reiff
Left Tackle
","$8,070,000  ",2016
,,"
Kevin Zeitler
Guard
","$8,070,000  ",2016
108,,"
Michael Bennett
Defensive End
","$8,050,000  ",2016
109,,"
DeMarcus Ware
Outside Linebacker
","$8,010,418  ",2016
110,,"
Ahmad Brooks
Outside Linebacker
","$8,005,000  ",2016
111,,"
Doug Baldwin
Wide Receiver
","$8,000,000  ",2016
,,"
Janoris Jenkins
Cornerback
","$8,000,000  ",2016
,,"
Dominique Rodgers-Cromartie
Cornerback
","$8,000,000  ",2016
,,"
Jordan Cameron
Tight End
","$8,000,000  ",2016
,,"
Brent Grimes
Cornerback
","$8,000,000  ",2016
,,"
Josh Norman
Cornerback
","$8,000,000  ",2016
,,"
Eric Decker
Wide Receiver
","$8,000,000  ",2016
,,"
Andrew Whitworth
Left Tackle
","$8,000,000  ",2016
,,"
Jared Odrick
Defensive End
","$8,000,000  ",2016
120,,"
Tavon Austin
Wide Receiver
","$7,811,248  ",2016
121,,"
Chandler Jones
Outside Linebacker
","$7,799,000  ",2016
122,,"
Doug Martin
Running Back
","$7,764,706  ",2016
123,,"
Dont'a Hightower
Outside Linebacker
","$7,751,000  ",2016
,,"
Melvin Ingram
Outside Linebacker
","$7,751,000  ",2016
125,,"
Robert Ayers
Defensive End
","$7,750,000  ",2016
126,,"
Lane Johnson
Right Tackle
","$7,731,329  ",2016
127,,"
Keenan Allen
Wide Receiver
","$7,724,450  ",2016
128,,"
Rodney Hudson
Center
","$7,700,000  ",2016
129,,"
LeSean McCoy
Running Back
","$7,675,000  ",2016
,,"
Pernell McPhee
Outside Linebacker
","$7,675,000  ",2016
131,,"
DeAndre Levy
Outside Linebacker
","$7,650,000  ",2016
132,,"
Kyle Long
Guard
","$7,614,054  ",2016
133,,"
Adam-Pacman Jones
Cornerback
","$7,604,166  ",2016
134,,"
Torrey Smith
Wide Receiver
","$7,600,000  ",2016
135,,"
Glover Quin
Free Safety
","$7,577,500  ",2016
136,,"
Jerry Hughes
Defensive End
","$7,575,000  ",2016
137,,"
Dre Kirkpatrick
Cornerback
","$7,507,000  ",2016
138,,"
Dan Williams
Defensive Tackle
","$7,500,000  ",2016
,,"
Thomas Davis
Outside Linebacker
","$7,500,000  ",2016
,,"
David Harris
Inside Linebacker
","$7,500,000  ",2016
141,,"
Terrell Suggs
Outside Linebacker
","$7,450,000  ",2016
142,,"
Mike Daniels
Defensive Tackle
","$7,400,000  ",2016
143,,"
Elvis Dumervil
Outside Linebacker
","$7,375,000  ",2016
144,,"
Connor Barwin
Outside Linebacker
","$7,350,000  ",2016
145,,"
Kendall Wright
Wide Receiver
","$7,320,000  ",2016
146,,"
Kyle Rudolph
Tight End
","$7,300,000  ",2016
,,"
Julius Thomas
Tight End
","$7,300,000  ",2016
148,,"
Harrison Smith
Free Safety
","$7,278,000  ",2016
149,,"
Orlando Franklin
Guard
","$7,200,000  ",2016
