rank,team,name,salary,year
1,,"
Jimmy Garoppolo
Quarterback
","$37,000,000  ",2018
2,,"
Matthew Stafford
Quarterback
","$26,500,000  ",2018
3,,"
Derek Carr
Quarterback
","$25,000,000  ",2018
4,,"
Joe Flacco
Quarterback
","$24,750,000  ",2018
5,,"
Andrew Luck
Quarterback
","$24,400,000  ",2018
6,,"
Drew Brees
Quarterback
","$24,000,000  ",2018
,,"
Kirk Cousins
Quarterback
","$24,000,000  ",2018
8,,"
Russell Wilson
Quarterback
","$23,786,666  ",2018
9,,"
Ben Roethlisberger
Quarterback
","$23,200,000  ",2018
10,,"
Eli Manning
Quarterback
","$22,200,000  ",2018
11,,"
Tom Brady
Quarterback
","$22,000,000  ",2018
,,"
Philip Rivers
Quarterback
","$22,000,000  ",2018
13,,"
Cam Newton
Quarterback
","$21,500,000  ",2018
14,,"
Aaron Rodgers
Quarterback
","$20,900,000  ",2018
15,,"
Justin Houston
Outside Linebacker
","$20,600,000  ",2018
16,,"
Alex Smith
Quarterback
","$18,400,000  ",2018
17,,"
Mike Evans
Wide Receiver
","$18,258,000  ",2018
18,,"
Matt Ryan
Quarterback
","$17,700,000  ",2018
19,,"
Tyron Smith
Left Tackle
","$17,545,000  ",2018
20,,"
Calais Campbell
Defensive End
","$17,500,000  ",2018
21,,"
Ezekiel Ansah
Defensive End
","$17,143,000  ",2018
,,"
DeMarcus Lawrence
Defensive End
","$17,143,000  ",2018
23,,"
Olivier Vernon
Outside Linebacker
","$17,000,000  ",2018
,,"
Kawann Short
Defensive Tackle
","$17,000,000  ",2018
25,,"
Larry Fitzgerald
Wide Receiver
","$16,850,000  ",2018
26,,"
Josh Norman
Cornerback
","$16,800,000  ",2018
27,,"
Andy Dalton
Quarterback
","$16,300,000  ",2018
28,,"
Tyrod Taylor
Quarterback
","$16,000,000  ",2018
29,,"
Chandler Jones
Defensive End
","$15,500,000  ",2018
,,"
Malik Jackson
Defensive Tackle
","$15,500,000  ",2018
,,"
Jarvis Landry
Wide Receiver
","$15,500,000  ",2018
32,,"
A.J. Bouye
Cornerback
","$15,406,250  ",2018
33,,"
Geno Atkins
Defensive Tackle
","$15,100,000  ",2018
34,,"
J.J. Watt
Defensive End
","$15,000,000  ",2018
,,"
Case Keenum
Quarterback
","$15,000,000  ",2018
36,,"
Russell Okung
Left Tackle
","$14,968,750  ",2018
37,,"
Patrick Peterson
Cornerback
","$14,956,965  ",2018
38,,"
Jurrell Casey
Defensive Tackle
","$14,888,750  ",2018
39,,"
Ndamukong Suh
Defensive Tackle
","$14,500,000  ",2018
40,,"
Cameron Jordan
Defensive End
","$14,497,000  ",2018
41,,"
DeAndre Hopkins
Wide Receiver
","$14,000,000  ",2018
42,,"
Eric Fisher
Left Tackle
","$13,950,000  ",2018
43,,"
Melvin Ingram
Defensive End
","$13,875,000  ",2018
44,,"
Khalil Mack
Outside Linebacker
","$13,800,000  ",2018
45,,"
A.J. Green
Wide Receiver
","$13,750,000  ",2018
46,,"
Nick Foles
Quarterback
","$13,600,000  ",2018
,,"
Bobby Wagner
Inside Linebacker
","$13,600,000  ",2018
48,,"
Trent Williams
Left Tackle
","$13,579,005  ",2018
49,,"
Xavier Rhodes
Cornerback
","$13,337,500  ",2018
50,,"
Jadeveon Clowney
Outside Linebacker
","$13,311,000  ",2018
51,,"
Jimmy Smith
Cornerback
","$13,233,040  ",2018
52,,"
Carlos Dunlap
Defensive End
","$13,050,000  ",2018
53,,"
T.Y. Hilton
Wide Receiver
","$13,000,000  ",2018
,,"
Eric Berry
Strong Safety
","$13,000,000  ",2018
55,,"
Desmond Trufant
Cornerback
","$12,900,000  ",2018
56,,"
Julio Jones
Wide Receiver
","$12,866,667  ",2018
57,,"
Gerald McCoy
Defensive Tackle
","$12,750,000  ",2018
58,,"
Randall Cobb
Wide Receiver
","$12,531,250  ",2018
59,,"
Ryan Kalil
Center
","$12,529,000  ",2018
60,,"
Jason Pierre-Paul
Defensive End
","$12,500,000  ",2018
61,,"
Ryan Kerrigan
Outside Linebacker
","$12,450,000  ",2018
62,,"
Kevin Zeitler
Guard
","$12,400,000  ",2018
,,"
Jamie Collins
Outside Linebacker
","$12,400,000  ",2018
64,,"
Anthony Barr
Outside Linebacker
","$12,306,000  ",2018
65,,"
Ryan Jensen
Center
","$12,000,000  ",2018
66,,"
Devin McCourty
Free Safety
","$11,935,000  ",2018
67,,"
Joe Haden
Cornerback
","$11,916,666  ",2018
68,,"
Allen Robinson
Wide Receiver
","$11,812,500  ",2018
69,,"
Doug Baldwin
Wide Receiver
","$11,800,000  ",2018
70,,"
Everson Griffen
Defensive End
","$11,600,000  ",2018
71,,"
Robert Quinn
Defensive End
","$11,444,412  ",2018
72,,"
Riley Reiff
Left Tackle
","$11,400,000  ",2018
,,"
Clay Matthews
Outside Linebacker
","$11,400,000  ",2018
74,,"
Fletcher Cox
Defensive Tackle
","$11,348,000  ",2018
75,,"
LaMarcus Joyner
Free Safety
","$11,287,000  ",2018
76,,"
Cordy Glenn
Left Tackle
","$11,250,000  ",2018
77,,"
Logan Ryan
Cornerback
","$11,166,666  ",2018
78,,"
David Bakhtiari
Left Tackle
","$11,075,000  ",2018
79,,"
Alex Mack
Center
","$11,050,000  ",2018
80,,"
Sean Lee
Outside Linebacker
","$11,025,000  ",2018
81,,"
Michael Brockers
Defensive End
","$11,000,000  ",2018
,,"
DeSean Jackson
Wide Receiver
","$11,000,000  ",2018
,,"
Aqib Talib
Cornerback
","$11,000,000  ",2018
84,,"
Joe Staley
Left Tackle
","$10,950,000  ",2018
85,,"
Emmanuel Sanders
Wide Receiver
","$10,937,500  ",2018
86,,"
Derek Wolfe
Defensive End
","$10,925,000  ",2018
87,,"
Chris Harris
Cornerback
","$10,866,666  ",2018
88,,"
Rob Gronkowski
Tight End
","$10,859,375  ",2018
89,,"
Anthony Castonzo
Left Tackle
","$10,800,000  ",2018
90,,"
T.J. Lang
Guard
","$10,760,416  ",2018
91,,"
Taylor Lewan
Left Tackle
","$10,700,000  ",2018
92,,"
Jason Peters
Left Tackle
","$10,666,666  ",2018
93,,"
Nick Perry
Outside Linebacker
","$10,637,500  ",2018
94,,"
Davante Adams
Wide Receiver
","$10,568,750  ",2018
95,,"
Maurkice Pouncey
Center
","$10,551,000  ",2018
96,,"
Gabe Jackson
Guard
","$10,500,000  ",2018
,,"
Kelechi Osemele
Guard
","$10,500,000  ",2018
98,,"
Jerry Hughes
Defensive End
","$10,400,000  ",2018
,,"
Earl Thomas
Free Safety
","$10,400,000  ",2018
100,,"
Jordan Reed
Tight End
","$10,253,125  ",2018
101,,"
Marcell Dareus
Defensive Tackle
","$10,175,000  ",2018
102,,"
Marshal Yanda
Guard
","$10,125,220  ",2018
103,,"
Von Miller
Outside Linebacker
","$10,125,000  ",2018
104,,"
Terron Armstead
Left Tackle
","$10,050,000  ",2018
105,,"
Travis Kelce
Tight End
","$10,018,400  ",2018
106,,"
Josh McCown
Quarterback
","$10,000,000  ",2018
,,"
Trumaine Johnson
Cornerback
","$10,000,000  ",2018
,,"
Harrison Smith
Free Safety
","$10,000,000  ",2018
,,"
Nate Solder
Left Tackle
","$10,000,000  ",2018
,,"
Andre Branch
Defensive End
","$10,000,000  ",2018
,,"
Janoris Jenkins
Cornerback
","$10,000,000  ",2018
,,"
Blake Bortles
Quarterback
","$10,000,000  ",2018
113,,"
Kenny Stills
Wide Receiver
","$9,750,000  ",2018
114,,"
Mike Daniels
Defensive End
","$9,712,500  ",2018
115,,"
Dont'a Hightower
Inside Linebacker
","$9,695,305  ",2018
116,,"
Mark Barron
Inside Linebacker
","$9,666,666  ",2018
117,,"
Kiko Alonso
Outside Linebacker
","$9,662,500  ",2018
118,,"
Keenan Allen
Wide Receiver
","$9,650,000  ",2018
119,,"
Cameron Wake
Defensive End
","$9,625,000  ",2018
120,,"
Akiem Hicks
Defensive End
","$9,600,000  ",2018
,,"
Robert Alford
Cornerback
","$9,600,000  ",2018
,,"
Donte Moncrief
Wide Receiver
","$9,600,000  ",2018
123,,"
Kam Chancellor
Strong Safety
","$9,581,250  ",2018
124,,"
Dre Kirkpatrick
Cornerback
","$9,553,125  ",2018
125,,"
Weston Richburg
Center
","$9,535,000  ",2018
126,,"
Kelvin Beachum
Left Tackle
","$9,500,000  ",2018
127,,"
Ja'Wuan James
Right Tackle
","$9,341,000  ",2018
128,,"
Brandon Linder
Center
","$9,281,250  ",2018
129,,"
Pierre Garcon
Wide Receiver
","$9,250,000  ",2018
130,,"
Andrew Whitworth
Left Tackle
","$9,174,166  ",2018
131,,"
Jordy Nelson
Wide Receiver
","$9,168,750  ",2018
132,,"
Mario Addison
Defensive End
","$9,166,666  ",2018
133,,"
Tyrone Crawford
Defensive End
","$9,100,000  ",2018
134,,"
Larry Warford
Guard
","$9,000,000  ",2018
,,"
Charles Clay
Tight End
","$9,000,000  ",2018
,,"
Kareem Jackson
Strong Safety
","$9,000,000  ",2018
,,"
Brian Orakpo
Outside Linebacker
","$9,000,000  ",2018
138,,"
LeSean McCoy
Running Back
","$8,950,000  ",2018
139,,"
Aaron Donald
Defensive Tackle
","$8,892,000  ",2018
140,,"
Stephon Gilmore
Cornerback
","$8,887,500  ",2018
141,,"
Kyle Long
Guard
","$8,848,158  ",2018
142,,"
Lavonte David
Outside Linebacker
","$8,750,000  ",2018
143,,"
Ron Leary
Guard
","$8,718,750  ",2018
144,,"
Dee Ford
Outside Linebacker
","$8,718,000  ",2018
,,"
Ryan Shazier
Inside Linebacker
","$8,718,000  ",2018
,,"
C.J. Mosley
Inside Linebacker
","$8,718,000  ",2018
,,"
Deone Bucannon
Outside Linebacker
","$8,718,000  ",2018
148,,"
Ryan Tannehill
Quarterback
","$8,676,666  ",2018
149,,"
Delanie Walker
Tight End
","$8,635,625  ",2018
150,,"
Jimmie Ward
Free Safety
","$8,526,000  ",2018
,,"
Darqueze Dennard
Cornerback
","$8,526,000  ",2018
,,"
Jason Verrett
Cornerback
","$8,526,000  ",2018
,,"
Bradley Roby
Cornerback
","$8,526,000  ",2018
154,,"
Buster Skrine
Cornerback
","$8,500,000  ",2018
155,,"
Rodney McLeod
Strong Safety
","$8,406,250  ",2018
,,"
Derrick Morgan
Outside Linebacker
","$8,406,250  ",2018
157,,"
Jake Matthews
Left Tackle
","$8,289,200  ",2018
158,,"
Bryan Bulaga
Right Tackle
","$8,268,750  ",2018
159,,"
Duane Brown
Left Tackle
","$8,250,000  ",2018
,,"
Eric Weddle
Free Safety
","$8,250,000  ",2018
161,,"
K.J. Wright
Outside Linebacker
","$8,200,000  ",2018
162,,"
John Sullivan
Center
","$8,124,999  ",2018
163,,"
Linval Joseph
Defensive Tackle
","$8,050,000  ",2018
164,,"
Max Unger
Center
","$8,000,000  ",2018
,,"
Sheldon Richardson
Defensive Tackle
","$8,000,000  ",2018
,,"
Brandon Graham
Defensive End
","$8,000,000  ",2018
,,"
Brent Grimes
Cornerback
","$8,000,000  ",2018
,,"
Allen Bailey
Defensive End
","$8,000,000  ",2018
169,,"
Luke Kuechly
Inside Linebacker
","$7,992,514  ",2018
170,,"
Antonio Brown
Wide Receiver
","$7,955,000  ",2018
171,,"
Rodger Saffold
Guard
","$7,950,000  ",2018
,,"
Greg Olsen
Tight End
","$7,950,000  ",2018
173,,"
Jameis Winston
Quarterback
","$7,941,903  ",2018
174,,"
Sammy Watkins
Wide Receiver
","$7,800,000  ",2018
175,,"
Marcus Mariota
Quarterback
","$7,704,446  ",2018
176,,"
Trai Turner
Guard
","$7,703,000  ",2018
177,,"
Benardrick McKinney
Inside Linebacker
","$7,700,721  ",2018
178,,"
Mitchell Schwartz
Right Tackle
","$7,700,000  ",2018
179,,"
Kyle Rudolph
Tight End
","$7,675,000  ",2018
180,,"
Aaron Colvin
Cornerback
","$7,656,250  ",2018
181,,"
Jared Goff
Quarterback
","$7,619,365  ",2018
182,,"
Mohamed Sanu
Wide Receiver
","$7,525,000  ",2018
183,,"
Jabaal Sheard
Defensive End
","$7,500,000  ",2018
,,"
Prince Amukamara
Cornerback
","$7,500,000  ",2018
185,,"
Tahir Whitehead
Outside Linebacker
","$7,416,666  ",2018
186,,"
Marcus Gilbert
Right Tackle
","$7,358,500  ",2018
187,,"
Vontaze Burfict
Outside Linebacker
","$7,301,029  ",2018
188,,"
Carson Wentz
Quarterback
","$7,275,365  ",2018
189,,"
Todd Gurley
Running Back
","$7,228,306  ",2018
190,,"
Jermaine Gresham
Tight End
","$7,218,750  ",2018
191,,"
Jason Kelce
Center
","$7,200,000  ",2018
192,,"
Danny Trevathan
Inside Linebacker
","$7,150,000  ",2018
