rank,team,name,salary,year
1,,"
Joe Flacco
Quarterback
","$24,550,000  ",2017
2,,"
Carson Palmer
Quarterback
","$24,125,000  ",2017
3,,"
Kirk Cousins
Quarterback
","$23,943,600  ",2017
4,,"
Matt Ryan
Quarterback
","$23,750,000  ",2017
5,,"
Justin Houston
Outside Linebacker
","$22,100,000  ",2017
6,,"
Ryan Tannehill
Quarterback
","$20,300,000  ",2017
,,"
Aaron Rodgers
Quarterback
","$20,300,000  ",2017
8,,"
Cam Newton
Quarterback
","$20,166,666  ",2017
9,,"
Josh Norman
Cornerback
","$20,000,000  ",2017
10,,"
Von Miller
Outside Linebacker
","$19,900,000  ",2017
11,,"
Eli Manning
Quarterback
","$19,700,000  ",2017
12,,"
Andrew Luck
Quarterback
","$19,400,000  ",2017
13,,"
Ndamukong Suh
Defensive Tackle
","$19,100,000  ",2017
14,,"
Drew Brees
Quarterback
","$19,000,000  ",2017
15,,"
Ben Roethlisberger
Quarterback
","$18,200,000  ",2017
16,,"
Sam Bradford
Quarterback
","$18,000,000  ",2017
,,"
Muhammad Wilkerson
Defensive End
","$18,000,000  ",2017
,,"
DeAndre Hopkins
Wide Receiver
","$18,000,000  ",2017
,,"
Philip Rivers
Quarterback
","$18,000,000  ",2017
20,,"
Dez Bryant
Wide Receiver
","$17,000,000  ",2017
21,,"
Alex Smith
Quarterback
","$16,900,000  ",2017
22,,"
Trumaine Johnson
Cornerback
","$16,742,400  ",2017
23,,"
Matthew Stafford
Quarterback
","$16,500,000  ",2017
24,,"
Olivier Vernon
Defensive End
","$16,000,000  ",2017
25,,"
Larry Fitzgerald
Wide Receiver
","$15,850,000  ",2017
26,,"
Derek Carr
Quarterback
","$15,731,691  ",2017
27,,"
Andy Dalton
Quarterback
","$15,700,000  ",2017
28,,"
Malik Jackson
Defensive Tackle
","$15,500,000  ",2017
29,,"
Clay Matthews
Outside Linebacker
","$15,075,000  ",2017
30,,"
Janoris Jenkins
Cornerback
","$15,000,000  ",2017
31,,"
Tavon Austin
Wide Receiver
","$14,977,116  ",2017
32,,"
Trent Williams
Left Tackle
","$14,963,380  ",2017
33,,"
Melvin Ingram
Outside Linebacker
","$14,875,000  ",2017
34,,"
Russell Wilson
Quarterback
","$14,626,666  ",2017
35,,"
J.J. Watt
Defensive End
","$14,500,000  ",2017
36,,"
Cordy Glenn
Left Tackle
","$14,200,000  ",2017
37,,"
Tom Brady
Quarterback
","$14,000,000  ",2017
,,"
Mike Glennon
Quarterback
","$14,000,000  ",2017
39,,"
Julio Jones
Wide Receiver
","$13,900,000  ",2017
40,,"
Gerald McCoy
Defensive Tackle
","$13,750,000  ",2017
,,"
Joe Thomas
Left Tackle
","$13,750,000  ",2017
42,,"
Patrick Peterson
Cornerback
","$13,706,965  ",2017
43,,"
Richard Sherman
Cornerback
","$13,631,000  ",2017
44,,"
Antonio Brown
Wide Receiver
","$13,618,333  ",2017
45,,"
A.J. Green
Wide Receiver
","$13,500,000  ",2017
,,"
Kelechi Osemele
Guard
","$13,500,000  ",2017
47,,"
Anthony Castonzo
Left Tackle
","$12,800,000  ",2017
48,,"
Luke Kuechly
Inside Linebacker
","$12,763,324  ",2017
49,,"
Ezekiel Ansah
Defensive End
","$12,734,000  ",2017
50,,"
Randall Cobb
Wide Receiver
","$12,656,250  ",2017
51,,"
DeSean Jackson
Wide Receiver
","$12,500,000  ",2017
52,,"
Jason Witten
Tight End
","$12,262,000  ",2017
53,,"
Joel Bitonio
Guard
","$12,237,813  ",2017
54,,"
Le'Veon Bell
Running Back
","$12,120,000  ",2017
55,,"
Greg Olsen
Tight End
","$12,100,000  ",2017
,,"
Jamie Collins
Outside Linebacker
","$12,100,000  ",2017
57,,"
Cameron Jordan
Defensive End
","$12,047,000  ",2017
58,,"
Demaryius Thomas
Wide Receiver
","$12,033,333  ",2017
59,,"
Ryan Kerrigan
Outside Linebacker
","$11,700,000  ",2017
60,,"
Jordy Nelson
Wide Receiver
","$11,550,000  ",2017
61,,"
Aqib Talib
Cornerback
","$11,352,941  ",2017
62,,"
Jurrell Casey
Defensive Tackle
","$11,288,750  ",2017
63,,"
Nate Solder
Left Tackle
","$11,166,418  ",2017
64,,"
Brandon Linder
Center
","$11,070,900  ",2017
65,,"
Joe Staley
Left Tackle
","$11,056,250  ",2017
66,,"
Maurkice Pouncey
Center
","$11,051,000  ",2017
67,,"
David DeCastro
Guard
","$11,050,000  ",2017
68,,"
Mark Barron
Inside Linebacker
","$11,000,000  ",2017
,,"
Michael Brockers
Defensive Tackle
","$11,000,000  ",2017
70,,"
Devin McCourty
Free Safety
","$10,935,000  ",2017
71,,"
Michael Bennett
Defensive End
","$10,768,750  ",2017
72,,"
Robert Quinn
Outside Linebacker
","$10,750,334  ",2017
73,,"
Alshon Jeffery
Wide Receiver
","$10,750,000  ",2017
74,,"
Akiem Hicks
Defensive End
","$10,700,000  ",2017
75,,"
Darius Slay
Cornerback
","$10,681,250  ",2017
76,,"
Gabe Jackson
Guard
","$10,647,844  ",2017
77,,"
Geno Atkins
Defensive Tackle
","$10,600,000  ",2017
,,"
Damon Harrison
Defensive Tackle
","$10,600,000  ",2017
79,,"
Johnathan Hankins
Defensive Tackle
","$10,500,000  ",2017
,,"
Calais Campbell
Defensive End
","$10,500,000  ",2017
81,,"
Jerry Hughes
Defensive End
","$10,450,000  ",2017
82,,"
Xavier Rhodes
Cornerback
","$10,426,000  ",2017
83,,"
Mike Daniels
Defensive Tackle
","$10,400,000  ",2017
,,"
Earl Thomas
Free Safety
","$10,400,000  ",2017
85,,"
LeSean McCoy
Running Back
","$10,375,000  ",2017
86,,"
Tyrone Crawford
Defensive End
","$10,350,000  ",2017
87,,"
Thomas Davis
Outside Linebacker
","$10,058,824  ",2017
88,,"
T.Y. Hilton
Wide Receiver
","$10,000,000  ",2017
,,"
Kawann Short
Defensive Tackle
","$10,000,000  ",2017
,,"
Chandler Jones
Outside Linebacker
","$10,000,000  ",2017
,,"
Jared Veldheer
Right Tackle
","$10,000,000  ",2017
,,"
Jimmy Graham
Tight End
","$10,000,000  ",2017
,,"
Jay Cutler
Quarterback
","$10,000,000  ",2017
94,,"
Jabaal Sheard
Outside Linebacker
","$9,968,750  ",2017
95,,"
Chris Harris
Cornerback
","$9,866,666  ",2017
96,,"
Lane Johnson
Right Tackle
","$9,843,750  ",2017
97,,"
Tyrod Taylor
Quarterback
","$9,713,334  ",2017
98,,"
Mike Iupati
Guard
","$9,700,000  ",2017
99,,"
Robert Alford
Cornerback
","$9,600,000  ",2017
100,,"
Emmanuel Sanders
Wide Receiver
","$9,537,500  ",2017
101,,"
Corey Liuget
Defensive Tackle
","$9,500,000  ",2017
,,"
Sean Smith
Cornerback
","$9,500,000  ",2017
103,,"
Eric Fisher
Left Tackle
","$9,457,977  ",2017
104,,"
Brian Orakpo
Outside Linebacker
","$9,450,000  ",2017
105,,"
Fletcher Cox
Defensive Tackle
","$9,400,000  ",2017
106,,"
Dre Kirkpatrick
Cornerback
","$9,384,375  ",2017
107,,"
Andrew Whitworth
Left Tackle
","$9,166,666  ",2017
108,,"
Marshal Yanda
Guard
","$9,125,220  ",2017
109,,"
Vinny Curry
Defensive End
","$9,000,000  ",2017
,,"
Charles Clay
Tight End
","$9,000,000  ",2017
111,,"
Mike Pouncey
Center
","$8,975,000  ",2017
112,,"
Kareem Jackson
Cornerback
","$8,968,750  ",2017
113,,"
Justin Pugh
Guard
","$8,821,000  ",2017
114,,"
Tyron Smith
Left Tackle
","$8,820,000  ",2017
115,,"
Tamba Hali
Outside Linebacker
","$8,708,333  ",2017
116,,"
Logan Ryan
Cornerback
","$8,666,666  ",2017
117,,"
Keenan Allen
Wide Receiver
","$8,650,000  ",2017
118,,"
Everson Griffen
Defensive End
","$8,600,000  ",2017
,,"
Marvin Jones
Wide Receiver
","$8,600,000  ",2017
120,,"
Dominique Rodgers-Cromartie
Cornerback
","$8,589,411  ",2017
121,,"
Stephon Gilmore
Cornerback
","$8,568,750  ",2017
122,,"
Eric Wood
Center
","$8,524,999  ",2017
123,,"
Riley Reiff
Left Tackle
","$8,500,000  ",2017
,,"
Buster Skrine
Cornerback
","$8,500,000  ",2017
,,"
David Amerson
Cornerback
","$8,500,000  ",2017
126,,"
Vontaze Burfict
Outside Linebacker
","$8,460,529  ",2017
127,,"
Kevin Zeitler
Guard
","$8,400,000  ",2017
128,,"
Ron Leary
Guard
","$8,375,000  ",2017
129,,"
Golden Tate
Wide Receiver
","$8,351,250  ",2017
130,,"
Alex Mack
Center
","$8,300,000  ",2017
,,"
Kyle Williams
Defensive Tackle
","$8,300,000  ",2017
132,,"
Mike Mitchell
Free Safety
","$8,135,416  ",2017
133,,"
Tyrann Mathieu
Free Safety
","$8,100,000  ",2017
134,,"
Ryan Kalil
Center
","$8,079,000  ",2017
135,,"
Sheldon Richardson
Defensive Tackle
","$8,069,000  ",2017
136,,"
Dontari Poe
Defensive Tackle
","$8,000,000  ",2017
,,"
Jack Doyle
Tight End
","$8,000,000  ",2017
,,"
Brent Grimes
Cornerback
","$8,000,000  ",2017
,,"
Brian Winters
Guard
","$8,000,000  ",2017
,,"
Mike Wallace
Wide Receiver
","$8,000,000  ",2017
,,"
Barry Church
Strong Safety
","$8,000,000  ",2017
,,"
Kyle Long
Guard
","$8,000,000  ",2017
143,,"
Derrick Morgan
Outside Linebacker
","$7,968,750  ",2017
144,,"
Bennie Logan
Defensive Tackle
","$7,953,125  ",2017
145,,"
Derek Wolfe
Defensive End
","$7,862,500  ",2017
146,,"
Bryan Bulaga
Right Tackle
","$7,850,000  ",2017
147,,"
Pernell McPhee
Outside Linebacker
","$7,825,000  ",2017
148,,"
Haloti Ngata
Defensive Tackle
","$7,703,125  ",2017
149,,"
Bobby Wagner
Inside Linebacker
","$7,600,000  ",2017
150,,"
Terron Armstead
Left Tackle
","$7,500,000  ",2017
,,"
Coby Fleener
Tight End
","$7,500,000  ",2017
,,"
Harrison Smith
Free Safety
","$7,500,000  ",2017
,,"
Malcolm Jenkins
Free Safety
","$7,500,000  ",2017
,,"
Brandon Graham
Defensive End
","$7,500,000  ",2017
,,"
Jason Pierre-Paul
Defensive End
","$7,500,000  ",2017
,,"
Cameron Wake
Defensive End
","$7,500,000  ",2017
157,,"
Julian Edelman
Wide Receiver
","$7,416,666  ",2017
158,,"
Max Unger
Center
","$7,400,000  ",2017
,,"
Mohamed Sanu
Wide Receiver
","$7,400,000  ",2017
,,"
Darian Stewart
Free Safety
","$7,400,000  ",2017
161,,"
Adam-Pacman Jones
Cornerback
","$7,390,195  ",2017
162,,"
Sean Lee
Outside Linebacker
","$7,325,000  ",2017
163,,"
Jimmy Smith
Cornerback
","$7,267,647  ",2017
164,,"
Carlos Dunlap
Defensive End
","$7,250,000  ",2017
,,"
Luke Joeckel
Guard
","$7,250,000  ",2017
166,,"
Cameron Heyward
Defensive End
","$7,231,250  ",2017
167,,"
Donald Penn
Left Tackle
","$7,150,000  ",2017
168,,"
Jadeveon Clowney
Outside Linebacker
","$7,086,863  ",2017
169,,"
Linval Joseph
Defensive Tackle
","$7,050,000  ",2017
170,,"
William Gholston
Defensive End
","$7,000,000  ",2017
,,"
Robert Woods
Wide Receiver
","$7,000,000  ",2017
,,"
Bruce Irvin
Outside Linebacker
","$7,000,000  ",2017
,,"
Allen Hurns
Wide Receiver
","$7,000,000  ",2017
,,"
Prince Amukamara
Cornerback
","$7,000,000  ",2017
175,,"
Morgan Burnett
Strong Safety
","$6,981,250  ",2017
176,,"
Michael Crabtree
Wide Receiver
","$6,968,750  ",2017
177,,"
Terrell Suggs
Outside Linebacker
","$6,950,000  ",2017
,,"
DeMarco Murray
Running Back
","$6,950,000  ",2017
,,"
Rodney Hudson
Center
","$6,950,000  ",2017
180,,"
Jason Peters
Left Tackle
","$6,916,666  ",2017
181,,"
Jameis Winston
Quarterback
","$6,913,985  ",2017
182,,"
Johnathan Joseph
Cornerback
","$6,906,250  ",2017
183,,"
Mitchell Schwartz
Right Tackle
","$6,900,000  ",2017
184,,"
Josh Sitton
Guard
","$6,822,916  ",2017
185,,"
James Carpenter
Guard
","$6,805,000  ",2017
186,,"
Kyle Rudolph
Tight End
","$6,800,000  ",2017
,,"
K.J. Wright
Outside Linebacker
","$6,800,000  ",2017
188,,"
Star Lotulelei
Defensive Tackle
","$6,757,000  ",2017
189,,"
Kam Chancellor
Strong Safety
","$6,743,744  ",2017
190,,"
Danny Trevathan
Inside Linebacker
","$6,732,352  ",2017
191,,"
Brandon Brooks
Guard
","$6,640,809  ",2017
192,,"
Andy Levitre
Guard
","$6,625,000  ",2017
193,,"
Marcus Mariota
Quarterback
","$6,603,811  ",2017
194,,"
Mychal Kendricks
Outside Linebacker
","$6,600,000  ",2017
195,,"
Blake Bortles
Quarterback
","$6,571,985  ",2017
196,,"
Josh McCown
Quarterback
","$6,500,000  ",2017
,,"
Rob Gronkowski
Tight End
","$6,500,000  ",2017
,,"
Lamar Miller
Running Back
","$6,500,000  ",2017
,,"
Travis Benjamin
Wide Receiver
","$6,500,000  ",2017
,,"
Jermey Parnell
Right Tackle
","$6,500,000  ",2017
201,,"
Jeff Allen
Guard
","$6,437,500  ",2017
202,,"
Pierre Garcon
Wide Receiver
","$6,425,000  ",2017
203,,"
Dante Fowler Jr.
Defensive End
","$6,406,433  ",2017
204,,"
C.J. Fiedorowicz
Tight End
","$6,397,826  ",2017
205,,"
Glover Quin
Free Safety
","$6,394,166  ",2017
206,,"
Marcus Gilbert
Right Tackle
","$6,367,324  ",2017
207,,"
Jared Goff
Quarterback
","$6,349,471  ",2017
208,,"
Rishard Matthews
Wide Receiver
","$6,333,333  ",2017
209,,"
Rodger Saffold
Guard
","$6,315,983  ",2017
210,,"
Tashaun Gipson
Free Safety
","$6,300,000  ",2017
211,,"
Robert Ayers
Defensive End
","$6,250,000  ",2017
212,,"
Jason Kelce
Center
","$6,200,000  ",2017
,,"
Patrick Chung
Strong Safety
","$6,200,000  ",2017
214,,"
Amari Cooper
Wide Receiver
","$6,180,850  ",2017
215,,"
Jonathan Stewart
Running Back
","$6,175,000  ",2017
216,,"
David Bakhtiari
Left Tackle
","$6,171,000  ",2017
217,,"
Paul Posluszny
Outside Linebacker
","$6,166,668  ",2017
218,,"
Allen Bailey
Defensive End
","$6,156,250  ",2017
219,,"
Zach Strief
Right Tackle
","$6,100,000  ",2017
220,,"
Brian Cushing
Inside Linebacker
","$6,077,830  ",2017
221,,"
Carson Wentz
Quarterback
","$6,062,804  ",2017
222,,"
Bobby Massie
Right Tackle
","$6,034,375  ",2017
223,,"
Whitney Mercilus
Outside Linebacker
","$6,018,750  ",2017
224,,"
Terrelle Pryor
Wide Receiver
","$6,000,000  ",2017
,,"
John Simon
Outside Linebacker
","$6,000,000  ",2017
,,"
Chris Baker
Defensive Tackle
","$6,000,000  ",2017
,,"
Lavonte David
Outside Linebacker
","$6,000,000  ",2017
,,"
Russell Okung
Left Tackle
","$6,000,000  ",2017
,,"
Reggie Nelson
Free Safety
","$6,000,000  ",2017
,,"
Chris Ivory
Running Back
","$6,000,000  ",2017
231,,"
Khalil Mack
Defensive End
","$5,942,682  ",2017
232,,"
Nick Perry
Outside Linebacker
","$5,925,000  ",2017
233,,"
Ricky Wagner
Right Tackle
","$5,900,000  ",2017
234,,"
Joey Bosa
Defensive End
","$5,880,383  ",2017
235,,"
T.J. Lang
Guard
","$5,869,791  ",2017
236,,"
Brandon Scherff
Guard
","$5,786,082  ",2017
237,,"
Doug Martin
Running Back
","$5,764,705  ",2017
238,,"
Eric Weddle
Free Safety
","$5,750,000  ",2017
239,,"
Jordan Reed
Tight End
","$5,737,500  ",2017
240,,"
Marcell Dareus
Defensive Tackle
","$5,735,294  ",2017
241,,"
Alec Ogletree
Inside Linebacker
","$5,719,000  ",2017
242,,"
Eric Reid
Strong Safety
","$5,676,000  ",2017
,,"
Kenny Vaccaro
Strong Safety
","$5,676,000  ",2017
244,,"
Ezekiel Elliott
Running Back
","$5,671,895  ",2017
245,,"
Ron Parker
Free Safety
","$5,600,000  ",2017
,,"
Julius Thomas
Tight End
","$5,600,000  ",2017
