rank,team,name,salary,year
1,,"
Ndamukong Suh
Defensive Tackle
","$22,412,500  ",2014
2,,"
Gerald McCoy
Defensive Tackle
","$21,295,000  ",2014
3,,"
Eli Manning
Quarterback
","$20,400,000  ",2014
4,,"
Ben Roethlisberger
Quarterback
","$18,895,000  ",2014
5,,"
Mario Williams
Defensive End
","$18,800,000  ",2014
6,,"
Jay Cutler
Quarterback
","$18,500,000  ",2014
7,,"
Drew Brees
Quarterback
","$18,400,000  ",2014
8,,"
Sam Bradford
Quarterback
","$17,610,000  ",2014
9,,"
Aaron Rodgers
Quarterback
","$17,550,000  ",2014
10,,"
Matt Ryan
Quarterback
","$17,500,000  ",2014
,,"
Peyton Manning
Quarterback
","$17,500,000  ",2014
12,,"
Mike Wallace
Wide Receiver
","$17,250,000  ",2014
13,,"
Philip Rivers
Quarterback
","$16,666,666  ",2014
14,,"
Matthew Stafford
Quarterback
","$15,820,000  ",2014
15,,"
Andre Johnson
Wide Receiver
","$15,644,583  ",2014
16,,"
Joe Flacco
Quarterback
","$14,800,000  ",2014
,,"
Tom Brady
Quarterback
","$14,800,000  ",2014
18,,"
Adrian Peterson
Running Back
","$14,400,000  ",2014
19,,"
Haloti Ngata
Defensive Tackle
","$14,000,000  ",2014
20,,"
Greg Hardy
Defensive End
","$13,116,000  ",2014
21,,"
Calvin Johnson
Wide Receiver
","$13,058,000  ",2014
22,,"
Carson Palmer
Quarterback
","$13,000,000  ",2014
23,,"
Chris Long
Defensive End
","$12,900,000  ",2014
24,,"
Vincent Jackson
Wide Receiver
","$12,432,000  ",2014
25,,"
Joe Thomas
Left Tackle
","$12,300,000  ",2014
26,,"
Brandon Carr
Cornerback
","$12,217,000  ",2014
27,,"
Joe Haden
Cornerback
","$12,127,895  ",2014
28,,"
Lawrence Timmons
Inside Linebacker
","$11,816,250  ",2014
29,,"
Tony Romo
Quarterback
","$11,773,000  ",2014
30,,"
D'Brickashaw Ferguson
Left Tackle
","$11,698,666  ",2014
31,,"
Eric Berry
Free Safety
","$11,619,700  ",2014
32,,"
Dwayne Bowe
Wide Receiver
","$11,485,294  ",2014
33,,"
Tamba Hali
Outside Linebacker
","$11,464,706  ",2014
34,,"
Brian Orakpo
Outside Linebacker
","$11,455,000  ",2014
35,,"
Johnathan Joseph
Cornerback
","$11,250,000  ",2014
,,"
Calais Campbell
Defensive End
","$11,250,000  ",2014
37,,"
Russell Okung
Left Tackle
","$11,240,000  ",2014
38,,"
Charles Johnson
Defensive End
","$11,220,000  ",2014
39,,"
Clay Matthews
Outside Linebacker
","$11,006,250  ",2014
40,,"
Jahri Evans
Guard
","$11,000,000  ",2014
41,,"
Trent Williams
Left Tackle
","$10,980,393  ",2014
42,,"
Eric Weddle
Free Safety
","$10,100,000  ",2014
43,,"
Alex Mack
Center
","$10,000,000  ",2014
44,,"
Jason Worilds
Outside Linebacker
","$9,754,000  ",2014
45,,"
Cliff Avril
Defensive End
","$9,750,000  ",2014
46,,"
Pierre Garcon
Wide Receiver
","$9,700,000  ",2014
,,"
LeSean McCoy
Running Back
","$9,700,000  ",2014
48,,"
DeMarcus Ware
Outside Linebacker
","$9,666,666  ",2014
49,,"
James Laurinaitis
Inside Linebacker
","$9,650,000  ",2014
50,,"
Jamaal Charles
Running Back
","$9,633,333  ",2014
51,,"
Tramon Williams
Cornerback
","$9,500,000  ",2014
,,"
Paul Posluszny
Outside Linebacker
","$9,500,000  ",2014
53,,"
Brandon Marshall
Wide Receiver
","$9,375,000  ",2014
54,,"
Antrel Rolle
Strong Safety
","$9,250,000  ",2014
,,"
Jake Long
Left Tackle
","$9,250,000  ",2014
56,,"
Ben Grubbs
Guard
","$9,100,000  ",2014
57,,"
Andy Dalton
Quarterback
","$9,059,063  ",2014
58,,"
Geno Atkins
Defensive Tackle
","$9,000,000  ",2014
,,"
Michael Johnson
Defensive End
","$9,000,000  ",2014
