Player,Tm,Lg,AV,salary,index,college,state
Jahri Evans,TOT,NFL,114,"$1,000,000 ",Bloomsburg University of Pennsylvania,Bloomsburg,PA
Jahri Evans,TOT,NFL,114,"$2,425,000 ",Bloomsburg University of Pennsylvania,Bloomsburg,PA
Russell Wilson,SEA,NFL,114,"$681,085 ",University of Wisconsin at La Crosse,Wisconsin,WI
Russell Wilson,SEA,NFL,114,"$817,302 ",University of Wisconsin at La Crosse,Wisconsin,WI
Russell Wilson,SEA,NFL,114,"$7,054,868 ",University of Wisconsin at La Crosse,Wisconsin,WI
Russell Wilson,SEA,NFL,114,"$18,542,000 ",University of Wisconsin at La Crosse,Wisconsin,WI
Russell Wilson,SEA,NFL,114,"$14,626,666 ",University of Wisconsin at La Crosse,Wisconsin,WI
Russell Wilson,SEA,NFL,114,"$23,786,666 ",University of Wisconsin at La Crosse,Wisconsin,WI
Andrew Whitworth,TOT,NFL,112,"$8,390,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$8,390,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$6,750,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$6,750,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$6,200,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$7,200,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$8,000,000 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$9,166,666 ",,LSU,
Andrew Whitworth,TOT,NFL,112,"$9,174,166 ",,LSU,
Alex Smith,TOT,NFL,111,"$4,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$4,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$685,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$685,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$4,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$4,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$685,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$685,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$9,250,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$9,250,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$850,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$850,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$8,500,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$8,500,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$4,600,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$4,600,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$15,600,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$15,600,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$17,800,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$17,800,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$16,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$16,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,111,"$18,400,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,111,"$18,400,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$4,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$4,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$685,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$685,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$4,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$4,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$685,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$685,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$9,250,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$9,250,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$850,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$850,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$8,500,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$8,500,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$4,600,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$4,600,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$15,600,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$15,600,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$17,800,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$17,800,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$16,900,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$16,900,000 ",Stanford University,Stanford,CA
Alex Smith,TOT,NFL,1,"$18,400,000 ",College of Eastern Utah,Utah,UT
Alex Smith,TOT,NFL,1,"$18,400,000 ",Stanford University,Stanford,CA
Matthew Stafford,DET,NFL,110,"$6,123,750 ",Coastal Georgia Community College,Georgia,GA
