Player,college,state,PER
Kyle Korver,Creighton University,NE,65
Kyle Korver,Creighton University,NE,58
Anthony Tolliver,Creighton University,NE,58
Kyle Korver,Creighton University,NE,56
Kyle Korver,Creighton University,NE,55
Kyle Korver,Creighton University,NE,54
Anthony Tolliver,Creighton University,NE,53
Kyle Korver,Creighton University,NE,50
Kyle Korver,Creighton University,NE,43
Anthony Tolliver,Creighton University,NE,34
Anthony Tolliver,Creighton University,NE,34
Anthony Tolliver,Creighton University,NE,34
Doug McDermott,Creighton University,NE,33
Doug McDermott,Creighton University,NE,31
Doug McDermott,Creighton University,NE,29
Anthony Tolliver,Creighton University,NE,27
Kyle Korver,Creighton University,NE,24
Anthony Tolliver,Creighton University,NE,16
Anthony Tolliver,Creighton University,NE,16
Doug McDermott,Creighton University,NE,9
Mikki Moore,University of Nebraska,NE,9
Samuel Dalembert,Seton Hall University,NJ,87
Samuel Dalembert,Seton Hall University,NJ,80
Samuel Dalembert,Seton Hall University,NJ,79
Samuel Dalembert,Seton Hall University,NJ,60
Samuel Dalembert,Seton Hall University,NJ,40
Isaiah Whitehead,Seton Hall University,NJ,38
Isaiah Whitehead,Seton Hall University,NJ,13
Hamady N'Diaye,Rutgers University,NJ,7
Hamady N'Diaye,Rutgers University,NJ,3
Hamady N'Diaye,Rutgers University,NJ,0
Sim Bhullar,New Mexico State University,NM,99
Jonathan Gibson,New Mexico State University,NM,98
Danny Granger,University of New Mexico,NM,87
Danny Granger,University of New Mexico,NM,84
Pascal Siakam,New Mexico State University,NM,63
Jordan Williams,New Mexico State University,NM,63
Pascal Siakam,New Mexico State University,NM,38
Danny Granger,University of New Mexico,NM,33
Tony Snell,University of New Mexico,NM,27
Tony Snell,University of New Mexico,NM,24
Jonathan Gibson,New Mexico State University,NM,22
Danny Granger,University of New Mexico,NM,17
Tony Snell,University of New Mexico,NM,17
Alex Kirk,University of New Mexico,NM,17
Tony Snell,University of New Mexico,NM,14
Cameron Bairstow,University of New Mexico,NM,10
Tony Snell,University of New Mexico,NM,9
Danny Granger,University of New Mexico,NM,5
Drew Gordon,University of New Mexico,NM,4
Cameron Bairstow,University of New Mexico,NM,3
Darington Hobson,University of New Mexico,NM,1
JaVale McGee,"University of Nevada, Reno",NV,97
JaVale McGee,"University of Nevada, Reno",NV,95
JaVale McGee,"University of Nevada, Reno",NV,93
JaVale McGee,"University of Nevada, Reno",NV,91
JaVale McGee,"University of Nevada, Reno",NV,91
Ramon Sessions,"University of Nevada, Reno",NV,88
Shawn Marion,"University of Nevada, Las Vegas",NV,85
Ramon Sessions,"University of Nevada, Reno",NV,83
JaVale McGee,"University of Nevada, Reno",NV,82
Shawn Marion,"University of Nevada, Las Vegas",NV,80
Ramon Sessions,"University of Nevada, Reno",NV,79
Christian Wood,"University of Nevada, Las Vegas",NV,77
Ramon Sessions,"University of Nevada, Reno",NV,74
Ramon Sessions,"University of Nevada, Reno",NV,74
Christian Wood,"University of Nevada, Las Vegas",NV,68
Shawn Marion,"University of Nevada, Las Vegas",NV,67
Joel Anthony,"University of Nevada, Las Vegas",NV,65
Anthony Bennett,"University of Nevada, Las Vegas",NV,65
JaVale McGee,"University of Nevada, Reno",NV,62
Joel Anthony,"University of Nevada, Las Vegas",NV,60
Shawn Marion,"University of Nevada, Las Vegas",NV,56
Ramon Sessions,"University of Nevada, Reno",NV,45
Luke Babbitt,"University of Nevada, Reno",NV,43
Lou Amundson,"University of Nevada, Las Vegas",NV,40
Joel Anthony,"University of Nevada, Las Vegas",NV,39
Luke Babbitt,"University of Nevada, Reno",NV,39
Lou Amundson,"University of Nevada, Las Vegas",NV,38
Lou Amundson,"University of Nevada, Las Vegas",NV,38
Anthony Bennett,"University of Nevada, Las Vegas",NV,37
Luke Babbitt,"University of Nevada, Reno",NV,36
Ramon Sessions,"University of Nevada, Reno",NV,35
Ramon Sessions,"University of Nevada, Reno",NV,34
Shawn Marion,"University of Nevada, Las Vegas",NV,34
Luke Babbitt,"University of Nevada, Reno",NV,34
Joel Anthony,"University of Nevada, Las Vegas",NV,29
Anthony Bennett,"University of Nevada, Las Vegas",NV,29
Joel Anthony,"University of Nevada, Las Vegas",NV,28
JaVale McGee,"University of Nevada, Reno",NV,27
Luke Babbitt,"University of Nevada, Reno",NV,24
Luke Babbitt,"University of Nevada, Reno",NV,22
Lou Amundson,"University of Nevada, Las Vegas",NV,21
Rashad Vaughn,"University of Nevada, Las Vegas",NV,21
Lou Amundson,"University of Nevada, Las Vegas",NV,20
Patrick McCaw,"University of Nevada, Las Vegas",NV,17
Luke Babbitt,"University of Nevada, Reno",NV,16
Joel Anthony,"University of Nevada, Las Vegas",NV,15
Rashad Vaughn,"University of Nevada, Las Vegas",NV,14
Joel Anthony,"University of Nevada, Las Vegas",NV,12
Patrick McCaw,"University of Nevada, Las Vegas",NV,12
Stephen Zimmerman,"University of Nevada, Las Vegas",NV,12
Anthony Bennett,"University of Nevada, Las Vegas",NV,11
Lou Amundson,"University of Nevada, Las Vegas",NV,10
Marcus Banks,"University of Nevada, Las Vegas",NV,10
Rashad Vaughn,"University of Nevada, Las Vegas",NV,5
Luke Babbitt,"University of Nevada, Reno",NV,2
Rakeem Christmas,Syracuse University,NY,99
Carmelo Anthony,Syracuse University,NY,97
Carmelo Anthony,Syracuse University,NY,97
Arinze Onuaku,Syracuse University,NY,96
Carmelo Anthony,Syracuse University,NY,95
Carmelo Anthony,Syracuse University,NY,94
Carmelo Anthony,Syracuse University,NY,93
Carmelo Anthony,Syracuse University,NY,92
Carmelo Anthony,Syracuse University,NY,85
Hakim Warrick,Syracuse University,NY,77
Jerami Grant,Syracuse University,NY,76
Chris McCullough,Syracuse University,NY,73
Michael Carter-Williams,Syracuse University,NY,71
Chris McCullough,Syracuse University,NY,68
Andrew Nicholson,St. Bonaventure University,NY,68
Etan Thomas,Syracuse University,NY,68
Andrew Nicholson,St. Bonaventure University,NY,65
Dion Waiters,Syracuse University,NY,63
Jerian Grant,Syracuse University,NY,61
Michael Carter-Williams,Syracuse University,NY,60
Dion Waiters,Syracuse University,NY,59
Michael Carter-Williams,Syracuse University,NY,58
Dion Waiters,Syracuse University,NY,56
Maurice Harkless,St. John's University,NY,53
Jerian Grant,Syracuse University,NY,52
Hakim Warrick,Syracuse University,NY,51
Maurice Harkless,St. John's University,NY,51
Carmelo Anthony,Syracuse University,NY,48
Jonathon Simmons,New York University,NY,48
Jerami Grant,Syracuse University,NY,47
Maurice Harkless,St. John's University,NY,47
Maurice Harkless,St. John's University,NY,46
Charles Jenkins,Hofstra University,NY,45
Chris McCullough,Syracuse University,NY,43
Jonathon Simmons,New York University,NY,41
Maurice Harkless,St. John's University,NY,40
James Southerland,Syracuse University,NY,40
Donte Greene,Syracuse University,NY,40
Hakim Warrick,Syracuse University,NY,38
Jerian Grant,Syracuse University,NY,35
Jonny Flynn,Syracuse University,NY,35
Wesley Johnson,Syracuse University,NY,34
Wesley Johnson,Syracuse University,NY,34
Wesley Johnson,Syracuse University,NY,34
Tyler Ennis,Syracuse University,NY,34
Dion Waiters,Syracuse University,NY,33
Tyler Ennis,Syracuse University,NY,33
Michael Carter-Williams,Syracuse University,NY,32
Darryl Watkins,Syracuse University,NY,32
Tyler Ennis,Syracuse University,NY,31
Rakeem Christmas,Syracuse University,NY,29
Dion Waiters,Syracuse University,NY,29
Andrew Nicholson,St. Bonaventure University,NY,28
Wesley Johnson,Syracuse University,NY,28
Wesley Johnson,Syracuse University,NY,27
Jerami Grant,Syracuse University,NY,26
Michael Carter-Williams,Syracuse University,NY,25
Andrew Nicholson,St. Bonaventure University,NY,25
Jonathon Simmons,New York University,NY,25
Donte Greene,Syracuse University,NY,24
Wesley Johnson,Syracuse University,NY,24
Malachi Richardson,Syracuse University,NY,23
Dion Waiters,Syracuse University,NY,22
Jerami Grant,Syracuse University,NY,18
Maurice Harkless,St. John's University,NY,16
Wesley Johnson,Syracuse University,NY,16
Jason Williams,St. John's University,NY,16
Wesley Johnson,Syracuse University,NY,14
Charles Jenkins,Hofstra University,NY,12
Tyler Ennis,Syracuse University,NY,12
Edwin Ubiles,Siena College,NY,12
Jonny Flynn,Syracuse University,NY,11
Arinze Onuaku,Syracuse University,NY,8
Andrew Nicholson,St. Bonaventure University,NY,8
Malachi Richardson,Syracuse University,NY,8
Scott Machado,Iona College,NY,8
Fab Melo,Syracuse University,NY,6
Jawad Williams,St. John's University,NY,6
Arinze Onuaku,Syracuse University,NY,4
Kris Joseph,Syracuse University,NY,2
Jeff Foote,Cornell University,NY,1
Andy Rautins,Syracuse University,NY,1
Michael Gbinije,Syracuse University,NY,1
Darius Johnson-Odom,Syracuse University,NY,0
Darius Johnson-Odom,Syracuse University,NY,0
Mike Conley,Ohio State University,OH,96
Kevin Martin,University of Cincinnati,OH,94
David West,Xavier University,OH,93
David West,Xavier University,OH,92
Mike Conley,Ohio State University,OH,91
David West,Xavier University,OH,91
Mike Conley,Ohio State University,OH,90
Mike Conley,Ohio State University,OH,87
Richaun Holmes,Bowling Green State University,OH,87
Chris Wright,University of Dayton,OH,87
Mike Conley,Ohio State University,OH,86
Jared Sullinger,Ohio State University,OH,85
David West,Xavier University,OH,84
David West,Xavier University,OH,83
David West,Xavier University,OH,82
Richaun Holmes,Bowling Green State University,OH,82
Kosta Koufos,Ohio State University,OH,82
