Player,college,state,PER
Troy Williams,South Carolina State University,SC,19
Andrew Goudelock,College of Charleston,SC,16
Andrew Goudelock,College of Charleston,SC,0
Nate Wolters,South Dakota State University,SD,48
Nate Wolters,South Dakota State University,SD,5
Nate Wolters,South Dakota State University,SD,1
Jarnell Stokes,University of Tennessee,TN,99
Derrick Rose,University of Memphis,TN,96
Derrick Rose,University of Memphis,TN,96
Tyreke Evans,University of Memphis,TN,93
Jarnell Stokes,University of Tennessee,TN,91
Elliot Williams,University of Memphis,TN,88
Jarnell Stokes,University of Tennessee,TN,87
Tyreke Evans,University of Memphis,TN,86
Tyreke Evans,University of Memphis,TN,85
Tyreke Evans,University of Memphis,TN,85
Tyreke Evans,University of Memphis,TN,83
Festus Ezeli,Vanderbilt University,TN,83
John Jenkins,Vanderbilt University,TN,81
