,Player,salary,college,state,wins_above_replacement
0,David Allan,,Pennsylvania State University,PA,
1,David Allan,,Rice University,TX,
2,David Allan,,San Jose City College,CA,
3,David Allan,,Pennsylvania State University,PA,
4,David Allan,,Rice University,TX,
5,David Allan,,San Jose City College,CA,
6,David Allan,,Pennsylvania State University,PA,
7,David Allan,,Rice University,TX,
8,David Allan,,San Jose City College,CA,
9,Henry Louis,,Columbia University,NY,
10,Henry Louis,,Columbia University,NY,
11,Tommie Lee,,Grambling State University,LA,
12,Tommie Lee,,Grambling State University,LA,
13,Donald William,,,,
14,Donald William,,,,
15,Donald William,,,,
16,Donald William,,,,
17,Fausto Andres,,Middle Georgia College,GA,
18,Fernando Antonio,,,,
19,John W.,,,,
20,John W.,,,,
21,John W.,,,,
22,John W.,,,,
23,John W.,,,,
24,John W.,,,,
25,Edward James,,St. Mary's College of California,CA,
26,Edward James,,College of the Holy Cross,MA,
27,Edward James,,California State University Fresno,CA,
28,Edward James,,St. Mary's College of California,CA,
29,Edward James,,College of the Holy Cross,MA,
30,Edward James,,California State University Fresno,CA,
31,Edward James,,St. Mary's College of California,CA,
32,Edward James,,College of the Holy Cross,MA,
33,Edward James,,California State University Fresno,CA,
34,Edward James,,St. Mary's College of California,CA,
35,Edward James,,College of the Holy Cross,MA,
36,Edward James,,California State University Fresno,CA,
37,Edward James,,St. Mary's College of California,CA,
38,Edward James,,College of the Holy Cross,MA,
39,Edward James,,California State University Fresno,CA,
40,Edward James,,St. Mary's College of California,CA,
41,Edward James,,College of the Holy Cross,MA,
42,Edward James,,California State University Fresno,CA,
43,Edward James,,St. Mary's College of California,CA,
44,Edward James,,College of the Holy Cross,MA,
45,Edward James,,California State University Fresno,CA,
46,Edward James,,St. Mary's College of California,CA,
47,Edward James,,College of the Holy Cross,MA,
48,Edward James,,California State University Fresno,CA,
49,Edward James,,St. Mary's College of California,CA,
50,Edward James,,College of the Holy Cross,MA,
51,Edward James,,California State University Fresno,CA,
52,Edward James,,St. Mary's College of California,CA,
53,Edward James,,College of the Holy Cross,MA,
54,Edward James,,California State University Fresno,CA,
55,Edward James,,St. Mary's College of California,CA,
56,Edward James,,College of the Holy Cross,MA,
57,Edward James,,California State University Fresno,CA,
58,Edward James,,St. Mary's College of California,CA,
59,Edward James,,College of the Holy Cross,MA,
60,Edward James,,California State University Fresno,CA,
61,Edward James,,St. Mary's College of California,CA,
62,Edward James,,College of the Holy Cross,MA,
63,Edward James,,California State University Fresno,CA,
64,Edward James,,St. Mary's College of California,CA,
65,Edward James,,College of the Holy Cross,MA,
66,Edward James,,California State University Fresno,CA,
67,Bert Wood,,University of Vermont,VT,
68,Charles S.,,,,
69,Charles S.,,,,
70,Leander Franklin,,,,
71,Harry Frederick,,,,
72,William Glenn,,Duke University,NC,
73,William Glenn,,Duke University,NC,
74,Jeffrey William,,University of Kentucky,KY,
75,Jeffrey William,,Rowan University,NJ,
76,Jeffrey William,,Rider University,NJ,
77,Jeffrey William,,University of Kentucky,KY,
78,Jeffrey William,,Rowan University,NJ,
79,Jeffrey William,,Rider University,NJ,
80,Jeffrey William,,University of Kentucky,KY,
81,Jeffrey William,,Rowan University,NJ,
82,Jeffrey William,,Rider University,NJ,
83,Jeffrey William,,University of Kentucky,KY,
84,Jeffrey William,,Rowan University,NJ,
85,Jeffrey William,,Rider University,NJ,
86,Jeffrey William,,University of Kentucky,KY,
87,Jeffrey William,,Rowan University,NJ,
88,Jeffrey William,,Rider University,NJ,
89,James Anthony,,University of Michigan,MI,
90,James Anthony,,Northwestern University,IL,
91,James Anthony,,University of Michigan,MI,
92,James Anthony,,Northwestern University,IL,
93,James Anthony,,University of Michigan,MI,
94,James Anthony,,Northwestern University,IL,
95,James Anthony,,University of Michigan,MI,
96,James Anthony,,Northwestern University,IL,
97,James Anthony,,University of Michigan,MI,
98,James Anthony,,Northwestern University,IL,
99,James Anthony,,University of Michigan,MI,
100,James Anthony,,Northwestern University,IL,
101,James Anthony,,University of Michigan,MI,
102,James Anthony,,Northwestern University,IL,
103,James Anthony,,University of Michigan,MI,
104,James Anthony,,Northwestern University,IL,
105,Kurt Thomas,,,,
106,Lawrence Kyle,,California State University Long Beach,CA,
107,Lawrence Kyle,,"University of California, San Diego",CA,
108,Ody Cleon,,,,
109,Paul David,,Washington State University,WA,
110,Paul David,,University of Florida,FL,
111,Paul David,,Azusa Pacific University,CA,
112,Paul David,,Washington State University,WA,
113,Paul David,,University of Florida,FL,
114,Paul David,,Azusa Pacific University,CA,
115,Paul David,,Washington State University,WA,
116,Paul David,,University of Florida,FL,
117,Paul David,,Azusa Pacific University,CA,
118,Paul David,,Washington State University,WA,
119,Paul David,,University of Florida,FL,
120,Paul David,,Azusa Pacific University,CA,
121,Albert Julius,,,,
122,Francis Patterson,,,,
123,Reginald Damascus,,Florida Gateway College,FL,
124,William Edward,,Stanford University,CA,
125,William Edward,,Clemson University,SC,
126,William Edward,,Paris Junior College,TX,
127,William Edward,,St. Viator College,IL,
128,William Edward,,Orange Coast College,CA,
129,William Edward,,Ferrum College,VA,
130,William Edward,,Brown University,RI,
131,William Edward,,Stanford University,CA,
132,William Edward,,Clemson University,SC,
133,William Edward,,Paris Junior College,TX,
134,William Edward,,St. Viator College,IL,
135,William Edward,,Orange Coast College,CA,
136,William Edward,,Ferrum College,VA,
137,William Edward,,Brown University,RI,
138,William Edward,,Stanford University,CA,
139,William Edward,,Clemson University,SC,
140,William Edward,,Paris Junior College,TX,
141,William Edward,,St. Viator College,IL,
142,William Edward,,Orange Coast College,CA,
143,William Edward,,Ferrum College,VA,
144,William Edward,,Brown University,RI,
145,William Edward,,Stanford University,CA,
146,William Edward,,Clemson University,SC,
147,William Edward,,Paris Junior College,TX,
148,William Edward,,St. Viator College,IL,
149,William Edward,,Orange Coast College,CA,
150,William Edward,,Ferrum College,VA,
151,William Edward,,Brown University,RI,
152,William Edward,,Stanford University,CA,
153,William Edward,,Clemson University,SC,
154,William Edward,,Paris Junior College,TX,
155,William Edward,,St. Viator College,IL,
156,William Edward,,Orange Coast College,CA,
157,William Edward,,Ferrum College,VA,
158,William Edward,,Brown University,RI,
159,William Edward,,Stanford University,CA,
160,William Edward,,Clemson University,SC,
161,William Edward,,Paris Junior College,TX,
162,William Edward,,St. Viator College,IL,
163,William Edward,,Orange Coast College,CA,
164,William Edward,,Ferrum College,VA,
165,William Edward,,Brown University,RI,
166,William Edward,,Stanford University,CA,
167,William Edward,,Clemson University,SC,
168,William Edward,,Paris Junior College,TX,
169,William Edward,,St. Viator College,IL,
170,William Edward,,Orange Coast College,CA,
171,William Edward,,Ferrum College,VA,
172,William Edward,,Brown University,RI,
173,William Edward,,Stanford University,CA,
174,William Edward,,Clemson University,SC,
175,William Edward,,Paris Junior College,TX,
176,William Edward,,St. Viator College,IL,
177,William Edward,,Orange Coast College,CA,
178,William Edward,,Ferrum College,VA,
179,William Edward,,Brown University,RI,
180,William Edward,,Stanford University,CA,
181,William Edward,,Clemson University,SC,
182,William Edward,,Paris Junior College,TX,
183,William Edward,,St. Viator College,IL,
184,William Edward,,Orange Coast College,CA,
185,William Edward,,Ferrum College,VA,
186,William Edward,,Brown University,RI,
187,William Edward,,Stanford University,CA,
188,William Edward,,Clemson University,SC,
189,William Edward,,Paris Junior College,TX,
190,William Edward,,St. Viator College,IL,
191,William Edward,,Orange Coast College,CA,
192,William Edward,,Ferrum College,VA,
193,William Edward,,Brown University,RI,
194,William Edward,,Stanford University,CA,
195,William Edward,,Clemson University,SC,
196,William Edward,,Paris Junior College,TX,
197,William Edward,,St. Viator College,IL,
198,William Edward,,Orange Coast College,CA,
199,William Edward,,Ferrum College,VA,
200,William Edward,,Brown University,RI,
201,William Edward,,Stanford University,CA,
202,William Edward,,Clemson University,SC,
203,William Edward,,Paris Junior College,TX,
204,William Edward,,St. Viator College,IL,
205,William Edward,,Orange Coast College,CA,
206,William Edward,,Ferrum College,VA,
207,William Edward,,Brown University,RI,
208,William Edward,,Stanford University,CA,
209,William Edward,,Clemson University,SC,
210,William Edward,,Paris Junior College,TX,
211,William Edward,,St. Viator College,IL,
212,William Edward,,Orange Coast College,CA,
213,William Edward,,Ferrum College,VA,
214,William Edward,,Brown University,RI,
215,William Edward,,Stanford University,CA,
216,William Edward,,Clemson University,SC,
217,William Edward,,Paris Junior College,TX,
218,William Edward,,St. Viator College,IL,
219,William Edward,,Orange Coast College,CA,
220,William Edward,,Ferrum College,VA,
221,William Edward,,Brown University,RI,
222,William Edward,,Stanford University,CA,
223,William Edward,,Clemson University,SC,
224,William Edward,,Paris Junior College,TX,
225,William Edward,,St. Viator College,IL,
226,William Edward,,Orange Coast College,CA,
227,William Edward,,Ferrum College,VA,
228,William Edward,,Brown University,RI,
229,William Edward,,Stanford University,CA,
230,William Edward,,Clemson University,SC,
231,William Edward,,Paris Junior College,TX,
232,William Edward,,St. Viator College,IL,
233,William Edward,,Orange Coast College,CA,
234,William Edward,,Ferrum College,VA,
235,William Edward,,Brown University,RI,
236,William Edward,,Stanford University,CA,
237,William Edward,,Clemson University,SC,
238,William Edward,,Paris Junior College,TX,
239,William Edward,,St. Viator College,IL,
240,William Edward,,Orange Coast College,CA,
241,William Edward,,Ferrum College,VA,
242,William Edward,,Brown University,RI,
243,William Edward,,Stanford University,CA,
244,William Edward,,Clemson University,SC,
245,William Edward,,Paris Junior College,TX,
246,William Edward,,St. Viator College,IL,
247,William Edward,,Orange Coast College,CA,
248,William Edward,,Ferrum College,VA,
249,William Edward,,Brown University,RI,
250,William Edward,,Stanford University,CA,
251,William Edward,,Clemson University,SC,
252,William Edward,,Paris Junior College,TX,
253,William Edward,,St. Viator College,IL,
254,William Edward,,Orange Coast College,CA,
255,William Edward,,Ferrum College,VA,
256,William Edward,,Brown University,RI,
257,William Edward,,Stanford University,CA,
258,William Edward,,Clemson University,SC,
259,William Edward,,Paris Junior College,TX,
260,William Edward,,St. Viator College,IL,
261,William Edward,,Orange Coast College,CA,
262,William Edward,,Ferrum College,VA,
263,William Edward,,Brown University,RI,
264,William Edward,,Stanford University,CA,
265,William Edward,,Clemson University,SC,
266,William Edward,,Paris Junior College,TX,
267,William Edward,,St. Viator College,IL,
268,William Edward,,Orange Coast College,CA,
269,William Edward,,Ferrum College,VA,
270,William Edward,,Brown University,RI,
271,William Edward,,Stanford University,CA,
272,William Edward,,Clemson University,SC,
273,William Edward,,Paris Junior College,TX,
274,William Edward,,St. Viator College,IL,
275,William Edward,,Orange Coast College,CA,
276,William Edward,,Ferrum College,VA,
277,William Edward,,Brown University,RI,
278,William Edward,,Stanford University,CA,
279,William Edward,,Clemson University,SC,
280,William Edward,,Paris Junior College,TX,
281,William Edward,,St. Viator College,IL,
282,William Edward,,Orange Coast College,CA,
283,William Edward,,Ferrum College,VA,
284,William Edward,,Brown University,RI,
285,William Edward,,Stanford University,CA,
286,William Edward,,Clemson University,SC,
287,William Edward,,Paris Junior College,TX,
288,William Edward,,St. Viator College,IL,
289,William Edward,,Orange Coast College,CA,
290,William Edward,,Ferrum College,VA,
291,William Edward,,Brown University,RI,
292,William Edward,,Stanford University,CA,
293,William Edward,,Clemson University,SC,
294,William Edward,,Paris Junior College,TX,
295,William Edward,,St. Viator College,IL,
296,William Edward,,Orange Coast College,CA,
297,William Edward,,Ferrum College,VA,
298,William Edward,,Brown University,RI,
299,William Edward,,Stanford University,CA,
300,William Edward,,Clemson University,SC,
301,William Edward,,Paris Junior College,TX,
302,William Edward,,St. Viator College,IL,
303,William Edward,,Orange Coast College,CA,
304,William Edward,,Ferrum College,VA,
305,William Edward,,Brown University,RI,
306,William Edward,,Stanford University,CA,
307,William Edward,,Clemson University,SC,
308,William Edward,,Paris Junior College,TX,
309,William Edward,,St. Viator College,IL,
310,William Edward,,Orange Coast College,CA,
311,William Edward,,Ferrum College,VA,
312,William Edward,,Brown University,RI,
313,William Edward,,Stanford University,CA,
314,William Edward,,Clemson University,SC,
315,William Edward,,Paris Junior College,TX,
316,William Edward,,St. Viator College,IL,
317,William Edward,,Orange Coast College,CA,
318,William Edward,,Ferrum College,VA,
319,William Edward,,Brown University,RI,
320,William Edward,,Stanford University,CA,
321,William Edward,,Clemson University,SC,
322,William Edward,,Paris Junior College,TX,
323,William Edward,,St. Viator College,IL,
324,William Edward,,Orange Coast College,CA,
325,William Edward,,Ferrum College,VA,
326,William Edward,,Brown University,RI,
327,William Edward,,Stanford University,CA,
328,William Edward,,Clemson University,SC,
329,William Edward,,Paris Junior College,TX,
330,William Edward,,St. Viator College,IL,
331,William Edward,,Orange Coast College,CA,
332,William Edward,,Ferrum College,VA,
333,William Edward,,Brown University,RI,
334,Michael Brent,,,,
335,Michael Brent,,,,
336,Talmadge Lafayette,,Elon University,NC,
337,Theodore Wade,,,,
338,Virgil Woodrow,,,,
339,Clifford Alexander,,,,
340,Harry Terrell,,Southwestern University,TX,
341,Shawn Wesley,,,,
342,Calvin Ross,,,,
343,George Allen,,Williams College,MA,
344,George Allen,,University of Oklahoma,OK,
345,George Allen,,Columbia University,NY,
346,George Allen,,Williams College,MA,
347,George Allen,,University of Oklahoma,OK,
348,George Allen,,Columbia University,NY,
349,George Allen,,Williams College,MA,
350,George Allen,,University of Oklahoma,OK,
351,George Allen,,Columbia University,NY,
352,George Allen,,Williams College,MA,
353,George Allen,,University of Oklahoma,OK,
354,George Allen,,Columbia University,NY,
355,Johnny Ray,,,,
356,Johnny Ray,,,,
357,Bob Kelly,,,,
358,Joseph Lawrence,,Erskine College,SC,
359,Joseph Lawrence,,Erskine College,SC,
360,Jose Dariel,,,,
361,Juan de Dios,,,,
362,Juan de Dios,,,,
363,Etanislao Toni,,,,
364,Winston Leonardo,,,,
365,William Henry,,University of Cincinnati,OH,
366,William Henry,,College of the Holy Cross,MA,
367,William Henry,,Seton Hall University,NJ,
368,William Henry,,St. Bonaventure University,NY,
369,William Henry,,West Hills College,CA,
370,William Henry,,Santa Clara University,CA,
371,William Henry,,Yale University,CT,
372,William Henry,,Pensacola Junior College,FL,
373,William Henry,,Louisiana State University,LA,
374,William Henry,,Loyola Marymount University,CA,
375,William Henry,,University of Cincinnati,OH,
376,William Henry,,College of the Holy Cross,MA,
377,William Henry,,Seton Hall University,NJ,
378,William Henry,,St. Bonaventure University,NY,
379,William Henry,,West Hills College,CA,
380,William Henry,,Santa Clara University,CA,
381,William Henry,,Yale University,CT,
382,William Henry,,Pensacola Junior College,FL,
383,William Henry,,Louisiana State University,LA,
384,William Henry,,Loyola Marymount University,CA,
385,William Henry,,University of Cincinnati,OH,
386,William Henry,,College of the Holy Cross,MA,
387,William Henry,,Seton Hall University,NJ,
388,William Henry,,St. Bonaventure University,NY,
389,William Henry,,West Hills College,CA,
390,William Henry,,Santa Clara University,CA,
391,William Henry,,Yale University,CT,
392,William Henry,,Pensacola Junior College,FL,
393,William Henry,,Louisiana State University,LA,
394,William Henry,,Loyola Marymount University,CA,
395,William Henry,,University of Cincinnati,OH,
396,William Henry,,College of the Holy Cross,MA,
397,William Henry,,Seton Hall University,NJ,
398,William Henry,,St. Bonaventure University,NY,
399,William Henry,,West Hills College,CA,
400,William Henry,,Santa Clara University,CA,
401,William Henry,,Yale University,CT,
402,William Henry,,Pensacola Junior College,FL,
403,William Henry,,Louisiana State University,LA,
404,William Henry,,Loyola Marymount University,CA,
405,William Henry,,University of Cincinnati,OH,
406,William Henry,,College of the Holy Cross,MA,
407,William Henry,,Seton Hall University,NJ,
408,William Henry,,St. Bonaventure University,NY,
409,William Henry,,West Hills College,CA,
410,William Henry,,Santa Clara University,CA,
411,William Henry,,Yale University,CT,
412,William Henry,,Pensacola Junior College,FL,
413,William Henry,,Louisiana State University,LA,
414,William Henry,,Loyola Marymount University,CA,
415,William Henry,,University of Cincinnati,OH,
416,William Henry,,College of the Holy Cross,MA,
417,William Henry,,Seton Hall University,NJ,
418,William Henry,,St. Bonaventure University,NY,
419,William Henry,,West Hills College,CA,
420,William Henry,,Santa Clara University,CA,
421,William Henry,,Yale University,CT,
422,William Henry,,Pensacola Junior College,FL,
423,William Henry,,Louisiana State University,LA,
424,William Henry,,Loyola Marymount University,CA,
425,William Henry,,University of Cincinnati,OH,
426,William Henry,,College of the Holy Cross,MA,
427,William Henry,,Seton Hall University,NJ,
428,William Henry,,St. Bonaventure University,NY,
429,William Henry,,West Hills College,CA,
430,William Henry,,Santa Clara University,CA,
431,William Henry,,Yale University,CT,
432,William Henry,,Pensacola Junior College,FL,
433,William Henry,,Louisiana State University,LA,
434,William Henry,,Loyola Marymount University,CA,
435,William Henry,,University of Cincinnati,OH,
436,William Henry,,College of the Holy Cross,MA,
437,William Henry,,Seton Hall University,NJ,
438,William Henry,,St. Bonaventure University,NY,
439,William Henry,,West Hills College,CA,
440,William Henry,,Santa Clara University,CA,
441,William Henry,,Yale University,CT,
442,William Henry,,Pensacola Junior College,FL,
443,William Henry,,Louisiana State University,LA,
444,William Henry,,Loyola Marymount University,CA,
445,William Henry,,University of Cincinnati,OH,
446,William Henry,,College of the Holy Cross,MA,
447,William Henry,,Seton Hall University,NJ,
448,William Henry,,St. Bonaventure University,NY,
449,William Henry,,West Hills College,CA,
450,William Henry,,Santa Clara University,CA,
451,William Henry,,Yale University,CT,
452,William Henry,,Pensacola Junior College,FL,
453,William Henry,,Louisiana State University,LA,
454,William Henry,,Loyola Marymount University,CA,
455,William Henry,,University of Cincinnati,OH,
456,William Henry,,College of the Holy Cross,MA,
457,William Henry,,Seton Hall University,NJ,
458,William Henry,,St. Bonaventure University,NY,
459,William Henry,,West Hills College,CA,
460,William Henry,,Santa Clara University,CA,
461,William Henry,,Yale University,CT,
462,William Henry,,Pensacola Junior College,FL,
463,William Henry,,Louisiana State University,LA,
464,William Henry,,Loyola Marymount University,CA,
465,William Henry,,University of Cincinnati,OH,
466,William Henry,,College of the Holy Cross,MA,
467,William Henry,,Seton Hall University,NJ,
468,William Henry,,St. Bonaventure University,NY,
469,William Henry,,West Hills College,CA,
470,William Henry,,Santa Clara University,CA,
471,William Henry,,Yale University,CT,
472,William Henry,,Pensacola Junior College,FL,
473,William Henry,,Louisiana State University,LA,
474,William Henry,,Loyola Marymount University,CA,
475,William Henry,,University of Cincinnati,OH,
476,William Henry,,College of the Holy Cross,MA,
477,William Henry,,Seton Hall University,NJ,
478,William Henry,,St. Bonaventure University,NY,
479,William Henry,,West Hills College,CA,
480,William Henry,,Santa Clara University,CA,
481,William Henry,,Yale University,CT,
482,William Henry,,Pensacola Junior College,FL,
483,William Henry,,Louisiana State University,LA,
484,William Henry,,Loyola Marymount University,CA,
485,William Henry,,University of Cincinnati,OH,
486,William Henry,,College of the Holy Cross,MA,
487,William Henry,,Seton Hall University,NJ,
488,William Henry,,St. Bonaventure University,NY,
489,William Henry,,West Hills College,CA,
490,William Henry,,Santa Clara University,CA,
491,William Henry,,Yale University,CT,
492,William Henry,,Pensacola Junior College,FL,
493,William Henry,,Louisiana State University,LA,
494,William Henry,,Loyola Marymount University,CA,
495,William Henry,,University of Cincinnati,OH,
496,William Henry,,College of the Holy Cross,MA,
497,William Henry,,Seton Hall University,NJ,
498,William Henry,,St. Bonaventure University,NY,
499,William Henry,,West Hills College,CA,
500,William Henry,,Santa Clara University,CA,
501,William Henry,,Yale University,CT,
502,William Henry,,Pensacola Junior College,FL,
503,William Henry,,Louisiana State University,LA,
504,William Henry,,Loyola Marymount University,CA,
505,William Henry,,University of Cincinnati,OH,
506,William Henry,,College of the Holy Cross,MA,
507,William Henry,,Seton Hall University,NJ,
508,William Henry,,St. Bonaventure University,NY,
509,William Henry,,West Hills College,CA,
510,William Henry,,Santa Clara University,CA,
511,William Henry,,Yale University,CT,
512,William Henry,,Pensacola Junior College,FL,
513,William Henry,,Louisiana State University,LA,
514,William Henry,,Loyola Marymount University,CA,
515,William Henry,,University of Cincinnati,OH,
516,William Henry,,College of the Holy Cross,MA,
517,William Henry,,Seton Hall University,NJ,
518,William Henry,,St. Bonaventure University,NY,
519,William Henry,,West Hills College,CA,
520,William Henry,,Santa Clara University,CA,
521,William Henry,,Yale University,CT,
522,William Henry,,Pensacola Junior College,FL,
523,William Henry,,Louisiana State University,LA,
524,William Henry,,Loyola Marymount University,CA,
525,William Henry,,University of Cincinnati,OH,
526,William Henry,,College of the Holy Cross,MA,
527,William Henry,,Seton Hall University,NJ,
528,William Henry,,St. Bonaventure University,NY,
529,William Henry,,West Hills College,CA,
530,William Henry,,Santa Clara University,CA,
531,William Henry,,Yale University,CT,
532,William Henry,,Pensacola Junior College,FL,
533,William Henry,,Louisiana State University,LA,
534,William Henry,,Loyola Marymount University,CA,
535,William Henry,,University of Cincinnati,OH,
536,William Henry,,College of the Holy Cross,MA,
537,William Henry,,Seton Hall University,NJ,
538,William Henry,,St. Bonaventure University,NY,
539,William Henry,,West Hills College,CA,
540,William Henry,,Santa Clara University,CA,
541,William Henry,,Yale University,CT,
542,William Henry,,Pensacola Junior College,FL,
543,William Henry,,Louisiana State University,LA,
544,William Henry,,Loyola Marymount University,CA,
545,William Henry,,University of Cincinnati,OH,
546,William Henry,,College of the Holy Cross,MA,
547,William Henry,,Seton Hall University,NJ,
548,William Henry,,St. Bonaventure University,NY,
549,William Henry,,West Hills College,CA,
550,William Henry,,Santa Clara University,CA,
551,William Henry,,Yale University,CT,
552,William Henry,,Pensacola Junior College,FL,
553,William Henry,,Louisiana State University,LA,
554,William Henry,,Loyola Marymount University,CA,
555,William Henry,,University of Cincinnati,OH,
556,William Henry,,College of the Holy Cross,MA,
557,William Henry,,Seton Hall University,NJ,
558,William Henry,,St. Bonaventure University,NY,
559,William Henry,,West Hills College,CA,
560,William Henry,,Santa Clara University,CA,
561,William Henry,,Yale University,CT,
562,William Henry,,Pensacola Junior College,FL,
563,William Henry,,Louisiana State University,LA,
564,William Henry,,Loyola Marymount University,CA,
565,William Henry,,University of Cincinnati,OH,
566,William Henry,,College of the Holy Cross,MA,
567,William Henry,,Seton Hall University,NJ,
568,William Henry,,St. Bonaventure University,NY,
569,William Henry,,West Hills College,CA,
570,William Henry,,Santa Clara University,CA,
571,William Henry,,Yale University,CT,
572,William Henry,,Pensacola Junior College,FL,
573,William Henry,,Louisiana State University,LA,
574,William Henry,,Loyola Marymount University,CA,
575,William Henry,,University of Cincinnati,OH,
576,William Henry,,College of the Holy Cross,MA,
577,William Henry,,Seton Hall University,NJ,
578,William Henry,,St. Bonaventure University,NY,
579,William Henry,,West Hills College,CA,
580,William Henry,,Santa Clara University,CA,
581,William Henry,,Yale University,CT,
582,William Henry,,Pensacola Junior College,FL,
583,William Henry,,Louisiana State University,LA,
584,William Henry,,Loyola Marymount University,CA,
585,William Henry,,University of Cincinnati,OH,
586,William Henry,,College of the Holy Cross,MA,
587,William Henry,,Seton Hall University,NJ,
588,William Henry,,St. Bonaventure University,NY,
589,William Henry,,West Hills College,CA,
590,William Henry,,Santa Clara University,CA,
591,William Henry,,Yale University,CT,
592,William Henry,,Pensacola Junior College,FL,
593,William Henry,,Louisiana State University,LA,
594,William Henry,,Loyola Marymount University,CA,
595,William Henry,,University of Cincinnati,OH,
596,William Henry,,College of the Holy Cross,MA,
597,William Henry,,Seton Hall University,NJ,
598,William Henry,,St. Bonaventure University,NY,
599,William Henry,,West Hills College,CA,
600,William Henry,,Santa Clara University,CA,
601,William Henry,,Yale University,CT,
602,William Henry,,Pensacola Junior College,FL,
603,William Henry,,Louisiana State University,LA,
604,William Henry,,Loyola Marymount University,CA,
605,William Henry,,University of Cincinnati,OH,
606,William Henry,,College of the Holy Cross,MA,
607,William Henry,,Seton Hall University,NJ,
608,William Henry,,St. Bonaventure University,NY,
609,William Henry,,West Hills College,CA,
610,William Henry,,Santa Clara University,CA,
611,William Henry,,Yale University,CT,
612,William Henry,,Pensacola Junior College,FL,
613,William Henry,,Louisiana State University,LA,
614,William Henry,,Loyola Marymount University,CA,
615,William Henry,,University of Cincinnati,OH,
616,William Henry,,College of the Holy Cross,MA,
617,William Henry,,Seton Hall University,NJ,
618,William Henry,,St. Bonaventure University,NY,
619,William Henry,,West Hills College,CA,
620,William Henry,,Santa Clara University,CA,
621,William Henry,,Yale University,CT,
622,William Henry,,Pensacola Junior College,FL,
623,William Henry,,Louisiana State University,LA,
624,William Henry,,Loyola Marymount University,CA,
625,William Henry,,University of Cincinnati,OH,
626,William Henry,,College of the Holy Cross,MA,
627,William Henry,,Seton Hall University,NJ,
628,William Henry,,St. Bonaventure University,NY,
629,William Henry,,West Hills College,CA,
630,William Henry,,Santa Clara University,CA,
631,William Henry,,Yale University,CT,
632,William Henry,,Pensacola Junior College,FL,
633,William Henry,,Louisiana State University,LA,
634,William Henry,,Loyola Marymount University,CA,
635,William Henry,,University of Cincinnati,OH,
636,William Henry,,College of the Holy Cross,MA,
637,William Henry,,Seton Hall University,NJ,
638,William Henry,,St. Bonaventure University,NY,
639,William Henry,,West Hills College,CA,
640,William Henry,,Santa Clara University,CA,
641,William Henry,,Yale University,CT,
642,William Henry,,Pensacola Junior College,FL,
643,William Henry,,Louisiana State University,LA,
644,William Henry,,Loyola Marymount University,CA,
645,William Henry,,University of Cincinnati,OH,
646,William Henry,,College of the Holy Cross,MA,
647,William Henry,,Seton Hall University,NJ,
648,William Henry,,St. Bonaventure University,NY,
649,William Henry,,West Hills College,CA,
650,William Henry,,Santa Clara University,CA,
651,William Henry,,Yale University,CT,
652,William Henry,,Pensacola Junior College,FL,
653,William Henry,,Louisiana State University,LA,
654,William Henry,,Loyola Marymount University,CA,
655,William Henry,,University of Cincinnati,OH,
656,William Henry,,College of the Holy Cross,MA,
657,William Henry,,Seton Hall University,NJ,
658,William Henry,,St. Bonaventure University,NY,
659,William Henry,,West Hills College,CA,
660,William Henry,,Santa Clara University,CA,
661,William Henry,,Yale University,CT,
662,William Henry,,Pensacola Junior College,FL,
663,William Henry,,Louisiana State University,LA,
664,William Henry,,Loyola Marymount University,CA,
665,William Henry,,University of Cincinnati,OH,
666,William Henry,,College of the Holy Cross,MA,
667,William Henry,,Seton Hall University,NJ,
668,William Henry,,St. Bonaventure University,NY,
669,William Henry,,West Hills College,CA,
670,William Henry,,Santa Clara University,CA,
671,William Henry,,Yale University,CT,
672,William Henry,,Pensacola Junior College,FL,
673,William Henry,,Louisiana State University,LA,
674,William Henry,,Loyola Marymount University,CA,
675,William Henry,,University of Cincinnati,OH,
676,William Henry,,College of the Holy Cross,MA,
677,William Henry,,Seton Hall University,NJ,
678,William Henry,,St. Bonaventure University,NY,
679,William Henry,,West Hills College,CA,
680,William Henry,,Santa Clara University,CA,
681,William Henry,,Yale University,CT,
682,William Henry,,Pensacola Junior College,FL,
683,William Henry,,Louisiana State University,LA,
684,William Henry,,Loyola Marymount University,CA,
685,William Henry,,University of Cincinnati,OH,
686,William Henry,,College of the Holy Cross,MA,
687,William Henry,,Seton Hall University,NJ,
688,William Henry,,St. Bonaventure University,NY,
689,William Henry,,West Hills College,CA,
690,William Henry,,Santa Clara University,CA,
691,William Henry,,Yale University,CT,
692,William Henry,,Pensacola Junior College,FL,
693,William Henry,,Louisiana State University,LA,
694,William Henry,,Loyola Marymount University,CA,
695,William Henry,,University of Cincinnati,OH,
696,William Henry,,College of the Holy Cross,MA,
697,William Henry,,Seton Hall University,NJ,
698,William Henry,,St. Bonaventure University,NY,
699,William Henry,,West Hills College,CA,
700,William Henry,,Santa Clara University,CA,
701,William Henry,,Yale University,CT,
702,William Henry,,Pensacola Junior College,FL,
703,William Henry,,Louisiana State University,LA,
704,William Henry,,Loyola Marymount University,CA,
705,William Henry,,University of Cincinnati,OH,
706,William Henry,,College of the Holy Cross,MA,
707,William Henry,,Seton Hall University,NJ,
708,William Henry,,St. Bonaventure University,NY,
709,William Henry,,West Hills College,CA,
710,William Henry,,Santa Clara University,CA,
