,Player,salary,college,state,AV
144,Matthew Stafford,"$6,123,750  ",Georgia,GA,110
145,Matthew Stafford,"$8,935,000  ",Georgia,GA,110
146,Matthew Stafford,"$17,820,000  ",Georgia,GA,110
147,Matthew Stafford,"$15,820,000  ",Georgia,GA,110
148,Matthew Stafford,"$17,721,250  ",Georgia,GA,110
149,Matthew Stafford,"$22,500,000  ",Georgia,GA,110
150,Matthew Stafford,"$16,500,000  ",Georgia,GA,110
151,Matthew Stafford,"$26,500,000  ",Georgia,GA,110
152,J.J. Watt,"$2,043,182  ",Central Michigan,MI,108
153,J.J. Watt,"$2,043,182  ",Central Michigan,MI,108
154,J.J. Watt,"$2,553,977  ",Central Michigan,MI,108
155,J.J. Watt,"$3,064,772  ",Central Michigan,MI,108
156,J.J. Watt,"$4,575,567  ",Central Michigan,MI,108
157,J.J. Watt,"$13,969,000  ",Central Michigan,MI,108
158,J.J. Watt,"$14,500,000  ",Central Michigan,MI,108
159,J.J. Watt,"$14,500,000  ",Central Michigan,MI,108
160,J.J. Watt,"$15,000,000  ",Central Michigan,MI,108
161,Von Miller,"$3,818,251  ",Texas A&M;,,106
162,Von Miller,"$3,818,251  ",Texas A&M;,,106
163,Von Miller,"$4,772,814  ",Texas A&M;,,106
164,Von Miller,"$4,921,215  ",Texas A&M;,,106
165,Von Miller,"$6,613,188  ",Texas A&M;,,106
166,Von Miller,"$9,754,000  ",Texas A&M;,,106
167,Von Miller,"$11,500,000  ",Texas A&M;,,106
168,Von Miller,"$19,900,000  ",Texas A&M;,,106
169,Von Miller,"$10,125,000  ",Texas A&M;,,106
170,Julius Peppers,"$4,383,333  ",North Carolina,NC,103
171,Julius Peppers,"$4,383,333  ",North Carolina,NC,103
172,Julius Peppers,"$12,183,333  ",North Carolina,NC,103
173,Julius Peppers,"$14,383,333  ",North Carolina,NC,103
174,Julius Peppers,"$3,500,000  ",North Carolina,NC,103
175,Julius Peppers,"$12,000,000  ",North Carolina,NC,103
176,Julius Peppers,"$10,500,000  ",North Carolina,NC,103
177,Julius Peppers,"$3,750,000  ",North Carolina,NC,103
178,Julius Peppers,"$5,000,000  ",North Carolina,NC,103
179,Antonio Brown,"$2,264,358  ",West Virginia,WV,102
180,Antonio Brown,"$5,620,000  ",West Virginia,WV,102
181,Antonio Brown,"$4,517,500  ",West Virginia,WV,102
182,Antonio Brown,"$7,120,833  ",West Virginia,WV,102
183,Antonio Brown,"$11,883,333  ",West Virginia,WV,102
184,Antonio Brown,"$13,618,333  ",West Virginia,WV,102
185,Antonio Brown,"$7,955,000  ",West Virginia,WV,102
186,Joe Flacco,"$5,725,000  ",Pittsburgh,PA,102
187,Joe Flacco,"$5,725,000  ",Pittsburgh,PA,102
188,Joe Flacco,"$8,000,000  ",Pittsburgh,PA,102
189,Joe Flacco,"$6,800,000  ",Pittsburgh,PA,102
190,Joe Flacco,"$14,800,000  ",Pittsburgh,PA,102
191,Joe Flacco,"$14,550,000  ",Pittsburgh,PA,102
192,Joe Flacco,"$22,550,000  ",Pittsburgh,PA,102
193,Joe Flacco,"$24,550,000  ",Pittsburgh,PA,102
194,Joe Flacco,"$24,750,000  ",Pittsburgh,PA,102
195,Julio Jones,"$2,957,500  ",Alabama,AL,102
196,Julio Jones,"$2,957,500  ",Alabama,AL,102
197,Julio Jones,"$3,678,125  ",Alabama,AL,102
198,Julio Jones,"$4,413,750  ",Alabama,AL,102
199,Julio Jones,"$5,149,375  ",Alabama,AL,102
200,Julio Jones,"$12,400,000  ",Alabama,AL,102
201,Julio Jones,"$15,900,000  ",Alabama,AL,102
202,Julio Jones,"$13,900,000  ",Alabama,AL,102
203,Julio Jones,"$12,866,667  ",Alabama,AL,102
204,LeSean McCoy,"$867,530  ",Pittsburgh,PA,98
205,LeSean McCoy,"$867,530  ",Pittsburgh,PA,98
206,LeSean McCoy,"$2,770,030  ",Pittsburgh,PA,98
207,LeSean McCoy,"$4,950,000  ",Pittsburgh,PA,98
208,LeSean McCoy,"$9,700,000  ",Pittsburgh,PA,98
209,LeSean McCoy,"$5,500,000  ",Pittsburgh,PA,98
210,LeSean McCoy,"$7,675,000  ",Pittsburgh,PA,98
211,LeSean McCoy,"$10,375,000  ",Pittsburgh,PA,98
212,LeSean McCoy,"$8,950,000  ",Pittsburgh,PA,98
213,Haloti Ngata,"$7,100,000  ",Oregon,OR,98
214,Haloti Ngata,"$7,100,000  ",Oregon,OR,98
215,Haloti Ngata,"$10,400,000  ",Oregon,OR,98
216,Haloti Ngata,"$11,500,000  ",Oregon,OR,98
217,Haloti Ngata,"$14,000,000  ",Oregon,OR,98
218,Haloti Ngata,"$8,500,000  ",Oregon,OR,98
219,Haloti Ngata,"$4,218,750  ",Oregon,OR,98
220,Haloti Ngata,"$7,703,125  ",Oregon,OR,98
221,Haloti Ngata,"$2,925,000  ",Oregon,OR,98
222,Ndamukong Suh,"$11,904,706  ",Nebraska,NE,98
223,Ndamukong Suh,"$11,904,706  ",Nebraska,NE,98
224,Ndamukong Suh,"$6,562,500  ",Nebraska,NE,98
225,Ndamukong Suh,"$10,492,500  ",Nebraska,NE,98
226,Ndamukong Suh,"$22,412,500  ",Nebraska,NE,98
227,Ndamukong Suh,"$6,100,000  ",Nebraska,NE,98
228,Ndamukong Suh,"$12,600,000  ",Nebraska,NE,98
229,Ndamukong Suh,"$19,100,000  ",Nebraska,NE,98
230,Ndamukong Suh,"$14,500,000  ",Nebraska,NE,98
231,Bobby Wagner,"$783,236  ",Utah St.,,98
232,Bobby Wagner,"$979,045  ",Utah St.,,98
233,Bobby Wagner,"$1,174,854  ",Utah St.,,98
234,Bobby Wagner,"$2,970,663  ",Utah St.,,98
235,Bobby Wagner,"$6,068,750  ",Utah St.,,98
236,Bobby Wagner,"$7,600,000  ",Utah St.,,98
237,Bobby Wagner,"$13,600,000  ",Utah St.,,98
238,Clay Matthews,"$1,840,000  ",USC,,97
239,Clay Matthews,"$1,840,000  ",USC,,97
240,Clay Matthews,"$1,840,000  ",USC,,97
241,Clay Matthews,"$1,840,000  ",USC,,97
242,Clay Matthews,"$1,980,000  ",USC,,97
243,Clay Matthews,"$1,980,000  ",USC,,97
244,Clay Matthews,"$6,710,000  ",USC,,97
245,Clay Matthews,"$6,710,000  ",USC,,97
246,Clay Matthews,"$11,006,250  ",USC,,97
247,Clay Matthews,"$11,006,250  ",USC,,97
248,Clay Matthews,"$12,700,000  ",USC,,97
249,Clay Matthews,"$12,700,000  ",USC,,97
250,Clay Matthews,"$13,750,000  ",USC,,97
251,Clay Matthews,"$13,750,000  ",USC,,97
252,Clay Matthews,"$15,075,000  ",USC,,97
253,Clay Matthews,"$15,075,000  ",USC,,97
254,Clay Matthews,"$11,400,000  ",USC,,97
255,Clay Matthews,"$11,400,000  ",USC,,97
256,Patrick Peterson,"$3,350,818  ",LSU,,97
257,Patrick Peterson,"$3,350,818  ",LSU,,97
258,Patrick Peterson,"$4,188,523  ",LSU,,97
259,Patrick Peterson,"$5,026,227  ",LSU,,97
260,Patrick Peterson,"$6,937,132  ",LSU,,97
261,Patrick Peterson,"$14,791,491  ",LSU,,97
262,Patrick Peterson,"$10,534,024  ",LSU,,97
263,Patrick Peterson,"$13,706,965  ",LSU,,97
264,Patrick Peterson,"$14,956,965  ",LSU,,97
265,Luke Kuechly,"$2,287,018  ",Boston Col.,,96
266,Luke Kuechly,"$2,858,773  ",Boston Col.,,96
267,Luke Kuechly,"$3,430,528  ",Boston Col.,,96
268,Luke Kuechly,"$6,697,018  ",Boston Col.,,96
269,Luke Kuechly,"$6,000,000  ",Boston Col.,,96
270,Luke Kuechly,"$12,763,324  ",Boston Col.,,96
271,Luke Kuechly,"$7,992,514  ",Boston Col.,,96
272,Geno Atkins,"$7,118,114  ",Georgia,GA,95
273,Geno Atkins,"$9,000,000  ",Georgia,GA,95
274,Geno Atkins,"$9,000,000  ",Georgia,GA,95
275,Geno Atkins,"$9,600,000  ",Georgia,GA,95
276,Geno Atkins,"$10,600,000  ",Georgia,GA,95
277,Geno Atkins,"$15,100,000  ",Georgia,GA,95
278,Josh Sitton,"$4,896,000  ",Central Florida,FL,95
279,Josh Sitton,"$4,896,000  ",Central Florida,FL,95
280,Josh Sitton,"$4,850,000  ",Central Florida,FL,95
281,Josh Sitton,"$5,550,000  ",Central Florida,FL,95
282,Josh Sitton,"$6,400,000  ",Central Florida,FL,95
283,Josh Sitton,"$7,000,000  ",Central Florida,FL,95
284,Josh Sitton,"$5,416,666  ",Central Florida,FL,95
285,Josh Sitton,"$6,822,916  ",Central Florida,FL,95
286,Josh Sitton,"$6,500,000  ",Central Florida,FL,95
287,Eric Weddle,"$3,600,000  ",Utah,UT,94
288,Eric Weddle,"$3,600,000  ",Utah,UT,94
289,Eric Weddle,"$7,600,000  ",Utah,UT,94
290,Eric Weddle,"$8,600,000  ",Utah,UT,94
291,Eric Weddle,"$10,100,000  ",Utah,UT,94
292,Eric Weddle,"$10,100,000  ",Utah,UT,94
293,Eric Weddle,"$3,750,000  ",Utah,UT,94
294,Eric Weddle,"$5,750,000  ",Utah,UT,94
295,Eric Weddle,"$8,250,000  ",Utah,UT,94
296,Cameron Wake,"$700,000  ",Penn St.,,93
297,Cameron Wake,"$700,000  ",Penn St.,,93
298,Cameron Wake,"$2,190,000  ",Penn St.,,93
299,Cameron Wake,"$5,015,000  ",Penn St.,,93
300,Cameron Wake,"$7,285,000  ",Penn St.,,93
301,Cameron Wake,"$10,450,000  ",Penn St.,,93
302,Cameron Wake,"$8,525,000  ",Penn St.,,93
303,Cameron Wake,"$7,500,000  ",Penn St.,,93
304,Cameron Wake,"$9,625,000  ",Penn St.,,93
305,Marshal Yanda,"$4,000,000  ",Iowa,IA,92
306,Marshal Yanda,"$4,000,000  ",Iowa,IA,92
307,Marshal Yanda,"$3,650,000  ",Iowa,IA,92
308,Marshal Yanda,"$7,450,000  ",Iowa,IA,92
309,Marshal Yanda,"$8,450,000  ",Iowa,IA,92
310,Marshal Yanda,"$6,981,764  ",Iowa,IA,92
311,Marshal Yanda,"$4,010,220  ",Iowa,IA,92
312,Marshal Yanda,"$9,125,220  ",Iowa,IA,92
313,Marshal Yanda,"$10,125,220  ",Iowa,IA,92
314,Andy Dalton,"$948,036  ",TCU,,91
315,Andy Dalton,"$948,036  ",TCU,,91
316,Andy Dalton,"$1,185,045  ",TCU,,91
317,Andy Dalton,"$1,422,054  ",TCU,,91
318,Andy Dalton,"$9,059,063  ",TCU,,91
319,Andy Dalton,"$9,600,000  ",TCU,,91
320,Andy Dalton,"$13,100,000  ",TCU,,91
321,Andy Dalton,"$15,700,000  ",TCU,,91
322,Andy Dalton,"$16,300,000  ",TCU,,91
323,Jason Peters,"$6,834,000  ",Arkansas,AR,91
324,Jason Peters,"$6,834,000  ",Arkansas,AR,91
325,Jason Peters,"$8,834,000  ",Arkansas,AR,91
326,Jason Peters,"$11,084,000  ",Arkansas,AR,91
327,Jason Peters,"$8,292,000  ",Arkansas,AR,91
328,Jason Peters,"$9,050,000  ",Arkansas,AR,91
329,Jason Peters,"$9,737,500  ",Arkansas,AR,91
330,Jason Peters,"$6,916,666  ",Arkansas,AR,91
331,Jason Peters,"$10,666,666  ",Arkansas,AR,91
332,Adrian Peterson,"$12,955,000  ",Oklahoma,OK,91
333,Adrian Peterson,"$12,955,000  ",Georgia Southern,GA,91
334,Adrian Peterson,"$12,955,000  ",Oklahoma,OK,91
335,Adrian Peterson,"$12,955,000  ",Georgia Southern,GA,91
336,Adrian Peterson,"$12,705,000  ",Oklahoma,OK,91
337,Adrian Peterson,"$12,705,000  ",Georgia Southern,GA,91
338,Adrian Peterson,"$13,900,000  ",Oklahoma,OK,91
339,Adrian Peterson,"$13,900,000  ",Georgia Southern,GA,91
340,Adrian Peterson,"$14,400,000  ",Oklahoma,OK,91
341,Adrian Peterson,"$14,400,000  ",Georgia Southern,GA,91
342,Adrian Peterson,"$15,400,000  ",Oklahoma,OK,91
343,Adrian Peterson,"$15,400,000  ",Georgia Southern,GA,91
344,Adrian Peterson,"$12,000,000  ",Oklahoma,OK,91
345,Adrian Peterson,"$12,000,000  ",Georgia Southern,GA,91
346,Adrian Peterson,"$12,955,000  ",Oklahoma,OK,0
347,Adrian Peterson,"$12,955,000  ",Georgia Southern,GA,0
348,Adrian Peterson,"$12,955,000  ",Oklahoma,OK,0
349,Adrian Peterson,"$12,955,000  ",Georgia Southern,GA,0
350,Adrian Peterson,"$12,705,000  ",Oklahoma,OK,0
351,Adrian Peterson,"$12,705,000  ",Georgia Southern,GA,0
352,Adrian Peterson,"$13,900,000  ",Oklahoma,OK,0
353,Adrian Peterson,"$13,900,000  ",Georgia Southern,GA,0
354,Adrian Peterson,"$14,400,000  ",Oklahoma,OK,0
355,Adrian Peterson,"$14,400,000  ",Georgia Southern,GA,0
356,Adrian Peterson,"$15,400,000  ",Oklahoma,OK,0
357,Adrian Peterson,"$15,400,000  ",Georgia Southern,GA,0
358,Adrian Peterson,"$12,000,000  ",Oklahoma,OK,0
359,Adrian Peterson,"$12,000,000  ",Georgia Southern,GA,0
360,Richard Sherman,"$3,676,606  ",Stanford,CA,91
361,Richard Sherman,"$12,200,000  ",Stanford,CA,91
362,Richard Sherman,"$14,769,000  ",Stanford,CA,91
363,Richard Sherman,"$13,631,000  ",Stanford,CA,91
364,Richard Sherman,"$6,800,000  ",Stanford,CA,91
365,Duane Brown,"$1,807,500  ",Virginia Tech,,89
366,Duane Brown,"$1,807,500  ",Virginia Tech,,89
367,Duane Brown,"$4,582,250  ",Virginia Tech,,89
368,Duane Brown,"$5,000,000  ",Virginia Tech,,89
369,Duane Brown,"$8,500,000  ",Virginia Tech,,89
370,Duane Brown,"$9,500,000  ",Virginia Tech,,89
371,Duane Brown,"$9,500,000  ",Virginia Tech,,89
372,Duane Brown,"$4,976,470  ",Virginia Tech,,89
373,Duane Brown,"$8,250,000  ",Virginia Tech,,89
374,Darrelle Revis,"$11,265,916  ",Pittsburgh,PA,88
375,Darrelle Revis,"$11,265,916  ",Pittsburgh,PA,88
376,Darrelle Revis,"$11,765,916  ",Pittsburgh,PA,88
377,Darrelle Revis,"$16,000,000  ",Pittsburgh,PA,88
378,Darrelle Revis,"$7,000,000  ",Pittsburgh,PA,88
379,Darrelle Revis,"$16,000,000  ",Pittsburgh,PA,88
380,Darrelle Revis,"$17,000,000  ",Pittsburgh,PA,88
381,Terrell Suggs,"$10,020,000  ",Arizona St.,,88
382,Terrell Suggs,"$10,020,000  ",Arizona St.,,88
383,Terrell Suggs,"$11,520,000  ",Arizona St.,,88
384,Terrell Suggs,"$13,020,000  ",Arizona St.,,88
385,Terrell Suggs,"$7,800,000  ",Arizona St.,,88
386,Terrell Suggs,"$3,950,000  ",Arizona St.,,88
387,Terrell Suggs,"$7,450,000  ",Arizona St.,,88
388,Terrell Suggs,"$6,950,000  ",Arizona St.,,88
389,Terrell Suggs,"$6,950,000  ",Arizona St.,,88
390,Joe Staley,"$2,159,750  ",Central Michigan,MI,87
391,Joe Staley,"$2,159,750  ",Central Michigan,MI,87
392,Joe Staley,"$2,500,000  ",Central Michigan,MI,87
393,Joe Staley,"$2,800,000  ",Central Michigan,MI,87
394,Joe Staley,"$3,400,000  ",Central Michigan,MI,87
395,Joe Staley,"$7,600,000  ",Central Michigan,MI,87
396,Joe Staley,"$8,300,000  ",Central Michigan,MI,87
397,Joe Staley,"$11,056,250  ",Central Michigan,MI,87
398,Joe Staley,"$10,950,000  ",Central Michigan,MI,87
399,Frank Gore,"$7,033,000  ",Miami (FL),,86
400,Frank Gore,"$7,033,000  ",Miami (FL),,86
401,Frank Gore,"$6,000,000  ",Miami (FL),,86
402,Frank Gore,"$6,450,000  ",Miami (FL),,86
403,Frank Gore,"$6,450,000  ",Miami (FL),,86
404,Frank Gore,"$4,500,000  ",Miami (FL),,86
405,Frank Gore,"$4,000,000  ",Miami (FL),,86
406,Frank Gore,"$3,500,000  ",Miami (FL),,86
407,Frank Gore,"$1,105,000  ",Miami (FL),,86
408,Alex Mack,"$1,974,000  ",California,CA,86
409,Alex Mack,"$1,974,000  ",California,CA,86
410,Alex Mack,"$3,203,000  ",California,CA,86
411,Alex Mack,"$5,032,000  ",California,CA,86
412,Alex Mack,"$10,000,000  ",California,CA,86
413,Alex Mack,"$8,000,000  ",California,CA,86
414,Alex Mack,"$4,050,000  ",California,CA,86
415,Alex Mack,"$8,300,000  ",California,CA,86
416,Alex Mack,"$11,050,000  ",California,CA,86
417,Carson Palmer,"$2,500,000  ",USC,,86
418,Carson Palmer,"$2,500,000  ",USC,,86
419,Carson Palmer,"$3,160,000  ",USC,,86
420,Carson Palmer,"$4,000,000  ",USC,,86
421,Carson Palmer,"$13,000,000  ",USC,,86
422,Carson Palmer,"$7,375,000  ",USC,,86
423,Carson Palmer,"$18,375,000  ",USC,,86
424,Carson Palmer,"$24,125,000  ",USC,,86
425,Joe Thomas,"$15,960,000  ",Wisconsin,WI,86
426,Joe Thomas,"$15,960,000  ",South Carolina St.,,86
427,Joe Thomas,"$15,960,000  ",Miss. Valley St.,,86
428,Joe Thomas,"$15,960,000  ",Wisconsin,WI,86
429,Joe Thomas,"$15,960,000  ",South Carolina St.,,86
430,Joe Thomas,"$15,960,000  ",Miss. Valley St.,,86
431,Joe Thomas,"$13,560,000  ",Wisconsin,WI,86
432,Joe Thomas,"$13,560,000  ",South Carolina St.,,86
433,Joe Thomas,"$13,560,000  ",Miss. Valley St.,,86
434,Joe Thomas,"$11,400,000  ",Wisconsin,WI,86
435,Joe Thomas,"$11,400,000  ",South Carolina St.,,86
436,Joe Thomas,"$11,400,000  ",Miss. Valley St.,,86
437,Joe Thomas,"$12,300,000  ",Wisconsin,WI,86
438,Joe Thomas,"$12,300,000  ",South Carolina St.,,86
439,Joe Thomas,"$12,300,000  ",Miss. Valley St.,,86
440,Joe Thomas,"$10,200,000  ",Wisconsin,WI,86
441,Joe Thomas,"$10,200,000  ",South Carolina St.,,86
442,Joe Thomas,"$10,200,000  ",Miss. Valley St.,,86
443,Joe Thomas,"$9,500,000  ",Wisconsin,WI,86
444,Joe Thomas,"$9,500,000  ",South Carolina St.,,86
445,Joe Thomas,"$9,500,000  ",Miss. Valley St.,,86
446,Joe Thomas,"$13,750,000  ",Wisconsin,WI,86
447,Joe Thomas,"$13,750,000  ",South Carolina St.,,86
448,Joe Thomas,"$13,750,000  ",Miss. Valley St.,,86
449,Joe Thomas,"$1,275,000  ",Wisconsin,WI,86
450,Joe Thomas,"$1,275,000  ",South Carolina St.,,86
451,Joe Thomas,"$1,275,000  ",Miss. Valley St.,,86
452,Joe Thomas,"$15,960,000  ",Wisconsin,WI,9
453,Joe Thomas,"$15,960,000  ",South Carolina St.,,9
454,Joe Thomas,"$15,960,000  ",Miss. Valley St.,,9
455,Joe Thomas,"$15,960,000  ",Wisconsin,WI,9
456,Joe Thomas,"$15,960,000  ",South Carolina St.,,9
457,Joe Thomas,"$15,960,000  ",Miss. Valley St.,,9
458,Joe Thomas,"$13,560,000  ",Wisconsin,WI,9
459,Joe Thomas,"$13,560,000  ",South Carolina St.,,9
460,Joe Thomas,"$13,560,000  ",Miss. Valley St.,,9
461,Joe Thomas,"$11,400,000  ",Wisconsin,WI,9
