,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
601,Madieu Williams\WillMa20,2012,31,2-56,WAS,NFL,16,16,1,0,0,5
602,George Wilson\WilsGe01,2012,31,,BUF,NFL,16,16,1,0,0,5
603,Eric Winston\WinsEr20,2012,29,3-66,KAN,NFL,16,16,1,0,0,5
604,Kendall Wright\WrigKe01,2012,23,1-20,TEN,NFL,15,5,1,0,0,5
605,Lorenzo Alexander\AlexLo99,2012,29,,WAS,NFL,16,0,1,1,0,4
606,Dwayne Allen\AlleDw00,2012,22,3-64,IND,NFL,16,16,1,0,0,4
607,Jeff Allen\AlleJe01,2012,22,2-44,KAN,NFL,16,13,1,0,0,4
608,Nate Allen\AlleNa99,2012,25,2-37,PHI,NFL,15,13,1,0,0,4
609,Will Allen\AlleWi21,2012,30,4-111,PIT,NFL,16,7,1,0,0,4
610,Prince Amukamara\AmukPr00,2012,23,1-19,NYG,NFL,13,11,1,0,0,4
611,Kyle Arrington\ArriKy00,2012,26,,NWE,NFL,16,12,1,0,0,4
612,Jon Asamoah\AsamJo20,2012,24,3-68,KAN,NFL,15,15,1,0,0,4
613,Jason Avant\AvanJa00,2012,29,4-109,PHI,NFL,14,6,1,0,0,4
614,Jordan Babineaux\BabiJo21,2012,30,,TEN,NFL,16,12,1,0,0,4
615,Doug Baldwin\BaldDo00,2012,24,,SEA,NFL,14,4,1,0,0,4
616,Don Barclay\BarcDo00,2012,23,,GNB,NFL,16,4,1,0,0,4
617,Khalif Barnes\BarnKh20,2012,30,2-52,OAK,NFL,9,9,1,0,0,4
618,Connor Barth\barthco01,2012,26,,TAM,NFL,15,0,1,0,0,4
619,Jovan Belcher\BelcJo00,2012,25,,KAN,NFL,11,10,1,0,0,4
620,Kroy Biermann\BierKr99,2012,27,5-154,ATL,NFL,16,3,1,0,0,4
621,Atari Bigby\BigbAt20,2012,31,,SDG,NFL,11,11,1,0,0,4
622,E.J. Biggers\BiggE.99,2012,25,7-217,TAM,NFL,13,12,1,0,0,4
