Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
2001,Jonathan Williams\WillJo07,2018,24,5-156,NOR,NFL,3,0,1,0,0,0
2002,Marcus Williams\WillMa03,2018,27,,2TM,NFL,5,0,1,0,0,0
2003,Nick Williams\WillNi01,2018,28,7-223,CHI,NFL,2,0,1,0,0,0
2004,Nick Williams\WillNi02,2018,28,7-223,2TM,NFL,4,0,1,0,0,0
2005,Terrance Williams\WillTe01,2018,29,3-74,DAL,NFL,3,2,1,0,0,0
2006,Derrick Willies\WillDe06,2018,24,,CLE,NFL,5,0,1,0,0,0
2007,Jesus Wilson\WilsJe00,2018,23,,TAM,NFL,5,0,1,0,0,0
2008,Kyle Wilson\WilsKy00,2018,23,,LAC,NFL,3,0,1,0,0,0
2009,Shaun Wilson\WilsSh01,2018,23,,TAM,NFL,5,0,1,0,0,0
2010,Javon Wims\WimsJa00,2018,24,7-224,CHI,NFL,4,0,1,0,0,0
2011,Anthony Wint\WintAn00,2018,23,,NYJ,NFL,2,0,1,0,0,0
2012,Xavier Woodson-Luster\WoodXa01,2018,23,,CLE,NFL,4,0,1,0,0,0
2013,Chris Worley\WorlCh00,2018,23,,CIN,NFL,2,0,1,0,0,0
2014,Jerel Worthy\WortJe00,2018,28,2-51,TAM,NFL,4,0,1,0,0,0
2015,Blidi Wreh-Wilson\WrehBl00,2018,29,3-70,ATL,NFL,3,0,1,0,0,0
2016,Gabe Wright\WrigGa00,2018,26,4-113,OAK,NFL,2,0,1,0,0,0
2017,Deon Yelder\YeldDe00,2018,23,,KAN,NFL,3,0,1,0,0,0
2018,Trevon Young\YounTr00,2018,23,6-205,LAR,NFL,2,0,1,0,0,0
2019,Justin Zimmer\ZimmJu00,2018,26,,ATL,NFL,1,0,1,0,0,0
2020,Frank Zombo\ZombFr00,2018,31,,KAN,NFL,9,0,1,0,0,0
2021,Brandon Zylstra\ZylsBr00,2018,25,,MIN,NFL,16,0,1,0,0,0
2022,Sam Ficken\FickSa00,2018,26,,LAR,NFL,2,0,1,0,0,-1
2023,Matthew McCrane\McCrMa00,2018,24,,3TM,NFL,5,0,1,0,0,-1
2024,Caleb Sturgis\SturCa00,2018,29,5-166,LAC,NFL,6,0,1,0,0,-1
