,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1101,Haloti Ngata\NgatHa20,2017,33,1-12,DET,NFL,5,5,1,0,0,2
1102,Hardy Nickerson\NickHa02,2017,23,,CIN,NFL,14,2,1,0,0,2
1103,David Njoku\NjokDa00,2017,21,1-29,CLE,NFL,16,5,1,0,0,2
1104,Robert Nkemdiche\NkemRo00,2017,23,1-29,ARI,NFL,12,0,1,0,0,2
1105,Mike Nugent\nugenmik01,2017,35,2-47,2TM,NFL,8,0,1,0,0,2
1106,Larry Ogunjobi\OgunLa00,2017,23,3-65,CLE,NFL,14,1,1,0,0,2
1107,Greg Olsen\OlseGr00,2017,32,1-31,CAR,NFL,7,7,1,0,0,2
1108,Brock Osweiler\OsweBr00,2017,27,2-57,DEN,NFL,6,4,1,0,0,2
1109,Stephen Paea\PaeaSt00,2017,29,2-53,DAL,NFL,4,4,1,0,0,2
1110,Michael Palardy\PalaMi00,2017,25,,CAR,NFL,16,0,1,0,0,2
1111,Tenny Palepoi\PaleTe00,2017,27,,LAC,NFL,15,0,1,0,0,2
1112,Lucas Patrick\PatrLu00,2017,24,,GNB,NFL,12,2,1,0,0,2
1113,Michael Person\PersMi00,2017,29,7-239,IND,NFL,12,4,1,0,0,2
1114,Bryce Petty\PettBr01,2017,26,4-103,NYJ,NFL,4,3,1,0,0,2
1115,Brian Poole\PoolBr01,2017,25,,ATL,NFL,15,3,1,0,0,2
1116,Terrelle Pryor\PryoTe00,2017,28,3-1,WAS,NFL,9,2,1,0,0,2
1117,Thomas Rawls\RawlTh00,2017,24,,SEA,NFL,12,3,1,0,0,2
1118,Chris Reed\ReedCh00,2017,25,,JAX,NFL,6,3,1,0,0,2
1119,Jordan Reed\ReedJo02,2017,27,3-85,WAS,NFL,6,5,1,0,0,2
1120,Darryl Roberts\RobeDa00,2017,27,7-247,NYJ,NFL,15,4,1,0,0,2
1121,Roy Robertson-Harris\RobeRo00,2017,24,,CHI,NFL,13,0,1,0,0,2
1122,Aldrick Robinson\RobiAl00,2017,29,6-178,SFO,NFL,16,1,1,0,0,2
1123,Demarcus Robinson\RobiDe01,2017,23,4-126,KAN,NFL,16,8,1,0,0,2
1124,Keenan Robinson\RobiKe01,2017,28,4-119,NYG,NFL,6,3,1,0,0,2
1125,Brian Robison\RobiBr98,2017,34,4-102,MIN,NFL,15,1,1,0,0,2
1126,Jacquizz Rodgers\RodgJa00,2017,27,5-145,TAM,NFL,16,4,1,0,0,2
1127,Richard Rodgers\RodgRi00,2017,25,3-98,GNB,NFL,15,1,1,0,0,2
1128,Dominique Rodgers-Cromartie\RodgDo99,2017,31,1-16,NYG,NFL,15,6,1,0,0,2
