Rk,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
901,Bryan Holaday\holadbr01,-0.3,2017,29,DET,AL,13,29,29,1,7,2,0,0,2,0,0,1,0,0,0,2,0,0,.241,.241,.310,.552,*2/H4D
902,Sean Newcomb\newcose01,-0.3,2017,24,ATL,NL,19,35,27,1,1,0,0,0,0,2,0,17,0,6,0,1,0,0,.037,.103,.037,.140,*1
903,Joc Pederson\pederjo01,-0.3,2017,25,LAD,NL,102,323,273,44,58,20,0,11,35,39,1,68,10,0,1,7,4,3,.212,.331,.407,.738,*8H/7
904,Nick Pivetta\pivetni01,-0.3,2017,24,PHI,NL,25,48,44,3,3,0,0,0,0,0,0,21,0,4,0,1,0,0,.068,.068,.068,.136,*1
905,Hanley Ramirez\ramirha01,-0.3,2017,33,BOS,AL,133,553,496,58,120,24,0,23,62,51,8,116,6,0,0,15,1,3,.242,.320,.429,.750,*D3/H
906,Jeff Samardzija\samarje01,-0.3,2017,32,SFG,NL,33,67,64,3,6,2,0,1,2,0,0,25,0,3,0,0,0,0,.094,.094,.172,.266,*1/H
907,Pedro Severino\severpe01,-0.3,2017,23,WSN,NL,17,31,29,0,5,1,0,0,3,2,1,10,0,0,0,0,0,0,.172,.226,.207,.433,*2/HD
908,Brock Stassi\stassbr01,-0.3,2017,27,PHI,NL,51,90,78,6,13,2,1,2,7,12,0,22,0,0,0,3,0,0,.167,.278,.295,.573,*H3/7
909,Mike Tauchman\tauchmi01,-0.3,2017,26,COL,NL,31,32,27,2,6,0,1,0,2,5,0,10,0,0,0,1,1,2,.222,.344,.296,.640,*H/879
910,Tomas Telis\telisto01,-0.3,2017,26,MIA,NL,48,111,104,13,25,5,3,0,9,3,0,10,3,0,1,1,0,0,.240,.279,.346,.625,*3H/2
911,Trayce Thompson\thomptr01,-0.3,2017,26,LAD,NL,27,55,49,6,6,2,1,1,2,6,1,23,0,0,0,0,0,0,.122,.218,.265,.483,/H897
912,Richard Urena\urenari01,-0.3,2017,21,TOR,AL,21,75,68,6,14,4,0,1,4,6,0,28,0,1,0,0,1,0,.206,.270,.309,.579,*6/H4
913,Breyvic Valera\valerbr01,-0.3,2017,25,STL,NL,5,11,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.100,.182,.100,.282,/*H*4
914,Michael Wacha\wachami01,-0.3,2017,25,STL,NL,28,55,46,3,2,0,0,0,3,1,0,22,0,7,1,2,0,0,.043,.063,.043,.106,*1
915,Mason Williams\willima10,-0.3,2017,25,NYY,AL,5,17,16,3,4,0,0,0,1,1,0,2,0,0,0,0,2,0,.250,.294,.250,.544,/*89
916,Cristhian Adames\adamecr01,-0.4,2017,25,COL,NL,12,14,13,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,.000,.071,.000,.071,*H/643
917,Lewis Brinson\brinsle01,-0.4,2017,23,MIL,NL,21,55,47,2,5,0,1,2,3,7,1,17,1,0,0,0,1,0,.106,.236,.277,.513,/87H
918,Drew Butera\buterdr01,-0.4,2017,33,KCR,AL,75,177,163,18,37,4,1,3,14,12,0,41,1,1,0,0,0,0,.227,.284,.319,.603,*2/3H
