3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
301,Steve Pearce\pearcst01,-0.7,2011,28,PIT,NL,50,105,94,8,19,2,0,1,10,7,0,21,1,1,2,6,0,0,.202,.260,.255,.515,*H35/9
302,Adam Rosales\rosalad01,-0.7,2011,28,OAK,AL,24,68,61,5,6,0,0,2,8,4,0,13,1,0,2,4,0,0,.098,.162,.197,.358,/6534H7
303,Rajai Davis\davisra01,-0.8,2011,30,TOR,AL,95,338,320,44,76,21,6,1,29,15,0,63,1,1,1,4,34,11,.238,.273,.350,.623,*8/H97D
304,Chris Nelson\nelsoch01,-0.8,2011,25,COL,NL,63,189,180,20,45,10,1,4,16,7,1,35,1,0,1,5,3,1,.250,.280,.383,.664,45H/6
305,Ramiro Pena\penara02,-0.8,2011,25,NYY,AL,23,46,40,5,4,0,0,1,4,2,0,11,1,2,1,1,0,0,.100,.159,.175,.334,*5/4H6D
306,Jorge Cantu\cantujo01,-0.9,2011,29,SDP,NL,57,155,144,8,28,4,0,3,16,7,1,28,1,0,3,6,0,0,.194,.232,.285,.517,3H5/4
307,Drew Butera\buterdr01,-1.6,2011,27,MIN,AL,93,254,234,19,39,9,1,2,23,11,0,42,2,6,1,7,0,0,.167,.210,.239,.449,*2/H
308,Felix Pie\piefe01,-1.7,2011,26,BAL,AL,85,175,164,15,36,8,1,0,7,10,0,32,0,1,0,0,3,2,.220,.264,.280,.545,*7H/8D9
309,Henderson Alvarez III\alvarhe01,,2011,21,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
310,Dellin Betances\betande01,,2011,23,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
311,Michael Bowden\bowdemi01,,2011,24,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
312,Clay Buchholz\buchhcl01,,2011,26,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
313,Brett Cecil\cecilbr01,,2011,24,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
314,Jesse Chavez\chaveje01,,2011,27,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
315,Alex Cobb\cobbal01,,2011,23,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
316,Felix Doubront\doubrfe01,,2011,23,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
317,Danny Farquhar\farquda01,,2011,24,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
318,Jeanmar Gomez\gomezje01,,2011,23,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
319,Liam Hendriks\hendrli01,,2011,22,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
320,Kelvin Herrera\herreke01,,2011,21,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
321,Rich Hill\hillri01,,2011,31,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
322,Derek Holland\hollade01,,2011,24,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
323,Jeremy Jeffress\jeffrje01,,2011,23,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
324,Cesar Jimenez\jimence01,,2011,26,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
325,Shawn Kelley\kellesh01,,2011,27,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
326,Corey Kluber\klubeco01,,2011,25,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
327,George Kontos\kontoge01,,2011,26,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
328,Wil Ledezma\ledezwi01,,2011,30,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
329,Josh Lueke\luekejo01,,2011,26,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
330,Zach McAllister\mcallza01,,2011,23,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
331,Luis Mendoza\mendolu01,,2011,27,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
332,Matt Moore\moorema02,,2011,22,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
333,Darren O'Day\odayda01,,2011,28,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
334,Zach Phillips\phillza01,,2011,24,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
335,Zach Putnam\putnaza01,,2011,23,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
336,Addison Reed\reedad01,,2011,22,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
337,Garrett Richards\richaga01,,2011,23,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
