,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1101,Shelley Smith\SmitSh22,2014,27,6-187,MIA,NFL,11,3,1,0,0,2
1102,Willie Smith\SmitWi00,2014,28,,SDG,NFL,15,1,1,0,0,2
1103,Anthony Spencer\SpenAn99,2014,30,1-26,DAL,NFL,13,0,1,0,0,2
1104,Byron Stingily\StinBy00,2014,26,6-175,TEN,NFL,10,5,1,0,0,2
1105,Ed Stinson\StinEd00,2014,24,5-160,ARI,NFL,10,2,1,0,0,2
1106,Andy Studebaker\StudAn99,2014,29,6-203,IND,NFL,13,1,1,0,0,2
1107,Caleb Sturgis\SturCa00,2014,25,5-166,MIA,NFL,16,0,1,0,0,2
1108,Will Sutton\SuttWi00,2014,23,3-82,CHI,NFL,15,5,1,0,0,2
1109,Darryl Tapp\TappDa20,2014,30,2-63,DET,NFL,16,0,1,0,0,2
1110,Ben Tate\TateBe00,2014,26,2-58,2TM,NFL,11,6,1,0,0,2
1111,Brandon Tate\TateBr00,2014,27,3-83,CIN,NFL,16,4,1,0,0,2
1112,Devin Taylor\TaylDe00,2014,25,4-132,DET,NFL,16,0,1,0,0,2
1113,Ike Taylor\TaylIk20,2014,34,4-125,PIT,NFL,5,5,1,0,0,2
1114,Lane Taylor\TaylLa01,2014,25,,GNB,NFL,16,0,1,0,0,2
1115,Phil Taylor\TaylPh00,2014,26,1-21,CLE,NFL,5,4,1,0,0,2
1116,Stepfan Taylor\TaylSt00,2014,23,5-140,ARI,NFL,14,4,1,0,0,2
1117,Daniel Thomas\ThomDa03,2014,27,2-62,MIA,NFL,12,0,1,0,0,2
1118,Phillip Thomas\ThomPh00,2014,25,4-119,WAS,NFL,8,4,1,0,0,2
1119,Kenbrell Thompkins\ThomKe02,2014,26,,2TM,NFL,14,7,1,0,0,2
1120,Juwan Thompson\ThomJu01,2014,22,,DEN,NFL,15,0,1,0,0,2
1121,Jordan Todman\TodmJo00,2014,24,6-183,JAX,NFL,16,1,1,0,0,2
1122,Levine Toilolo\ToilLe00,2014,23,4-133,ATL,NFL,16,16,1,0,0,2
1123,Nick Toon\ToonNi00,2014,26,4-122,NOR,NFL,8,2,1,0,0,2
1124,Stephen Tulloch\TullSt20,2014,29,4-116,DET,NFL,3,3,1,0,0,2
1125,Osi Umenyiora\UmenOs99,2014,33,2-56,ATL,NFL,16,0,1,0,0,2
1126,John Urschel\UrscJo00,2014,23,5-175,BAL,NFL,11,3,1,0,0,2
1127,Brock Vereen\VereBr00,2014,22,4-131,CHI,NFL,16,4,1,0,0,2
1128,Jason Verrett\VerrJa00,2014,23,1-25,SDG,NFL,6,4,1,0,0,2
1129,Michael Vick\VickMi00,2014,34,1-1,NYJ,NFL,10,3,1,0,0,2
1130,Kevin Vickerson\VickKe99,2014,31,7-216,KAN,NFL,15,1,1,0,0,2
1131,Tyrunn Walker\WalkTy00,2014,24,,NOR,NFL,16,1,1,0,0,2
1132,Vance Walker\WalkVa99,2014,27,7-210,KAN,NFL,16,2,1,0,0,2
1133,Cody Wallace\WallCo20,2014,30,4-107,PIT,NFL,15,2,1,0,0,2
1134,Blair Walsh\WalsBl00,2014,24,6-175,MIN,NFL,16,0,1,0,0,2
1135,Pierre Warren\WarrPi00,2014,22,,2TM,NFL,6,6,1,0,0,2
1136,Steve Weatherford\WeatSt20,2014,32,,NYG,NFL,16,0,1,0,0,2
1137,Philip Wheeler\WheePh99,2014,30,3-93,MIA,NFL,15,4,1,0,0,2
1138,Kyle Wilber\WilbKy00,2014,25,4-113,DAL,NFL,16,3,1,0,0,2
1139,Damien Williams\WillDa05,2014,22,,MIA,NFL,16,0,1,0,0,2
1140,DeAngelo Williams\WillDe02,2014,31,1-27,CAR,NFL,6,6,1,0,0,2
1141,K'Waun Williams\WillKW00,2014,23,,CLE,NFL,13,4,1,0,0,2
1142,Vince Williams\WillVi01,2014,25,6-206,PIT,NFL,16,2,1,0,0,2
1143,Josh Wilson\WilsJo99,2014,29,2-55,ATL,NFL,16,4,1,0,0,2
1144,Brad Wing\WingBr00,2014,23,,PIT,NFL,16,0,1,0,0,2
1145,Brian Winters\WintBr00,2014,23,3-72,NYJ,NFL,6,6,1,0,0,2
1146,LaMarr Woodley\WoodLa99,2014,30,2-46,OAK,NFL,6,5,1,0,0,2
1147,Al Woods\WoodAl99,2014,27,4-123,TEN,NFL,16,1,1,0,0,2
1148,Corey Wootton\WootCo99,2014,27,4-109,MIN,NFL,15,0,1,0,0,2
1149,Major Wright\WrigMa99,2014,26,3-75,TAM,NFL,12,7,1,0,0,2
1150,Jarius Wynn\WynnJa99,2014,28,6-182,BUF,NFL,11,1,1,0,0,2
1151,Kerry Wynn\WynnKe00,2014,23,,NYG,NFL,5,0,1,0,0,2
1152,Sam Young\YounSa21,2014,27,6-179,JAX,NFL,9,6,1,0,0,2
1153,Frank Zombo\ZombFr00,2014,27,,KAN,NFL,16,0,1,0,0,2
1154,Greg Zuerlein\ZuerGr00,2014,27,6-171,STL,NFL,16,0,1,0,0,2
1155,Danny Aiken\AikeDa00,2014,26,,NWE,NFL,15,0,1,0,0,1
1156,Walt Aikens\AikeWa00,2014,23,4-125,MIA,NFL,15,0,1,0,0,1
1157,Maurice Alexander\AlexMa00,2014,23,4-110,STL,NFL,9,0,1,0,0,1
1158,Beau Allen\AlleBe00,2014,23,7-224,PHI,NFL,16,0,1,0,0,1
1159,Colt Anderson\AndeCo01,2014,29,,IND,NFL,15,0,1,0,0,1
1160,Larry Asante\AsanLa99,2014,26,5-160,OAK,NFL,6,2,1,0,0,1
1161,Jeremiah Attaochu\AttaJe00,2014,21,2-50,SDG,NFL,11,0,1,0,0,1
1162,Marvin Austin\AustMa00,2014,25,2-52,DEN,NFL,15,0,1,0,0,1
1163,Denico Autry\AutrDe00,2014,24,,OAK,NFL,10,0,1,0,0,1
1164,Johnson Bademosi\BadeJo00,2014,24,,CLE,NFL,14,0,1,0,0,1
1165,Brandon Bair\BairBr00,2014,30,,PHI,NFL,16,0,1,0,0,1
1166,Marcus Ball\BallMa00,2014,27,,NOR,NFL,12,2,1,0,0,1
1167,Joe Banyard\BanyJo00,2014,26,,MIN,NFL,15,0,1,0,0,1
1168,Tim Barnes\BarnTi01,2014,26,,STL,NFL,14,0,1,0,0,1
1169,Gary Barnidge\BarnGa01,2014,29,5-141,CLE,NFL,13,2,1,0,0,1
1170,Lamin Barrow\BarrLa00,2014,24,5-156,DEN,NFL,16,1,1,0,0,1
1171,David Bass\BassDa00,2014,24,7-233,CHI,NFL,8,1,1,0,0,1
1172,Daren Bates\BateDa00,2014,24,,STL,NFL,14,0,1,0,0,1
1173,Nick Bellore\BellNi01,2014,25,,NYJ,NFL,16,0,1,0,0,1
1174,Marcus Benard\BenaMa00,2014,29,,ARI,NFL,12,0,1,0,0,1
1175,Nat Berhe\BerhNa00,2014,23,5-152,NYG,NFL,16,0,1,0,0,1
1176,Brenton Bersin\BersBr00,2014,24,,CAR,NFL,15,1,1,0,0,1
1177,E.J. Biggers\BiggE.99,2014,27,7-217,WAS,NFL,15,2,1,0,0,1
1178,Chase Blackburn\BlacCh21,2014,31,,CAR,NFL,6,2,1,0,0,1
1179,Brandon Bolden\BoldBr00,2014,24,,NWE,NFL,16,2,1,0,0,1
1180,Omar Bolden\BoldOm00,2014,26,4-101,DEN,NFL,15,0,1,0,0,1
1181,Brandon Boykin\BoykBr00,2014,24,4-123,PHI,NFL,16,0,1,0,0,1
1182,Cameron Bradfield\BradCa00,2014,27,,2TM,NFL,2,2,1,0,0,1
1183,Bryan Braman\BramBr00,2014,27,,PHI,NFL,16,0,1,0,0,1
1184,Andre Branch\BranAn00,2014,25,2-38,JAX,NFL,9,0,1,0,0,1
1185,Tyvon Branch\BranTy99,2014,28,4-100,OAK,NFL,3,3,1,0,0,1
1186,Aaron Brewer\BrewAa00,2014,24,,DEN,NFL,16,0,1,0,0,1
1187,Beau Brinkley\BrinBe00,2014,24,,TEN,NFL,16,0,1,0,0,1
1188,Eben Britton\BritEb20,2014,27,2-39,CHI,NFL,10,0,1,0,0,1
1189,Tramaine Brock\BrocTr00,2014,26,,SFO,NFL,3,2,1,0,0,1
1190,Jay Bromley\BromJa00,2014,22,3-74,NYG,NFL,8,0,1,0,0,1
1191,Ron Brooks\BrooRo01,2014,26,4-124,BUF,NFL,14,1,1,0,0,1
1192,Terrence Brooks\BrooTe00,2014,22,3-79,BAL,NFL,11,0,1,0,0,1
1193,Justin Brown\BrowJu00,2014,23,6-186,PIT,NFL,8,1,1,0,0,1
1194,Mike Brown\BrowMi00,2014,25,,JAX,NFL,5,1,1,0,0,1
1195,Ronnie Brown\BrowRo05,2014,33,1-2,2TM,NFL,10,0,1,0,0,1
1196,Vincent Brown\BrowVi00,2014,25,3-82,OAK,NFL,7,0,1,0,0,1
1197,David Bruton\BrutDa99,2014,27,4-114,DEN,NFL,14,1,1,0,0,1
1198,Rex Burkhead\BurkRe00,2014,24,6-190,CIN,NFL,9,0,1,0,0,1
1199,Marcus Burley\BurlMa00,2014,24,,SEA,NFL,13,0,1,0,0,1
1200,Jarrett Bush\BushJa20,2014,30,,GNB,NFL,15,0,1,0,0,1
