Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
2301,Darrion Weems\WeemDa00,2012,24,,DAL,NFL,,,1,0,0,0
2302,Eric Weems\WeemEr00,2012,27,,CHI,NFL,16,1,1,0,0,0
2303,Thomas Welch\WelcTh20,2012,25,7-208,BUF,NFL,3,0,1,0,0,0
2304,Jamaal Westerman\WestJa99,2012,27,,2TM,NFL,9,0,1,0,0,0
2305,Griff Whalen\WhalGr00,2012,22,,IND,NFL,,,1,0,0,0
2306,Ryan Whalen\WhalRy00,2012,23,6-167,CIN,NFL,9,0,1,0,0,0
2307,Travelle Wharton\WharTr20,2012,31,3-94,CIN,NFL,,,1,0,0,0
2308,Cody White\WhitCo02,2012,24,,HOU,NFL,,,1,0,0,0
2309,Johnny White\WhitJo01,2012,24,5-133,2TM,NFL,7,0,1,0,0,0
2310,Jordan White\WhitJo02,2012,24,7-244,NYJ,NFL,3,0,1,0,0,0
2311,Markus White\WhitMa01,2012,25,7-224,2TM,NFL,3,0,1,0,0,0
2312,Charlie Whitehurst\WhitCh02,2012,30,3-81,SDG,NFL,,,1,0,0,0
2313,Aston Whiteside\WhitAs00,2012,23,,CHI,NFL,,,1,0,0,0
2314,Eddie Whitley\WhitEd01,2012,23,,2TM,NFL,,,1,0,0,0
2315,Fozzy Whittaker\WhitFo00,2012,23,,ARI,NFL,,,1,0,0,0
2316,Kenny Wiggins\WiggKe00,2012,24,,SFO,NFL,,,1,0,0,0
2317,Michael Wilhoite\WilhMi00,2012,26,,SFO,NFL,5,0,1,0,0,0
2318,Chris Williams\WillCh03,2012,27,,2TM,NFL,6,0,1,0,0,0
2319,Eddie Williams\WillEd00,2012,25,7-221,CLE,NFL,,,1,0,0,0
2320,Ian Williams\WillIa00,2012,23,,SFO,NFL,3,0,1,0,0,0
2321,Isaiah Williams\WillIs00,2012,25,,OAK,NFL,,,1,0,0,0
2322,Jabara Williams\WillJa12,2012,23,7-228,STL,NFL,,,1,0,0,0
2323,Jason Williams\WillJa95,2012,26,3-69,2TM,NFL,7,0,1,0,0,0
2324,Javarris Williams\WillJa05,2012,26,7-212,WAS,NFL,,,1,0,0,0
2325,Keiland Williams\WillKe03,2012,26,,2TM,NFL,14,0,1,0,0,0
2326,Keith Williams\WillKe04,2012,24,6-196,BUF,NFL,2,0,1,0,0,0
2327,LaQuan Williams\WillLa01,2012,24,,BAL,NFL,11,0,1,0,0,0
2328,Leon Williams\WillLe20,2012,29,4-110,KAN,NFL,4,0,1,0,0,0
2329,Malcolm Williams\WillMa01,2012,25,7-219,NWE,NFL,2,0,1,0,0,0
2330,Teddy Williams\WillTe00,2012,24,,IND,NFL,7,0,1,0,0,0
2331,Zack Williams\WillZa01,2012,24,,CAR,NFL,1,0,1,0,0,0
2332,Mike Willie\WillMi05,2012,22,,SDG,NFL,,,1,0,0,0
2333,John Parker Wilson\WilsJo01,2012,27,,JAX,NFL,,,1,0,0,0
2334,Tracy Wilson\WilsTr01,2012,23,,TEN,NFL,9,0,1,0,0,0
2335,Rod Windsor\WindRo00,2012,27,,CLE,NFL,,,1,0,0,0
2336,Kellen Winslow\WinsKe01,2012,29,1-6,NWE,NFL,1,0,1,0,0,0
2337,Doug Worthington\WortDo99,2012,25,7-242,WAS,NFL,6,0,1,0,0,0
2338,Devon Wylie\WyliDe00,2012,24,4-107,KAN,NFL,6,1,1,0,0,0
2339,Desmond Wynn\WynnDe01,2012,24,,TAM,NFL,,,1,0,0,0
2340,T.J. Yates\YateT.00,2012,25,5-152,HOU,NFL,4,0,1,0,0,0
2341,Will Yeatman\YeatWi00,2012,24,,MIA,NFL,4,0,1,0,0,0
2342,D.J. Young\YounD.00,2012,24,,CLE,NFL,,,1,0,0,0
2343,Lee Ziemba\ZiemLe00,2012,23,7-244,IND,NFL,,,1,0,0,0
2344,Markus Zusevics\ZuseMa00,2012,23,,NWE,NFL,,,1,0,0,0
2345,David Akers\akersdav01,2012,38,,SFO,NFL,16,0,1,0,0,-1
2346,Billy Cundiff\cundibil01,2012,32,,WAS,NFL,5,0,1,0,0,-1
2347,Brady Quinn\QuinBr00,2012,28,1-22,KAN,NFL,10,8,1,0,0,-1
2348,John Skelton\SkelJo00,2012,24,5-155,ARI,NFL,7,6,1,0,0,-2
2349,Ryan Lindley\LindRy00,2012,23,6-185,ARI,NFL,6,4,1,0,0,-5
2350,Colin Cloherty\ClohCo00,2012,25,,JAX,NFL,1,0,1,0,0,
