,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
601,Michael Vick\VickMi00,2013,33,1-1,PHI,NFL,7,6,1,0,0,5
602,Kevin Vickerson\VickKe99,2013,30,7-216,DEN,NFL,11,11,1,0,0,5
603,Delanie Walker\WalkHu00,2013,29,6-175,TEN,NFL,15,11,1,0,0,5
604,DeMarcus Ware\WareDe99,2013,31,1-11,DAL,NFL,13,13,1,0,0,5
605,Reggie Wayne\WaynRe00,2013,35,1-30,IND,NFL,7,7,1,0,0,5
606,Melvin White\WhitMe00,2013,23,,CAR,NFL,15,10,1,0,0,5
607,Aaron Williams\WillAa00,2013,23,2-34,BUF,NFL,14,14,1,0,0,5
608,Dan Williams\WillDa99,2013,26,1-26,ARI,NFL,14,10,1,0,0,5
609,Jacquian Williams\WillJa02,2013,25,6-202,NYG,NFL,16,8,1,0,0,5
610,Vince Williams\WillVi01,2013,24,6-206,PIT,NFL,15,11,1,0,0,5
611,Josh Wilson\WilsJo99,2013,28,2-55,WAS,NFL,16,16,1,0,0,5
612,Derek Wolfe\WolfDe00,2013,23,2-36,DEN,NFL,11,11,1,0,0,5
613,LaMarr Woodley\WoodLa99,2013,29,2-46,PIT,NFL,11,11,1,0,0,5
614,Wesley Woodyard\WoodWe20,2013,27,,DEN,NFL,14,10,1,0,0,5
615,Paul Worrilow\WorrPa00,2013,23,,ATL,NFL,16,12,1,0,0,5
616,Major Wright\WrigMa99,2013,25,3-75,CHI,NFL,15,15,1,0,0,5
617,Tim Wright\WrigTi01,2013,23,,TAM,NFL,16,8,1,0,0,5
618,Mike Adams\AdamMi21,2013,32,,DEN,NFL,16,7,1,0,0,4
619,Antonio Allen\AlleAn02,2013,25,7-242,NYJ,NFL,16,9,1,0,0,4
620,Cortez Allen\AlleCo00,2013,25,4-128,PIT,NFL,14,8,1,0,0,4
621,Pat Angerer\AngePa99,2013,26,2-63,IND,NFL,11,9,1,0,0,4
622,Kyle Arrington\ArriKy00,2013,27,,NWE,NFL,16,12,1,0,0,4
623,Jon Asamoah\AsamJo20,2013,25,3-68,KAN,NFL,14,9,1,0,0,4
624,Jason Avant\AvanJa00,2013,30,4-109,PHI,NFL,16,13,1,0,0,4
625,Cliff Avril\AvriCl99,2013,27,3-92,SEA,NFL,15,2,1,0,0,4
626,Mark Barron\BarrMa00,2013,24,1-7,TAM,NFL,14,14,1,0,0,4
627,Cole Beasley\BeasCo00,2013,24,,DAL,NFL,14,3,1,0,0,4
628,Chase Blackburn\BlacCh21,2013,30,,CAR,NFL,13,7,1,0,0,4
629,Will Blackmon\BlacWi20,2013,29,4-115,JAX,NFL,15,8,1,0,0,4
630,Jonathan Bostic\BostJo00,2013,22,2-50,CHI,NFL,16,9,1,0,0,4
631,Stephen Bowen\BoweSt20,2013,29,,WAS,NFL,10,10,1,0,0,4
632,Michael Bowie\BowiMi00,2013,22,7-242,SEA,NFL,9,8,1,0,0,4
633,Brandon Boykin\BoykBr00,2013,23,4-123,PHI,NFL,16,2,1,0,0,4
634,Cameron Bradfield\BradCa00,2013,26,,JAX,NFL,15,11,1,0,0,4
635,Lance Briggs\BrigLa99,2013,33,3-68,CHI,NFL,9,9,1,0,0,4
636,Marlon Brown\BrowMa00,2013,22,,BAL,NFL,14,12,1,0,0,4
637,Tarell Brown\BrowTa99,2013,28,5-147,SFO,NFL,13,10,1,0,0,4
638,Nate Burleson\BurlNa00,2013,32,3-71,DET,NFL,9,8,1,0,0,4
639,Josh Bynes\ByneJo00,2013,24,,BAL,NFL,15,6,1,0,0,4
640,Jason Campbell\CampJa00,2013,32,1-25,CLE,NFL,9,8,1,0,0,4
641,Marcus Cannon\CannMa00,2013,25,5-138,NWE,NFL,14,6,1,0,0,4
642,Dan Carpenter\CarpDa44,2013,28,,BUF,NFL,16,0,1,0,0,4
643,Brent Celek\CeleBr00,2013,28,5-162,PHI,NFL,16,15,1,0,0,4
644,Nate Chandler\ChanNa00,2013,24,,CAR,NFL,16,8,1,0,0,4
