3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
301,Corban Joseph\josepco01,0.0,2013,24,NYY,AL,2,7,6,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,.167,.286,.333,.619,/*4*3
302,Nate Karns\karnsna01,0.0,2013,25,WSN,NL,3,5,3,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,.000,.000,.000,.000,/*1
303,Shawn Kelley\kellesh01,0.0,2013,29,NYY,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
304,Joe Kelly\kellyjo05,0.0,2013,25,STL,NL,39,40,33,4,5,1,0,0,2,0,0,8,1,5,1,0,0,0,.152,.171,.182,.353,*1/H
305,Dallas Keuchel\keuchda01,0.0,2013,25,HOU,AL,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,.000,.000,.000,*1/*HD
306,Kevin Kiermaier\kiermke01,0.0,2013,23,TBR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*8
307,Craig Kimbrel\kimbrcr01,0.0,2013,25,ATL,NL,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
308,Brandon Kintzler\kintzbr01,0.0,2013,28,MIL,NL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
309,Corey Kluber\klubeco01,0.0,2013,27,CLE,AL,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,.333,.000,.333,*1
310,Michael Kohn\kohnmi01,0.0,2013,27,LAA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
311,George Kontos\kontoge01,0.0,2013,28,SFG,NL,48,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.000,.000,.000,.000,*1
312,Ian Krol\krolia01,0.0,2013,22,WSN,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
