k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James\jamesle01,2011-12,27,MIA,NBA,30.7,62,62,2326,9.6,18.1,8.8,15.8,0.8,2.3,6.0,7.8,1.5,6.2,7.6,6.0,1.8,0.8,3.3,1.5,26.0,.531,.556,.362,.554,.771,.605
2,Kyrylo Fesenko\fesenky01,2011-12,25,IND,NBA,29.8,3,0,17,4.2,10.6,4.2,10.6,0.0,0.0,8.5,12.7,4.2,14.8,19.1,2.1,4.2,0.0,0.0,4.2,16.9,.400,.400,,.400,.667,.524
3,Chris Paul\paulch01,2011-12,26,LAC,NBA,27.0,60,60,2181,7.0,14.7,5.7,11.2,1.3,3.5,4.3,5.0,0.7,2.8,3.5,9.0,2.5,0.1,2.0,2.3,19.6,.478,.511,.371,.522,.861,.581
4,Dwyane Wade\wadedw01,2011-12,30,MIA,NBA,26.3,49,49,1625,9.2,18.5,8.9,17.3,0.3,1.2,5.2,6.6,1.6,3.6,5.3,5.0,1.8,1.4,2.9,2.4,24.0,.497,.513,.268,.506,.791,.559
5,Kevin Durant\duranke01,2011-12,23,OKC,NBA,26.2,66,66,2546,9.1,18.3,7.2,13.5,1.9,4.9,6.1,7.1,0.6,6.9,7.5,3.3,1.2,1.1,3.5,1.9,26.2,.496,.535,.387,.547,.860,.610
6,Kevin Love\loveke01,2011-12,23,MIN,NBA,25.4,55,55,2145,8.0,17.8,6.2,13.0,1.8,4.7,6.4,7.7,3.8,8.5,12.3,1.9,0.8,0.5,2.1,2.6,24.0,.448,.475,.372,.497,.824,.568
7,Dwight Howard\howardw01,2011-12,26,ORL,NBA,24.2,54,54,2070,7.2,12.6,7.2,12.5,0.0,0.1,4.9,9.9,3.5,10.2,13.7,1.8,1.4,2.0,3.0,2.8,19.4,.573,.579,.000,.573,.491,.569
8,Manu Ginobili\ginobma01,2011-12,34,SAS,NBA,24.1,34,7,792,6.8,13.0,4.5,7.2,2.4,5.7,4.0,4.6,0.8,4.5,5.3,6.9,1.1,0.5,2.9,2.5,20.0,.526,.616,.413,.618,.871,.668
9,Blake Griffin\griffbl01,2011-12,22,LAC,NBA,23.4,66,66,2392,8.4,15.4,8.4,15.1,0.0,0.2,3.7,7.0,3.3,7.5,10.8,3.2,0.8,0.7,2.3,3.3,20.6,.549,.556,.125,.550,.521,.557
10,Derrick Rose\rosede01,2011-12,23,CHI,NBA,23.0,39,39,1375,7.9,18.2,6.5,13.7,1.4,4.5,5.1,6.3,0.7,2.7,3.4,8.0,0.9,0.7,3.1,1.4,22.3,.435,.475,.312,.473,.812,.532
