,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
501,Rashaan Evans\EvanRa01,2018,23,1-22,TEN,NFL,15,7,1,0,0,5
502,Kyler Fackrell\FackKy00,2018,27,3-88,GNB,NFL,16,7,1,0,0,5
503,George Fant\FantGe00,2018,26,,SEA,NFL,16,7,1,0,0,5
504,Matt Feiler\FeilMa00,2018,26,,PIT,NFL,11,10,1,0,0,5
505,Larry Fitzgerald\FitzLa00,2018,35,1-3,ARI,NFL,16,16,1,0,0,5
506,Devin Funchess\FuncDe00,2018,24,2-41,CAR,NFL,14,12,1,0,0,5
507,Ben Gedeon\GedeBe00,2018,24,4-120,MIN,NFL,15,8,1,0,0,5
508,Marcus Gilchrist\GilcMa00,2018,30,2-50,OAK,NFL,16,16,1,0,0,5
509,Markus Golden\GoldMa00,2018,27,2-58,ARI,NFL,11,11,1,0,0,5
510,Frank Gore\GoreFr00,2018,35,3-65,MIA,NFL,14,14,1,0,0,5
511,Robbie Gould\gouldrob01,2018,36,,SFO,NFL,16,0,1,0,0,5
512,Jimmy Graham\GrahJi00,2018,32,3-95,GNB,NFL,16,12,1,0,0,5
513,Kamu Grugier-Hill\GrugKa00,2018,24,6-208,PHI,NFL,16,10,1,0,0,5
514,Da'Shawn Hand\HandDa00,2018,23,4-114,DET,NFL,13,8,1,0,0,5
515,Jeff Heath\HeatJe00,2018,27,,DAL,NFL,16,16,1,0,0,5
516,Rashod Hill\HillRa01,2018,26,,MIN,NFL,16,8,1,0,0,5
517,Chris Hogan\HogaCh00,2018,30,,NWE,NFL,16,7,1,0,0,5
518,Dustin Hopkins\HopkDu00,2018,28,6-177,WAS,NFL,16,0,1,0,0,5
519,Trey Hopkins\HopkTr01,2018,26,,CIN,NFL,16,9,1,0,0,5
520,Justin Houston\HousJu00,2018,29,3-70,KAN,NFL,12,12,1,0,0,5
521,James Hurst\HursJa00,2018,27,,BAL,NFL,10,10,1,0,0,5
522,Maurice Hurst\HursMa00,2018,23,5-140,OAK,NFL,13,10,1,0,0,5
523,Matthew Ioannidis\IoanMa01,2018,24,5-152,WAS,NFL,14,9,1,0,0,5
524,Gabe Jackson\JackGa00,2018,27,3-81,OAK,NFL,13,13,1,0,0,5
525,Janoris Jenkins\JenkJa03,2018,30,2-39,NYG,NFL,16,15,1,0,0,5
526,Josey Jewell\JeweJo00,2018,24,4-106,DEN,NFL,16,9,1,0,0,5
527,Austin Johnson\JohnAu01,2018,24,2-43,TEN,NFL,16,9,1,0,0,5
528,Kerryon Johnson\JohnKe06,2018,21,2-43,DET,NFL,10,7,1,0,0,5
529,Zay Jones\JoneZa00,2018,23,2-37,BUF,NFL,16,15,1,0,0,5
530,Lamarcus Joyner\JoynLa00,2018,28,2-41,LAR,NFL,15,15,1,0,0,5
531,Damontae Kazee\KazeDa00,2018,25,5-149,ATL,NFL,16,15,1,0,0,5
532,Ryan Kelly\KellRy00,2018,25,1-18,IND,NFL,12,12,1,0,0,5
533,Ted Larsen\LarsTe20,2018,31,6-205,MIA,NFL,15,13,1,0,0,5
534,Nevin Lawson\LawsNe00,2018,27,4-133,DET,NFL,15,14,1,0,0,5
535,Alex Lewis\LewiAl01,2018,26,4-130,BAL,NFL,10,10,1,0,0,5
536,Wil Lutz\LutzWi00,2018,24,,NOR,NFL,16,0,1,0,0,5
537,Doug Martin\MartDo00,2018,29,1-31,OAK,NFL,16,9,1,0,0,5
538,Vance McDonald\McDoVa00,2018,28,2-55,PIT,NFL,15,14,1,0,0,5
539,Whitney Mercilus\MercWh00,2018,28,1-26,HOU,NFL,16,9,1,0,0,5
540,John Miller\MillJo04,2018,25,3-81,BUF,NFL,15,15,1,0,0,5
541,Earl Mitchell\MitcEa99,2018,31,3-81,SFO,NFL,14,12,1,0,0,5
542,Latavius Murray\MurrLa00,2018,28,6-181,MIN,NFL,16,6,1,0,0,5
543,Jason Myers\MyerJa00,2018,27,,NYJ,NFL,16,0,1,1,0,5
544,Carl Nassib\NassCa00,2018,25,3-65,TAM,NFL,15,9,1,0,0,5
545,Jordy Nelson\NelsJo00,2018,33,2-36,OAK,NFL,15,14,1,0,0,5
546,Steven Nelson\NelsSt01,2018,25,3-98,KAN,NFL,16,16,1,0,0,5
547,Bilal Nichols\NichBi00,2018,22,5-145,CHI,NFL,14,6,1,0,0,5
548,David Njoku\NjokDa00,2018,22,1-29,CLE,NFL,16,14,1,0,0,5
549,Patrick Omameh\OmamPa00,2018,29,,2TM,NFL,14,11,1,0,0,5
550,Brandon Parker\ParkBr01,2018,23,3-65,OAK,NFL,15,12,1,0,0,5
551,Jermey Parnell\ParnJe00,2018,32,,JAX,NFL,13,13,1,0,0,5
552,Cordarrelle Patterson\PattCo00,2018,27,1-29,NWE,NFL,15,5,1,0,0,5
553,Denzel Perryman\PerrDe00,2018,26,2-48,LAC,NFL,9,9,1,0,0,5
554,Billy Price\PricBi01,2018,24,1-21,CIN,NFL,10,10,1,0,0,5
555,Spencer Pulley\PullSp00,2018,25,,NYG,NFL,13,9,1,0,0,5
556,Glover Quin\QuinGl99,2018,32,4-112,DET,NFL,16,16,1,0,0,5
557,Xavier Rhodes\RhodXa00,2018,28,1-25,MIN,NFL,14,14,1,0,0,5
558,A'Shawn Robinson\RobiAS00,2018,23,2-46,DET,NFL,13,7,1,0,0,5
559,Aldrick Rosas\RosaAl00,2018,24,,NYG,NFL,16,0,1,1,0,5
560,Kyle Rudolph\RudoKy00,2018,29,2-43,MIN,NFL,16,16,1,0,0,5
561,Curtis Samuel\SamuCu00,2018,22,2-40,CAR,NFL,13,8,1,0,0,5
562,Nathan Shepherd\ShepNa00,2018,25,3-72,NYJ,NFL,16,5,1,0,0,5
563,Richard Sherman\SherRi00,2018,30,5-154,SFO,NFL,14,14,1,0,0,5
564,Jimmy Smith\SmitJi03,2018,30,1-27,BAL,NFL,12,10,1,0,0,5
565,Tre'Quan Smith\SmitTr03,2018,22,3-91,NOR,NFL,15,7,1,0,0,5
566,Courtland Sutton\SuttCo00,2018,23,2-40,DEN,NFL,16,9,1,0,0,5
567,Adarius Taylor\GlanAd00,2018,28,,TAM,NFL,15,10,1,0,0,5
568,Demaryius Thomas\ThomDe03,2018,31,1-22,2TM,NFL,15,15,1,0,0,5
569,Michael Thomas\ThomMi02,2018,28,,NYG,NFL,16,6,1,1,0,5
570,Shaq Thompson\ThomSh01,2018,24,1-25,CAR,NFL,14,11,1,0,0,5
571,Billy Turner\TurnBi00,2018,27,3-67,DEN,NFL,16,11,1,0,0,5
572,LaAdrian Waddle\WaddLa01,2018,27,,NWE,NFL,16,3,1,0,0,5
573,Ben Watson\WatsBe00,2018,38,1-32,NOR,NFL,16,4,1,0,0,5
574,Trae Waynes\WaynTr00,2018,26,1-11,MIN,NFL,14,14,1,0,0,5
