,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
401,Ricky Jean-Francois\JeanRi99,2018,32,7-244,DET,NFL,16,11,1,0,0,6
402,Quinton Jefferson\JeffQu00,2018,25,5-147,SEA,NFL,16,12,1,0,0,6
403,Tony Jefferson\JeffTo00,2018,26,,BAL,NFL,14,14,1,0,0,6
404,Alshon Jeffery\JeffAl00,2018,28,2-45,PHI,NFL,13,13,1,0,0,6
405,Jordan Jenkins\JenkJo01,2018,24,3-83,NYJ,NFL,16,11,1,0,0,6
406,David Johnson\JohnDa08,2018,27,3-86,ARI,NFL,16,16,1,0,0,6
407,John Johnson\JohnJo10,2018,23,3-91,LAR,NFL,16,16,1,0,0,6
408,Michael Johnson\JohnMi98,2018,31,3-70,CIN,NFL,15,15,1,0,0,6
409,Aaron Jones\JoneAa00,2018,24,5-182,GNB,NFL,12,8,1,0,0,6
410,Johnathan Joseph\JoseJo20,2018,34,1-24,HOU,NFL,14,14,1,0,0,6
411,Matt Judon\JudoMa00,2018,26,5-146,BAL,NFL,16,8,1,0,0,6
412,Senio Kelemete\KeleSe00,2018,28,5-151,HOU,NFL,15,14,1,0,0,6
413,Cooper Kupp\KuppCo00,2018,25,3-69,LAR,NFL,8,8,1,0,0,6
414,Marshon Lattimore\LattMa01,2018,22,1-11,NOR,NFL,16,16,1,0,0,6
415,Dion Lewis\LewiDi00,2018,28,5-149,TEN,NFL,16,7,1,0,0,6
416,Corey Linsley\LinsCo00,2018,27,5-161,GNB,NFL,16,16,1,0,0,6
417,Joe Looney\LoonJo01,2018,28,4-117,DAL,NFL,16,16,1,0,0,6
418,Dean Lowry\LowrDe00,2018,24,4-137,GNB,NFL,16,8,1,0,0,6
419,Devin McCourty\McCoDe99,2018,31,1-27,NWE,NFL,16,16,1,0,0,6
420,Gerald McCoy\McCoGe99,2018,30,1-3,TAM,NFL,14,14,1,0,0,6
421,Connor McGovern\McGoCo00,2018,25,5-144,DEN,NFL,16,15,1,0,0,6
422,Brandon Mebane\MebaBr99,2018,33,3-85,LAC,NFL,12,12,1,0,0,6
423,Jordan Mills\MillJo02,2018,28,5-163,BUF,NFL,16,16,1,0,0,6
424,Kenny Moore\MoorKe03,2018,23,,IND,NFL,15,15,1,0,0,6
425,Derrick Morgan\MorgDe99,2018,29,1-16,TEN,NFL,13,12,1,0,0,6
