3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
601,Chris Parmelee\parmech01,-0.9,2014,26,MIN,AL,87,270,250,27,64,11,0,7,28,17,0,64,2,0,1,7,0,3,.256,.307,.384,.691,397H/8D
602,Mark Trumbo\trumbma01,-0.9,2014,28,ARI,NL,88,362,328,37,77,15,1,14,61,28,3,89,1,0,5,8,2,3,.235,.293,.415,.707,37/HD
603,Javier Baez\baezja01,-1.0,2014,21,CHC,NL,52,229,213,25,36,6,0,9,20,15,0,95,1,0,0,5,5,1,.169,.227,.324,.551,*64
604,Kendrys Morales\moralke01,-1.0,2014,31,TOT,AL,98,401,367,28,80,20,0,8,42,27,3,68,3,0,4,12,0,0,.218,.274,.338,.612,*D3/H
605,Wil Myers\myerswi01,-1.0,2014,23,TBR,AL,87,361,325,37,72,14,0,6,35,34,3,90,0,0,2,10,6,1,.222,.294,.320,.614,*9/DH38
606,Juan Perez\perezju02,-1.0,2014,27,SFG,NL,61,109,100,13,17,7,0,1,3,5,0,25,2,2,0,3,0,1,.170,.224,.270,.494,*78H/9
607,Jay Bruce\bruceja01,-1.1,2014,27,CIN,NL,137,545,493,71,107,21,1,18,66,44,5,149,2,1,5,8,12,3,.217,.281,.373,.654,*9/H3
608,Nicholas Castellanos\casteni01,-1.2,2014,22,DET,AL,148,579,533,50,138,31,4,11,66,36,3,140,3,0,7,7,2,2,.259,.306,.394,.700,*5/H
609,Domonic Brown\browndo01,-1.3,2014,26,PHI,NL,144,512,473,47,111,22,1,10,63,34,4,91,1,0,4,9,7,1,.235,.285,.349,.634,*7H/D
610,Junior Lake\lakeju01,-1.4,2014,24,CHC,NL,108,326,308,30,65,10,3,9,25,14,0,110,1,1,2,3,7,3,.211,.246,.351,.597,78H/9
611,Michael Choice\choicmi01,-2.0,2014,24,TEX,AL,86,280,253,20,46,6,1,9,36,21,0,69,3,0,3,11,1,0,.182,.250,.320,.570,79DH/8
612,Austin Adams\adamsau01,,2014,27,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
613,Matt Albers\alberma01,,2014,31,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
614,Jose Alvarez\alvarjo02,,2014,25,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
615,Anthony Bass\bassan01,,2014,26,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
616,Chris Bassitt\bassich01,,2014,25,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
617,Lisalverto Bonilla\bonilli01,,2014,24,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
618,Aaron Brooks\brookaa01,,2014,24,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
619,Sean Burnett\burnese01,,2014,31,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
