,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Tom Brady\BradTo00,2017,40,6-199,NWE,NFL,16,16,1,1,1,19
2,Todd Gurley\GurlTo01,2017,23,1-10,LAR,NFL,15,15,1,1,1,19
3,Cameron Jordan\JordCa00,2017,28,1-24,NOR,NFL,16,16,1,1,1,17
4,Alex Smith\SmitAl03,2017,33,1-1,KAN,NFL,15,15,1,1,0,17
5,Drew Brees\BreeDr00,2017,38,2-32,NOR,NFL,16,16,1,1,0,16
6,Calais Campbell\CampCa99,2017,31,2-50,JAX,NFL,16,16,1,1,1,16
7,Bobby Wagner\WagnBo00,2017,27,2-47,SEA,NFL,16,16,1,1,1,16
8,Russell Wilson\WilsRu00,2017,29,3-75,SEA,NFL,16,16,1,1,0,16
9,Le'Veon Bell\BellLe00,2017,25,2-48,PIT,NFL,15,15,1,1,1,15
10,Antonio Brown\BrowAn04,2017,29,6-195,PIT,NFL,14,14,1,1,1,15
11,Aaron Donald\DonaAa00,2017,26,1-13,LAR,NFL,14,14,1,1,1,15
12,Jared Goff\GoffJa00,2017,23,1-1,LAR,NFL,15,15,1,1,0,15
13,Everson Griffen\GrifEv99,2017,30,4-100,MIN,NFL,15,15,1,1,0,15
14,Cameron Heyward\HeywCa01,2017,28,1-31,PIT,NFL,15,15,1,1,1,15
15,Kareem Hunt\HuntKa00,2017,22,3-86,KAN,NFL,16,16,1,1,0,15
16,Chandler Jones\JoneCh03,2017,27,1-21,ARI,NFL,16,16,1,1,1,15
17,Alvin Kamara\KamaAl00,2017,22,3-67,NOR,NFL,16,3,1,1,0,15
18,Jason Kelce\KelcJa00,2017,30,6-191,PHI,NFL,16,16,1,0,1,15
19,Luke Kuechly\KuecLu00,2017,26,1-9,CAR,NFL,15,15,1,1,1,15
20,C.J. Mosley\MoslC.00,2017,25,1-17,BAL,NFL,16,16,1,1,0,15
21,Cam Newton\NewtCa00,2017,28,1-1,CAR,NFL,16,16,1,0,0,15
22,Matt Ryan\RyanMa00,2017,32,1-3,ATL,NFL,16,16,1,0,0,15
23,Telvin Smith\SmitTe01,2017,26,5-144,JAX,NFL,14,14,1,1,0,15
24,Fletcher Cox\CoxxFl00,2017,27,1-12,PHI,NFL,14,14,1,1,0,14
25,Casey Hayward\HaywCa00,2017,28,2-62,LAC,NFL,16,16,1,1,0,14
26,Mark Ingram\IngrMa01,2017,28,1-28,NOR,NFL,16,13,1,1,0,14
27,Lane Johnson\JohnLa01,2017,27,1-4,PHI,NFL,15,15,1,1,1,14
28,Julio Jones\JoneJu02,2017,28,1-6,ATL,NFL,16,16,1,1,0,14
29,Case Keenum\KeenCa00,2017,29,,MIN,NFL,15,14,1,0,0,14
30,Demarcus Lawrence\LawrDe00,2017,25,2-34,DAL,NFL,16,16,1,1,0,14
31,Alex Mack\MackAl20,2017,32,1-21,ATL,NFL,16,16,1,1,0,14
32,Andrew Norwell\NorwAn01,2017,26,,CAR,NFL,16,16,1,0,1,14
33,Dak Prescott\PresDa01,2017,24,4-135,DAL,NFL,16,16,1,0,0,14
34,Jalen Ramsey\RamsJa00,2017,23,1-5,JAX,NFL,16,16,1,1,1,14
35,Ben Roethlisberger\RoetBe00,2017,35,1-11,PIT,NFL,15,15,1,1,0,14
36,Mitchell Schwartz\SchwMi00,2017,28,2-37,KAN,NFL,16,16,1,0,0,14
37,Matthew Stafford\StafMa00,2017,29,1-1,DET,NFL,16,16,1,0,0,14
38,Carson Wentz\WentCa00,2017,25,1-2,PHI,NFL,13,13,1,1,0,14
39,Andrew Whitworth\WhitAn20,2017,36,2-55,LAR,NFL,15,15,1,1,1,14
40,Blake Bortles\BortBl00,2017,25,1-3,JAX,NFL,16,16,1,0,0,13
41,Joey Bosa\BosaJo00,2017,22,1-3,LAC,NFL,16,16,1,1,0,13
42,Kevin Byard\ByarKe01,2017,24,3-64,TEN,NFL,16,16,1,1,1,13
43,Brandin Cooks\CookBr00,2017,24,1-20,NWE,NFL,16,15,1,0,0,13
44,David DeCastro\DeCaDa00,2017,27,1-24,PIT,NFL,15,15,1,1,1,13
45,Rob Gronkowski\GronRo00,2017,28,2-42,NWE,NFL,14,14,1,1,1,13
46,Tyreek Hill\HillTy00,2017,23,5-165,KAN,NFL,15,13,1,1,0,13
47,Melvin Ingram\IngrMe00,2017,28,1-18,LAC,NFL,16,16,1,1,0,13
48,Linval Joseph\JoseLi99,2017,29,2-46,MIN,NFL,16,16,1,1,0,13
49,Zack Martin\MartZa00,2017,27,1-16,DAL,NFL,16,16,1,1,0,13
50,Philip Rivers\RivePh00,2017,36,1-4,LAC,NFL,16,16,1,1,0,13
51,Adam Thielen\ThieAd00,2017,27,,MIN,NFL,16,16,1,1,0,13
52,Michael Thomas\ThomMi05,2017,24,2-47,NOR,NFL,16,14,1,1,0,13
53,Keenan Allen\AlleKe00,2017,25,3-76,LAC,NFL,16,15,1,1,0,12
54,A.J. Bouye\BouyA.00,2017,26,,JAX,NFL,16,16,1,1,0,12
55,Kirk Cousins\CousKi00,2017,29,4-102,WAS,NFL,16,16,1,0,0,12
56,Malik Jackson\JackMa02,2017,27,5-137,JAX,NFL,16,16,1,1,0,12
57,Marcus Mariota\MariMa01,2017,24,1-2,TEN,NFL,15,15,1,0,0,12
58,Von Miller\MillVo00,2017,28,1-2,DEN,NFL,16,16,1,1,0,12
59,Yannick Ngakoue\NgakYa00,2017,22,3-69,JAX,NFL,16,16,1,1,0,12
60,Rodger Saffold\SaffRo20,2017,29,2-33,LAR,NFL,15,15,1,0,0,12
61,Darius Slay\SlayDa00,2017,26,2-36,DET,NFL,16,16,1,1,1,12
62,Harrison Smith\SmitHa00,2017,28,1-29,MIN,NFL,16,16,1,1,1,12
63,Tyrod Taylor\TaylTy00,2017,28,6-180,BUF,NFL,15,14,1,0,0,12
64,Daryl Williams\WillDa06,2017,25,4-102,CAR,NFL,16,16,1,0,0,12
65,Anthony Barr\BarrAn00,2017,25,1-9,MIN,NFL,16,16,1,1,0,11
66,Jacoby Brissett\BrisJa00,2017,25,3-91,IND,NFL,16,15,1,0,0,11
67,Johnathan Hankins\HankJo00,2017,25,2-49,IND,NFL,15,15,1,0,0,11
68,DeAndre Hopkins\HopkDe00,2017,25,1-27,HOU,NFL,15,15,1,1,1,11
69,Deion Jones\JoneDe01,2017,23,2-52,ATL,NFL,16,16,1,1,0,11
70,Ryan Kerrigan\KerrRy00,2017,29,1-16,WAS,NFL,16,16,1,1,0,11
71,Dion Lewis\LewiDi00,2017,27,5-149,NWE,NFL,16,8,1,0,0,11
72,Khalil Mack\MackKh00,2017,26,1-5,OAK,NFL,16,16,1,1,0,11
73,LeSean McCoy\McCoLe01,2017,29,2-53,BUF,NFL,16,16,1,1,0,11
74,Xavier Rhodes\RhodXa00,2017,27,1-25,MIN,NFL,16,16,1,1,1,11
75,Terrell Suggs\SuggTe99,2017,35,1-10,BAL,NFL,16,16,1,1,0,11
76,Larry Warford\WarfLa00,2017,26,3-65,NOR,NFL,14,14,1,1,0,11
77,Geno Atkins\AtkiGe99,2017,29,4-120,CIN,NFL,16,15,1,1,0,10
78,David Bakhtiari\BakhDa00,2017,26,4-109,GNB,NFL,12,12,1,0,0,10
79,Michael Bennett\BennMi99,2017,32,,SEA,NFL,16,16,1,1,0,10
80,Brandon Brooks\BrooBr00,2017,28,3-76,PHI,NFL,16,16,1,1,0,10
81,Derek Carr\CarrDe02,2017,26,2-36,OAK,NFL,15,15,1,1,0,10
82,Jurrell Casey\CaseJu00,2017,28,3-77,TEN,NFL,16,16,1,1,0,10
83,Jadeveon Clowney\ClowJa00,2017,24,1-1,HOU,NFL,16,16,1,1,0,10
84,Andy Dalton\DaltAn00,2017,30,2-35,CIN,NFL,16,16,1,0,0,10
