,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1401,Cory Littleton\LittCo01,2016,23,,LAR,NFL,16,1,1,0,0,1
1402,Jeff Locke\LockJe00,2016,27,5-155,MIN,NFL,16,0,1,0,0,1
1403,Matt Longacre\LongMa00,2016,25,,LAR,NFL,6,0,1,0,0,1
1404,Ricardo Louis\LouiRi00,2016,22,4-114,CLE,NFL,16,3,1,0,0,1
1405,Dean Lowry\LowrDe00,2016,22,4-137,GNB,NFL,15,0,1,0,0,1
1406,Aaron Lynch\LyncAa00,2016,23,5-150,SFO,NFL,7,3,1,0,0,1
1407,Cameron Lynch\LyncCa00,2016,23,,TAM,NFL,12,0,1,0,0,1
1408,Paxton Lynch\LyncPa00,2016,22,1-26,DEN,NFL,3,2,1,0,0,1
1409,Curt Maggitt\MaggCu00,2016,23,,IND,NFL,9,0,1,0,0,1
1410,EJ Manuel\ManuEJ00,2016,26,1-16,BUF,NFL,6,1,1,0,0,1
1411,Chris Maragos\MaraCh99,2016,29,,PHI,NFL,16,0,1,0,0,1
1412,Jalin Marshall\MarsJa01,2016,21,,NYJ,NFL,10,1,1,0,0,1
1413,Nick Marshall\MarsNi00,2016,24,,NYJ,NFL,8,0,1,0,0,1
1414,Gabe Martin\MartGa00,2016,24,,ARI,NFL,8,0,1,0,0,1
1415,Josh Martin\MartJo02,2016,25,,NYJ,NFL,15,0,1,0,0,1
1416,Kareem Martin\MartKa00,2016,24,3-84,ARI,NFL,13,0,1,0,0,1
1417,Marcus Martin\MartMa01,2016,23,3-70,SFO,NFL,4,2,1,0,0,1
1418,Freddie Martino\MartFr00,2016,25,,TAM,NFL,13,0,1,0,0,1
1419,Tyler Matakevich\MataTy00,2016,24,7-246,PIT,NFL,16,0,1,0,0,1
1420,Evan Mathis\MathEv20,2016,35,3-79,ARI,NFL,4,4,1,0,0,1
1421,Michael Mauti\MautMi00,2016,26,7-213,NOR,NFL,8,0,1,0,0,1
1422,David Mayo\MayoDa00,2016,23,5-169,CAR,NFL,15,0,1,0,0,1
1423,Dexter McCoil\McCoDe00,2016,25,,SDG,NFL,16,2,1,0,0,1
1424,Josh McCown\McCoJo01,2016,37,3-81,CLE,NFL,5,3,1,0,0,1
1425,Lerentee McCray\McCrLe01,2016,26,,BUF,NFL,13,0,1,0,0,1
1426,Kevin McDermott\McDeKe00,2016,26,,MIN,NFL,16,0,1,0,0,1
1427,Dewey McDonald\McDoDe01,2016,26,,SEA,NFL,14,0,1,0,0,1
1428,Tanner McEvoy\McEvTa01,2016,23,,SEA,NFL,14,0,1,0,0,1
1429,Darren McFadden\McFaDa00,2016,29,1-4,DAL,NFL,3,2,1,0,0,1
1430,Leon McFadden\McFaLe00,2016,26,3-68,DAL,NFL,9,0,1,0,0,1
1431,Keith McGill\McGiKe00,2016,27,4-116,OAK,NFL,16,2,1,0,0,1
1432,T.Y. McGill\McGiT.00,2016,24,,IND,NFL,13,0,1,0,0,1
1433,Sherrick McManis\McMaSh99,2016,29,5-144,CHI,NFL,16,0,1,0,0,1
1434,Pernell McPhee\McPhPe00,2016,28,5-165,CHI,NFL,9,0,1,0,0,1
1435,Steven Means\MeanSt00,2016,26,5-147,PHI,NFL,8,0,1,0,0,1
1436,Jonathan Meeks\MeekJo01,2016,27,5-143,BUF,NFL,16,0,1,0,0,1
1437,Braxton Miller\MillBr03,2016,24,3-85,HOU,NFL,10,6,1,0,0,1
1438,Harlan Miller\MillHa00,2016,22,6-205,ARI,NFL,2,2,1,0,0,1
1439,Christopher Milton\MiltCh00,2016,24,,IND,NFL,6,1,1,0,0,1
1440,Koa Misi\MisiKo99,2016,29,2-40,MIA,NFL,3,2,1,0,0,1
1441,Terrance Mitchell\MitcTe00,2016,24,7-254,KAN,NFL,7,2,1,0,0,1
1442,Don Muhlbach\MuhlDo20,2016,35,,DET,NFL,16,0,1,0,0,1
1443,Keith Mumphery\MumpKe00,2016,24,5-175,HOU,NFL,11,3,1,0,0,1
1444,Eric Murray\MurrEr00,2016,22,4-106,KAN,NFL,16,0,1,0,0,1
1445,Robert Nelson\NelsRo00,2016,26,,HOU,NFL,11,0,1,0,0,1
1446,Dadi Nicolas\NicoDa00,2016,24,6-203,KAN,NFL,11,0,1,0,0,1
1447,Jared Norris\NorrJa00,2016,23,,CAR,NFL,14,0,1,0,0,1
1448,Nick O'Leary\OLeaNi00,2016,24,6-194,BUF,NFL,16,7,1,0,0,1
1449,Rees Odhiambo\OdhiRe00,2016,24,3-97,SEA,NFL,8,0,1,0,0,1
1450,Owamagbe Odighizuwa\OdigOw00,2016,24,3-74,NYG,NFL,14,0,1,0,0,1
1451,Michael Oher\OherMi20,2016,30,1-23,CAR,NFL,3,3,1,0,0,1
1452,Michael Ola\OlaxMi00,2016,28,,BUF,NFL,6,0,1,0,0,1
1453,Patrick Onwuasor\OnwuPa00,2016,24,,BAL,NFL,11,1,1,0,0,1
1454,David Onyemata\OnyeDa00,2016,24,4-120,NOR,NFL,16,0,1,0,0,1
1455,Matt Overton\OverMa00,2016,31,,IND,NFL,16,0,1,0,0,1
1456,Stephen Paea\PaeaSt00,2016,28,2-53,CLE,NFL,13,1,1,0,0,1
1457,Michael Palardy\PalaMi00,2016,24,,CAR,NFL,7,0,1,0,0,1
1458,Tenny Palepoi\PaleTe00,2016,26,,SDG,NFL,13,0,1,0,0,1
1459,Nate Palmer\PalmNa01,2016,27,6-193,TEN,NFL,14,0,1,0,0,1
1460,Will Parks\ParkWi01,2016,22,6-219,DEN,NFL,16,0,1,0,0,1
1461,Charone Peake\PeakCh00,2016,24,7-241,NYJ,NFL,15,1,1,0,0,1
1462,Mike Pennel\PennMi00,2016,25,,GNB,NFL,8,0,1,0,0,1
1463,Joshua Perry\PerrJo01,2016,22,4-102,SDG,NFL,15,1,1,0,0,1
1464,Brian Peters\PeteBr00,2016,28,,HOU,NFL,12,0,1,0,0,1
1465,Adrian Peterson\PeteAd01,2016,31,1-7,MIN,NFL,3,3,1,0,0,1
1466,Dashaun Phillips\PhilDa00,2016,25,,WAS,NFL,5,2,1,0,0,1
1467,Kevin Pierre-Louis\PierKe00,2016,25,4-132,SEA,NFL,13,0,1,0,0,1
1468,Eddie Pleasant\PleaEd00,2016,28,,HOU,NFL,14,0,1,0,0,1
1469,Walt Powell\PoweWa00,2016,25,6-196,BUF,NFL,9,2,1,0,0,1
1470,Sheldon Price\PricSh00,2016,25,,BAL,NFL,4,1,1,0,0,1
1471,Chris Prosinski\ProsCh00,2016,29,4-121,CHI,NFL,16,1,1,0,0,1
1472,Hayes Pullard\PullHa00,2016,24,7-219,JAX,NFL,16,0,1,0,0,1
1473,Spencer Pulley\PullSp00,2016,23,,SDG,NFL,16,0,1,0,0,1
1474,Tanner Purdum\PurdTa00,2016,30,,NYJ,NFL,16,0,1,0,0,1
1475,Bobby Rainey\RainBo00,2016,29,,NYG,NFL,15,0,1,0,0,1
1476,Sheldon Rankins\RankSh00,2016,22,1-12,NOR,NFL,9,0,1,0,0,1
1477,Keith Reaser\ReasKe00,2016,25,5-170,SFO,NFL,15,0,1,0,0,1
1478,Marcel Reece\ReecMa00,2016,31,,SEA,NFL,4,0,1,0,0,1
1479,Trovon Reed\ReedTr00,2016,26,,SDG,NFL,6,1,1,0,0,1
1480,Caraun Reid\ReidCa00,2016,25,5-158,SDG,NFL,7,0,1,0,0,1
1481,Jah Reid\ReidJa00,2016,28,3-85,KAN,NFL,12,1,1,0,0,1
1482,Kendall Reyes\ReyeKe00,2016,27,2-49,2TM,NFL,12,0,1,0,0,1
1483,Demetrius Rhaney\RhanDe00,2016,24,7-250,LAR,NFL,16,0,1,0,0,1
1484,Jordan Richards\RichJo00,2016,23,2-64,NWE,NFL,11,0,1,0,0,1
1485,Darryl Roberts\RobeDa00,2016,26,7-247,NYJ,NFL,12,2,1,0,0,1
1486,Denard Robinson\RobiDe00,2016,26,5-135,JAX,NFL,13,1,1,0,0,1
1487,Edmond Robinson\RobiEd00,2016,24,7-232,MIN,NFL,12,0,1,0,0,1
1488,Josh Robinson\RobiJo01,2016,25,3-66,TAM,NFL,16,0,1,0,0,1
1489,KeiVarae Russell\RussKe00,2016,23,3-74,CIN,NFL,5,0,1,0,0,1
1490,Ryan Russell\RussRy00,2016,24,5-163,TAM,NFL,8,0,1,0,0,1
1491,Greg Salas\SalaGr00,2016,28,4-112,BUF,NFL,2,1,1,0,0,1
1492,Garrison Sanborn\SanbGa00,2016,31,,BUF,NFL,16,0,1,0,0,1
1493,Zack Sanchez\SancZa00,2016,23,5-141,CAR,NFL,5,1,1,0,0,1
1494,Tom Savage\SavaTo00,2016,26,4-135,HOU,NFL,3,2,1,0,0,1
1495,Patrick Scales\ScalPa00,2016,28,,CHI,NFL,16,0,1,0,0,1
1496,Brennan Scarlett\ScarBr00,2016,23,,HOU,NFL,7,0,1,0,0,1
1497,Colton Schmidt\SchmCo00,2016,26,,BUF,NFL,16,0,1,0,0,1
1498,Austin Seferian-Jenkins\SefeAu00,2016,24,2-38,2TM,NFL,9,2,1,0,0,1
1499,Kevon Seymour\SeymKe00,2016,23,6-218,BUF,NFL,15,3,1,0,0,1
1500,JaCorey Shepherd\ShepJa00,2016,23,6-191,SFO,NFL,11,0,1,0,0,1
